rn1qkbnr/pp3ppp/4p1b1/1BppP3/3P1P2/5N2/PPP3PP/RNBQK2R b KQkq -,b8c6 c1e3 d8b6 b1c3 g8h6 d4c5 f8c5 e3c5 b6c5 d1d4,-29
2kr2r1/ppp1qp2/1b5Q/1R1pP1p1/6b1/2PB4/P1PB1PPP/4R1K1 b - -,c7c6 b5b1 d8e8 h6f6 e7f6 e5f6 e8e1 b1e1 b6d8 c3c4,48
r1bqkbnr/3p1ppp/p1p1p3/2p5/8/1PN1P3/PBPP1PPP/R2QK1NR b KQkq -,g8f6 f2f4 d7d5 c3a4 c5c4 g1f3 c6c5 f3e5 c8b7 e1h1,35
r1bqkbnr/5ppp/p1p1p3/2pp4/N7/1P2P3/PBPP1PPP/R2QK1NR b KQkq -,g8f6 c2c4 f8d6 f2f4 e8h8 g1f3 f6d7 a1c1 f7f6 d2d4,34
r1bqr1k1/ppppbppp/3n4/n2B4/3P1Q2/2N5/PPP1NPPP/R1B1K2R b KQ -,a7a6 c3e4 e8f8 e4d6 e7d6 f4f3 c7c6 d5e4 f8e8 e4d3,54
8/8/8/6K1/5N2/7k/4B3/8 b - -,a7a6 c3e4 e8f8 e4d6 e7d6 f4f3 c7c6 d5e4 f8e8 e4d3,Mate
r1bqr1k1/ppp2ppp/2np1n2/2bN4/2PP4/6P1/PP2NPBP/R1BQ1RK1 b - -,f6d5 c4d5 c8g4 f2f3 c6d4 e2d4 g4d7 b2b3 h7h5 g1h1,205
r2qkbnr/pp3ppp/2n1p1b1/1BppP3/3P1P2/2P2N2/PP4PP/RNBQK2R b KQkq -,g8h6 e1h1 d8b6 a2a4 f8e7 c1e3 c5c4 b1d2 e8h8 f3e1,-70
2kr1b1r/p2b1ppp/2B1p3/2p5/Q3P3/2q5/P3KPPP/1RB4R b - -,c3d3 e2d3 d7c6 d3e2 c6a4 c1f4 f8d6 f4d6 d8d6 h1c1,Mate
r1bqr1k1/pp1pbppp/2pn4/n7/3P1Q2/2N2B2/PPP1NPPP/R1B1K2R b KQ -,b7b5 e1h1 b5b4 c3a4 d6b5 d4d5 c6c5 c2c3 c8a6 f1d1,-21
8/8/8/6K1/5N2/8/6k1/3B4 b - -,g2f2 f4d5 f2e1 d1g4 e1d2 g4f5 d2e1 g5f4 e1e2 f5b1,146
8/8/8/1P6/7p/3K2k1/8/8 b - -,,0
3q1bk1/7p/3p2p1/2pPp3/2P1N1P1/4Q2P/5P2/6K1 b - -,d8a5 g1g2 a5d8 e3a3 f8e7 a3a4 g8f7 g2h2 f7g8 h2g1,89
2rq1rk1/p2nppbp/b2p1np1/2pP4/4P3/4NNP1/PPQB1PBP/R3R1K1 b - -,d8b6 a1b1 c5c4 d2c3 d7c5 f3d4 a6b5 e1d1 f8e8 d4b5,100
2kr2r1/ppp1qp2/1b2b2Q/1R1pP1p1/P7/2PB4/2PB1PPP/4R1K1 b - -,c7c6 b5b3 c6c5 d3f1 c5c4 b3b5 g8g6 h6h5 g5g4 a4a5,26
rnbq1rk1/ppp2ppp/5b2/3pp3/4P3/3P2P1/PPPN1PBP/R2QK1NR b KQ -,c7c6 g1f3 c8e6 h2h4 b8d7 e1h1 h7h6 c2c3 d8b6 d1c2,-96
8/8/8/8/5NK1/8/7k/3B4 b - -,c7c6 g1f3 c8e6 h2h4 b8d7 e1h1 h7h6 c2c3 d8b6 d1c2,Mate
8/6pk/p7/8/P1pRp2p/2Q4P/1K6/6q1 b - -,g1f1 d4e4 f1f2 b2c1 f2g1 e4e1 g1c5 c3e3 c5h5 e3e4,659
3q1bk1/7p/3p2p1/2pPpn2/2P1N1P1/3QB2P/5P2/6K1 b - -,f5h6 e3g5 d8b8 d3f3 f8g7 g5e7 h6f7 g1g2 b8c7 e7h4,158
r1b1k1nr/pp3ppp/2n1p3/1N1pP3/1q1P4/8/P2N1PPP/R2QKB1R b KQkq -,b4a5 f1d3 g8h6 b5d6 e8f8 e1h1 c6d4 d2b3 d4b3 a2b3,102
r1bq1rk1/ppp1bppp/2np1n2/8/2B1PN2/2NP4/PPP3PP/R1BQ1RK1 b - -,a7a6 d3d4 c8g4 d1d2 b7b5 c4d5 f6d5 c3d5 g4d7 a2a4,58
