2r2k2/5p1p/5p2/3P1N2/q7/5BPP/1R3P1K/8 b - -,a4a3 b2d2 a3f3 f5h4 f3e4 h4g2 c8c2 f2f3 e4c4 d2c2,-552
r3kb1r/pp2n2p/1q3p2/3p1b2/2p2B2/2P1PP2/PP2BP1P/RNQ1K2R b KQkq -,e7g6 f4g3 h7h5 h2h4 g6e5 a2a4 e5d3 e2d3 f5d3 b1a3,-74
r1bq1rk1/1ppn2bp/3p4/p1nPpP2/2P4P/2N1BP2/PP1Q4/R3KBNR b KQ -,d7b6 e1a1 c8f5 g1h3 d8e7 h3g5 a5a4 c3e4 f5e4 f3e4,118
r1bq1rk1/pp1n1ppp/2pb1n2/8/P1BN4/2N1P3/1PQ2PPP/R1B2RK1 b - -,a7a5 f1d1 d7e5 c4f1 d8e7 h2h3 e5g6 e3e4 f8e8 d4f5,31
r2qkb1r/ppp2ppp/2np1n2/3N4/2BpP3/5Q1P/PPP2PP1/R1B1K2R b KQkq -,f6d7 f3d1 g7g6 h3h4 c6e5 d1d4 f8g7 c1g5 e5f3 g2f3,-24
r1bqk2r/p1p1ppbp/1np3p1/8/2PP1B2/8/PP2BPPP/RN1Q1RK1 b kq -,d8d4 d1d4 g7d4 b1d2 d4b2 a1b1 b2g7 e2f3 c8d7 f1e1,-70
r3k2r/pp1q1pp1/3ppn1p/3p1b2/3P1B2/4PP2/PPP3PP/R2QKB1R b KQkq -,a7a6 f4g3 e8h8 f1e2 f8e8 a2a4 e6e5 e1h1 e5e4 f3f4,23
q2rk3/4bpp1/2b1p1r1/p1p1P2p/3p1N1P/PP4PQ/2PN1P1K/R4R2 b - -,g6h6 f1g1 a5a4 h3f1 g7g5 f4d3 h6g6 f1e2 e8d7 h4g5,-108
8/4k1p1/1PR5/2p2PP1/2P5/1r1pK3/8/8 b - -,e7d8 c6g6 d8e8 g6g7 b3b6 e3d3 e8f8 g7c7 b6b2 d3e4,869
r2qk1nr/pppbppbp/3p2p1/3Pn3/2P1P3/2N2N2/PP2BPPP/R1BQK2R b KQkq -,c7c5 f3e5 g7e5 e1h1 a7a6 a2a4 e5d4 e2d3 g8f6 h2h3,96
8/8/7P/5nk1/5Np1/6P1/6K1/8 b - -,,0
r1b1k2r/p1p1ppbp/1np3p1/8/2PQ1B2/8/PP2BPPP/RN3RK1 b kq -,f7f6 d4e3 e8h8 f4c7 f6f5 b1c3 f8f7 c7b6 a7b6 f1d1,732
8/8/8/5nk1/6p1/6P1/6K1/2N5 b - -,,0
r2q1rk1/pb1nbppp/1p2pn2/2ppN3/2PP1B2/2N3P1/PP2PPBP/2RQ1RK1 b - -,f8e8 d4c5 b6c5 c4d5 d7e5 f4e5 f6d5 d1a4 e7f8 f1d1,42
r1b2rk1/pp3pp1/2n2b1p/q7/8/2NQPN2/PP2BPPP/R3K2R b KQ -,c6b4 d3d2 f8d8 d2c1 b4a2 e2c4 f6c3 b2c3 a5c3 c1c3,-117
r1b1k2r/p1p1pp1p/1np3p1/8/2Pb4/8/PP2BPPP/RNB2RK1 b kq -,c6c5 b1c3 c7c6 e2f3 c8d7 c3e2 d4g7 e2f4 b6c4 f4d3,-135
1k4r1/7R/8/KP6/8/8/8/8 b - -,,0
r1bqk2r/ppp1ppbp/1nN3p1/8/2PP1B2/8/PP2BPPP/RN1QK2R b KQkq -,e7e5 c6d8 e5f4 c4c5 b6d5 b1c3 e8h8 c3d5 f8d8 d1b3,642
r1bqkbnr/pp1ppp1p/2n3p1/8/2BpP3/5N2/PPP2PPP/RNBQK2R b KQkq -,g8f6 d1e2 f8g7 e1h1 d7d5 e4d5 f6d5 f1d1 e8h8 c2c3,-127
rnbqkb1r/ppp1p1p1/5n1p/3p1p2/3P1B2/4PN2/PPPN1PPP/R2QKB1R b KQkq -,b8d7 h2h4 g7g6 c2c4 e7e6 d1c2 c7c6 f1e2 f8g7 f3e5,137
r1b2rk1/pp5p/2nqp1p1/2N1bp2/1P6/3P2P1/P1P2BBP/1R1Q1RK1 b - -,f8d8 c5b3 e5c3 b4b5 c6d4 b3d4 c3d4 d1d2 a8b8 f2d4,37
r1bqk2r/p1p1ppbp/1np3p1/8/2PP4/4B3/PP2BPPP/RN1QK2R b KQkq -,e7e5 d4d5 c8b7 b1c3 c6d5 c4d5 e8h8 d1b3 b7d5 c3d5,-43
rnbqkb1r/ppp3p1/4pn1p/3p1p2/3P1B2/3BPN2/PPPN1PPP/R2QK2R b KQkq -,c8d7 f3e5 g7g5 f4g3 f8d6 h2h4 g5g4 h4h5 h8g8 g3h4,124
r1bqk1nr/pp1pppbp/2n3p1/6N1/2BpP3/8/PPP2PPP/RNBQK2R b KQkq -,e7e6 e1h1 g8f6 c2c3 h7h6 g5f3 f6e4 c3d4 d7d5 c4b5,-163
8/5pkp/q2n1pb1/3Q4/3P3N/6PP/1R3PBK/2r5 b - -,c1c8 g3g4 c8d8 d5c5 d6e4 c5e7 a6d6 e7d6 e4d6 b2b6,70
rn2kb1r/ppp1pppp/5n2/8/2Bq2N1/2N5/PPPP1PPP/R1BQK2R b KQkq -,b8d7 g4e3 e8a8 d2d3 d7e5 c4b3 d4d7 c1d2 e7e6 a2a3,491
r1bqk2r/p1p2pbp/1np3p1/4P3/2P5/4B3/PP2BPPP/RN1QK2R b KQkq -,d8d1 e1d1 g7e5 d1c1 c8f5 b1c3 e8a8 a2a4 a7a5 c4c5,-50
r1bqk1nr/pp1p1pbp/2n1p1p1/6N1/2BpP3/5Q2/PPP2PPP/RNB1K2R b KQkq -,g8f6 c4b3 e8h8 e1h1 h7h6 g5h3 e6e5 c2c3 d7d6 a2a4,-264
r2qkbnr/ppp1pppp/2n5/5b2/8/P1N5/1PPP1PPP/R1BQKBNR b KQkq -,e7e5 f1c4 d8f6 g1f3 e8a8 c3d5 f6d6 d2d3 f5e6 d5e3,-41
r1bqkbnr/p2p1p1p/2p1p1p1/2p5/2P1PP2/5N2/PP1P2PP/RNBQK2R b KQkq -,f7f6 e1h1 g8h6 b1c3 d7d6 d2d3 f8e7 d1e2 e8h8 g1h1,95
rnbqk2r/ppp3bp/3ppnp1/5p2/2PP4/2N1PNP1/PP3PBP/R1BQK2R b KQkq -,d8e7 e1h1 e8h8 f1e1 f6e4 c3e4 f5e4 f3d2 d6d5 f2f3,50
8/7p/8/4kp2/8/7P/pK4P1/8 b - -,e5e4 g2g4 f5g4 h3g4 e4f4 b2a2 f4g4 a2b2 h7h5 b2c2,-902
r1bqk2r/pppp1ppp/5n2/3Pp3/3NP3/8/PP3PPP/RNBQKB1R b KQkq -,e5d4 d1d4 e8h8 b1c3 d7d6 c1g5 c7c5 d5c6 b7c6 g5f6,519
rnbqk1nr/1p1p2pp/p4p2/4p3/1b2P3/2N2N2/PPPB1PPP/R2QKB1R b KQkq -,g8e7 f1c4 d8c7 c4b3 d7d6 c3a4 b4c5 f3h4 b7b5 a4c3,71
rnbqkb1r/ppp2ppp/4pn2/3P4/8/1P3N2/P1PP1PPP/RNBQKB1R b KQkq -,e6d5 c1b2 f8e7 f1e2 e8h8 e1h1 c7c5 d2d4 b8c6 c2c4,-37
rnbqkb1r/ppp2pp1/1n2p2p/8/3PP3/3B1N2/PP3PPP/RNBQ1RK1 b kq -,c7c5 c1e3 b8c6 d4c5 b6d7 d3b5 f8c5 b5c6 b7c6 e3c5,98
r1bqkb1r/ppp2ppp/2n1p3/3n4/8/1PN2N2/PBPP1PPP/R2QKB1R b KQkq -,d5c3 b2c3 d8d5 f1c4 d5e4 e1f1 c8d7 h2h4 f7f6 h4h5,44
