rnbqk1nr/pp2ppbp/6p1/1B1p2B1/3PP3/8/PP3PPP/RN1QK1NR b KQkq -,c8d7 b5d7 d8d7 e4e5 b8c6 b1c3 a8d8 h2h3 f7f6 e5f6,-13
8/8/8/8/8/3k4/7R/3K4 b - -,c8d7 b5d7 d8d7 e4e5 b8c6 b1c3 a8d8 h2h3 f7f6 e5f6,Mate
rn1qk1nr/pp1Bppbp/6p1/3p2B1/3PP3/8/PP3PPP/RN1QK1NR b KQkq -,d8d7 e4e5 b8c6 b1c3 f7f6 e5f6 e7f6 g5f4 g8e7 g1e2,-8
r1bqkbnr/p1p1pppp/1pnp4/8/2PP4/2N3P1/PP2PP1P/R1BQKBNR b KQkq -,g7g6 f1g2 c8d7 g1f3 g8f6 e1h1 f8g7 c1f4 d8c8 d1d2,98
r2qkb1r/ppp1pppp/2n2nb1/1B1p4/3P2P1/P3PN1P/1PP2P2/RNBQK2R b KQkq -,,0
r2q1rk1/pb3ppp/1pnbpn2/2ppN3/3P1P2/PP1BP3/1BP3PP/RN1Q1RK1 b - -,c6e7 e5g4 f6d7 b1d2 e7f5 d1f3 c5d4 e3d4 d7f6 g4f6,-18
r1bqk2r/pppp1ppp/5n2/2b1N1B1/2Bp4/8/PPP2PPP/RN1QK2R b KQkq -,d7d5 c4d3 h7h6 g5f6 d8f6 e1h1 c8e6 f2f4 e8a8 b1d2,200
5k2/5p2/2N4p/6pN/6P1/4K2n/8/8 b - -,f8e8 c6d4 e8d7 d4f5 d7e6 e3f3 e6e5 f5h6 f7f6 f3g2,832
8/4kp2/2K4p/p5pN/n1N3P1/7P/8/8 b - -,f7f6 c4a5 a4c3 a5b7 c3d1 b7c5 d1f2 c6d5 f2h3 d5e4,90
r1b2rk1/pp1n1pbp/5np1/q2p4/3BP3/1P3P1P/P2NB1PN/R2Q1RK1 b - -,a5b4 d4f2 d5e4 f3e4 d7e5 a2a3 b4d6 d1e1 c8e6 b3b4,-53
k7/1P6/P1K2n2/5p1p/5P1P/6P1/8/8 b - -,a8a7 c6d6 a7b8 d6e6 f6e8 e6f5 e8c7 f5g6 c7a6 g6h5,917
8/r7/8/P1Kp1pk1/6p1/P5P1/4R2P/8 b - -,d5d4 c5b6 d4d3 e2d2 a7e7 d2d3 e7e6 b6b7 e6e7 b7c6,438
4rbk1/ppq2npp/2p1rp2/3P4/2P3P1/1PN1R2P/PBQ2P2/4R2K b - -,f7g5 d5e6 f8c5 c3e4 c5e3 e1e3 g5e6 c4c5 e8e7 b2f6,545
4R3/8/1K2k1P1/1P6/8/8/8/1r2q3 b - -,e6d6 e8e1 b1e1 b6a6 e1a1 a6b6 a1g1 b6a7 g1g6 b5b6,-9605
4rbk1/ppq2npp/2p2p2/3P4/2P3P1/1PN1R2P/PBQ2P2/7K b - -,e8e3 f2e3 c7g3 c2g2 g3e3 d5c6 b7c6 c3e2 f8c5 b2c1,-138
r3qrk1/pp2nppp/2bbpn2/2ppN3/P2P1P2/2PBP2N/1P4PP/R1BQ1R1K b - -,f6e4 b2b3 f7f6 e5c6 e8c6 c3c4 a8d8 h3f2 c5d4 e3d4,-33
r1b1k2r/ppppnppp/1b6/8/2BPP3/1P3N2/5PPP/RN3RK1 b kq -,a7a6 b1c3 d7d6 b3b4 c8g4 f1d1 e8h8 c4e2 g4d7 g2g3,-140
r3qrk1/1p2nppp/p1bbpn2/2ppN3/P2P1P2/1PPBP2N/6PP/R1BQ1R1K b - -,b7b5 h3f2 f6e4 c1a3 e7f5 d1c1 b5a4 b3a4 f7f6 e5c6,-27
