8/8/2K5/8/2B3P1/8/4kp2/8 b - -,e2e3 c6d5 e3f4 c4e2 f4e3 e2f1 e3f4 f1c4 f4g4 d5e4,Mate
2r2rk1/p4p1p/4bp2/3B4/8/1P3P2/P1P3PP/2KR3R b - -,h7h5 h1e1 f8e8 h2h4 e8e7 c1b2 g8g7 c2c4 g7f8 d1d2,449
rn1qk2r/ppp2ppp/3p4/3Bpb2/4n3/2P2N2/P1PP1PPP/R1BQR1K1 b kq -,e4c3 d2c3 b8c6 a1b1 c6e7 d5c4 a8b8 f3h4 f5d7 f2f4,328
r1bq3r/p3pkbp/2p2np1/3p4/Q7/8/PPP1BPPP/RNB2RK1 b - -,c8d7 c2c4 h8f8 c4d5 c6d5 a4a6 f6e4 b1d2 d7f5 d2e4,-21
3r4/pp5p/5kp1/5p2/2P5/8/PP4PP/2K1R3 b - -,d8d4 b2b3 h7h5 c1c2 g6g5 c2c3 d4h4 h2h3 h4f4 e1e2,-64
4r2R/1p1q1k2/3p2p1/p1pP1p2/P1PB4/1PK5/8/8 b - -,g6g5 c1c2 a7a5 b2b3 f5f4 a2a3 d8d7 b3b4 g5g4 e1e8,Mate
q5k1/4pp1p/1BQ3p1/1P2b3/p3P3/5P1P/1P4K1/8 b - -,a8f8 b6e3 f8d8 c6c4 g8g7 f3f4 e5b2 b5b6 a4a3 b6b7,24
rnb1kb1r/1p3ppp/p3pn2/3pq3/3N2P1/2N1B3/PPPQBP1P/R3K2R b KQkq -,f6e4 c3e4 d5e4 e1a1 e5c7 f2f4 f8e7 h2h4 e8h8 h4h5,32
rn1q1br1/pb3k2/2p1pn2/1p2P1p1/2pP4/2N3B1/PP3PP1/R2QKB1R b KQ -,b8d7 d1f3 g5g4 f3f4 g8g6 e5f6 d7f6 e1a1 d8e7 d1e1,46
r1b2rk1/pp1n1ppp/8/8/1P1Np1nq/PB6/2PBNPP1/R2QR1K1 b - -,h4f2 g1h1 f2h4 h1g1 h4h2 g1f1 h2h1 e2g1 g4h2 f1f2,-425
5rk1/pp4bp/6p1/3qn3/4P3/P6P/1PP2PP1/R2Q1RK1 b - -,d5e4 f1e1 e4c6 c2c3 f8f5 d1c2 g7f8 b2b4 a7a5 e1e4,19
6k1/6pp/3n4/1n1p4/p1pP1PP1/PpP3N1/1B1K3P/8 b - -,h7h5 g4h5 g8f7 d2c1 f7e6 c1d2 e6f6 b2c1 f6f7 c1b2,-368
r2qk2r/pppnbppn/3p4/3P2P1/2PNN3/8/PP2B2P/R1BQ1RK1 b kq -,h7g5 e4g5 e7g5 d4e6 g5c1 e6d8 c1e3 g1h1 a8d8 e2h5,526
r3k3/ppp5/3b3p/n2Bp1p1/4P1b1/6B1/PPPRN1PP/5K2 b - -,a8b8 g3f2 e8e7 h2h3 g4e6 b2b3 e6d7 e2g3 b8f8 g3f5,31
r2q1rk1/1bp1bppp/p4n2/1p6/P1pP1N2/1PP1B3/3NQPPP/R4RK1 b - -,g7g5 f4h3 f6d5 b3c4 d5c3 e2d3 c3a4 c4b5 d8d5 d2f3,-54
8/pp5p/5kp1/5p2/2Pr4/1P6/P5PP/2K1R3 b - -,h7h5 c1c2 g6g5 c2c3 d4h4 h2h3 h4f4 e1e2 f4f1 c4c5,-72
4rr2/4bp2/pQ5k/2pp4/5p2/1P2P3/P1PP2PP/R5K1 b - -,h6g7 b6c7 e7f6 a1f1 e8e4 f1f4 f6e5 f4g4 e4g4 c7e5,420
8/2R4P/5k2/4pP2/KP2P3/7r/8/8 b - -,h3h5 a4b5 h5h2 b5c5 h2c2 c5b6 c2h2 b6b5 h2h5 b5c4,1076
r3k2r/pp2bppp/8/3q2P1/2p5/5b2/PP3P1P/R5K1 b kq -,h3h2 a4b5 h2h5 b5c4 f6g5 c4d5 h5h1 b4b5 h1d1 d5e6,Mate
6k1/6p1/5p2/2p5/P6P/2q2B2/6PK/8 b - -,g8f8 a4a5 c3a5 f3d5 f8e7 d5b3 a5b4 b3c2 e7d6 h2g1,-777
4k3/7p/6p1/5p2/8/2PP4/r4PPP/4K3 b - -,e8e7 g2g3 a2c2 e1d1 c2f2 h2h4 e7e6 d1c1 e6d5 c1d1,-601
r1b1kb1r/ppp2p1p/2n1pp2/8/3P1B2/3B1N2/PPPK1PPP/R6R b kq -,f8b4 c2c3 b4d6 f4d6 c7d6 b2b4 e6e5 a2a4 c8e6 a4a5,49
r1bq1rk1/ppp2ppp/n6B/3N4/2p1P3/3P2Q1/PbP1N1PP/R4RK1 b - -,f7f5 a1b1 g8f7 h6g5 b2f6 g5f6 g7f6 g3h4 d8d6 h4h7,383
r1b2rk1/1p1nppbp/p5p1/q1p5/3PP3/1QP2N2/P4PPP/R1B1RBK1 b - -,a5c7 a2a4 b7b6 h2h4 c8b7 h4h5 g6h5 a1b1 e7e6 b3d1,90
rnbqk2r/pp2bppp/2pp1n2/8/3PPp2/2NB1N1P/PPP3P1/R1BQK2R b KQkq -,f6h5 e1h1 b8d7 f1f2 g7g6 b2b4 a7a5 b4b5 e8h8 a2a4,-20
r1b1k2r/ppqpnpbp/2n3p1/2p1p3/4P3/P1PP1NP1/1P1N1PBP/R1BQ1RK1 b kq -,b7b6 b2b4 e8h8 a1b1 d7d6 a3a4 c5b4 c3b4 a7a6 b4b5,35
r2q1rk1/p4ppp/4bn2/3pQ1B1/2B5/2P2P2/P1P3PP/2KR3R b - -,d8c8 c4b3 f6d7 e5d4 h7h6 g5e3 d7b6 h1e1 b6c4 b3c4,62
r2r2k1/2q2p1p/p2b2p1/2pPp1N1/2R5/3Q4/PP3PPP/3R2K1 b - -,d6e7 h2h4 a8b8 b2b3 d8d7 g5e4 f7f5 d5d6 c7c6 d3c2,135
rnb1kb1r/p3pp1p/2pp1np1/q7/1P1PPB2/2N5/1PPQ1PPP/2KR1BNR b kq -,a5c7 e4e5 f6d5 e5d6 e7d6 c3d5 c6d5 f1b5 c8d7 d1e1,239
r1bq1rk1/ppp2ppp/n6B/3N4/2p1P3/2PP2Q1/P3N1PP/b4RK1 b - -,a1c3 e2c3 c8g4 g3g4 g7g6 d5f6 d8f6 f1f6 c4d3 f6f1,770
r1b2rk1/pp1n1ppp/8/8/1P1Np1n1/PB6/2PB2P1/R2QRKNq b - -,g4h2 f1f2 d7f6 d1b1 f8d8 b1b2 f6g4 f2e2 h1g2 e2d1,-446
4k3/8/3K4/8/8/3n1R2/8/8 b - -,d7f6 d2f4 g7g5 f4c7 f8e8 d4f3 h7h6 d1d4 e4e3 f3e5,Mate
1n6/p4B2/P7/5k1p/3K3P/6P1/8/8 b - -,,0
r1b1k2r/1pqpnpbp/2n3p1/p1p1p3/P3P3/2PP1NP1/1P1N1PBP/R1BQ1RK1 b kq -,a8b8 d2c4 d7d6 c4a3 c7d8 a3b5 e8h8 d3d4 e5d4 c1f4,53
r1bq1rk1/ppp2p1p/n5pB/3NQ3/2p1P3/2PP4/P3N1PP/b4RK1 b - -,a8b8 d2c4 d7d6 c4a3 c7d8 a3b5 e8h8 d3d4 e5d4 c1f4,Mate
1k1r3r/1p3ppp/1b6/BP2p3/Q1P1q3/3p4/P4PPP/1R1R2K1 b - -,b6f2 g1f2 e4d4 f2f1 d8d6 a5c7 b8c7 b5b6 d6b6 b1b6,-181
rr3k2/2Rnppb1/p2p3p/3P2pP/1p2P3/1P2BPP1/P2KB3/7R b - -,d7f6 g3g4 f6e8 c7c6 a6a5 d2d3 a5a4 e2d1 a4b3 d1b3,40
r1bq1rk1/pp1p1pp1/2n1pn1p/2p5/1bPP3B/1QN2N2/PP2PPPP/2KR1B1R b - -,c6d4 f3d4 c5d4 b3b4 d4c3 b2c3 a7a5 b4d6 a8a6 d6e5,-52
5qk1/4pp1p/QP4p1/8/4P3/p3BP1P/1b4K1/8 b - -,f8d8 b6b7 b2e5 a6a3 e5b8 a3c3 d8d6 e4e5 d6e5 c3e5,64
r1b4r/p3pkbp/2pq1np1/3p4/Q4B2/8/PPP1BPPP/RN3RK1 b - -,d6e6 b1c3 f6d7 a1e1 d7b6 a4a3 e6d7 c3a4 b6a4 a3a4,85
6k1/6p1/5p2/P7/2p4P/2q2B2/6PK/8 b - -,c3a5 f3d1 g8f8 h4h5 f8e7 h2h3 e7d6 h5h6 g7h6 g2g4,-1144
2k5/5p2/r5pp/P7/1K5P/R5P1/5P2/8 b - -,a6f6 f2f3 c8c7 a3c3 c7b7 b4c5 b7b8 f3f4 g6g5 f4g5,260
r1b2rk1/pp1n1ppp/8/8/1P1Np3/PB6/2PB1KPn/R2QR1Nq b - -,d7f6 d1b1 f8d8 b1b2 f6g4 f2e2 h1g2 e2d1 e4e3 d2c3,-439
4k3/p4pp1/5n2/1p2pP1r/1P2P1np/5N2/1P4PP/R6K b - -,f6e4 h1g1 e4d6 h2h3 g4f6 a1a6 d6f5 f3e5 f5d4 e5d3,-512
r3k2r/pp3ppp/8/3q2b1/2p5/5b2/PP3P1P/4R1K1 b kq -,f6e4 h1g1 e4d6 h2h3 g4f6 a1a6 d6f5 f3e5 f5d4 e5d3,Mate
1r3b1r/1p1k1ppp/p3p3/2pp3b/2PP4/2N1P2P/PP3PP1/R3KB1R b KQ -,c5d4 e3d4 d5c4 f1c4 f8b4 c4e2 h5g6 e1d2 d7e7 d2e3,-51
rqb4r/1p1nbk1p/p4pp1/5N2/1P3P2/P1N1P3/6PP/2RQ1RK1 b - -,g6f5 e3e4 h8g8 c3d5 e7d8 c1c3 b8d6 d1h5 f7g7 c3g3,-289
8/p2n1B2/P7/5k1p/7P/4K1P1/8/8 b - -,d7c5 f7h5 c5a6 g3g4 f5e5 g4g5 a6b4 h5g6 b4d5 e3f3,248
4r1k1/5pp1/p1n1rn2/1p1p1q2/2pP4/P1P1PP2/1B2R1QP/2R2N1K b - -,f6h5 c1e1 e6g6 f1g3 f5g5 e1g1 c6e7 g2f1 h5g3 g1g3,-237
8/7p/8/1P6/P2k4/5PKP/6P1/8 b - -,c6e7 f1g3 f5h7 c1f1 e7f5 g3f5 h7f5 e3e4 f5h7 e4e5,Mate
rB5r/pp1qbkpp/4b3/3p1p2/3P4/5PPN/PP2Q1BP/R3R1K1 b - -,a8b8 h3f4 e7b4 e2e6 d7e6 e1e6 g7g5 f4d5 f7e6 d5b4,480
r2q2k1/p5pr/2p1bnNp/n2P4/1Q6/2N5/PP3PPP/R1B2RK1 b - -,c6d5 f1e1 a5c6 b4c5 e6f7 c5c6 f7g6 c1e3 g6e8 c6c5,333
r1b4r/p4kbp/2pq1np1/3pp3/Q7/6B1/PPP1BPPP/RN3RK1 b - -,c8f5 b1d2 h8b8 a1d1 f7g8 f1e1 a7a5 d2c4 d6b4 a4b4,-13
r1b2rk1/3nppbp/p5p1/qpp5/P2PP3/1QP2N2/5PPP/R1B1RBK1 b - -,e7e6 c1f4 a5b6 a4b5 c8b7 a1b1 a6b5 f1b5 d7f6 b3c2,107
Qq4k1/1P2pp1p/6p1/8/4P3/4BP1P/pb4K1/8 b - -,,0
