r3r1k1/p2b1pbp/3q1np1/1p1p4/3B1Q2/2N2P2/PPP1N1PP/2KR3R b - -,d6a6 d4f6 a6f6 f4f6 g7f6 c3d5 f6g5 f3f4 e8e2 f4g5,60
rn2r1k1/3b4/1pp2bp1/p2p1p2/Pq1P1N2/4PN2/QP3PP1/1BRR2K1 b - -,g8g7 f4d3 b4e7 a2b3 e7d8 d3e5 a8a7 g2g3 c6c5 e5d7,118
8/8/8/2k5/6P1/1p1K4/8/8 b - -,g8g7 f4d3 b4e7 a2b3 e7d8 d3e5 a8a7 g2g3 c6c5 e5d7,Mate
r1r3k1/1p2p1bp/1Bp1q1p1/3nPp2/p1B2P1P/P7/1P1Q2P1/1K1R3R b - -,g7h6 g2g3 e6f7 h4h5 g6h5 b6c5 c8d8 c4e2 b7b6 c5f2,125
rn2R1k1/2p4p/8/1p1P1rp1/p2P1b2/P1P2P1Q/1P1N1KP1/q7 b - -,g7h6 g2g3 e6f7 h4h5 g6h5 b6c5 c8d8 c4e2 b7b6 c5f2,Mate
rn2r3/3b2k1/1pp2bp1/p2p1p2/Pq1P1N2/4P3/QP3PP1/1BRRN1K1 b - -,b8a6 b1d3 b4d6 d3a6 a8a6 f4d3 g6g5 e1f3 e8h8 f3e5,26
5n1k/6pr/6Pp/p3p2P/1pQ2P2/7B/1qP1Kb2/4R3 b - -,e5e4 g6h7 h8h7 e2f2 b4b3 c4b3 b2f6 e1e4 f6h4 f2f1,477
rn3r2/2p1R1kp/4Q3/1p1P2p1/p2P1b2/P1P2P2/1P1N1KP1/q7 b - -,e5e4 g6h7 h8h7 e2f2 b4b3 c4b3 b2f6 e1e4 f6h4 f2f1,Mate
5n1k/6pP/7p/p3p2P/1pQ2P2/7B/1qP1K3/4b3 b - -,e5e4 g6h7 h8h7 e2f2 b4b3 c4b3 b2f6 e1e4 f6h4 f2f1,Mate
r1b2rk1/p3ppbp/2np2p1/q2Q4/1p2PN2/4BP2/PPP3PP/1K1R1B1R b - -,a5d5 f4d5 a8b8 h2h4 h7h5 f1e2 c8d7 b2b3 f8c8 d1d2,38
rnb1kbnr/pp1p1ppp/4pq2/2P5/8/2N1P3/PPP2PPP/R1BQKBNR b KQkq -,f6e5 c3a4 g8f6 g1f3 e5c7 b2b3 f8c5 a4c5 c7c5 c1b2,88
rn5r/3b2k1/1pp2bp1/p2p1p2/Pq1P1N2/4P1P1/QP3P2/1BRRN1K1 b - -,b8a6 a2a3 b4a3 b2a3 g6g5 f4d3 c6c5 d4c5 d7a4 b1c2,-48
rn3r1k/2p1R2p/7Q/1p1P2p1/p2P1b2/P1P2P2/1P1N1KP1/q7 b - -,b8a6 a2a3 b4a3 b2a3 g6g5 f4d3 c6c5 d4c5 d7a4 b1c2,Mate
5n1k/5Qp1/7p/p3pB1P/1p3P2/8/1qP1K3/4b3 b - -,b8a6 a2a3 b4a3 b2a3 g6g5 f4d3 c6c5 d4c5 d7a4 b1c2,Mate
rnb1k1nr/pp1p1ppp/4pq2/2b5/8/2N1P3/PPPB1PPP/R2QKBNR b KQkq -,d7d5 f1d3 b8c6 g1f3 f6d8 e1h1 g8e7 e3e4 e8h8 e4d5,31
r6r/3b2k1/npp2bp1/p2p1p2/Pq1P1N2/3NP1P1/QP3P2/1BRR2K1 b - -,b4e7 a2b3 e7e4 f4g2 e4g4 b3b6 g4h3 g1f1 g6g5 f1e2,-184
