8/5k2/7K/8/8/7P/8/8 b - -,f7f8 h6g6 f8g8 h3h4 g8h8 g6f6 h8h7 f6e5 h7g6 e5f4,Mate
r1bqkb1r/pp1ppppp/2n5/2p1P3/6n1/N4N2/PPPPQPPP/R1B1KB1R b KQkq -,f7f6 a3c4 b7b5 h2h3 g4h6 c4e3 f6e5 e3g4 h6g4 h3g4,-38
r1b1k2r/p3ppbp/2pqn1p1/8/2P4Q/2N2N2/PP3PPP/R1B1R1K1 b kq -,e8h8 c1h6 f7f6 h6g7 e6g7 a1d1 d6b4 h2h3 c8f5 f3d4,106
r1bqk1nr/pppp1ppp/2n5/8/4Pp2/P1P2N2/2PP2PP/R1BQKB1R b KQkq -,g8f6 e4e5 f6e4 d2d4 d7d5 c1f4 e4c3 d1d2 c3e4 d2e3,-82
r2qkbnr/pp1npppp/2p5/3p4/5Pb1/1P2PN2/P1PPB1PP/RNBQK2R b KQkq -,g4f3 e2f3 e7e5 c2c4 e5f4 e1h1 d5c4 b3c4 f4e3 d2d4,-24
r1bq1k1r/pppp2pp/2n2n2/2b5/2B1P3/2N5/PPPP1PPP/R1BQ1RK1 b - -,d7d5 c3d5 c8g4 c4e2 g4e2 d1e2 f6d5 e2c4 c5e7 e4d5,-170
r1b2rk1/ppppnppp/5q2/2b1n3/3NP3/1BP1B3/PP3PPP/RN1Q1RK1 b - -,f6g6 d4f5 e7f5 e4f5 g6b6 e3c5 b6c5 b1d2 d7d5 f1e1,83
rnb1kbnr/ppqppppp/2p5/8/2P5/6P1/PP1PPPBP/RNBQK1NR b KQkq -,e7e6 d2d4 d7d5 g1f3 g8f6 e1h1 f8e7 d1c2 e8h8 b2b3,115
rnbqkb1r/2p2ppp/1p2pn2/3p4/3P1B2/2N5/PP2PPPP/R2QKBNR b KQkq -,f8b4 e2e3 e8h8 a2a4 f6e4 d1c2 b8c6 f1b5 b4c3 b2c3,-91
r1b1kb1r/ppp2Npp/2n5/3Pp3/7q/8/PPPP1PPP/RNBQK2R b KQkq -,c8g4 d1g4 h4g4 e1h1 c6d4 f7h8 d4c2 b1a3 c2a1 d5d6,-776
r1b1kb1r/ppp2Npp/2n5/3np3/4P2q/8/PPPP1PPP/RNBQ1RK1 b kq -,d5f4 g2g3 h4h3 g3f4 e8f7 f2f3 h3h5 f4e5 c8h3 g1h1,-723
rnbqk2r/pp2bppp/2pp1n2/8/2PQ4/2N2NP1/PP2PPBP/R1B1K2R b KQkq -,c8e6 c1f4 e8h8 a1d1 h7h6 e1h1 b8a6 e2e4 a6c5 b2b3,93
rnb1kb1r/p1pqpppp/5n2/8/2QP4/4PN2/1P3PPP/RNB1KB1R b KQkq -,b8c6 c4a4 c6b8 f1b5 c7c6 b5e2 e7e6 f3e5 d7b7 e2f3,295
rnbqkbnr/pp3p1p/2pp2p1/4p1N1/2B1P3/3P4/PPP2PPP/RNBQK2R b KQkq -,f7f5 g5f7 d8f6 f7h8 f6h8 f2f4 a7a5 a2a4 f5e4 d3e4,314
rnbqk2r/pp1pppbp/5np1/2p5/2PP3P/2N1P3/PP3PP1/R1BQKBNR b KQkq -,e7e6 h4h5 f6h5 g2g4 h5f6 g4g5 f6h5 f1e2 b8c6 d4d5,29
r2qkb1r/ppp1pppp/2n2n2/3p1b2/3P1B2/2N5/PPPQPPPP/2KR1BNR b kq -,e7e6 a2a3 a7a6 g1f3 f5g6 f3e5 c6e5 d4e5 f6d7 h2h4,-21
r1bqkbnr/ppp2ppp/2np4/8/3P1P2/5N2/PPP3PP/RNBQKB1R b KQkq -,a7a6 d4d5 c6e7 f1c4 g8f6 d1e2 c7c6 d5c6 b7c6 b1c3,52
rnbqkb1r/pp1p1ppp/2p1pn2/6B1/4P3/3P1N2/PPP2PPP/RN1QKB1R b KQkq -,d8b6 b1d2 d7d5 a1b1 b6a5 g5f6 g7f6 f1e2 f8h6 e1h1,72
rnbqkb1r/ppp2ppp/4pn2/6B1/3Pp3/2N5/PPP1NPPP/R2QKB1R b KQkq -,b8d7 c3e4 h7h6 e4f6 d7f6 g5e3 f6d5 d1d2 d5e3 d2e3,-43
r2qkb1r/pppb1ppp/2B5/3pp3/4n3/5N2/PPPPQPPP/RNB2RK1 b kq -,e4c5 f3e5 d8e7 c6d5 e8a8 d5f7 d7e6 f7e6 e7e6 b1c3,715
rn1qkb1r/ppp1pppp/5n2/3p1b2/8/2PP1N2/PP1NPPPP/R1BQKB1R b KQkq -,a7a5 d1c2 e7e6 f3h4 f5g4 h2h3 g4h5 g2g4 h5g6 e2e4,32
r1b1kb1r/ppp2ppp/2n5/3Pp1q1/8/8/PPPP1PPP/RNBQ1RK1 b kq -,c6d4 g1h1 g5g6 d2d3 f8e7 f1e1 f7f6 e1e4 e8h8 a2a4,-788
rnbqk1nr/pppppp1p/7b/6p1/2B1P3/5Q2/PPPP1PPP/RNB1K1NR b KQkq -,e7e6 b1c3 b8c6 d2d3 c6d4 f3d1 h6g7 g1f3 d4f3 d1f3,134
r1bqk1nr/pp1p1ppp/2nbp3/2p5/2B1P3/2PP1N2/PP3PPP/RNBQK2R b KQkq -,g8f6 d1e2 d6e7 e4e5 f6d5 d3d4 b7b6 e1h1 e8h8 f1d1,31
rn1qk1nr/pp1Bppbp/6p1/3p4/3P4/5N2/PPP2PPP/RNBQK2R b KQkq -,e8f8 d7a4 g7h6 f3e5 h6c1 d1c1 f8g7 e1h1 g8f6 c1f4,538
r1bq1rk1/ppp2ppp/2n2n2/2bpp3/8/2NP1NP1/PPP1PPBP/R1BQR1K1 b - -,e5e4 d3e4 f6e4 e2e3 e4c3 b2c3 f8e8 f3d4 c6e5 d4b3,-97
rnbqkb1r/1p3ppp/p2ppn2/8/2P1P3/2N2N2/PP3PPP/R1BQKB1R b KQkq -,h7h6 f1e2 f8e7 f3d4 b8c6 e1h1 e8h8 c1e3 d6d5 d4c6,75
rnbq1b1r/pppkpQpp/5n2/3p1P2/8/5N2/PPPP1PPP/RNB1KB1R b KQ -,d8e8 f3e5 d7d8 d2d4 c8f5 b1c3 c7c6 f1d3 f5d3 c2d3,87
rnbqkbnr/pppp1pp1/4p2p/8/3P4/5NP1/PPP1PP1P/RNBQKB1R b KQkq -,a7a5 f1g2 g8f6 e1h1 d7d5 c2c4 f8e7 b1c3 e8h8 f3e5,71
rnbqk2r/pp1pbpp1/4pn1p/2p5/3P3B/2P1P3/PP1N1PPP/R2QKBNR b KQkq -,d7d5 g1f3 d8b6 d1c2 c8d7 a2a4 e8h8 f1d3 f8c8 f3e5,28
8/p5pk/4Qb1p/K2p4/2qP4/8/P2R2PP/3R4 b - -,d7d5 g1f3 d8b6 d1c2 c8d7 a2a4 e8h8 f1d3 f8c8 f3e5,Mate
r1bqkb1r/ppp2ppp/2n1pn2/3p4/3P4/PP2P3/1BP2PPP/RN1QKBNR b KQkq -,f8d6 g1f3 e8h8 b1d2 f8e8 f3e5 c6e7 f1d3 c7c5 d4c5,57
rnbqkbnr/pp2pppp/3p4/8/2P5/8/PP2PPPP/RNBQKBNR b KQkq -,c8d7 e2e4 g7g6 g1f3 f8g7 f1d3 g8f6 e1h1 e8h8 b1c3,28
rnbq1rk1/p1p1bppp/1p2pn2/3P4/8/1P3NP1/PB1PPPBP/RN1QK2R b KQ -,d8e8 d5e6 c8e6 b1c3 b8a6 e1h1 a8d8 d2d4 c7c5 e2e3,235
r1bqkb1r/p1p2ppp/1pn2n2/3p4/3P4/2NBPN2/PP3PPP/R1BQK2R b KQkq -,a7a6 e1h1 f8e7 a2a3 e8h8 d1c2 c8b7 b2b4 c6b8 f3e5,86
rn1qkbnr/ppp2ppp/4p3/5b2/4NB2/3P4/PPP2PPP/R2QKBNR b KQkq -,g8f6 g1e2 f6d5 f4d2 b8c6 e2g3 f5g6 f1e2 f8e7 e1h1,-63
2rq1rk1/1p2bppp/p1npbn2/4p3/2P1P3/N1N1B3/PP2BPPP/2RQ1RK1 b - -,f6d7 a3c2 h7h6 d1d2 f7f5 e4f5 e6f5 c3d5 e7h4 b2b4,82
rnbqkbnr/pp3p1p/2pp4/6p1/3PPp1P/2N2N2/PPP3P1/R1BQKB1R b KQkq -,f8h6 h4g5 h6g5 f1e2 g5h6 h1h6 g8h6 c1f4 h6g4 d1d2,337
rnbqkbnr/1p3ppp/p7/2pp4/3P4/2NB1N2/PPP2PPP/R1BQK2R b KQkq -,c8e6 e1h1 g8f6 f1e1 f8e7 d4c5 b8c6 c3a4 e8h8 c2c3,142
8/8/4rk2/8/3Q1K2/8/8/8 b - -,f6f7 f4f5 e6h6 d4d7 f7g8 d7e8 g8g7 e8e7 g7g8 e7d7,Mate
rn1qkb1r/pp2pppp/2p2n2/5b2/2BP4/2N1P3/PP3PPP/R1BQK1NR b KQkq -,d8b6 g1f3 b8d7 e1h1 e7e6 d1e2 f6e4 c3e4 f5e4 f3g5,80
8/2k5/8/2NKB3/8/8/8/8 b - -,c7c8 d5c6 c8d8 c5e6 d8e7 e6f4 e7e8 e5f6 e8f7 f6g5,8038
rnbqk2r/pp2bppp/4pn2/2pp4/3P1P2/2PBPN2/PP1N2PP/R1BQK2R b KQkq -,a7a5 f3e5 b7b6 d3b5 c8d7 a2a4 e8h8 e1h1 d8c7 d1e2,26
1rbq1rk1/1pp1ppbp/p1np2p1/3N3n/2PP4/1P3NP1/PB2PPBP/R2Q1RK1 b - -,e7e5 d4e5 d6e5 e2e4 c8g4 d1d2 g4f3 g2f3 h5f6 f3g2,75
rn1qkbnr/pp3ppp/4p3/3pPb2/3P4/8/PP1B1PPP/RN1QKBNR b KQkq -,b8c6 f1b5 g8e7 d2c3 a7a6 b5d3 f7f6 e5f6 g7f6 g1f3,-73
rn2kb1r/ppp2ppp/4pn2/q7/3P2b1/P1N2N2/1PP1BPPP/R1BQK2R b KQkq -,f8d6 h2h3 g4f3 e2f3 c7c6 e1h1 b8d7 c3e2 e8h8 c2c4,59
r1bqkb1r/pp2pppp/2n2n2/2pP4/2B5/2P2N2/PP1P1PPP/RNBQK2R b KQkq -,c6d4 c3d4 c5d4 e1h1 g7g6 f3d4 f8g7 b1c3 e8h8 d4f3,492
r2q1rk1/ppp1bppp/3p1n2/4p3/2BnPP2/2NP3P/PPP3P1/R1BQ1RK1 b - -,d4e6 f4e5 d6e5 a2a4 c7c6 g1h1 e7d6 c1e3 d6c5 e3d2,102
r1bqkbnr/ppp2ppp/2n1p3/8/3P4/2N2N1P/PPP2PP1/R1BQKB1R b KQkq -,f8e7 c3e4 g8f6 f1d3 c6b4 e4f6 e7f6 d3e4 c7c5 d4c5,98
rnb1qr1k/pp1p2pp/2pQ1pn1/4P1B1/2B5/2P2N2/PPP3PP/4RRK1 b - -,f6g5 f3g5 b8a6 c4d3 g6f4 e5e6 d7e6 f1f4 c8d7 f4h4,Mate
r1bqk2r/p2pbppp/2p2n2/2p1N3/4P3/2N5/PPPP1PPP/R1BQ1RK1 b kq -,e8h8 h2h3 d8c7 e5f3 d7d5 d2d3 h7h6 b2b3 c8e6 f1e1,95
rnb1kbnr/ppp2ppp/6q1/4p3/2PP4/2N2B2/PP3P1P/R1BQK1NR b KQkq -,e5d4 d1d4 b8c6 d4e3 g6e6 c3b5 f8b4 e1f1 b4a5 b2b4,-112
rn1qk2r/pbpp1ppp/1p2pn2/4P3/3P4/2B2N2/PPP2PPP/R2QKB1R b KQkq -,f6h5 c3d2 f7f6 f1d3 g7g6 d1e2 e8h8 d3e4 b8c6 g2g4,250
rn1qk2r/pbppb1pp/1p2pn2/5p2/3P1P2/3BPN2/PPPN2PP/R1BQ1RK1 b kq -,c7c5 c2c4 c5d4 e3d4 e8h8 a2a3 d8c7 g2g3 b6b5 c4b5,-34
r1bqkbnr/pp1n1pp1/2pp3p/4P3/2B1P3/5N2/PPP2PPP/RNBQK2R b KQkq -,d7e5 f3e5 d8a5 b1d2 a5e5 e1h1 g8f6 f1e1 f8e7 d2f3,104
rnbqkb1r/ppp1pppp/3p4/4P3/3Pn3/2N5/PPP2PPP/R1BQKBNR b KQkq -,d6e5 c3e4 e5d4 g1f3 b8c6 f1b5 d8d5 e4c3 d5e6 c3e2,351
r1bqk2r/pp2bppp/2nppn2/2p1P3/2B5/2P2N2/PP1P1PPP/RNBQR1K1 b kq -,d6e5 f3e5 c6e5 e1e5 c8d7 e5e1 d7c6 d2d3 b7b5 c4b3,-88
r1bqkbnr/p1p2ppp/2pp4/8/4PP2/8/PPP3PP/RNBQKB1R b KQkq -,g8f6 b1c3 g7g6 f1d3 a8b8 b2b3 f8g7 c1d2 c8g4 d1c1,70
rn1qkbnr/ppp1pppp/8/8/3pP3/5P2/PPPPNP1P/R1BQKB1R b KQkq -,d8d7 f1g2 d4d3 c2d3 b8c6 e1h1 e8a8 d3d4 c6d4 d2d3,55
rnbqk2r/pp2ppbp/5np1/2p1N3/2B2P2/2N5/PPPP2PP/R1BQK2R b KQkq -,b8c6 c4f7 e8f8 f7b3 c5c4 b3c4 d8d4 d2d3 c6e5 f4e5,234
r2qkbnr/ppp2pp1/2n1p2p/3p1b2/3P1B2/2PBPN2/PP3PPP/RN1QK2R b KQkq -,g7g5 f4e5 c6e5 f3e5 f8g7 d3f5 e6f5 d1b3 g8e7 e5d3,49
8/8/4k3/2K3Q1/8/8/8/1b6 b - -,g7g5 f4e5 c6e5 f3e5 f8g7 d3f5 e6f5 d1b3 g8e7 e5d3,Mate
r3kb1r/1b3ppp/pqNp1B2/1pn5/4BP2/5Q2/PPP3PP/2KRR3 b kq -,b6c7 e4d5 c5e6 d5e6 f7e6 f3h5 g7g6 h5d5 f8h6 e1e6,1109
rn1qk2r/pbppbppp/1p3n2/3P4/4P3/P1N5/1P3PPP/R1BQKBNR b KQkq -,h7h5 f1c4 b6b5 c4b5 c7c6 b5e2 c6d5 e4d5 e8h8 g1f3,196
rn1qkb1r/pQ3ppp/2p1pn2/3p1b2/2PP4/2N1P3/PP3PPP/R1B1KBNR b KQkq -,b8d7 c4c5 a8c8 b7a7 f8e7 g1f3 f6e4 c3e4 d5e4 f3d2,172
rnbqkbnr/ppp2ppp/4p3/8/3PpB2/8/PPPN1PPP/R2QKBNR b KQkq -,g8f6 g1e2 b8d7 a2a3 f8d6 f4g5 d6e7 g2g3 c7c5 d4c5,-91
r2qkbnr/ppp2ppp/2n1p3/5b2/2BP1B2/2N2N2/PPP2PPP/R2QK2R b KQkq -,c6b4 e1h1 g8f6 a2a3 b4d5 c3d5 e6d5 c4d3 f5e6 f3g5,122
8/2rk4/1Q6/1K6/8/8/8/8 b - -,c6b4 e1h1 g8f6 a2a3 b4d5 c3d5 e6d5 c4d3 f5e6 f3g5,Mate
