rn2kbnr/pbpp1ppp/1p2pq2/6B1/2PP4/2N2N2/PP2PPPP/R2QKB1R b KQkq -,f8b4 g5f6 b4c3 b2c3 g8f6 e2e3 e8h8 f3d2 f6e4 f2f3,732
rnbqk1nr/pppp1ppp/8/2b1p1P1/2B1P3/5Q2/PPPP1P1P/RNB1K1NR b KQkq -,f7f5 f3f5 d7d5 f5e5 d8e7 e5d5 b8c6 c2c3 c6e5 d2d4,187
r1bqk2r/pppp1ppp/2n2n2/4p3/1bP1PP2/2NP4/PP4PP/R1BQKBNR b KQkq -,d7d6 f1e2 a7a6 f4e5 d6e5 c1e3 b7b6 g1f3 e8h8 a2a3,-51
r4k1r/ppp1n2p/2n2N2/4p1N1/1q1b2Q1/B7/P4PPP/R3R1K1 b - -,h7h6 g5e6 f8f7 a3b4 a8g8 f6g8 h8g8 g4h3 d4a1 e6c7,1415
rnbqkb1r/pp1ppp1p/5p2/8/3P4/8/PP2PPPP/RN1QKBNR b KQkq -,d8b6 d1d2 d7d5 b1c3 e7e6 e2e3 c8d7 g1f3 b8c6 f1e2,49
r1bqkb1r/pp1p1ppp/2n1pn2/2p1P3/2P2P2/2N5/PP1P2PP/R1BQKBNR b KQkq -,b7b6 e5f6 c8b7 g1f3 d8f6 d2d3 e8a8 f1e2 f6g6 e1h1,454
rnbqkbnr/pp1pp1pp/2p5/5p2/3P4/5NP1/PPP1PP1P/RNBQKB1R b KQkq -,g7g6 f1g2 d7d6 e1h1 f8g7 c2c4 g8f6 b1c3 e8h8 d1c2,96
rnbqkbnr/pp3pp1/3p3p/2p1p3/2BPP3/2N2N2/PPP2PPP/R1BQK2R b KQkq -,b8c6 d4e5 a7a6 c1f4 g7g5 f4g3 g5g4 f3h4 f8e7 h4f5,462
rn1qkbnr/ppp3p1/3p3p/4pb2/2B5/2NP1N2/PPP2PPP/R1BQK2R b KQkq -,c7c6 e1h1 b8d7 f1e1 d8f6 c3e4 f6e7 e4g3 f5e6 c4e6,127
r1bqkbnr/pp1p1pp1/2p4p/8/2BQP3/2N5/PPP2PPP/R1B1K2R b KQkq -,a7a5 a2a4 d8c7 e1h1 c7d6 d4e3 d6e5 e3f3 g8f6 c1f4,286
r1bqkb1r/ppp2ppp/2n5/1B1np2Q/8/3P4/PPP2PPP/RNB1K1NR b KQkq -,f8b4 c1d2 e8h8 g1e2 d5f6 h5h4 b4e7 e1h1 f6g4 h4h3,-129
8/8/1k1pK3/3P4/8/8/8/8 b - -,d5b4 h5e5 c8e6 b5c6 b4c6 e5e4 f8b4 b1c3 c6d4 e1d1,Mate
8/1k6/3pK3/3P4/8/8/8/8 b - -,d5b4 h5e5 c8e6 b5c6 b4c6 e5e4 f8b4 b1c3 c6d4 e1d1,Mate
r1bq1rk1/pppnppbp/3p1np1/8/3PPB2/2N5/PPPQ1PPP/2KR1BNR b - -,c7c5 d4c5 d7c5 f2f3 c8e6 a2a3 b7b5 g1e2 d8b6 e2d4,-110
r2qk2r/ppp1bppp/2n1pn2/3p1b2/2PP1B2/P1N1PN2/1P3PPP/R2QKB1R b KQkq -,h7h6 c4c5 e8h8 f1e2 f6e4 c3e4 d5e4 f3d2 e7f6 d2c4,88
r1bqk1nr/pppp1ppp/8/2b1p3/3nP3/2N1BN2/PPP2PPP/R2QKB1R b KQkq -,d4f3 d1f3 c5e3 f3e3 d7d6 e3g3 g7g6 f2f4 e5f4 g3f4,-89
rnbqkb1r/pp1ppp1p/5np1/8/3P1B2/5N2/PP2PPPP/RN1QKB1R b KQkq -,d8a5 b1c3 f8g7 a2a3 f6d5 f4d2 d5c3 d2c3 a5d8 e2e4,60
r1bqk2r/ppp2ppp/2n2n2/3Pp1N1/1bB5/8/PPPP1PPP/RNBQ1RK1 b kq -,b7b5 c4b5 d8d5 c2c4 d5d6 d2d4 e8h8 a2a3 c6d4 a3b4,266
rn1qkbnr/ppp2ppp/4p3/3p1b2/3P1B2/P6P/1PP1PPP1/RN1QKBNR b KQkq -,c7c5 d4c5 f8c5 e2e3 g8f6 g1f3 e8h8 b1d2 b8c6 f1d3,-44
r1bqkb1r/p1p2ppp/2Np1n2/8/4P3/8/PPPP1PPP/RNBQK2R b KQkq -,f8e7 c6d8 e7d8 f2f3 e8h8 e1h1 c7c6 d2d4 d6d5 e4e5,966
