r1bqkb1r/ppp3pp/2np1p2/3Bp3/4P3/3P1N2/PPP2PPP/R1BQK2R b KQkq -,h7h5 d3d4 g7g5 c1e3 d8e7 c2c3 c8d7 b2b4 e7h7 e1h1,108
rnbq1rk1/pppp1pbp/4pnp1/8/2PP4/P1N1PN2/1P3PPP/R1BQKB1R b KQ -,a7a6 e3e4 d7d6 f1e2 b8c6 e1h1 f8e8 h2h3 e6e5 d4e5,45
1Q5k/8/8/8/8/4K3/8/8 b - -,a7a6 e3e4 d7d6 f1e2 b8c6 e1h1 f8e8 h2h3 e6e5 d4e5,Mate
r1bqk2r/ppp1ppbp/2np1np1/8/4PP2/2NP1N1P/PPP3P1/R1BQKB1R b KQkq -,b7b6 g2g4 e7e6 d1e2 c8b7 e2f2 d8e7 c1d2 e6e5 f4f5,57
rn1qkb1r/pp2pppp/2p2n2/8/2pP2N1/2N5/PP2PPPP/R1BQKB1R b KQkq -,e7e6 g4f6 d8f6 g2g3 b8d7 f1g2 f8b4 e1h1 d7b6 e2e3,881
r1b1kbnr/p1qp1ppp/2p5/2p1p3/4P3/2PP1N2/PP3PPP/RNBQ1RK1 b kq -,f7f6 d3d4 a8b8 b2b3 c5d4 c3d4 g8e7 d4e5 f6e5 f3h4,112
r5k1/ppp2ppp/3p1q2/8/4BB2/P1n2Q1b/2P2PPP/2KR3R b - -,h3g2 e4h7 g8h7 f3g2 f6f4 c1b2 c3d1 h1d1 f4e5 b2a2,-594
r1bqkb1r/pp2nppp/2n1p3/2ppP3/3P4/2P2N2/PPB2PPP/RNBQK2R b KQkq -,c5d4 c3d4 e7f5 b1c3 f5h4 f3h4 d8h4 c1e3 c8d7 e1h1,106
8/8/8/3K2k1/1Q6/8/4B3/8 b - -,c5d4 c3d4 e7f5 b1c3 f5h4 f3h4 d8h4 c1e3 c8d7 e1h1,Mate
rnbqk1nr/pp1pppbp/2p3p1/8/4P3/2NP4/PPP1NPPP/R1BQKB1R b KQkq -,d7d5 d3d4 d5e4 c3e4 b8d7 e2g3 g8f6 c2c3 e8h8 f1e2,-18
r4rk1/1bq1bppp/p2ppn2/1p6/3BPP2/P1N3Q1/1PP1B1PP/4RRK1 b - -,a8e8 g1h1 e8d8 e1d1 f6e8 g3e3 d8c8 h2h3 e8f6 e3g3,45
r4rk1/1pq1bpp1/p2p1n2/N2Ppb1p/1PP5/4BP2/P2QB1PP/R4RK1 b - -,f8e8 f1d1 e5e4 f3f4 f5g4 h2h3 g4e2 d2e2 c7d7 a2a4,141
rnbqk1nr/ppp1bppp/3p4/1B2p3/4P3/5N1P/PPPP1PP1/RNBQK2R b KQkq -,c8d7 b5d7 d8d7 e1h1 c7c5 c2c3 g8f6 f1e1 b8c6 d2d4,25
rn1qkb1r/p4ppp/b1p1pn2/8/P1pP4/1p2PN2/1P2BPPP/RNBQK2R b KQkq -,c6c5 e1h1 b8c6 b1a3 c5d4 a3c4 d8d5 c4d6 f8d6 e2a6,-60
rn1qkb1r/p3pppp/b1p2n2/8/P1pP4/1p2PN2/1P3PPP/RNBQKB1R b KQkq -,e7e6 f1e2 f8b4 c1d2 c6c5 f3e5 b4d2 b1d2 c5d4 e3d4,-21
rn1qk2r/pp2ppbp/1n4p1/2pPP3/2P2Bb1/2N2N2/PP4PP/R2QKB1R b KQkq -,d8c8 d1e2 e8h8 e2e3 b8d7 e1a1 e7e6 d5d6 f7f6 e5f6,163
rn1q1rk1/pp3ppp/3b4/3p4/3P4/2PQ1N2/P4PPP/R1B1R1K1 b - -,h7h6 a1b1 d8c7 d3b5 b8d7 b5b7 d7f6 b7c7 d6c7 c1e3,84
8/8/5k2/3K4/8/5B2/4N3/8 b - -,f6f5 d5d6 f5f6 f3c6 f6g7 d6e6 g7h6 c6a8 h6g6 a8h1,15265
rnbqkbnr/pppp1ppp/8/8/4P3/P7/1B3PPP/RN1QKBNR b KQkq -,d7d6 f1c4 g8f6 d1b3 d8e7 g1f3 e7e4 e1f1 d6d5 c4b5,-223
