6k1/8/6K1/6pp/8/1R3P2/7P/6r1 b - -,g8f8 g6h5 f8f7 b3b7 f7f6 b7b6 f6f7 h5h6 g1g2 b6b8,Mate
4rrk1/pp1q3p/2npb1p1/2p2p2/2P2P2/2NPR1P1/PP4BP/R2Q3K b - -,e6f7 e3e8 f8e8 d1d2 c6d4 a1e1 e8e1 d2e1 b7b5 c4b5,-15
r1b2rk1/p2nqppp/1pNbpn2/2pp4/2PP4/1P1BP3/PB1N1PPP/R2Q1RK1 b - -,c5d4 c6e7 d6e7 e3d4 c8b7 f1e1 a8c8 e1e3 d5c4 b3c4,634
r2q1rk1/ppp2ppp/2nb1n2/1B1pNb2/3P1P2/P3P3/1P4PP/RNBQ1RK1 b - -,c6e7 b5e2 c7c5 g2g4 f5b1 a1b1 f6e4 e2f3 a8c8 g1h1,-50
8/8/1p6/6p1/4k1P1/P5Kp/4N1b1/8 b - -,e4d3 e2c1 d3c4 a3a4 g2f1 g3h2 c4b4 h2g1 f1g2 a4a5,-853
rn1qkb1r/1p2pppp/p1p1bn2/3pN3/2PP4/2N3P1/PP2PPBP/R1BQK2R b KQkq -,d5c4 e2e4 b8d7 f2f4 g7g6 d1e2 f8g7 e1h1 e8h8 h2h3,78
1k2K3/8/2rQ4/8/8/8/8/8 b - -,d5c4 e2e4 b8d7 f2f4 g7g6 d1e2 f8g7 e1h1 e8h8 h2h3,Mate
8/3bk3/6p1/1ppBKpPp/4P3/1P3PP1/8/8 b - -,d7e8 e4f5 g6f5 e5f5 e7d6 d5e4 e8f7 e4c2 c5c4 b3c4,439
1r4k1/Q4ppp/n3pn2/3p4/3P4/1N2PN2/5PPP/5RK1 b - -,g8h8 a7a6 b8f8 b3c5 h7h6 a6b7 f6h7 b7e7 f8a8 e7f7,1102
5k2/8/8/6pK/8/1R3P2/7P/6r1 b - -,,0
8/8/7Q/1p3k1p/4q1pP/2K5/8/8 b - -,e4e5 c3c2 f5e4 h6g6 e5f5 g6d6 e4f3 c2b3 g4g3 d6d1,-1219
5r1k/2r2bpp/p2p4/8/2P1Q3/1P2NB1P/P2q1PP1/R5K1 b - -,c7c8 e3f5 d2c3 e4d4 c3d4 f5d4 c8c5 a1e1 f8e8 e1d1,53
4R3/pb6/1p3pp1/5k1p/2P5/4QP1q/PP3P2/6K1 b - -,b7c6 e3e6 f5g5 f3f4 g5f4 e6h3 c6e8 h3e3 f4f5 e3e8,1084
r2qk2r/1b1nppb1/p2p1np1/1p6/3NP2p/P1N1BP1P/1PPQB1P1/2K3RR b kq -,d7b6 g1d1 a8c8 h1f1 f6h5 f1e1 e8h8 c1b1 f8e8 e3g5,-34
r1b2rk1/ppp2ppp/3p1qn1/n5B1/2BPP3/5N1P/PP3PP1/R2Q1RK1 b - -,f8e8 g5f6 a5c4 a1c1 d6d5 e4d5 c4b6 f6e5 b6d5 f1e1,588
2r3k1/p4p1p/2q1p1pb/3p4/3P4/2P2P2/PQR3PP/4R1K1 b - -,c6c4 g1f2 c4d3 g2g3 h6g5 f3f4 g5f6 c2c1 d3c4 b2e2,79
rnbqkb1r/pp2nppp/4p3/2P1P3/2B2B2/8/PP3PPP/RN1QK1NR b KQkq -,d8d1 e1d1 e7g6 f4g3 f8c5 b1c3 b8c6 g1f3 e8h8 h2h4,-45
r1b1qrk1/p2n1ppp/1pNbpn2/2pp4/2PPP3/1P1B4/PB1N1PPP/R2Q1RK1 b - -,d5e4 d2e4 d6c7 f1e1 f6e4 d3e4 c8b7 e4f3 d7f6 d4d5,143
8/8/8/4p3/3rk3/8/5p2/1RK5 b - -,d5e4 d2e4 d6c7 f1e1 f6e4 d3e4 c8b7 e4f3 d7f6 d4d5,Mate
r1b2rk1/p1qp1pp1/2p5/1p3N1Q/8/8/P1PN1PPP/b4RK1 b - -,a1f6 d2e4 c7e5 e4d6 g7g6 f5h6 g8h7 h5e5 f6e5 h6f7,-557
2r5/5pk1/p3p1p1/1p5p/P2R1P2/1Pr3P1/1KPR3P/8 b - -,,0
r5kr/ppp3pp/8/3qp3/3P4/P1P5/PB3PbP/Q2R2K1 b - -,g7f6 a4a5 f6f5 d4d7 f7f6 d7f7 c8c6 f7a7 c3c5 a7g7,Mate
5bk1/ppp4p/4p1p1/2q1n3/6N1/6K1/PPP1Q3/8 b - -,c5g1 g3h3 g1g4 e2g4 e5g4 h3g4 g8g7 g4g3 g7f6 a2a3,-857
8/p3b2p/4p3/1p1k2P1/1P1p4/P2P1KB1/6PP/8 b - -,a7a6 f3g4 e6e5 g4f5 a6a5 b4a5 e5e4 d3e4 d5c6 e4e5,477
2b1r3/p4pk1/5p1p/4q3/2B2RP1/1P5P/3Q1P1K/8 b - -,,0
r4rk1/p2bb1p1/1p2p3/3pPp1p/1P1N1P1P/2PB4/P5P1/1K4RR b - -,a7a5 a2a3 a5b4 a3b4 a8a4 d3c2 a4a7 b1b2 f8a8 c2b3,8
