6k1/8/6K1/6pp/8/1R3P2/7P/6r1 b - -,g8f8 g6h5 f8f7 b3b7 f7f6 b7b6 f6f7 h5h6 g1g2 b6b8,Mate
rn1q1rk1/pp2bp2/2p2n1Q/3p2N1/8/2NB4/PPP2PPP/2KR4 b - -,g8f6 f1b5 c7c6 e5c6 d8d5 b1c3 d5g2 c6b8 c8d7 b8d7,Mate
r2qk1nr/ppp2ppp/2n1p3/1B2P3/1b6/1QN1B2P/PP3PP1/R3K2R b KQkq -,,0
r1b2rk1/1pp2ppp/p4n2/b1p1q3/4PP2/P1NPB3/1PP1B1PP/1R1Q1RK1 b - -,a5c3 f4e5 c3e5 e3c5 f8d8 e2f3 c8e6 g1h1 d8d7 c5g1,577
r1b1qrk1/pp2p1bp/n1pp1np1/3P1p2/2P1P3/2N2NP1/PP3PBP/R1BQR1K1 b - -,f6e4 c3e4 f5e4 e1e4 a6c5 e4e1 c8g4 c1g5 e7e6 a1c1,34
rnb1k2r/ppp3pp/6N1/2bQ4/8/8/PPPP1PPP/R1B1K2R b KQ -,h8f8 g6f8 c5d6 f8h7 b8c6 d5g8 e8d7 g8g7 c6e7 d2d3,1089
8/pNp1n1kp/6p1/4p3/1bB5/8/PPbp1PPP/5RK1 b - -,d2d1q f1d1 c2d1 b7d8 d1g4 a2a3 b4d6 d8f7 e5e4 f7g5,-506
4r3/1pp5/5k2/p2p2N1/6PP/P7/1PP2P2/5K2 b - -,e8h8 g5f3 c7c5 f1e2 h8e8 e2d3 b7b5 h4h5 a5a4 h5h6,-95
6k1/1b1n2bp/2qN2p1/2P1p3/4p3/4B2P/Q3BPP1/6K1 b - -,e8h8 g5f3 c7c5 f1e2 h8e8 e2d3 b7b5 h4h5 a5a4 h5h6,Mate
8/8/6k1/1Pn4p/2P2P1K/8/8/8 b - -,,0
2k5/7p/4n1b1/8/1N4P1/Pp2BP2/1P1K4/8 b - -,h7h5 g4h5 g6h5 f3f4 e6g7 d2c3 g7f5 e3c5 h5d1 a3a4,435
r1b1k2r/pp4pp/1qn2pn1/2b1p3/2BPP3/1Q4B1/PP2NPPP/RN2K2R b KQkq -,c5b4 e1f1 c6a5 b3d3 c8d7 a2a3 b4e7 c4d5 b6b2 a1a2,-77
2r1r1k1/pp4pp/1q2Nn2/3p1P2/3P4/2P1p3/PP4QP/2R2R1K b - -,e8e6 f5e6 b6e6 c1e1 c8e8 f1f3 e8e7 h1g1 a7a6 g2g3,172
rnbqkb1r/pp3ppp/2p1pn2/3P4/2P5/2N5/PP1PQPPP/R1B1KBNR b KQkq -,c6d5 c4d5 f6d5 g1f3 f8e7 g2g3 b7b6 c3d5 d8d5 e2b5,-32
1r2k1r1/pbpppp1p/1bn2P2/8/Q6N/B1PB3q/P4PPP/3RR1K1 b - -,g8g4 e1e4 c6e5 e4g4 h3g4 a4g4 e5g4 d1d2 g4f6 d2e2,-209
2kr4/ppp2pp1/8/3b4/6p1/2PK1B2/PP1P1q1r/R1BQ3R b - -,g8g4 e1e4 c6e5 e4g4 h3g4 a4g4 e5g4 d1d2 g4f6 d2e2,Mate
r2q1rk1/1bp1npbP/p2p1n1B/8/3PP3/2pB1N2/PPPQ2P1/2KR3R b - -,f6h7 b2c3 g7f6 e4e5 e7g6 e5f6 h7f6 h6f8 d8f8 d1e1,454
r1b1qrk1/pp2p1bp/n1pp1np1/3P4/2P1N3/5NP1/PP3PBP/R1BQR1K1 b - -,f6e4 e1e4 a6c5 e4e3 e8f7 d1e1 f7f6 e3e7 c8g4 c1g5,36
r1b2rk1/1p2qpbp/p2p1np1/4p3/1P2PP2/2B5/P1BPN1PP/R3QR1K b - -,f8e8 a2a4 c8d7 d2d3 a8c8 c2b3 e5f4 f1f4 d6d5 c3f6,-25
r1bqk1nr/1p3ppp/p1n1p3/2ppP1b1/N2P3P/5N2/PPP2PP1/R2QKB1R b KQkq -,g5e7 a4c5 d8a5 c2c3 c6d4 f3d4 a5c5 d1g4 e7f8 h4h5,-425
2k4r/p1pnn1pp/1p3p2/8/1P1Pq3/8/PP4PP/R2Q1RK1 b - -,e7c6 d4d5 c6b4 d5d6 b4d3 d1f3 h8e8 f3e4 e8e4 f1f3,-367
rn1qkbnr/pp2pp1p/2p3p1/5b2/3PNB2/3B4/PPP2PPP/R2QK1NR b KQkq -,d8d4 g1f3 d4d8 f3g5 f5e4 g5e4 b8d7 d1f3 g8f6 e1a1,-13
2r3k1/pp4pp/1q2Pn2/3p4/3P4/2P1p3/PP4QP/2R2R1K b - -,f6e4 e6e7 b6e6 c1e1 e6e7 e1e3 g7g6 g2g4 c8e8 h1g1,256
8/1kppr1Rp/p5p1/1p6/8/1PB5/1PP2PPP/5K2 b - -,b5b4 g7e7 b4c3 b2c3 b7c8 e7h7 c7c6 h2h4 a6a5 h4h5,685
N1bk1b1r/pp1n2pp/8/2P3p1/1n2p3/1N2P3/PqPQ1PPP/R3KB1R b KQ -,g7g6 d2b4 f8g7 b4e4 g7c3 e1e2 d7f6 a1d1 c8d7 d1d7,313
2kr3r/1ppq1pp1/p1npb2p/2bN4/2BpP3/2PQ1N2/PP3PPP/R4RK1 b - -,c6e5 f3e5 d6e5 b2b4 c5a7 c3d4 a7d4 a1c1 c8b8 d3g3,-199
rnbqk2r/pppp1ppp/4pn2/8/1bB1P3/2N2Q2/PPPP1PPP/R1B1K1NR b KQkq -,b8c6 a2a3 b4c5 d2d3 c6d4 f3d1 d7d5 c4a2 d5e4 d3e4,-29
8/3n4/6k1/1P3P1p/2P4K/8/8/8 b - -,,0
5n2/2R5/4pk1p/r4p2/P4PpN/1K4P1/6P1/8 b - -,e6e5 c7c6 f8e6 h4g6 a5a8 g6e5 f6e7 b3a3 e6d4 c6b6,175
8/8/1p6/1k5K/2p5/8/6N1/8 b - -,b5a4 h5g4 a4b3 g4f4 b6b5 f4e3 c4c3 g2e1 b3c4 e3f3,-17
rn1qk1nr/pp2ppbp/2p3p1/5b2/3PNB2/3B1N2/PPP2PPP/R2QK2R b KQkq -,f5e4 d3e4 g8f6 d1e2 e8h8 e1h1 f6e4 e2e4 b8d7 c2c3,23
r2qk2r/pp2ppbp/2np1np1/8/2P1P1b1/2NQ1N2/PP2BPPP/R1B2RK1 b kq -,a8c8 a1b1 d8a5 b2b3 g4f3 e2f3 f6d7 c1d2 d7c5 d3c2,16
2kr4/ppp2pp1/8/8/4K1p1/1bP2B2/PP1P1q1r/R1BQ3R b - -,a8c8 a1b1 d8a5 b2b3 g4f3 e2f3 f6d7 c1d2 d7c5 d3c2,Mate
2kr1b1r/ppp1pppp/1qn2n2/1N6/P2P2b1/5N2/1PPBBPPP/R2QK2R b KQ -,g4f3 e2f3 c6d4 b5d4 b6d4 d1e2 e7e5 d2e3 d4d7 e2c4,-29
rnb1kb1r/1pp2ppp/p3pn2/q1P5/3P4/2N5/PP1B1PPP/R2QKBNR b KQkq -,c7c6 c3d5 a5d8 d5b6 a8a7 d2a5 f8e7 f1d3 e8h8 g1f3,190
7k/2p3pp/1pB2q2/2n1N3/8/P5P1/1P3P1P/3R2K1 b - -,g7g6 d1e1 c5b3 c6g2 h8g7 h2h4 c7c5 g2d5 b3d4 e5d3,-40
r3k2r/p2b1p2/p1p2q1p/4N1p1/3P4/P3P3/1P3PPP/2RQ1RK1 b kq -,a8b8 b2b4 f6e6 c1c5 e8h8 d1c2 d7e8 e5c6 e8c6 c5c6,457
r2q1rk1/1bp1npbn/p2p3B/8/3PP3/2PB1N2/P1PQ2P1/2KR3R b - -,g7f6 e4e5 e7g6 e5f6 h7f6 h6f8 d8f8 d1e1 a8e8 e1e8,458
3rr1k1/1p2ppbp/p5p1/q2bPn2/1RpP1BP1/2P2N1P/3Q1P1N/4R1K1 b - -,f5d4 f3d4 b7b5 f4h6 d5a8 h6g7 g8g7 g4g5 a5b6 e5e6,202
R5rk/2pp2pp/n7/8/8/8/PPP2PPP/4RB1K b - -,g8a8 f1a6 g7g6 a6c4 h8g7 a2a3 g7f8 g2g3 a8e8 e1f1,640
8/3r4/1B3R1P/4p3/4k1p1/5pK1/5P2/8 b - -,e4d3 b6e3 d3e2 g3g4 d7d1 h6h7 d1d8 g4h5 e2d3 f6f3,714
4r3/1kpR3p/p5p1/1p6/8/1PB5/1PP2PPP/5K2 b - -,b7b6 d7h7 e8e6 b3b4 b6b7 h7d7 e6c6 d7d1 c6e6 d1e1,621
r1bq1rk1/p3ppbp/1p4p1/n1pB4/3PP3/2P1B3/P3NPPP/2RQ1RK1 b - -,c8a6 d5a8 d8a8 f2f3 a5c4 e3f4 c5d4 c3d4 c4b2 d1d2,94
r1bqnrk1/pp1np1bp/3p1pp1/3NPP2/3p3Q/3B1N2/PPP3PP/R1B2RK1 b - -,g6f5 d3f5 h7h6 e5e6 d7e5 c1h6 f8f7 h6d2 g7h6 d2h6,880
rnbq1k1r/ppp3pp/8/2bBN2Q/8/8/PPPP1PPP/R1B1K2R b KQ -,d8e8 h5f3 f8e7 d2d4 c5b4 c2c3 h8f8 f3g3 b8d7 e1h1,655
4r3/1pp1k3/8/p2p2N1/5P1P/P7/1PP3P1/6K1 b - -,e8f8 g2g3 f8f6 g5f3 e7f7 f3e5 f7g8 b2b3 a5a4 b3a4,-16
r4r2/1p1nppkp/2q3p1/3n4/8/1B1N4/PPP1QPPP/R4RK1 b - -,f8e8 f1d1 d7f6 d3e5 c6c5 c2c3 d5f4 e2e3 c5e3 f2e3,150
r2k1b1r/ppp3pp/2n5/3Bpb2/4n3/5N2/PPP2PPP/RNB2RK1 b - -,c6d4 f3d4 e5d4 f1d1 f8c5 b2b4 c5b6 d5b7 a8b8 b7c6,108
r2qk1nr/ppp2ppp/2n1p3/1B2P3/8/2Q1B2P/PP3PP1/R3K2R b KQkq -,,0
r4rk1/p1pPb1pp/1p1p4/n3pp2/2P5/2P3P1/P3PPBP/R1B2RK1 b - -,a8d8 e2e4 f5f4 g2h3 g7g5 f1d1 g8f7 a1b1 f7g6 c4c5,-102
r6k/2pp2pp/B7/8/8/8/PPP2PPP/4R2K b - -,g7g6 a6c4 c7c6 b2b4 h8g7 h2h4 a8f8 c4d3 f8a8 g2g3,621
r1b2rk1/pp2pqbp/2pp2p1/2nP4/2P5/4RNP1/PP3PBP/R1B1Q1K1 b - -,f7f6 d5c6 b7c6 e3e7 c5d3 e1e3 d3c1 a1c1 g7h6 e3h6,39
8/1k5p/2p5/2r2P2/6K1/6PP/1p6/1R6 b - -,c5c1 b1b2 b7c7 g4g5 c1c3 b2g2 c7d6 g5f6 d6d5 f6g7,469
4r1k1/pp4pp/4qn2/3p4/3P4/2P1p3/PP2R1QP/5R1K b - -,e8e7 f1f3 e6e4 e2e3 e4e3 f3e3 e7e3 g2d2 e3e6 d2d3,156
rnbqkb1r/pp3ppp/4p3/1Q1n4/8/2N5/PP1P1PPP/R1B1KBNR b KQkq -,b8c6 g1f3 a7a6 b5b3 d5f6 d2d4 b7b5 c1e3 c8b7 f1d3,-74
r3kbnr/ppp1pp1p/2nq2p1/3p1b2/3P4/2NBPN2/PPP2PPP/R1BQ1RK1 b kq -,g8f6 b2b3 e7e6 c1b2 f8g7 a2a4 f5d3 d1d3 d6d7 f3e5,49
5k2/3r1ppp/2p1p3/Nb6/1n5P/1P2P1P1/5PB1/2R3K1 b - -,d7a7 a5c4 b4d3 c1d1 b5c4 b3c4 d3e5 c4c5 a7a5 d1c1,-9
r1bqk1nr/1p2bppp/p1n1p3/2PpP3/N6P/5N2/PPP2PP1/R2QKB1R b KQkq -,c8d7 f1e2 d8a5 c2c3 a8d8 e1h1 a5c7 f1e1 c6e5 f3e5,-463
b5k1/3n2bp/3p2p1/1N2pp2/2P5/4BB1P/3Q1PPK/1q6 b - -,h7h5 f3a8 f5f4 e3a7 g8h7 b5d6 b1a1 d6b5 d7f6 a8f3,301
3R1b2/1p3pk1/8/7r/5n1B/1N3KP1/P7/8 b - -,f8b4 f3f4 h5h6 b3d4 h6a6 d4f5 g7h7 f4g5 b4c3 d8d7,368
8/7p/8/pPK2p2/P4Pp1/6P1/7k/8 b - -,h7h5 c5d6 h5h4 g3h4 g4g3 b5b6 g3g2 b6b7 h2h3 b7b8q,7
2kr3r/1ppq1pp1/p2pb2p/2bNN3/2BpP3/2PQ4/PP3PPP/R4RK1 b - -,d6e5 a1c1 c8b8 c3d4 c5d4 d3b3 c7c6 d5e3 h8f8 a2a4,-204
4rbk1/5pp1/4qn2/p2pp2p/P7/1PN1P1PP/5P1K/B1RQ4 b - -,h5h4 g3g4 d5d4 e3d4 e5e4 h2g2 e4e3 d1f3 e3f2 c1f1,-142
4rrk1/pp1q3p/6p1/4bp2/8/P1PpQP1P/1P1N2P1/R2R2K1 b - -,e5h2 g1h2 e8e3 h2h1 d7d5 d1g1 f8d8 a1d1 g8h8 c3c4,-693
8/7k/1b6/p2r2BK/1P5P/P4R2/8/8 b - -,d5d7 b4b5 a5a4 f3f4 b6d4 f4e4 d7d5 h5g4 h7g8 g5f4,456
8/1k5p/2p2P2/8/6K1/6PP/1pr5/1R6 b - -,b7a6 g4f3 c2d2 g3g4 c6c5 f3e3 d2d8 b1b2 c5c4 e3e4,459
8/3n4/7k/1PP2P1p/7K/8/8/8 b - -,,0
7k/R6b/2p3r1/2p5/2P5/p4PN1/P5PK/8 b - -,g6h6 h2g1 h6h4 a7a3 h4c4 a3a6 h7g8 a6c6 c4c1 g1h2,245
r1b1kb1r/pp3ppp/2n2n2/2Pp2B1/3Np3/1N2P3/PqP2PPP/R2QKB1R b KQkq -,f8c5 f1b5 b2c3 e1f1 c5b6 g5f6 g7f6 d4c6 b7c6 d1d5,-72
r4rk1/1p1bqpbp/p2p1np1/4p3/1P2PP2/2BP4/P1B1N1PP/R3QR1K b - -,a8c8 c2b3 d7e6 b3e6 f7e6 f4e5 f6g4 e1g3 g4e5 a2a4,-18
rnb1kb1r/1p3ppp/p1p1pn2/q1PN4/3P4/8/PP1B1PPP/R2QKBNR b KQkq -,a5d8 d5b6 a8a7 d2a5 f8e7 f1d3 e8h8 g1f3 d8e8 b6c4,182
r3kb1r/pp3ppp/4p3/3pP3/3n1B2/1P6/P2N1PPP/R3R1K1 b kq -,d4c2 f4e3 f8b4 e1c1 c2a1 c1a1 e8h8 d2f3 f8c8 g2g3,-456
8/7p/2r4k/1N3pR1/5P2/6P1/2n4P/6K1 b - -,,0
rn3rk1/ppq2pbp/2p1pnp1/3p4/1PPP4/5NP1/PB2PPBP/2RQ1RK1 b - -,a7a6 d1b3 b8d7 a2a4 f8c8 f3d2 a8b8 e2e3 g7f8 c1c2,56
r1b2k1r/pp2bppp/4p3/3pP3/6Q1/Pq2BN2/1P3PPP/R4RK1 b - -,c8d7 f1c1 e7d8 a3a4 h7h6 g4d4 d8b6 d4f4 b6e3 f2e3,34
b5k1/3n2bp/3Q2p1/1N3p2/2P1p3/4BB1P/5PPK/1q6 b - -,g7e5 d6e5 d7e5 f3h5 g6h5 b5a3 b1f1 a3c2 g8f7 e3d4,-632
r2qkb1r/ppp2ppp/2n2n2/3p4/4p1b1/PP2P3/1BPPNPPP/RN1QKB1R b KQkq -,f8d6 h2h3 g4f5 b1c3 e8h8 c3b5 d6e5 b5d4 c6e7 d1b1,-80
8/pNp1n1kp/6p1/4p3/1b6/8/PPb1BPPP/3q1RK1 b - -,d5d4 h2h3 g4e2 d1e2 f8c5 g2g3 e8h8 f1g2 a7a6 b3b4,Mate
8/1k3P1p/2p5/8/6K1/6PP/1p3r2/1R6 b - -,,0
4r3/1kpR4/p5p1/Bp5p/8/1P6/1PP2PPP/5K2 b - -,g6g5 d7c7 b7b8 c7d7 e8e6 a5c3 g5g4 b3b4 e6h6 d7d5,641
r2q1rk1/pp2pnbp/3p2p1/2pP4/2P2P2/2NQ3P/PP4P1/R1B2RK1 b - -,a7a6 a2a4 d8d7 c1d2 d7f5 d3f5 g6f5 a1e1 a8e8 a4a5,97
rn3rk1/ppq1ppbp/2p2np1/3p4/2PP2b1/1P3NP1/PB1NPPBP/2RQ1RK1 b - -,c7d6 f3e5 g4e6 e2e3 a7a5 f2f4 a5a4 g3g4 a4b3 f4f5,107
r2k1b1r/ppp3pp/8/4N3/1n2b3/8/PPP2PPP/RNB2RK1 b - -,e4f5 b1c3 d8c8 c1f4 f8c5 g2g4 f5e6 c3e4 c5d4 e4g5,99
rnbqkb1r/1p3ppp/pNp1pn2/2P5/3P4/8/PP1B1PPP/R2QKBNR b KQkq -,a8a7 d2a5 f8e7 f1d3 e8h8 g1f3 b8d7 e1h1 d8e8 b6c4,187
5k2/r4ppp/2p1p3/1b6/1nN4P/1P2P1P1/5PB1/2R3K1 b - -,b4d3 c1d1 b5c4 b3c4 d3e5 c4c5 a7a5 d1c1 a5a6 g2f1,-25
8/2R5/8/6K1/P1pk2P1/r7/8/8 b - -,,0
2qrr1k1/3n1pbp/p2Q2p1/1pp5/4P3/4BP2/PP2B1PP/1R1R2K1 b - -,g7e5 d6d2 d7f8 d2c2 f8e6 e2f1 c5c4 c2f2 d8d1 b1d1,-97
2R5/8/1p6/p7/1k6/3p4/3K4/6B1 b - -,c5c4 e3g5 d7f6 d6a3 h7h6 g5e3 f6d7 g1f1 d7f8 e3b6,Mate
rn1q1rk1/pb3ppp/1p1bpn2/2pp4/3P4/2PBPNB1/PP1N1PPP/RQ2K2R b KQ -,g7g6 g3d6 d8d6 f3e5 b8c6 f2f4 c6e7 e1h1 f6e8 b1e1,-13
5k2/r4ppp/2p1p3/1b6/2N4P/1P1nP1P1/5PB1/3R2K1 b - -,b5c4 b3c4 d3e5 c4c5 a7a5 d1c1 a5a6 g2f1 a6a3 f1g2,-10
4R2k/3n1R2/8/2p5/4p1q1/1P4P1/r4PKP/8 b - -,g4g8 e8g8 h8g8 f7d7 e4e3 d7e7 a2f2 g2g1 f2f3 e7e5,290
8/8/5P1k/1Pn4p/7K/8/8/8 b - -,,0
8/5K2/2k2BpB/1pP3Pb/pP3B1P/P7/5B2/8 b - -,h5e2 f7g6 e2d3 g6f7 c6d5 g5g6 d5c4 f2g3 c4b3 g6g7,1367
2r5/1kp3R1/p5p1/Bp5p/8/1P6/1PP2PPP/5K2 b - -,b7c6 g7g6 c6d7 g6a6 c7c5 a5d2 c8e8 d2e3 e8e5 a6a1,659
r1b2rk1/pp2pq1p/2pp1bp1/2nP4/2P5/4RNP1/PP1B1PBP/R3Q1K1 b - -,c6d5 c4d5 c8g4 d2c3 f6c3 e1c3 g4f3 g2f3 c5d7 a1f1,70
r1bqk2r/ppp2ppp/2n2n2/3P2N1/1b2p3/2NP2P1/PP2PP1P/R1BQKB1R b KQkq -,c6d4 d3e4 d4b5 d1a4 b4c3 b2c3 c8d7 a4c2 d8e7 c3c4,478
rnbqk2r/ppp2ppp/4pn2/3P4/1bB5/2N2Q2/PPPP1PPP/R1B1K1NR b KQkq -,,0
r1b2k1r/pp2bppp/4p3/3pP3/Q7/P3BN2/1q3PPP/R4RK1 b - -,b2e2 f1c1 e2a6 a4f4 a6a5 e3c5 e7c5 f3g5 a5c7 c1c5,38
2kr3r/1ppq1pp1/p3b2p/2bNp3/2BpP3/P1PQ4/1P3PPP/R4RK1 b - -,c7c6 d5b4 d4c3 d3c3 d7d4 c4e6 f7e6 c3c2 h8f8 g2g3,-256
4rrk1/Qpbq3p/6p1/5p2/4p3/P1Pp1P1P/1P1N2P1/R2R2K1 b - -,d7c6 d2c4 c6c4 a7d4 c4c6 d1d3 e4d3 d4d3 c6b6 d3d4,-680
2rr2k1/p4ppp/5n2/4p1q1/3P4/P4P2/1P1RN1PP/3Q1R1K b - -,f6d5 f1g1 d5e3 d1e1 g7g6 d4e5 d8d2 e1d2 c8c2 d2d3,-4
4r1k1/pp4pp/4q3/3p4/3P2n1/2P1p3/PP2R1QP/6RK b - -,h7h5 h2h3 e6a6 g2d5 g8f8 d5g2 a6h6 g2f3 f8g8 f3d5,413
1k1r3r/ppp5/2n4p/8/8/P1PB4/1P2QPqP/1K1R3R b - -,d8d6 e2e3 h8d8 d1g1 g2d5 d3c2 d8f8 g1d1 d5g2 f2f4,65
7R/8/5pk1/2N5/4K1n1/r6p/P7/8 b - -,h3h2 h8h2 f6f5 e4f4 g4h2 c5d7 a3f3 f4e5 h2g4 e5d4,-1002
r1b1k2r/ppp1nppp/6q1/2bpn3/3NP3/1BP1B3/PPQ2PPP/RN3RK1 b kq -,e5g4 e3f4 c5d6 f4d6 g6d6 d4f3 d5e4 c2e4 e8h8 f1d1,29
rnbq1rk1/pp1pnpp1/2p1p2p/8/PbBPP3/2N5/1PPBNPPP/R2QK2R b KQ -,a7a5 e1h1 d7d5 c4d3 b7b6 e4d5 e6d5 e2g3 b8a6 c3e2,11
2r2rk1/1p1bqpbp/p2p1np1/4p3/1P2PP2/1BBP4/P3N1PP/R3QR1K b - -,d7e6 b3e6 f7e6 f4e5 f6g4 e1g3 g4e5 a2a4 f8f7 a1b1,-20
8/6p1/6kp/5R2/5PK1/2r3B1/6P1/8 b - -,,0
6k1/4R3/8/2p5/8/1P2p1P1/r4PKP/8 b - -,a2f2 g2g1 f2f3 e7e5 e3e2 e5e2 f3b3 e2c2 b3b5 g1g2,282
r1bq1rk1/3nb2p/p1p1p3/3p3Q/3P1p2/2NB2B1/PPR2PPP/5RK1 b - -,f8f5 d3f5 e6f5 g3f4 d7f8 c3e2 f8g6 c2c6 d8e8 c6c7,497
8/3n1P2/7k/1P5p/7K/8/8/8 b - -,,0
8/8/1P6/p1K2p1p/P4Pp1/6P1/7k/8 b - -,h5h4 g3h4 g4g3 b6b7 g3g2 c5d6 g2g1q b7b8q g1d1 d6e7,4
rnbqrbk1/pp3ppp/2p2n2/3p4/3P4/P1N1PPP1/1P2N1BP/R1BQ1RK1 b - -,b8d7 e2f4 d7b6 a3a4 a7a5 d1d3 c6c5 b2b3 c8d7 d4c5,-19
r2qk2r/ppp1nppp/2n1p3/1B2P1B1/8/2Q4P/PP3PP1/R3K2R b KQkq -,d8d5 b5c6 d5c6 c3c6 e7c6 f2f4 h7h6 g5h4 c6e7 h4e7,-164
2qr1rk1/pp3pb1/3Ppnpp/8/P1N2B2/1PNQ2PP/5PK1/3R4 b - -,f6d7 c3b5 c8c6 f2f3 a7a6 c4a5 c6c8 b5c7 g6g5 f4e3,-80
5k2/r4ppp/2p1p3/4n3/2P2P1P/4P1P1/6B1/3R2K1 b - -,e5c4 g2c6 c4e3 d1d3 a7a1 g1h2 e3g4 h2g2 a1a2 g2f1,-56
r4rk1/ppp1q1pp/3p1nn1/3Pp1N1/2P5/4Q1PP/PP3PB1/R4RK1 b - -,h7h6 g5e6 f8e8 f2f4 e5f4 g3f4 e7f7 a1e1 e8e7 e3f2,98
rnbqkb1r/pp2pp1p/1n4p1/2P5/2P5/2N2N2/PP3PPP/R1BQKB1R b KQkq -,b8c6 d1d8 e8d8 c5b6 a7b6 c1e3 c8g4 c3d5 f8g7 e1a1,500
r3k2r/pp1n1pp1/2pbp1p1/8/3P3q/2P1PQN1/PP3KPP/R4B1R b kq -,e6e5 f1e2 f7f5 f2g1 e8a8 g3f1 h4e7 g2g3 c8b8 f1d2,-240
r1q1kb1r/pp1npppp/8/1B1pNb2/3P1B2/8/PPP2PPP/R2QK2R b KQkq -,g7g6 c2c4 f8g7 c4d5 e8h8 b5d7 f5d7 a1c1 c8d8 e1h1,97
2r5/1kp5/p7/Bp4Rp/8/1P6/1PP2PPP/5K2 b - -,b5b4 g5h5 c7c5 g2g4 b7c6 g4g5 c8g8 h5h6 c6d5 h2h4,678
r1b2rk1/pp2pq1p/3p1bp1/2nP4/8/4RNP1/PP1B1PBP/R3Q1K1 b - -,c8g4 d2c3 f6c3 e1c3 g4f3 g2f3 c5d7 a1f1 a8c8 c3b3,67
rn3rk1/ppq2pbp/2p1pnp1/8/1PRP4/5NP1/PB2PPBP/3Q1RK1 b - -,f8d8 d1c2 b7b5 c4c5 a7a5 f3e5 f6d5 e5c6 b8c6 c5c6,74
r1bqk1nr/1p3ppp/p1n1p3/2bpP3/NP5P/5N2/P1P2PP1/R2QKB1R b KQkq -,c5b4 c2c3 b4a5 f1d3 b7b5 a4c5 c6e5 f3e5 a5c3 e1f1,-555
8/3n1P2/1P4k1/7p/7K/8/8/8 b - -,,0
4rrk1/Qpbq3p/6p1/5p2/8/P1PppP1P/1P4P1/RN1R2K1 b - -,g6f7 h4h5 d7b6 h5g5 f7e7 g5f5 e7d6 f5e4 b6c4 e4f3,Mate
rnbqk2r/ppp2ppp/5n2/3B4/1b6/2N2Q2/PPPP1PPP/R1B1K1NR b KQkq -,f6d5 c3d5 b4d6 b2b3 d6e5 d2d4 c8e6 d4e5 d8d5 f3d5,69
rnbq1rk1/ppp1ppbp/5np1/8/8/1P2NN2/PB1PPPPP/R2QKB1R b KQ -,f6g4 b2g7 g4e3 f2e3 g8g7 d1c2 d8d6 g2g3 f7f6 f1g2,-25
r1b1k2r/ppp1nppp/6q1/2b1n3/3Np3/1BP1B3/PPQN1PPP/R4RK1 b kq -,c5d4 c3d4 e5f3 g1h1 f3d2 e3d2 c7c6 d2b4 c8e6 b4e7,45
r4r2/1p1n1pkp/2q1p1p1/3n4/8/1B1N4/PPP1QPPP/3R1RK1 b - -,d5f6 d3e5 d7e5 e2e5 f8d8 c2c3 c6b6 e5f4 h7h5 h2h3,137
2rr2k1/p4ppp/8/3np1q1/3P4/P4P2/1P1RN1PP/3Q2RK b - -,,0
4r3/1pp2k1Q/1pq3p1/8/3Pr3/2P3RP/PP4P1/6K1 b - -,f7e6 g3g6 e6d5 g6c6 e4e1 g1h2 d5c6 h3h4 b6b5 h7g6,Mate
2r2rk1/1p2qpbp/p2pBnp1/4p3/1P2PP2/2BP4/P3N1PP/R3QR1K b - -,c8c3 e6f7 e7f7 e1c3 e5f4 f1f4 f7e6 a1f1 e6a2 f4f2,316
r1q1kb1r/1p1Bpppp/p7/3pNb2/3P1B2/8/PPP2PPP/R2QK2R b KQkq -,c8d7 e5d7 f5d7 c2c3 h7h5 h2h4 f7f6 d1b3 e8a8 b3d5,577
r1bq2k1/1p2n1bp/p3p1p1/3pn1B1/8/1QNBRP2/PP3P1P/R5K1 b - -,e5f7 g5e7 d8e7 b3d5 g7h6 a1e1 h6e3 e1e3 a8b8 f3f4,22
4rbk1/5pp1/4qn2/p2pp3/P5Pp/1PN1P2P/5P1K/B1RQ4 b - -,d5d4 e3d4 e5e4 h2g2 e4e3 d1f3 e3f2 c1f1 e6b3 g4g5,-183
2r5/1kp5/p7/Bp6/6Rp/1P6/1PP2PPP/5K2 b - -,c8h8 g4g7 b7c6 g7c7 c6d6 c7a7 d6c5 h2h3 h8b8 a7h7,679
rn1qkb1r/ppp2ppp/2b1p3/8/3Pp2P/2P1P3/PPQN2P1/2KR1BNR b kq -,,0
1nbb3k/r4Bpp/p4n2/8/8/B1P2N2/P4PPP/R3R1K1 b - -,a7f7 f3e5 f7a7 a3c5 a7b7 a1b1 d8c7 c5d6 c7d6 b1b7,182
8/3n1k2/1P6/7K/8/8/8/8 b - -,,0
2kr1b1r/ppp1pppp/1qn2n2/1N6/P2P4/5B2/1PPB1PPP/R2QK2R b KQ -,c6d4 b5d4 b6d4 d1e2 e7e6 d2c3 f8b4 f3b7 c8b7 e2b5,-19
r5k1/p4pb1/1p2pBp1/4P3/1q6/5B2/P1n2PP1/3Q1K1R b - -,a8c8 f3b7 b4c4 f1g1 c2d4 g2g3 g7f6 b7c8 f6e5 c8b7,-79
8/8/1p6/1k6/2p3KN/8/8/8 b - -,,0
3rr1k1/Q3ppbp/3p1np1/7q/2p5/2N1B1PP/PP2PPB1/R4RK1 b - -,d6d5 f1d1 d8a8 a7d4 a8d8 d4c5 d8c8 c5b4 e7e6 b4a4,409
