8/1K6/P2k4/8/8/4p3/8/8 b - -,c4d5 g5h7 d5e6 c2b3 e6f7 h7g5 f7f6 g5h3 f6f5 b3a3,Mate
8/8/4N2p/6p1/2k3P1/p7/2K4P/8 b - -,a3a2 c2b2 a2a1q b2a1 c4c3 a1a2 c3d3 e6d8 d3c4 d8f7,720
8/8/6P1/8/P7/2K1pk2/8/8 b - -,a3a2 c2b2 a2a1q b2a1 c4c3 a1a2 c3d3 e6d8 d3c4 d8f7,Mate
4k3/1r6/5PKp/p7/1p2R2P/8/1P6/8 b - -,e8d8 f6f7 b7f7 g6f7 d8c7 e4e8 c7b7 b2b3 a5a4 b3a4,9605
5b2/5k2/r1n5/2p1pp1r/P1Kp4/1P2P3/5P2/RR2B1N1 b - -,a6a8 a4a5 e5e4 g1e2 c6e5 c4b5 a8b8 b5a4 e5d3 e2f4,-146
r2q1rk1/p3bppp/bnp1pn2/2N5/2pPP3/6P1/P1QN1PBP/R1BR2K1 b - -,a6b5 d2f3 e7c5 d4c5 b6d7 a2a4 b5a6 f3e5 d8c7 e5c4,87
8/p7/1P3p1p/P4Pk1/2pp4/8/2P1K3/8 b - -,a7b6 a5b6 h6h5 b6b7 h5h4 b7b8q g5f5 b8b5 f5g4 b5c4,799
r1bqn1rk/4b2p/pn1p1p2/1p1PpNp1/1P2P1P1/4Q2P/PB1N1PB1/2R1R1K1 b - -,e7f8 c1c2 c8d7 e1c1 h7h5 g2f3 a6a5 b4a5 a8a5 f3e2,177
r1bq1rk1/ppp1ppbp/2np1np1/7P/3PPB2/2NB4/PPP2PP1/R2QK1NR b KQ -,c6d4 h5g6 f7g6 d1d2 e7e5 f4e3 c7c6 f2f3 b7b5 a2a4,-83
k7/P4p2/6p1/2r4p/3K3P/R4PP1/8/8 b - -,c5b5 d4e3 g6g5 h4g5 b5g5 e3f4 g5b5 a3a6 b5b1 a6f6,414
7k/3R4/4n2r/4P1p1/Pb2N2p/4B3/1PP1K1P1/8 b - -,b4a5 e4g5 h6g6 g5e6 g6e6 e2d3 e6g6 d7d4 h8g7 d4h4,616
8/6p1/1r6/1Pk5/3RK1P1/8/6P1/8 b - -,b6f6 g4g5 f6f2 d4d5 c5b4 b5b6 f2f7 e4e5 f7b7 d5d6,539
8/2p3kp/p1n2p2/1pP1p1n1/7N/P1B1PP1P/2P1K1P1/8 b - -,g5e6 c3b4 a6a5 b4d2 e6c5 h4f5 g7g6 e3e4 a5a4 f5e3,-1
r1q2rk1/pp2bppp/2p1pn2/4N3/PP1P1B2/2PQ4/5PPP/R4RK1 b - -,f8d8 a4a5 f6d5 f4g3 e7d6 d3f3 d6e5 g3e5 d5e7 h2h4,35
r2q1rk1/ppp2ppp/3p1n2/2b5/2P1P1b1/2NQ1N2/PPP2PPP/R1B2RK1 b - -,f6d7 b2b3 f8e8 h2h3 g4h5 f3d4 d7e5 d3d2 c5d4 d2d4,78
r3r1k1/pb3p1Q/1pn1pb1p/8/3q1N2/2NB4/PP3PPP/R4RK1 b - -,g8f8 f4h5 f8e7 h7h6 e8h8 h6f6 d4f6 h5f6 e7f6 d3e4,143
8/p6R/2k3pn/1p1N4/n7/8/PPb3PP/5RK1 b - -,c2e4 d5e7 c6d6 e7c8 d6d5 h7h6 a4b2 c8e7 d5c5 e7g6,725
r2qkb1r/p1pb1ppp/1pn1pn2/3p4/3P1BP1/2NBPQ2/PPP2P1P/R3K1NR b KQkq -,c6b4 g1e2 b4d3 c2d3 a8c8 h2h4 c7c5 g4g5 f6g8 a1c1,23
7k/pp3p1p/2pb1P2/5q1r/2PPB2Q/6rP/PP4P1/R6K b - -,f5a5 b2b4 h5h4 b4a5 h4e4 d4d5 g3e3 g2g3 e3g3 a1g1,-904
8/8/8/8/1k3P1p/8/5K2/6n1 b - -,,0
8/6p1/3B1pkp/4n3/1P1R4/1q5P/6PK/3R4 b - -,,0
r3n1k1/p4ppp/4p3/3p4/3P1B2/1NrbP3/Pq1Q1PPP/R3K2R b KQ -,c3b3 a1d1 b2d2 e1d2 b3a3 d1a1 d3c4 f2f3 a3d3 d2c2,-470
5r2/3n3p/R1kp2p1/1pp1p3/5Pn1/8/1PPB2PP/5RK1 b - -,c6d5 f1d1 d5e6 d2c1 e6e7 h2h3 g4f6 a6d6 e5e4 g2g4,453
3N4/8/7p/3k2p1/6P1/p7/2K4P/8 b - -,d5d6 d8f7 d6c7 c2b3 c7b7 b3a3 b7c6 f7h6 c6c5 a3b3,837
r1q1b1r1/p3R1pk/1p3RNp/3p1P1Q/3p4/2P3P1/PP5P/6K1 b - -,d5d6 d8f7 d6c7 c2b3 c7b7 b3a3 b7c6 f7h6 c6c5 a3b3,Mate
Q7/1K6/3k4/8/8/8/8/4q3 b - -,d5d6 d8f7 d6c7 c2b3 c7b7 b3a3 b7c6 f7h6 c6c5 a3b3,Mate
8/6p1/4k3/1P4r1/2Kp1RP1/8/6P1/8 b - -,g5g6 f4d4 e6e7 c4c5 g6g5 c5c6 g5g6 c6c7 g6g5 d4e4,918
3r1rk1/1Pp2ppp/3bpn2/1P2q3/8/2N2Q1P/1PPB2P1/R1K1R3 b - -,e5c5 d2e3 c5e5 e1d1 f6d7 c1b1 h7h6 a1a6 d7c5 a6a7,337
8/3R2p1/1r6/1k6/4K1P1/8/6P1/8 b - -,b5c6 d7g7 b6b5 g4g5 c6d6 e4f4 d6e6 f4g4 b5b2 g7a7,592
8/6pk/3B3p/1P1R1p2/7n/4q2P/3R2P1/7K b - -,h4g6 d6c5 e3e1 c5g1 g6f4 d5d7 f4h5 d2d3 h5f4 d3e3,15
2r2rk1/1p2bpp1/p3p2p/7P/2n1N1P1/2B2P2/PPP5/2KR3R b - -,f7f5 g4f5 e6f5 d1d7 f8f7 e4d2 e7g5 d7d4 g5e3 d4d3,-68
8/2N1k3/1p2n1p1/p3Bp1p/4P3/2P4P/PP2K1P1/3R1R2 b - -,a5a4 e4f5 e6d4 c3d4 g6f5 f1f5 b6b5 e2f3 b5b4 f3e4,1530
8/8/8/8/1k3P1p/5K1n/8/8 b - -,,0
8/7q/8/1p6/1P3K2/8/8/4Q1k1 b - -,g1h2 e1f2 h2h1 f2c5 h1h2 f4e5 h7g7 e5d6 g7g6 d6c7,38
r7/p2pk3/bp3B1R/6p1/1n6/1N6/P1P2PPP/6K1 b - -,e7e6 f6c3 e6f7 c3b4 a6c4 h6h7 f7g6 h7d7 a7a5 b4c3,505
8/2k3RK/7P/8/8/8/8/3r4 b - -,c7c6 g7g5 d1d7 h7g6 d7d6 g6h5 d6d7 g5f5 c6d6 h5g6,657
r1b1k2r/1p3ppp/2nbpn2/2Bp4/2pP4/2P1PN2/PP1N1PPP/R3KB1R b KQkq -,d6c7 f1e2 f6d7 e1h1 b7b5 b2b3 d7c5 d4c5 e8e7 a2a4,54
8/5N2/7p/6p1/4k1P1/p7/2K4P/8 b - -,e4e3 f7h6 a3a2 c2b2 a2a1q b2a1 e3d4 a1b2 d4c4 b2c2,1392
1rbq1rk1/p3bppp/2p2n2/2pp4/7Q/2NP1N2/PPP2PPP/R1B2RK1 b - -,b8b4 h4g5 e7d6 f1e1 h7h6 g5d2 b4f4 d2d1 f4f3 g2f3,-162
r3kbnr/pR1b1ppp/4p3/3pP3/3P4/q2nBN2/P2N1PPP/3Q1K1R b kq -,a3a6 b7d7 d3f4 f1g1 f4e2 d1e2 a6e2 d7c7 e2d1 d2f1,-549
r1bqk2r/pp1n1ppp/3ppn2/2p3B1/1bPP4/2N1P3/PPQ1NPPP/R3KB1R b KQkq -,h7h6 g5h4 c5d4 e3d4 b7b5 c4b5 c8b7 a2a3 b4a5 b2b4,18
2r5/p3k2N/1p2pNp1/1b2PpB1/1P1r4/8/5PP1/1R4K1 b - -,e7f7 g5e3 d4d8 b1a1 c8c7 h7g5 f7e7 g5f3 e7f7 f3d4,224
8/4k3/1p2N1p1/4Bp1p/p3P3/2P4P/PP2K1P1/3R1R2 b - -,e7f7 g5e3 d4d8 b1a1 c8c7 h7g5 f7e7 g5f3 e7f7 f3d4,Mate
r4rk1/pp1bppbp/4q1p1/2ppN3/2PPnP2/1P1BP2P/PB4P1/2RQ1RK1 b - -,d7e8 c4d5 e6d5 d1c2 e4f6 d4c5 a7a5 f1d1 d5e6 g1h2,235
r1b1k2r/1p3ppp/2n1pn2/2Pp4/2p5/2P1PN2/PP1N1PPP/R3KB1R b KQkq -,e8e7 f1e2 a8a5 e1h1 a5c5 f1c1 c5a5 b2b3 b7b5 a2a4,-10
8/6pk/5p1p/4B3/1P1R4/1q5P/6PK/3R4 b - -,f6e5 d1d3 b3b1 d4d7 b1b4 d3g3 b4f8 d7a7 h6h5 a7a4,3
