8/8/8/8/8/1pk5/8/3K4 b - -,c7c5 d5e6 f7e6 d1e2 a7a6 f3g5 d7b6 d4c5 b6d5 c1d2,Mate
rnbqkbnr/1p2pppp/p1p5/3p4/8/5NP1/PPPPPPBP/RNBQ1RK1 b kq -,h7h6 c2c4 g8f6 d2d4 c8f5 c4d5 c6d5 d1b3 b7b5 f3e5,89
rnbqk1nr/pp1p1pb1/4p1p1/2p3Np/2B1P2P/5Q2/PPPP1PP1/RNB1K2R b KQkq -,g8h6 c4e2 b8c6 c2c3 d7d5 d2d3 e8h8 f3g3 e6e5 e1h1,-89
rnbqkb1r/pppppppp/8/2n1P3/8/3P1N2/PPP2PPP/RNBQKB1R b KQkq -,d7d5 d3d4 c5e4 c2c4 b8c6 b1c3 e4c3 b2c3 c8f5 f1d3,144
r2qkb1r/pbp2ppp/1pn1pn2/3p2B1/3P4/2N2NP1/PPP1PPBP/R2Q1RK1 b kq -,c6a5 g5f6 g7f6 f1e1 f8g7 e2e3 c7c5 c3e2 a5c4 b2b3,69
rnb1k2r/ppp1Pppp/8/8/8/2P2N2/PP2PKPP/RNBq1B1R b kq -,d1c1 f3d4 c1b2 d4b3 a7a5 b1d2 a5a4 g2g3 a4b3 d2b3,-1240
rnbqkbnr/4pppp/P1p5/8/2pP4/4P3/1P3PPP/RNBQKBNR b KQkq -,a8a6 b1a3 e7e6 f1c4 a6a7 g1f3 g8f6 e1h1 f8e7 c1d2,203
rnbqk1nr/1p1pppbp/p5p1/2p5/4P3/1PN2N2/PBPP1PPP/R2QKB1R b KQkq -,b8c6 g2g3 d7d6 f1g2 a8b8 e1h1 b7b5 f1e1 b5b4 c3a4,-71
rnbq1rk1/ppp1ppbp/5np1/3p4/8/1P2PN2/PBPPBPPP/RN1QK2R b KQ -,c7c5 e1h1 d5d4 e3d4 f6h5 c2c3 c5d4 c3d4 h5f4 b1a3,-77
rnbq1rk1/pp2ppbp/5np1/2pp4/8/1P2PN2/PBPPBPPP/RN1Q1RK1 b - -,b8c6 f3e5 c8d7 d2d4 c5d4 e3d4 d7f5 b1d2 a8c8 e5c6,-55
r1bqkbnr/pppp2pp/2n2p2/8/8/1P6/PBP1PPPP/RN1QKBNR b KQkq -,b7b6 e2e4 c8b7 b1c3 f8d6 d1h5 g7g6 h5h4 f6f5 h4d8,101
r2q1rk1/pbp3pp/1p1b4/3N1p2/2B5/P3PPn1/1P1K1P1P/2RQ3R b - -,g3h1 d5c3 g8h8 d1h1 d6e5 d2c2 d8h4 c2b3 h4f2 h1f1,-942
r1bq1rk1/p1pp1ppp/2p2n2/2b1p3/4P3/2PP1N2/PP3PPP/RNBQ1RK1 b - -,d7d5 f3e5 d5e4 d3d4 c5d6 c1g5 h7h6 g5h4 c8a6 e5g4,-39
4rr1k/ppq3p1/3b4/2p2B2/2Pp1P1P/PP2B1P1/2Q1N3/R3K2R b KQ -,e8e3 e1a1 c7a5 f5d3 a5a3 c2b2 a3b4 h4h5 f8f6 c1b1,532
r1bqk1nr/1p1pbppp/p1n1p3/2p5/2B1P3/3PBN2/PPP2PPP/RN1QK2R b KQkq -,g8f6 e1h1 e8h8 c4b3 d7d5 b1d2 d8c7 e3g5 d5e4 d3e4,-87
5r1b/2R1R3/r7/2p3kp/2b4N/4NPP1/8/6K1 b - -,,0
rnbqkb1r/pp3ppp/2p2n2/4N3/3pP3/N7/PPPP1PPP/R1BQKB1R b KQkq -,f8a3 b2a3 f6e4 f1d3 e4c5 e1h1 e8h8 d3c4 c8e6 d2d3,-80
rnbqkb1r/pp1p1ppp/4pn2/2p5/2PP4/4BN2/PP2PPPP/RN1QKB1R b KQkq -,c5d4 e3d4 b8c6 d4c3 d7d5 e2e3 f8d6 c4d5 e6d5 b1d2,-36
