8/8/8/8/8/1pk5/8/3K4 b - -,c7c5 d5e6 f7e6 d1e2 a7a6 f3g5 d7b6 d4c5 b6d5 c1d2,Mate
r2qkbnr/pp3ppp/2B1p3/2ppPb2/3P1B2/5N2/PPP2PPP/RN1QK2R b KQkq -,d8d7 c6d7 e8d7 c2c4 g8e7 d4c5 a8d8 b1c3 d7c8 c3b5,1266
rnbqk2r/ppp2ppp/4pn2/2bp2B1/8/3P1NP1/PPP1PPBP/RN1QK2R b KQkq -,h7h6 g5f6 d8f6 d3d4 c5b6 b1c3 e8h8 e1h1 f6e7 c3a4,-14
rnbqk1nr/ppp1ppbp/3p2p1/8/2P5/2N3P1/PPQPPP1P/R1B1KBNR b KQkq -,c7c5 f1g2 b8c6 g1f3 g8f6 e1h1 e8h8 d2d3 c8g4 c1e3,-13
rnbqk2r/pp2ppbp/2p2np1/3p4/3P4/2NBPN2/PPP2PPP/R1BQ1RK1 b kq -,c8e6 e3e4 f6e4 c3e4 d5e4 d3e4 e8h8 c2c3 b8d7 f1e1,67
r1bqkbnr/pp3ppp/2n1p3/2p1P3/2Pp1P2/5N2/PP1P2PP/RNBQKB1R b KQkq -,d4d3 a2a3 b7b6 d1b3 c6a5 b3c3 c8b7 f1d3 b7f3 g2f3,-96
r1bqkbnr/pp1p1ppp/2n5/4p3/4P3/3B4/PPPQ1PPP/RNB1K1NR b KQkq -,g8f6 g1f3 f8c5 b1c3 e8h8 h2h3 d7d6 e1h1 a7a6 c3d5,-25
r2qkbnr/ppp2ppp/2n5/3pp3/3P4/5PP1/PPP2PBP/RNBQ1RK1 b kq -,g8e7 d4e5 c6e5 b1c3 e5c6 f1e1 d8d7 c3d5 e8a8 d5e7,325
r1bqkb1r/pp2pp1p/2np1np1/2p5/3P1B2/2P1PN2/PP1N1PPP/R2QKB1R b KQkq -,f6h5 d4d5 c6b8 f4g5 h7h6 g5h4 f8g7 e3e4 e8h8 a2a4,58
rnbqk1nr/ppp1bppp/8/3P4/3P4/8/PP3PPP/RNBQKBNR b KQkq -,h7h6 f1b5 b8d7 d1g4 e7f6 b1c3 g8e7 d5d6 c7d6 c3e4,36
r1bqkb1r/ppp1pppp/2n2n2/3p2B1/3P4/2P4P/PP2PPP1/RN1QKBNR b KQkq -,f6e4 g5f4 f7f6 f4h2 e7e5 a2a3 f8d6 g1f3 e5d4 c3d4,-53
r1bqkbnr/pp3ppp/2n5/1B1pP3/8/8/PPP2PPP/RNBQK1NR b KQkq -,f8c5 g1f3 g8e7 e1h1 e8h8 b1c3 c8g4 b5e2 a8c8 h2h3,90
r1bqkb1r/ppp3pp/2n2n2/3pppB1/8/2NP1NP1/PPP1PPBP/R2QK2R b KQkq -,c8e6 e1h1 d5d4 c3a4 h7h6 g5f6 d8f6 c2c3 e8a8 c3d4,-71
rnbq1rk1/ppp2pbp/3p1np1/4p1B1/2P5/2NP2P1/PP1QPPBP/R3K1NR b KQ -,b8a6 h2h4 c7c6 h4h5 a6c5 g1f3 e5e4 g5f6 d8f6 d3e4,40
r1bqrbk1/1ppp1ppp/2n2n2/p3p3/2P5/PP1PPN2/1BQ1BPPP/RN2K2R b KQ -,a8b8 b1c3 d7d5 c4d5 f6d5 c3e4 d8e7 e1h1 c8f5 a1c1,50
r1bqrbk1/1pp2ppp/2n2n2/p2Pp3/8/PP1PPN2/1BQ1BPPP/RN2K2R b KQ -,c6a7 f3e5 f6d5 d3d4 c8e6 e1h1 a8c8 c2d2 a7c6 e5f3,245
8/1k2K3/3Q4/8/8/8/6b1/8 b - -,c6a7 f3e5 f6d5 d3d4 c8e6 e1h1 a8c8 c2d2 a7c6 e5f3,Mate
r1bqkb1r/ppp2ppp/2n2n2/4p1B1/8/2NP1N2/PPP1BPPP/R2QK2R b KQkq -,c8e6 g5h4 d8d7 h4g3 f8d6 e1h1 a7a6 f1e1 e8a8 h2h3,-12
r2qkbnr/pppnp1pp/5p2/3p1b2/3P3B/4PN2/PPP2PPP/RN1QKB1R b KQkq -,g8h6 c2c4 e7e6 h4g3 c7c6 b1c3 f8e7 f1e2 e8h8 e1h1,112
r1bqkb1r/1p3ppp/p1nppn2/2p5/2B1PP2/P2P1N2/1PP3PP/RNBQ1RK1 b kq -,d6d5 e4d5 e6d5 c4a2 f8e7 b1d2 e8h8 c2c4 d5c4 d2c4,-96
8/8/8/8/8/8/4K1k1/5Q2 b - -,f8e7 b1c3 e8h8 c4a2 b7b5 h2h3 d6d5 e4e5 f6d7 f1e1,Mate
rnbqk2r/pppnppbp/3P2p1/8/3P4/2N2N2/PPP2PPP/R1BQKB1R b KQkq -,d7b6 f1b5 c8d7 d6c7 d8c7 e1h1 e8h8 b5d7 c7d7 c3e4,220
rnb1kb1r/ppppqppp/7n/8/3QP3/8/PPPP1PPP/RNB1KBNR b KQkq -,b8c6 d4a4 d7d5 b1c3 d5d4 f1b5 c8d7 b5c6 d7c6 a4d4,28
r1bk1b1r/ppp2ppp/2n4n/1B2p1N1/4P3/8/PPP2PPP/RNB1K2R b KQ -,c6b4 e1d1 f8c5 b5c4 d8e7 a2a3 b4c6 b1c3 h6g4 c3d5,-28
r1bqkb1r/p4ppp/1pn1pn2/2pp4/2PP4/P1NBPN2/1P3PPP/R1BQK2R b KQkq -,f8e7 c4d5 f6d5 d3b5 c8b7 d1a4 a8c8 f3e5 d5c3 b2c3,53
rnbqkbnr/pp3ppp/4p3/3pP3/2PQ4/2N5/PP3PPP/R1B1KBNR b KQkq -,b8c6 d4f4 d5d4 c3e4 f7f5 e5f6 g8f6 f1d3 e6e5 f4h4,-130
rnbqk2r/pp3ppp/2pb1n2/3p4/2PP4/5N2/PP2BPPP/RNBQ1RK1 b kq -,b8d7 c1g5 d5c4 e2c4 e8h8 b1c3 d7b6 c4b3 f8e8 f1e1,37
rn1q1rk1/pb1pbppp/1p2pn2/2p5/2PP4/1P3NP1/PB2PPBP/RN1Q1RK1 b - -,b8a6 b1c3 c5d4 f3d4 b7g2 g1g2 d7d5 d4c6 d8c7 c4d5,45
r1bqk2r/pppp1ppp/2n5/2b1p3/2B1P3/2NPPN2/PPP3PP/R2QK2R b KQkq -,c5e3 c3d5 e3h6 g2g4 d7d6 h1g1 g7g6 g4g5 h6g7 d1d2,-87
rn1q1rk1/pb1pbppp/1p2pn2/8/2PQ4/1P3NP1/PB2PPBP/RN3RK1 b - -,d7d6 b1c3 a7a6 e2e4 b8d7 d4e3 f8e8 f1e1 a8c8 a1d1,42
r2qkbnr/ppp2ppp/2np4/4pb2/3P4/2P1P1B1/PP3PPP/RN1QKBNR b KQkq -,f8e7 b1d2 h7h5 h2h4 g8f6 f1e2 e5d4 c3d4 d6d5 a1c1,50
rn1qk1nr/ppp2ppp/3p4/2b1p3/4PP2/2N2B2/PPPP2PP/R1BQK2R b KQkq -,b8d7 d2d3 a7a5 c3e2 d6d5 e4d5 g8e7 d3d4 e5d4 d1d3,52
r1bqk2r/ppp1bppp/2np1n2/4pP2/4P1P1/2NP4/PPP4P/R1BQKBNR b KQkq -,f6d7 f1g2 h7h6 g1f3 c6d4 c1e3 d4f3 d1f3 e7h4 e3f2,46
rnbqk2r/pp3pp1/4p2p/2ppP3/3P4/P1Q5/1PP2PPP/2KR1BNR b kq -,c5c4 g1f3 b7b5 g2g4 a7a5 g4g5 h6g5 h1g1 b5b4 c3e3,-61
r1b1kbnr/pp3ppp/1qn1p3/3p4/3PP3/3B1N2/PP3PPP/RNBQ1RK1 b kq -,c6b4 e4d5 b4d3 d1d3 g8f6 d5e6 c8e6 f3g5 a8d8 g5e6,176
r1bqkbnr/p4ppp/1pn1p3/2pp4/3P4/2P2NP1/PP2PPBP/RNBQ1RK1 b kq -,g8f6 c3c4 c8b7 d1a4 f8e7 c4d5 e6d5 f1d1 e8h8 b1c3,27
r1bqkb1r/ppp3pp/2n1pp2/3pP1N1/8/3B4/PPPN1PPP/R1BQK2R b KQkq -,f6f5 g5f3 g7g5 h2h3 h7h6 d2b3 c6b4 d3b5 c8d7 b5e2,344
r1bqk2r/p3bppp/2p1pn2/p2p4/N2P1B2/P3P3/1PP1NPPP/R2QK2R b KQkq -,f6e4 d1d3 e8h8 e2c3 e4d6 e1a1 d6c4 e3e4 f7f6 h1e1,47
rnb1kb1r/ppp2ppp/5n2/q3p3/8/2NP1Q2/PPPB1PPP/R3KBNR b KQkq -,b8c6 f3d1 a5b6 g1f3 f8c5 d1e2 c8g4 c3a4 b6b5 a4c5,-95
r2qkbnr/pp3ppp/2n1p3/2pp1b2/3P1B2/P1N1PN2/1PP2PPP/R2QKB1R b KQkq -,a7a6 h2h3 g8f6 f1d3 f5d3 d1d3 h7h6 e1h1 a8c8 d4c5,-37
rnbq1rk1/pp2ppbp/2pp1np1/6B1/2B1P3/2NP4/PPP1NPPP/R2Q1RK1 b - -,b7b5 c4b3 a7a5 a2a3 b8d7 d1d2 e7e6 g5e3 c8a6 e2d4,-68
rnbqkb1r/4pppp/p2p1n2/1pp5/4P3/2NP1N2/PPP1BPPP/R1BQK2R b KQkq -,c8b7 e1h1 b8d7 f3d2 g7g6 d1e1 f8g7 f2f4 e8h8 g1h1,-61
r7/5p1p/8/8/6k1/8/1B2N3/7K b - -,a8a2 e2c3 a2b2 h1g1 f7f5 g1f1 g4f3 f1e1 h7h5 c3a4,-4718
rnbqk2r/ppppbppp/5n2/8/2PP4/3B4/PP3PPP/RNBQK1NR b KQkq -,h7h6 g1f3 d7d5 e1h1 e8h8 c4d5 f6d5 f1e1 c8e6 b1c3,45
r2qkbnr/ppp1pppp/2n5/3p1b2/3P2P1/4P2P/PPP2P2/RNBQKBNR b KQkq -,f5e6 c2c4 d5c4 b1c3 e6d7 f1c4 e7e6 e3e4 h7h5 g4g5,100
r1bqkbnr/1pp1pppp/p1B5/8/8/2N2N2/PPPP1PPP/R1BQK2R b KQkq -,d8d7 c6d7 c8d7 f3e5 g8h6 d1f3 e8a8 e5f7 d7c6 f3c6,1195
r1bqk2r/pp2bppp/2n1pn2/2pp4/3PP3/2PB1N2/PP1N1PPP/R1BQK2R b KQkq -,d5e4 d2e4 c5d4 c3d4 e8h8 e4c3 a7a6 e1h1 b7b5 c1e3,-60
rnbqkb1r/ppp2p2/3ppn1p/6p1/3P4/2P2NB1/PP2PPPP/RN1QKB1R b KQkq -,b8c6 h2h3 f6e4 g3h2 f7f5 b1d2 f8g7 e2e3 e4d2 f3d2,36
r2qkbnr/pbp1pppp/1pn5/3p4/3P1B2/2P1PN2/PP3PPP/RN1QKB1R b KQkq -,h7h6 f1b5 a7a6 b5c6 b7c6 f3e5 c6b7 d1a4 c7c6 b1d2,100
r2qkbnr/pbp1pp1p/1pn3p1/3p4/3P1B2/2PBPN2/PP3PPP/RN1QK2R b KQkq -,e7e6 b1d2 f8d6 d1e2 g8f6 f4g5 h7h6 g5f6 d8f6 e3e4,106
r2qk1nr/pbp1ppbp/1pn3p1/3p4/3P1B2/2PBPN2/PP1N1PPP/R2QK2R b KQkq -,g8f6 h2h3 e8h8 e1h1 a7a6 d1c2 e7e6 a1c1 c6e7 b2b4,55
4k3/7R/2K5/8/8/8/8/8 b - -,g8f6 h2h3 e8h8 e1h1 a7a6 d1c2 e7e6 a1c1 c6e7 b2b4,Mate
rnbqk2r/ppp2ppp/4p3/3P4/3Pn3/2P2N2/P1Q1PPPP/R1B1KB1R b KQkq -,e4f6 d5e6 c8e6 e2e4 e6g4 f3d2 e8h8 f1d3 c7c5 d4d5,534
r2qr1k1/pb3ppQ/2n1pb1p/1p4N1/2pP4/2P5/PPB2PPP/R1B2RK1 b - -,g8f8 g5e4 f8e7 e4f6 e7f6 h7e4 f6e7 f1e1 c6a5 e4h7,383
rnbqkbnr/p2p1ppp/2p5/1p1Pp3/2P1P3/8/PP3PPP/RNBQKBNR b KQkq -,f8b4 c1d2 b4d2 b1d2 g8f6 g1f3 e8h8 d5d6 d8b6 f1e2,87
r1bqk1nr/ppp2ppp/2n5/3p4/1b1P1B2/2N5/PPP1NPPP/R2QKB1R b KQkq -,,0
r1bqk1nr/1p3ppp/p1npp3/3p4/3P1B2/4PN2/PPP2PPP/R2QKB1R b KQkq -,b7b5 c2c3 g8f6 f1e2 e8h8 h2h3 f8e8 e1h1 h7h6 f4h2,65
3rr1k1/1b3pp1/p4q1p/Pp6/2p1P3/5N1P/BPQN2P1/4R1K1 b - -,d8d3 a2b1 e8d8 d2f1 f6f4 c2e2 d3d7 b1c2 c4c3 b2c3,-39
rnb1kb1r/ppppqppp/5n2/3Pp3/4P3/2PB1N2/PP3PPP/RNBQK2R b KQkq -,h7h6 h2h3 g7g6 c3c4 d7d6 c1e3 a7a5 b1c3 f8g7 d3c2,126
r1b1kbnr/pp2pppp/2n5/2pq4/Q7/2P2N2/PP1P1PPP/RNB1KB1R b KQkq -,g8f6 f1b5 c8d7 e1h1 a7a6 b5c4 d5h5 a4d1 d7g4 c4e2,-65
8/2Q5/8/5k2/8/4K3/8/8 b - -,a7a6 d2d4 e7e6 f1c4 d5d8 c1g5 f8e7 g5e7 d8e7 d4c5,Mate
8/8/2Q1k3/8/8/4K3/8/8 b - -,a7a6 d2d4 e7e6 f1c4 d5d8 c1g5 f8e7 g5e7 d8e7 d4c5,Mate
4r1k1/1b3pp1/p4q1p/Pp6/2p1P3/1P1r1N1P/B1QN2P1/4R1K1 b - -,d3c3 c2b1 e8d8 e1e2 c4b3 a2b3 f6d6 b1a2 c3c1 g1f2,-98
r2qkb1r/ppp2ppp/2np1n2/4P3/2B1P3/5Q1P/PPPP2P1/RNB1K2R b KQkq -,c6e5 f3e2 e5c4 e2c4 d6d5 e4d5 d8d5 c4e2 f8e7 b1c3,-50
r2qkbnr/pbpp1ppp/1pn1p3/8/3PP3/2PBB3/PP3PPP/RN1QK1NR b KQkq -,g7g6 b1d2 f8g7 d1e2 g8f6 h2h4 d7d6 e1a1 e6e5 d4d5,125
r1b1kbnr/pp1p1ppp/8/q3p3/2Q1P3/2N5/PPP2PPP/R1B1KB1R b KQkq -,a8b8 c1d2 a7a6 c3d5 a5c5 d5c7 e8d8 c7d5 c5c4 f1c4,216
rn2kbnr/pp3ppp/4p3/q1ppPb2/3P1P2/2P2N2/PP1B2PP/RN1QKB1R b KQkq -,a5b6 d1a4 b8c6 f1b5 a7a6 b5c6 b7c6 c3c4 g8e7 b2b3,-63
r2qkb1r/ppp2ppp/2n2n2/3p4/4p1b1/1P1PP1P1/PBP1NPBP/RN1QK2R b KQkq -,g4f5 e1h1 d8e7 d3e4 f5e4 b1d2 e4g2 g1g2 e8a8 a2a4,62
8/8/8/8/4k3/2K5/8/3R4 b - -,g4f5 e1h1 d8e7 d3e4 f5e4 b1d2 e4g2 g1g2 e8a8 a2a4,Mate
r1bqkbnr/pp1ppp1p/6p1/n1pP4/4P3/2N2N2/PPP2PPP/R1BQKB1R b KQkq -,d7d6 f1b5 c8d7 b5d7 d8d7 e1h1 f8g7 d1d3 g8f6 c1d2,97
8/8/8/3K4/5k2/8/8/5R2 b - -,d7d6 f1b5 c8d7 b5d7 d8d7 e1h1 f8g7 d1d3 g8f6 c1d2,Mate
8/8/8/8/8/4K2R/2k5/8 b - -,d7d6 f1b5 c8d7 b5d7 d8d7 e1h1 f8g7 d1d3 g8f6 c1d2,Mate
r1bq1rk1/pppp1ppp/2N2n2/2b3B1/4P3/2N5/PPP2PPP/R2QKB1R b KQ -,f6e4 c6d8 c5f2 e1e2 e4g5 e2f2 f8d8 f2g1 g5e6 c3d5,951
r1bqkbnr/1pp3pp/p1B1pp2/3pP3/3P4/2P5/PP3PPP/RNBQK1NR b KQkq -,d8d7 c6d7 c8d7 b1d2 e8a8 g1f3 g8e7 e1h1 e7c6 e5f6,1163
r2qkbnr/pppb2pp/2n1pp2/3pP3/3P4/2PB4/PP3PPP/RNBQK1NR b KQkq -,g7g6 f2f4 c6e7 g1f3 e7f5 b2b4 g8h6 e1h1 f8e7 f1e1,173
r2qkbnr/ppp2ppp/2n5/3pp3/3P2b1/4PN1P/PPP1BPP1/RNBQK2R b KQkq -,g4h5 f3e5 h5e2 d1e2 c6e5 d4e5 d8e7 b2b3 e8a8 c1b2,187
r2qkbnr/ppp2ppp/2n5/3pp3/3P4/4PB1P/PPP2PP1/RNBQK2R b KQkq -,f8d6 d4e5 c6e5 d1d5 a8b8 b1c3 g8f6 d5a5 a7a6 c1d2,89
8/8/8/2K5/R4k2/8/8/8 b - -,f8d6 d4e5 c6e5 d1d5 a8b8 b1c3 g8f6 d5a5 a7a6 c1d2,Mate
rn1qkb1r/ppp1pppp/5n2/8/3PpBb1/2N2P2/PPP3PP/R2QKBNR b KQkq -,e4f3 g1f3 c7c6 d1d2 b8d7 d4d5 d8a5 d5c6 b7c6 e1a1,-125
r1bqkbnr/pp3ppp/2n5/2p1P3/1PPp4/4PN2/P4PPP/RNBQKB1R b KQkq -,a7a6 e3d4 c6d4 c1b2 g8e7 b2d4 c5d4 d1d4 d8d4 f3d4,127
rnbqk2r/ppp2pp1/3ppn1p/8/2PPP2B/2P5/P4PPP/R2QKBNR b KQkq -,g7g5 h4g3 f6e4 f1d3 e4g3 h2g3 b8d7 g1e2 h6h5 a1b1,-90
r1bqk2r/pppp1ppp/2n5/4P3/1bP1n3/2N2N2/PPQ1PPPP/R1B1KB1R b KQkq -,e4c5 c1g5 c6d4 c2d2 d4f3 g2f3 b4c3 b2c3 f7f6 e5f6,297
rnbq1rk1/pp3ppp/4pn2/2bp4/8/4PN2/PPPNBPPP/R1BQ1RK1 b - -,d8e7 c2c4 b8c6 a2a3 a7a5 b2b3 d5d4 e3d4 c6d4 c1b2,-24
rnbq1rk1/ppp1ppbp/3p1np1/8/2PP4/3BP3/PP2NPPP/RNBQ1RK1 b - -,b8a6 b1c3 e7e5 e3e4 a6b4 d3b1 e5d4 e2d4 b4c6 d4e2,30
r2qkb1r/pQp2ppp/2n1pn2/8/2BPP1b1/5N2/PP3PPP/RNB1K2R b KQkq -,c6d4 f3d4 f8c5 b7c6 f6d7 d4b3 c5b4 b1c3 e8h8 e1h1,546
r1bqk1nr/pppp1ppp/2n5/4P3/1b1P1p2/2P2N2/PP4PP/RNBQKB1R b KQkq -,g7g5 c3b4 g5g4 c1f4 g4f3 b1c3 d7d5 e5d6 c7d6 d1f3,532
8/1k6/8/1P6/1KP5/8/8/8 b - -,g7g5 c3b4 g5g4 c1f4 g4f3 b1c3 d7d5 e5d6 c7d6 d1f3,Mate
8/8/8/KPk5/2P5/8/8/8 b - -,g7g5 c3b4 g5g4 c1f4 g4f3 b1c3 d7d5 e5d6 c7d6 d1f3,Mate
rn1q1rk1/ppp1ppbp/5np1/3p1b2/3P1B2/2P2NP1/PP2PPBP/RN1Q1RK1 b - -,c7c6 h2h3 a7a5 a2a4 h7h6 g3g4 f5e6 b1d2 h6h5 g4g5,38
r2qkb1r/pbpn1ppp/1p1ppn2/8/3PP3/2PB1N2/PP1N1PPP/R1BQ1RK1 b kq -,c7c5 e4e5 d6e5 d4e5 f6d5 d2e4 d8c7 d3b5 a7a6 b5d7,133
rnbqkb1r/ppp3p1/3p1B1p/4p3/2B1P3/5N2/PPP2PPP/RN1QK2R b KQkq -,b8c6 f6d8 c6d8 b1c3 d8e6 f3h4 h6h5 e1h1 f8e7 h4f5,1178
r1bqk1nr/1ppp1ppp/p1n5/2b5/3NP3/5N2/PPP2PPP/R1BQKB1R b KQkq -,c6d4 f3d4 d8e7 d4b3 e7e4 d1e2 e4e2 f1e2 c5b6 e1h1,-94
r1bqk2r/ppppppbp/2n2np1/4P3/3P1B2/2N5/PPP2PPP/R2QKBNR b KQkq -,e8h8 e5f6 g7f6 g1f3 f8e8 f1e2 d7d6 d4d5 e7e5 d5e6,630
r1bqk1nr/pppp1pbp/2n5/8/2BPPBp1/2N2N2/PPP3PP/R2QK2R b KQkq -,g8e7 f3g5 d7d5 c3d5 e7d5 c4d5 h8f8 e1h1 g7d4 g1h1,353
rn1qkb1r/pp2pppp/2p2n2/3p1b2/3P1B2/1QP5/PP1NPPPP/R3KBNR b KQkq -,f5c8 e2e3 e7e6 g1f3 f8e7 b3c2 c6c5 d4c5 e7c5 f1d3,59
rnbqkbnr/pp3ppp/8/2p5/3P4/2N3P1/PP1P1P1P/R1BQKBNR b KQkq -,c5d4 f1b5 b8c6 d1e2 f8e7 c3e4 c8e6 g1f3 g8f6 f3g5,-134
rnbqkbnr/pp2pppp/8/3p4/2pP4/2P2NP1/PP2PP1P/RNBQKB1R b KQkq -,a7a6 e2e4 e7e6 f1g2 g8f6 e4e5 f6d7 a2a4 b8c6 b1d2,121
rnbqr1k1/ppp1ppbp/3p1np1/4P3/2BP1B2/2N2N2/PPP2PPP/R2QK2R b KQ -,b7b5 e5f6 e7f6 c4e2 g6g5 f4e3 b5b4 c3d5 a7a5 h2h4,285
8/8/4n3/3k2Q1/8/4K3/8/8 b - -,,0
r1bqk2r/ppppnppp/1b3n2/3PN3/4P3/2PB4/PP3PPP/RNBQK2R b KQkq -,a7a5 e5c4 b6c5 c1g5 d7d6 g5f6 g7f6 b1d2 e8h8 e1h1,305
rnbqkbnr/p1p2p1p/1p1pp1p1/8/3P1B2/3BPN2/PPP2PPP/RN1QK2R b KQkq -,g8e7 c2c3 f8g7 b1d2 e8h8 e1h1 c8b7 e3e4 b8d7 f4g3,71
rnbqk1nr/p1p2pbp/1p1pp1p1/8/3P1B2/3BPN2/PPPN1PPP/R2QK2R b KQkq -,g8e7 c2c3 e8h8 e1h1 b8d7 e3e4 e6e5 f4g3 e5d4 c3d4,56
r1bqkb1r/p3pppp/2pp4/8/4P1n1/2N5/PPP2PPP/R1BQKB1R b KQkq -,d8b6 d1f3 g7g6 a2a4 g4e5 f3g3 b6a5 c1d2 f8g7 f1e2,-32
3Q4/8/4K3/8/3k4/3n4/8/8 b - -,a7a5 c3a4 d8c7 h2h3 g4f6 f1d3 g7g6 b2b3 f8g7 c1b2,Mate
rnbqkbnr/pp1p1ppp/8/2p5/3P4/5N2/PPP2PPP/RNBQKB1R b KQkq -,d7d5 f1b5 b8c6 e1h1 c8e6 f1e1 g8f6 f3g5 f8e7 g5e6,112
rn1qkbnr/pp2pppp/2p5/3p1b2/2PP4/5N1P/PP2PPP1/RNBQKB1R b KQkq -,d5c4 b1c3 g8f6 g2g4 f5e4 c3e4 f6e4 f1g2 e4d6 d1c2,46
8/3Q1k2/8/1B6/8/4K3/8/8 b - -,f5e4 b1c3 e7e6 e2e3 e4g6 f3e5 b8d7 e5g6 h7g6 d1c2,Mate
8/3Q4/6k1/8/8/3BK3/8/8 b - -,f5e4 b1c3 e7e6 e2e3 e4g6 f3e5 b8d7 e5g6 h7g6 d1c2,Mate
rn1qkbnr/pp2ppp1/7p/3p4/3P4/2NQ1N2/PPP2PPP/R1B1K2R b KQkq -,d8a5 b2b4 a5d8 d3b5 b8c6 b5b7 a8c8 a2a3 e7e6 c3b5,128
8/2k5/8/1B1K1Q2/8/8/8/8 b - -,d8a5 b2b4 a5d8 d3b5 b8c6 b5b7 a8c8 a2a3 e7e6 c3b5,Mate
8/3Q4/8/k2K4/B7/8/8/8 b - -,d8a5 b2b4 a5d8 d3b5 b8c6 b5b7 a8c8 a2a3 e7e6 c3b5,Mate
r1bqk2r/pp3ppp/2nbpn2/2pp4/3P4/2P1PNP1/PP3PBP/RNBQ1RK1 b kq -,e8h8 b1d2 b7b6 f1e1 d8c7 b2b3 c8b7 c1b2 f8d8 a1c1,-30
rnbqk2r/ppp1ppbp/5Bp1/8/2PPp3/2N5/PP3PPP/R2QKBNR b KQkq -,e8f8 f6g7 f8g7 c3e4 h8e8 e4c3 b8c6 d4d5 c6e5 h2h3,838
8/3k4/8/8/1QB5/4K3/8/8 b - -,e8f8 f6g7 f8g7 c3e4 h8e8 e4c3 b8c6 d4d5 c6e5 h2h3,Mate
r1bqkb1r/pppp1pp1/2n2n2/4p1Np/2B1P3/3P4/PPP2PPP/RNBQK2R b KQkq -,d7d5 e4d5 b7b5 d5c6 b5c4 e1h1 d8d5 f1e1 f8d6 b1c3,92
8/4k3/2K5/3B4/2N5/8/8/8 b - -,e7f6 c6d6 f6f5 d6e7 f5g6 d5e4 g6g7 c4e5 g7g8 e7f6,4951
r1bqkb1r/pppppppp/5n2/8/3nP3/2NQ4/PPPP1PPP/R1B1KBNR b KQkq -,f6e4 d3d4 e4f6 d4f4 g7g6 d2d4 f8g7 g1f3 d7d6 f1d3,374
r2qkb1r/ppp2ppp/2b2n2/3pB3/8/1P2PN2/P1PP1PPP/RN1QK2R b KQkq -,f8b4 b1c3 e8h8 e1h1 f8e8 a2a3 b4c5 h2h3 c5f8 a3a4,167
rn1qkbnr/ppp1pppp/8/8/2p3b1/2N1PN2/PP1P1PPP/R1BQKB1R b KQkq -,b8c6 f1c4 e7e6 h2h3 g4h5 d2d4 g8f6 e1h1 f8d6 a2a3,94
1B6/1B6/8/k1K5/8/8/8/8 b - -,g4h5 f1c4 b8c6 d2d4 e7e6 a2a3 g8f6 e1h1 f8d6 h2h3,Mate
r3kb1r/ppp1pppp/2nq1n2/5b2/3P4/2N1BN1P/PPP2PP1/R2QKB1R b KQkq -,a8d8 a2a3 e7e6 f1d3 f5d3 d1d3 f8e7 e1h1 e8h8 f1e1,78
3k4/5B2/1N3K2/8/8/8/8/8 b - -,a8d8 a2a3 e7e6 f1d3 f5d3 d1d3 f8e7 e1h1 e8h8 f1e1,Mate
rnbqkb1r/ppp2pp1/3p1n1p/4p3/4P3/4QN2/PPPP1PPP/RNB1KB1R b KQkq -,f8e7 f1c4 e8h8 d2d3 c7c6 e1h1 f8e8 e3e2 b7b5 c4b3,-96
3k4/8/4BK2/8/2N5/8/8/8 b - -,c7c5 f1c4 b8c6 e1h1 f8e7 b1c3 e8h8 a2a4 c8g4 h2h3,Mate
r1bqkb1r/ppp2ppp/2n5/3np3/3P4/5N2/PPP1BPPP/RNBQ1RK1 b kq -,c8f5 c2c4 d5b6 d4d5 c6b4 a2a3 b4c2 a1a2 c2d4 f3d4,158
rnbqk2r/pppp1ppp/4pn2/8/3PP3/P1P2N2/2P2PPP/R1BQKB1R b KQkq -,f6e4 f1d3 e4c3 d1d2 c3d5 c2c4 d5f6 d2g5 e8f8 e1h1,-47
rnb1k1nr/pp1pppbp/6p1/8/2BNP3/4B3/PqPN1PPP/R2QK2R b KQkq -,b8c6 a1b1 b2a3 d4b5 a3a5 e1h1 g8f6 c4e2 e8h8 d2c4,-49
1k6/3B4/3K4/8/2N5/8/8/8 b - -,b2c3 a1b1 b8c6 d4b5 c3a5 e1h1 g8f6 c4e2 e8h8 d2c4,Mate
r1bqkbnr/pppppppp/4n3/1P6/P7/4P3/2PP1PPP/RNBQKBNR b KQkq -,d7d6 c2c4 g7g6 c1b2 g8f6 g1f3 f8g7 f1e2 a7a6 a4a5,94
r1bqkbnr/pppp1ppp/2n1p3/8/4P3/3P1P2/PPP3PP/RNBQKBNR b KQkq -,d7d5 f3f4 d5e4 d3e4 d8d1 e1d1 e6e5 h2h3 f8d6 b1c3,-91
r1bqkb1r/1ppp1ppp/p1B2n2/4p3/8/4PQ2/PPPP1PPP/RNB1K1NR b KQkq -,g7g5 c6a4 c7c6 e3e4 g5g4 f3c3 d8c7 d2d3 d7d5 c1g5,348
r1bqkb1r/pp1npppp/5n2/1B1P4/3P4/5N2/PP3PPP/RNBQK2R b KQkq -,d8c7 b1c3 g7g6 e1h1 f8g7 f3e5 e8h8 c1f4 c7d8 b5d7,143
r1bqk2r/p1pp1ppp/2p4B/2b5/2B1P3/8/PPP2PPP/RN1QK2R b KQkq -,c5f2 e1f2 d8h4 g2g3 h4h6 d1d2 h6f6 f2g2 f6b2 b1c3,324
