2bn2k1/1p4p1/pqrrpbQp/3p1B2/1P1P1P2/P5P1/1B2R1KP/4R3 b - -,f6e7 g6h7 g8f8 h7h8 f8f7 f5g4 e7f6 g4h5 g7g6 h8h7,Mate
r1bqk2r/pp2bppp/2nppn2/2p5/4PP2/2P2NP1/PP1PQ1BP/RNB1K2R b KQkq -,a8b8 a2a4 c6a5 e1h1 e8h8 d2d3 a5b3 a1a2 b3c1 f1c1,-23
2rq1rk1/1b2bppp/p1n1pn2/1p1p4/3P1N2/PPN1P1P1/3B1PBP/R2Q1RK1 b - -,a6a5 c3b5 b7a6 a3a4 d8b6 d1e2 c6a7 f1b1 g7g5 f4h5,13
1nr3k1/4qp2/p1r1p1p1/4P2p/1P3P1P/2R2Q2/3N2P1/2R3K1 b - -,e7b4 c3c6 b8c6 d2e4 g8g7 c1d1 c6d4 f3f2 d4f5 e4d6,-109
4r1k1/ppr2ppp/8/2p5/2Pn1P2/P4B1P/1P4P1/4RR1K b - -,e8e1 f1e1 g8f8 f3d5 c7d7 g2g4 g7g6 e1e5 f7f6 e5e1,-23
rn1qk2r/1pp1ppbp/p2p1np1/8/3PP3/2NBBQ1P/PPP2PP1/R3K2R b KQkq -,b8d7 e1a1 c7c6 g2g4 a8c8 c1b1 b7b5 f3g2 d8a5 h3h4,99
r2r4/pp4kp/4Nqp1/2n2p2/2B5/1P3N1P/P3Q1P1/R4R1K b - -,c5e6 e2e6 f6e6 c4e6 h7h6 a1e1 g7f6 e6c4 d8e8 c4d5,642
4r1k1/p6q/1p1Q4/1bnP1pB1/5P2/2P1P3/P1B3P1/2R3K1 b - -,e8e3 d6f6 b5d7 g1f2 e3e8 c1e1 e8e1 f2e1 h7g7 f6e5,563
2r5/pp1k1pp1/4p3/1N1pPn1p/1n1P3P/1P3N2/P4PP1/5RK1 b - -,a7a6 a2a3 b4c2 b5d6 f5d6 e5d6 f7f6 a3a4 c2b4 g2g3,-403
3r4/8/8/2p5/1k6/4K3/8/1R6 b - -,,0
1rrq1bk1/5p2/bnn1p2N/2ppP2P/p1P5/3P1NP1/P2Q1P2/2R1RBK1 b - -,g8g7 f3g5 g7h6 g5e6 h6h7 e6d8 f8h6 d2d1 c6d8 d1f3,708
rn1qkb1r/5ppp/p3pn2/3p4/Pp1P4/4PP2/NP1B1P1P/R2QKB1R b KQkq -,f8d6 a2b4 e8h8 a4a5 d8e7 b4d3 f8c8 f1e2 b8d7 d2c3,108
8/8/P1B5/5p1k/8/2K5/4b3/8 b - -,e2a6 c3d4 h5h4 d4e5 h4g5 e5d4 f5f4 d4e4 a6e2 c6d7,-1
r4rnk/1bp2p1p/p2q1n2/1p2pPN1/7Q/P1NB4/1PP3PP/R4R1K b - -,a8d8 d3e4 b5b4 a1d1 d6e7 g5h7 f6h7 f5f6 g8f6 e4h7,163
3r1rk1/1pQ3p1/6np/p6P/3bNp2/5N2/qP2RPP1/4R1K1 b - -,g6e7 f3d4 e7d5 c7b7 f4f3 d4f3 d5f4 e2d2 a2c4 d2d8,433
1r6/p2b1pk1/2p2n2/3pr3/6p1/1PN1P1P1/P3BP2/2RR2K1 b - -,e5h5 e2f1 b8h8 f1g2 d7f5 b3b4 h5h2 a2a4 f6e4 c3e2,-16
3n2k1/1p1b2pQ/pqrrpb1p/3p1B2/1P1P1P2/P5P1/1B2R1KP/4R3 b - -,g8f8 f5g6 d8f7 e1d1 c6c8 g3g4 b6d8 e2e5 f8e7 g4g5,-219
R4Rk1/2qr1p1p/6p1/5b2/2Pn4/1P4P1/1B1N1P1P/6K1 b - -,g8g7 d2f3 f5h3 f3d4 g7h6 f2f3 c7c5 a8c8 c5g5 c8e8,-385
r1bqk2r/1p2bpp1/p3p2p/n1pp4/P1PP4/4PNP1/1PQNBPP1/R3K2R b KQkq -,c5d4 e3d4 d5c4 e1h1 b7b5 a4b5 a6b5 b2b3 c8b7 b3c4,-28
r4rk1/pp4p1/8/3P1b2/1N1qnB2/6P1/PPQ3BP/R4R1K b - -,d4b4 a2a3 b4e7 a1e1 a8e8 d5d6 e7e6 h1g1 g7g5 f4c1,396
4r1k1/pp2Rppp/8/2p5/2Pn1P2/P4B1P/1P4P1/5R1K b - -,e8e7 b2b4 g7g6 b4c5 e7c7 f3d5 c7c5 f1e1 g8f8 d5b7,-22
4rrk1/6pp/p2b4/1p1p3q/3P1B2/2PQ2P1/PP1NRP1P/R5K1 b - -,d6f4 e2e8 f8e8 g3f4 h5g4 d3g3 g4e2 d2f3 e2b2 a1f1,421
r1bqkb1r/pp3ppp/1n2p3/2ppP3/3n1PQ1/PPN5/1BPP2PP/2KR1BNR b kq -,c8d7 g1e2 d4f5 e2g3 d5d4 c3e4 d8c7 g4e2 f5g3 h2g3,-39
8/1pp5/n4kp1/1NpP4/2P2r2/P1K1R2P/1P6/8 b - -,f4f1 d5d6 c7d6 b5d6 f1h1 d6b7 f6f5 c3b3 h1h2 e3g3,333
rn2k2r/ppp4p/3q1P2/3P1bBn/2BQ3P/5p2/PPP1N3/R3K2R b KQkq -,f3e2 c4e2 e8h8 e2h5 b8c6 d4g1 g8h8 e1a1 c6b4 f6f7,403
