rnbqk2r/pp2bppp/5n2/2pp4/8/3P1N2/PPP1BPPP/RNBQR1K1 b kq -,e8h8 d3d4 b8c6 b1c3 f6e4 e2b5 f7f5 c3e2 g7g5 b5c6,-58
8/3N4/8/8/8/2KB4/8/k7 b - -,a1a2 d7c5 a2a3 c5b3 a3a2 d3e4 a2a3 b3c1 a3a4 e4c6,226
rn1qk2r/pbppb1pp/1p2pn2/5p2/3P4/1P1BPN2/PBPN1PPP/R2QK2R b KQkq -,d7d5 c2c4 b8d7 c4d5 f6d5 e1h1 e8h8 a1c1 e7d6 a2a3,62
r1bqkbnr/pppp1p1p/2n3p1/4p3/2BPP3/2P5/PP3PPP/RNBQK1NR b KQkq -,d7d6 g1f3 f8g7 e1h1 g8f6 d4e5 d6e5 d1d8 c6d8 f3e5,90
rnbqk2r/ppp1ppbp/3p1np1/8/2B1P3/2N2Q2/PPPP1PPP/R1B1K1NR b KQkq -,b8c6 d2d3 c6e5 f3e2 e5c4 d3c4 e8h8 c1d2 c7c6 g1f3,-98
rnbqkbnr/1p1p1ppp/4p3/2P5/8/P1N5/4PPPP/R1BQKBNR b KQkq -,f8c5 g1f3 g8f6 e2e3 e8h8 f1d3 d7d6 e1h1 c8d7 c1b2,-235
r4rk1/pp2nppp/3qpn2/3pNB2/3P4/1QP5/PP1N1PPP/4RRK1 b - -,a8b8 f5d3 b7b5 a2a3 a7a5 b3d1 b5b4 c3b4 a5b4 a3a4,583
r1bqkb1r/p1p1pppp/p4n2/3p4/3P1B2/4PN2/PPP2PPP/RN1QK2R b KQkq -,e7e6 e1h1 c7c5 b1d2 c8d7 d1e2 c5d4 e3d4 d7b5 c2c4,79
8/6P1/8/7p/8/7k/7p/7K b - -,h5h4 g7g8b h3g3 g8e6 g3f4 h1h2 f4e5 e6a2 e5d6 h2h3,Mate
r1bqk1nr/pppp1ppp/2nb4/4p3/8/1P4P1/PBPPPPBP/RN1QK1NR b KQkq -,g8f6 c2c4 d6c5 b1c3 e8h8 e2e3 c6b4 d1b1 f8e8 a2a3,62
r1bqk2r/pppp1ppp/2nb1n2/4p3/8/1P1P2P1/PBP1PPBP/RN1QK1NR b KQkq -,a7a5 g1f3 e8h8 e1h1 f8e8 c2c4 a5a4 b3a4 e5e4 d3e4,47
r1bqkbnr/ppp2p1p/2np2p1/1B2P3/4P3/5N2/PPP2PPP/RNBQK2R b KQkq -,c8e6 b1c3 f8g7 c1f4 g8e7 e5d6 c7d6 d1d6 e8h8 d6d8,325
r1bqkb1r/1pp2ppp/p1n5/3np3/2B5/3P1N1P/PPP2PP1/RNBQ1RK1 b kq -,f8e7 f1e1 d8d6 b1d2 c8e6 c4b3 d5b6 b3e6 d6e6 f3e5,109
r1bqk1nr/ppp2pbp/2np2p1/1B2P3/4P3/2N2N2/PPP2PPP/R1BQK2R b KQkq -,h7h6 c1e3 c8g4 e5d6 c7d6 d1d2 g4f3 g2f3 d8a5 e1a1,390
r1b1kbnr/ppp2ppp/2n1p3/q7/3P4/2N2N2/PPP1BPPP/R1BQK2R b KQkq -,c8d7 e1h1 g8f6 f1e1 c6e7 f3e5 e7g6 e5c4 a5a6 a2a4,111
r1bqkb1r/pp3ppp/2np1n2/4p3/4P3/3BQN2/PPP2PPP/RNB2RK1 b kq -,g7g6 c2c4 f8g7 b1c3 e8h8 f1d1 c6d4 h2h3 c8e6 b2b3,71
5rk1/p4nb1/p1p5/2P3qp/2Q2BP1/2N2R1P/P1r5/R5K1 b - -,g5f6 a1d1 h5g4 h3g4 c2c3 c4c3 f6c3 f3c3 g7c3 d1d7,-437
rnbqkbnr/pp2pppp/8/2p5/3pP3/2PP1P2/PP4PP/RNBQKBNR b KQkq -,e7e5 f3f4 e5f4 c1f4 g8e7 g1f3 b8c6 c3d4 c5d4 f1e2,-97
rnbqkbnr/p2ppppp/1pp5/8/2B1P3/8/PPPP1PPP/RNBQK1NR b KQkq -,c8b7 d2d4 d7d5 e4d5 c6d5 c4d3 b7a6 d3a6 b8a6 c2c4,45
r1bqk1nr/pp3ppp/2nbp3/2pp4/8/2PP1NP1/PP2PPBP/RNBQ1RK1 b kq -,g8f6 e2e4 e8h8 f1e1 e6e5 e4d5 f6d5 b1a3 d6c7 a3c4,28
rn1qkb1r/pp2pppp/3p1n2/2p4b/2B1P3/3P1N1P/PPPN1PP1/R1BQK2R b KQkq -,b8d7 g2g4 h5g6 f3h4 e7e6 e1h1 d8c7 f2f4 e8a8 d1f3,63
r2qk2r/ppp2ppp/2nbpn2/3p1b2/2PP4/1Q2PNB1/PP3PPP/RN2KB1R b KQkq -,d6b4 b1d2 f6e4 c4d5 d8d5 b3d5 e6d5 a2a3 e4g3 h2g3,17
r1bqk1nr/1ppp1ppp/2n1p3/p7/1b1PP3/2N2N2/PPPB1PPP/R2QKB1R b KQkq -,c6e7 f1d3 b4c3 b2c3 d7d6 d1e2 g8f6 e4e5 d6e5 d4e5,156
r1bqkbnr/ppp2ppp/3p4/4n3/3NP3/3B4/PPP2PPP/RNBQ1RK1 b kq -,g8f6 c2c4 g7g6 b1c3 f8g7 d3e2 e8h8 c1e3 e5g4 e3g5,75
