r2qkb1r/ppp1pppp/2n5/3n1b2/3P1B2/4PN2/PP3PPP/RN1QKB1R b KQkq -,d5f4 e3f4 d8d6 f1b5 e8a8 b5c6 d6c6 e1h1 e7e6 f1e1,-95
rnbqkb1r/1p2pppp/p2p1n2/8/3NPP2/3B4/PPP3PP/RNBQK2R b KQkq -,b8c6 d4c6 b7c6 b1c3 g7g6 e1h1 f8g7 d1e1 e8h8 h2h3,29
rn1qk2r/ppp2ppp/4pn2/4Nb2/1bBP4/2N1P3/PP3PPP/R1BQK2R b KQkq -,c7c6 d1b3 d8b6 f2f3 f6d7 e5d7 b8d7 e3e4 f5g6 h2h4,107
r1bqkb1r/1p1ppppp/p4n2/8/2BQP3/2N5/PPP2PPP/R1B1K2R b KQkq -,h7h5 e4e5 f6g4 h2h3 g4h6 c1g5 d8c7 c3d5 c7c6 d4b6,290
rnbqkb1r/pp3ppp/2p1pn2/8/4N3/3P2P1/PPP2PBP/R1BQK1NR b KQkq -,f8b4 c2c3 b4e7 e4f6 e7f6 g1f3 e6e5 e1h1 c8e6 c1e3,39
r2qkb1r/pp1bpppp/2np1n2/1B6/4P3/2N1Q3/PPPB1PPP/R3K1NR b KQkq -,e7e5 g1e2 f8e7 e1a1 e8h8 h2h3 a7a6 b5d3 c6b4 g2g4,14
r1bqkbnr/ppp1pppp/2n5/3p4/8/2N5/PPPPPPPP/R1BQKBNR b KQkq -,g8f6 g1f3 e7e5 d2d3 d5d4 c3b1 f8c5 g2g3 a7a5 f1g2,-95
rnbqkb1r/ppp2ppp/5n2/3pp3/8/2N1PNP1/PPPP1P1P/R1BQKB1R b KQkq -,e5e4 f3e5 f8d6 f2f4 b8d7 d2d4 e4d3 e5d3 e8h8 f1g2,-99
rnbqkbnr/p1p2ppp/4p3/1p6/2pP4/4PN2/PP2BPPP/RNBQK2R b KQkq -,f8b4 c1d2 b4d2 b1d2 c8b7 d1c2 b8d7 b2b3 c4b3 d2b3,25
3qrk2/p4rp1/1p2pb2/nP1b3Q/3P4/P1N4R/5PPP/R5K1 b - -,g7g5 a1d1 d5b3 d1e1 b3c2 c3e2 d8d5 h3g3 d5b5 h5h6,-862
rn1q1rk1/pbppppbp/1p3np1/8/2P5/2N2NP1/PPQPPPBP/R1B2RK1 b - -,c7c6 d2d4 d7d5 f1d1 e7e6 e2e4 d5c4 e4e5 f6d5 c3e4,85
rnbqkbnr/pp3ppp/4p3/3p4/3P1B2/P7/1PP2PPP/RN1QKBNR b KQkq -,g8f6 g1f3 b8c6 f1d3 f6h5 f4e3 f8d6 e1h1 e8h8 f1e1,27
r1bqkb1r/1ppp1ppp/p1B2n2/4p3/4P3/1P3N2/P1PP1PPP/RNBQK2R b KQkq -,h7h5 c6d5 c7c6 d5c4 d7d5 c4e2 d5e4 f3e5 f8c5 c1b2,211
5rk1/pp1b1ppp/4p3/3pP3/1q3Pn1/2NB1N2/P2K2PP/R4Q2 b - -,b4b2 d3c2 f8c8 f1d3 b2a1 c3d1 a1a2 f3d4 g7g6 h2h3,-705
r1bqkb1r/1pppnppp/p1B5/4p3/4P3/1P3N2/P1PP1PPP/RNBQK2R b KQkq -,f7f5 c6d5 f5e4 f3e5 e7d5 d1h5 g7g6 e5g6 h7g6 h5h8,327
8/8/8/2k5/8/3BK3/1B6/8 b - -,f7f5 c6d5 f5e4 f3e5 e7d5 d1h5 g7g6 e5g6 h7g6 h5h8,Mate
rnb1kb1r/pp1ppppp/8/3Bq3/3p4/2P5/PP2NPPP/RNBQK2R b KQkq -,d4c3 b1c3 e7e6 c1f4 e5f6 d5f3 f8e7 c3b5 e7b4 e1f1,729
