4r1k1/3R1p2/1qp3p1/p1b1p2p/2P1P3/1P1N1QP1/5P1P/6K1 b - -,e8e7 d7e7 c5e7 d3e5 f7f6 e5g6 e7d6 g1g2 b6d4 h2h3,440
2r3k1/1b1q1pp1/p3p2p/2rp4/1Q5P/P1P4N/1P3PP1/1K1R1B1R b - -,d7c7 f2f4 c5a5 f1d3 b7c6 b4d4 a5a4 d4f2 c7a5 b1a2,311
r2q1rk1/ppp1bppp/1n2b3/8/1P1pN3/P2P2P1/4PPBP/R1BQ1RK1 b - -,a7a5 c1d2 b6d7 d1c2 c7c6 d2f4 a5b4 a3b4 d8b6 f1b1,-4
r1bqk1nr/ppp2ppp/2n5/8/1bN5/2P5/PP2PPPP/R1BQKBNR b KQkq -,b4c5 d1d8 c6d8 c1e3 c5e7 g2g3 g8f6 f1g2 e8h8 c4e5,131
8/8/4p1p1/6kp/3nR3/7P/3r1R2/6K1 b - -,,0
r2r4/4p1b1/4N1pk/4P2p/p5PP/7R/1KP5/4R3 b - -,h5g4 h3g3 d8d1 e1d1 g7e5 d1d4 e5g3 d4g4 g3e5 b2a2,-141
3k4/5R2/3p4/1K2p2p/4Pp1P/1p3Pp1/rP1R2P1/8 b - -,d8d5 e6g7 h5g4 h3g3 h6g7 e1e4 a8a6 b2a3 g7h6 g3g4,Mate
r1b1k1nr/ppp2ppp/2n5/8/1bN5/2P5/PP2PPPP/R1BK1BNR b kq -,b4e7 e2e4 f7f5 e4e5 c8e6 d1c2 e8a8 g1h3 c8b8 f1e2,114
3r2k1/5p1p/3q1bp1/p7/2Q2P2/1P5P/6P1/6RK b - -,g8g7 c4e4 d6d2 g1e1 d8d4 e4e3 d2b4 f4f5 g6g5 h1h2,-621
4k3/2R2b2/3p4/1K2p2p/4Pp1P/1p3Pp1/rP1R2P1/8 b - -,e8f8 b5c6 a2a6 c6b7 a6a4 d2d6 f7e8 d6f6 f8g8 c7e7,546
r2q1b1r/pppn1kpp/3p1n2/3P4/4P1b1/2N2P2/PPP3PP/R1BQKB1R b KQ -,g4h3 g2h3 f6h5 c1e3 d8h4 e3f2 h4f6 d1d2 f6f3 h1g1,218
8/8/8/7p/1P1K1k2/8/8/8 b - -,,0
8/P7/8/1Pp2K1N/3p2pk/8/2p3P1/8 b - -,,0
2r5/4k2p/p5p1/5p2/4pP2/2PnB1P1/PP1R3P/6K1 b - -,a6a5 g1f1 a5a4 e3d4 c8b8 c3c4 b8d8 d4e3 e7e8 b2b3,-18
5R2/4KP2/6k1/8/8/8/8/r7 b - -,g6f5 f8d8 a1a7 e7e8 a7f7 e8f7 f5e5 d8d1 e5e4 f7f6,638
2r3k1/1b1q1pp1/4p2p/p1rp4/7P/PQP4N/1P3PP1/1K1R1B1R b - -,d5d4 f2f3 e6e5 h3f2 b7d5 c3c4 a5a4 b3b6 d5c4 f1c4,256
rr6/4p1b1/4N1pk/4P2p/p5PP/7R/K1P5/4R3 b - -,h5g4 h3g3 b8c8 c2c3 c8c4 e6g7 h6g7 e1g1 a8a6 g3g4,-20
r2q1rk1/ppp1bppp/1n6/3b4/1P1pN3/P2P2P1/1B2PPBP/R2Q1RK1 b - -,,0
3rrbk1/1b1n1pp1/p2p3p/1p2p3/1q2P3/PNNB2Q1/1PP2PPP/2KR3R b - -,b4d4 b3d4 e5d4 c3e2 d6d5 e2d4 d5e4 d3e2 d7c5 d4f5,504
rnb1kbnr/ppp2ppp/8/q3p3/4P3/3P4/PP1B1PPP/RN1QKBNR b KQkq -,a5b6 b1c3 g8f6 a1c1 c8g4 g1f3 g4f3 g2f3 f8e7 f1e2,13
6QK/8/8/8/8/8/8/1k6 b - -,a5b6 b1c3 g8f6 a1c1 c8g4 g1f3 g4f3 g2f3 f8e7 f1e2,Mate
8/1k3r2/1p6/p7/8/PP6/1KP3R1/8 b - -,f7f4 b2c3 b7a6 g2g8 f4h4 g8c8 h4h3 c3b2 h3h1 c8d8,3
r2q1rk1/ppp1b1pp/1n6/5p2/1P1p4/P2P2P1/1B1NPPKP/R2Q1R2 b - -,,0
3rrbk1/1b1n1pp1/p2p3p/1p2p3/4P3/PNPB2Q1/2P2PPP/2KR3R b - -,d7b6 b3d2 b6a4 d2b1 d8c8 h1e1 e8e6 h2h4 f8e7 e1f1,349
r2q1rk1/pp1bnpbp/2npp3/2p3N1/2B1p2Q/2NP4/PPP3PP/R1B2RK1 b - -,h7h6 g5e4 e7f5 h4h5 c6d4 g2g4 d8h4 e4g3 h4h5 g3h5,-155
r1bqk1nr/pppn1ppp/3bp3/3p2B1/4P3/2PP1N2/PP3PPP/RN1QKB1R b KQkq -,g8f6 b1d2 e8h8 d3d4 e6e5 d4e5 d6e5 e4d5 f8e8 f1e2,14
2r3k1/3q1pp1/2b1p2p/p1rp4/2P4P/PQ5N/1P3PP1/1K1R1B1R b - -,c6a4 b3f3 a4d1 f3d1 d7b7 h3f4 c8b8 d1c2 d5c4 h1h3,-367
r2q2k1/1p3pp1/4b2p/3pP3/pNrP1p1P/Pn1Q1NP1/1P3P1K/3RR3 b - -,e6g4 h2g1 f4g3 f2g3 a8c8 d3e3 c8c7 e1f1 d8d7 e3f4,-112
r1bqk1nr/pppn2pp/3bpp2/3p4/4P2B/2PP1N2/PP3PPP/RN1QKB1R b KQkq -,d8e7 e4d5 e6d5 f1e2 g8h6 h4g3 e8h8 e1h1 h6f5 g3d6,30
rr5b/4p2k/4N1p1/4P1Pp/p6P/5R2/K1P5/4R3 b - -,a8a6 e6f8 h7g8 f8d7 b8d8 e1d1 e7e6 f3d3 a6c6 c2c3,44
r4rk1/pppq2pp/1n3b2/5p2/PP1p4/3P1NP1/1B2PPKP/R2Q1R2 b - -,f5f4 b4b5 b6d5 d1b3 g8h8 b3c4 a8d8 a1e1 d5b6 c4c2,-7
2r3k1/3q1pp1/4p2p/p1rp4/b1P4P/P2Q3N/1P3PP1/1K1R1B1R b - -,a4d1 d3d1 d7b7 h3f4 c8b8 d1c2 d5c4 h1h3 c5b5 b2b3,-406
r6b/4pR1k/4N1p1/1r2P1Pp/p6P/8/K1P5/4R3 b - -,h8g7 f7g7 h7h8 g7e7 a8c8 e1e2 b5b4 e6c7 b4h4 e5e6,935
5k1r/3q1p1p/3p2p1/3Np3/4P2P/2b5/1R3PP1/3Q1K1R b - -,c3b2 h4h5 d7c8 h5g6 c8c4 f1g1 c4c1 d1c1 b2c1 g6f7,72
5k1r/3q1p1p/3p2p1/3Np2P/4P3/8/1b3PP1/3Q1K1R b - -,d7c6 h5g6 c6c4 f1g1 c4c1 d1c1 b2c1 g6f7 f8f7 h1h3,67
3rr1k1/p4pp1/1ppqb2p/3p3n/3P4/4PP1P/PP2NQP1/1B1R1RK1 b - -,d6e7 f1e1 c6c5 h3h4 e6c8 g2g4 h5f6 e2f4 g7g5 h4g5,30
r1bqkbnr/ppp2ppp/3p1n2/3Pp1B1/2P1P3/2N2N2/PP3PPP/R2QKB1R b KQkq -,a7a6 a2a4 h7h6 g5e3 g8e7 a4a5 e7g6 g2g3 f8e7 h2h4,108
2r5/4k3/p5pp/5p2/4pP2/2PnB1P1/PP1R3P/5K2 b - -,,0
8/8/8/8/N1K5/1B6/8/2k5 b - -,c1d2 c4d4 d2e2 a4c3 e2d2 c3e4 d2e2 b3a4 e2f3 a4d7,195
1r4k1/3n1Bbp/p2q2p1/4p3/1RP5/4B1P1/P2Q1P1P/6K1 b - -,g8h8 d2d6 b8b4 d6b4 h7h5 b4b7 d7f6 f7g6 a6a5 b7c8,Mate
3rr1k1/p5p1/1pp1Bn1p/3p4/3P3Q/4PPNP/Pq4P1/3R1RK1 b - -,e8e6 g3f5 g8h7 h4f4 b2a3 f1f2 d8f8 f4c7 f6h5 g2g4,34
8/2K5/8/4p3/1P1k4/8/8/8 b - -,,0
r2q1rk1/pb1p1pbp/1pn1pnp1/2p5/2PP4/1PN1PNP1/PB3PBP/R2Q1RK1 b - -,d7d6 f1e1 a8c8 a1c1 d8d7 d1e2 f8e8 c1d1 d7e7 d1d2,30
1r6/3n1kbp/p2Q2p1/4p3/1RP5/4B1P1/P4P1P/6K1 b - -,b8d8 b4b7 f7g8 d6d5 g8h8 b7d7 d8f8 c4c5 h7h5 c5c6,1790
rn1qkb1r/p3pppp/2p2n2/8/3P4/3Q1P2/PPP3PP/RNB1K1NR b KQkq -,e7e6 g1e2 f8e7 b1c3 e8h8 b2b3 b8d7 c1b2 d8a5 e1a1,74
r5kb/4pR2/4N1p1/1r2P1Pp/p6P/8/K1P5/5R2 b - -,,0
rn1qkb1r/p4ppp/2p1pn2/8/3P4/3Q1P2/PPP1N1PP/RNB1K2R b KQkq -,f8e7 b1c3 e8h8 b2b3 f6d5 c1b2 b8d7 e1a1 d8a5 c1b1,88
8/8/2K5/4p3/1Pk5/8/8/8 b - -,,0
rnbqk1nr/ppp2ppp/8/4p3/2BP1p2/2P2N2/P1P3PP/R1BQ1RK1 b kq -,b8d7 f1e1 g8h6 c1f4 d8f6 f4e5 d7e5 e1e5 c8e6 d1e2,198
4Q1k1/5p1p/5bp1/p7/3r1q2/1P5P/6P1/6RK b - -,g8g7 e8e2 d4d2 e2g4 f4f2 g4e4 d2e2 e4f3 f2f3 g2f3,-671
rnb1r1k1/1p4bp/p5p1/2pP4/P1N2q2/4B2P/1P2BP2/R2QK2R b KQ -,f4f8 a1a3 b8d7 a4a5 a8b8 d5d6 f8f6 e1h1 d7f8 e2g4,104
8/8/8/3Kp3/1k6/8/8/8 b - -,,0
r2qkb1r/ppp2ppp/2np4/4P2n/4P1b1/2PP1N2/PP2Q1PP/RNB1KB1R b KQkq -,d8d7 d3d4 d6e5 d4d5 c6e7 e2f2 e7g6 h2h3 g4f3 f2f3,72
1q1r2k1/5p1p/5bp1/p7/2Q2P2/1P5P/6P1/6RK b - -,g8g7 g1c1 d8d2 h1h2 h7h5 h3h4 d2d4 c4c7 b8c7 c1c7,-621
8/8/8/8/1K6/1B6/1N6/1k6 b - -,,0
2r2rk1/p3pp1p/3p2p1/3P1b2/2PB4/4Q3/q3BPPP/5RK1 b - -,c8c7 f1a1 a2c2 g2g4 f5c8 e2d3 c2b3 h2h3 e7e5 d5e6,-87
r1r1R1k1/1p3pp1/p6p/3q1n2/8/4BQ1P/1P3PP1/R5K1 b - -,g8h7 f3d5 c8e8 d5f5 h7g8 g1h1 a6a5 f5f3 a5a4 f3b7,608
