r2q1rk1/1bp2pb1/p2p3B/1p2p3/3PR3/P1N5/1PPQ4/2KR2N1 b - -,f7f6 h6g7 f8f7 g7h6 d8e7 e4g4 g8h8 g1e2 f7h7 d1g1,589
r1b1r1k1/pp1n1ppp/1bpp1n2/8/P2P1N2/2P1B1P1/1P1NBP1P/R3R1K1 b - -,b6a5 b2b4 a5c7 a4a5 d6d5 f4d3 h7h6 e2f1 g7g5 f2f3,58
5rk1/p4p1p/6p1/8/2B5/qNPnR3/5PPP/5RK1 b - -,d3f4 b3d4 f8c8 c4b3 c8b8 g2g3 f4h5 b3c4 a3c5 c4b3,-184
r1bqk1nr/1pp2ppp/pbnp4/4p3/PPB1P3/2P2N2/3P1PPP/RNBQK2R b KQkq -,g8f6 a4a5 b6a7 d2d3 d8e7 e1h1 c8e6 b1d2 e8h8 h2h3,8
2k2b2/pppr4/2bP4/4pQ2/N3P3/P2PB3/1P2KP2/7r b - -,f8d6 a4c3 b7b6 b2b4 a7a6 f5e6 c8b7 e6b3 d7d8 a3a4,32
r4rk1/pp2bppp/1np1p3/3P1q2/3P4/1Q3PP1/P3P1BP/R1BRN1K1 b - -,e6d5 e2e4 f5d7 g2f1 c6c5 d4c5 e7c5 g1h1 a8c8 e4d5,401
8/p1p5/8/1P1P4/1P1P4/6p1/6Pp/5K1k b - -,,0
rn1qk2r/pbpp1ppp/1p2p3/4P3/1b1PnP2/2NQ4/PPP1N1PP/R1B1KB1R b KQkq -,f7f5 h2h4 b7a6 d3e3 d7d5 e5d6 d8d6 a2a3 b4c3 e2c3,-46
1r3bk1/2q1p2p/3pRpp1/3P4/2PB3P/pQ3P2/P5P1/1K2R3 b - -,b8b3 a2b3 a3a2 b1b2 c7a5 d4c3 a5a7 e6e2 f8h6 e1a1,183
4r3/p4kp1/4pp1p/8/2p2PP1/2P1R3/PP2K1P1/8 b - -,e8b8 e3e4 b8b2 e2f3 b2a2 e4c4 a7a5 c4c7 f7g6 c3c4,-33
r1bqr1k1/5pbp/2pp2p1/1p2n2n/3NPP2/2N1B2P/PP4P1/1R1QRBK1 b - -,e5c4 f1c4 b5c4 d4c6 d8d7 c6b4 g7c3 b2c3 e8e4 b4d5,9
8/5k1p/R5p1/1pB5/4p3/1r6/5KPP/8 b - -,h7h5 h2h4 b3c3 c5d4 c3d3 d4e3 b5b4 a6a4 d3b3 e3c5,297
2k2r2/ppp4R/8/4R3/6K1/2r2P2/P4P2/8 b - -,c3f3 e5e7 f3f4 g4g5 f4f5 g5g4 f5c5 f2f4 b7b5 e7e5,-101
r7/7R/2p1k1p1/p3b3/4p3/1P2B3/P4PPP/6K1 b - -,c6c5 e3c5 a8c8 c5e3 e5d4 h7h4 d4e3 f2e3 e6f5 h4f4,158
rnbqk1nr/1p1p1pp1/p3p2p/2b5/2P1N3/5N2/PP2PPPP/R1BQKB1R b KQkq -,c5b4 c1d2 b4d2 d1d2 d7d5 c4d5 e6d5 e4c3 g8f6 e2e3,29
r1b2rk1/1pqp1ppp/p3pn2/2Q5/4PP2/2N3P1/PPP3BP/R1B1R1K1 b - -,c7c5 c1e3 c5c7 e4e5 f6g4 e3d4 f7f5 a2a4 a8b8 h2h3,-449
r2q1rk1/2p2pb1/p2p3B/1p2p3/3PN3/P7/1PPQ4/2KR2N1 b - -,f7f6 h6g7 g8g7 d4e5 a8b8 d2g2 g7f7 e5f6 f7e8 g2g7,613
