r1bqkb1r/pp1ppppp/2n2n2/2p5/2P3P1/7P/PP1PPPB1/RNBQK1NR b KQkq -,e7e6 b1c3 d7d5 g4g5 f6d7 d2d3 d5d4 g2c6 b7c6 c3e4,-9
2r1k1Q1/5p2/4p3/1p3p2/4q3/1P5P/P1r2RP1/5RK1 b - -,e8d7 g8f7 d7d6 f1d1 d6c6 f2c2 e4c2 f7e6 c6b7 d1d7,466
8/p1k1Rpp1/1p5p/8/8/P6P/1P3PP1/6K1 b - -,c7d6 e7f7 g7g6 f7a7 d6e6 a7a6 e6f6 a6b6 f6g5 g1f1,1035
7k/7P/8/6KP/7P/7P/7P/8 b - -,h8h7 h5h6 h7g8 g5g6 g8h8 g6f6 h8h7 f6f5 h7h6 f5g4,3
r2qk2r/ppp1bppp/2n2n2/3Pp3/6b1/2PP1N2/PP1NBPPP/R1BQK2R b KQkq -,c6b8 h2h3 g4h5 f3e5 h5e2 d1e2 d8d5 e1h1 e8h8 e5g4,160
r1bqk1nr/ppp3pp/2n1p3/2bpP3/8/2N1BN2/PPP2PPP/R2QKB1R b KQkq -,c5e3 f2e3 g8h6 e3e4 d5d4 c3b5 h6g4 f3d4 c6e5 d4f3,15
r1bqk2r/p1ppbppp/1pn2n2/4p3/4P3/2PP1PP1/PP2Q2P/RNB1KBNR b KQkq -,d7d5 g1h3 a7a5 h3f2 c8a6 a2a4 d5d4 e2c2 f6d7 b1a3,-162
r1bqkbnr/1ppp1ppp/p1B5/4p3/4P3/7P/PPPP1PP1/RNBQK1NR b KQkq -,g8f6 c6d5 c7c6 d5b3 f6e4 d1e2 d7d5 d2d3 e4f6 e2e5,594
r1b1k1nr/pp2bppp/1qn1p3/3pP3/3P4/2PB1N2/5PPP/RNBQK2R b KQkq -,c8d7 e1h1 a7a6 f1e1 a8c8 f3g5 e7g5 c1g5 g8e7 d1f3,61
8/5p2/r6p/P1k4P/R4P2/3K4/8/8 b - -,c5b5 a4a2 b5c5 a2a1 c5d6 d3c4 d6c6 a1a4 c6b7 c4d4,384
r2qk2r/pbppbppp/1pn2n2/4p3/4P3/2PP1PPN/PP2Q2P/RNB1KB1R b KQkq -,d7d5 h3f2 a7a5 f1g2 e8h8 e1h1 a5a4 c1g5 d5d4 c3c4,-103
