3q1rk1/3np1bp/r2p1pp1/2pP3n/4PP1B/2N2Q2/PP1N2PP/R4RK1 b - -,a6b6 d2c4 b6b4 f3e2 h5f4 f1f4 g6g5 f4f1 g5h4 a2a3,162
rn1qkbnr/pb1ppppp/1p6/2p5/4P3/3P1NP1/PPP2P1P/RNBQKB1R b KQkq -,b8c6 f1g2 d7d5 e4d5 d8d5 e1h1 g8f6 f1e1 d5d7 a2a4,29
rn1qkb1r/pp2pppp/5n2/3p1bB1/2PP4/2N5/PP3PPP/R2QKBNR b KQkq -,d8b6 c4d5 b8d7 a1c1 b6b2 f1d3 f5d3 d1d3 b2a3 g1f3,118
rn1qkb1r/pp3ppp/2b1pn2/2p5/8/2NP1NP1/PP2PPBP/R1BQ1RK1 b kq -,a7a6 e2e4 f8e7 f1e1 e8h8 d3d4 c5d4 f3d4 d8b6 d4b3,69
r1bqkbnr/pp1p1ppp/2n1p3/2P5/4P3/2P5/PP3PPP/RNBQKBNR b KQkq -,f8e7 c1e3 g8f6 b1d2 d8c7 f2f4 b7b6 c5b6 a7b6 f1b5,82
8/8/8/8/R6p/4n3/4K2k/3r4 b - -,h2g3 a4a8 d1d6 e2e3 d6g6 e3e4 g6g4 e4e5 h4h3 a8a3,-453
8/R7/8/8/8/4n2p/4K2k/3r4 b - -,h2g3 e2e3 d1e1 e3d2 e1e4 a7a3 g3g2 a3a2 e4h4 d2d3,-628
rn1qkbnr/pb1ppppp/1p6/2p5/8/5NP1/PPPPPPBP/RNBQ1RK1 b kq -,b8c6 e2e4 e7e6 f1e1 a8c8 c2c3 g8f6 d2d4 c5d4 f3d4,74
r1bqkb1r/pp1ppppp/5n2/1P6/3nP3/2P5/3P1PPP/RNBQKBNR b KQkq -,g7g6 c3d4 f6e4 b1c3 d7d5 f1d3 f8g7 g1f3 c8f5 d1e2,375
rnbqkb1r/ppppnppp/4p3/8/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq -,d7d6 e2e4 c7c5 d4d5 g7g6 h2h4 f8g7 h4h5 e8h8 c1f4,124
r1bqkb1r/pppnpp1p/5np1/3p2B1/3P4/4PN2/PPPN1PPP/R2QKB1R b KQkq -,a7a5 c2c4 f8g7 a1c1 e8h8 c4d5 f6d5 f1c4 d7b6 c4e2,65
r2qkb1r/pp1npppp/2p2n2/3P1bB1/3P4/2N2N2/PP2PPPP/R2QKB1R b KQkq -,d8b6 d5c6 b7c6 c3a4 b6b7 g2g3 h7h6 g5f6 e7f6 f3d2,191
r1bqkb1r/pp1ppppp/4nn2/1P2P3/8/2P5/3P1PPP/RNBQKBNR b KQkq -,d7d6 e5f6 e7f6 d2d4 d6d5 f1d3 f8d6 g1f3 e8h8 e1h1,669
r2qkb1r/ppp1pppp/2n5/3p1b2/3PnB2/2P1PN2/PP1N1PPP/R2QKB1R b KQkq -,f7f6 d2e4 f5e4 d1b3 a8b8 f3d2 e4g6 e3e4 e7e6 f4g3,94
r1bqkbnr/ppp2ppp/3p4/3Pp3/3nP3/2N1B3/PPP2PPP/R2QKBNR b KQkq -,c7c6 e3d4 e5d4 d1d4 g8f6 e1a1 d8b6 f2f4 f8e7 g1f3,136
r1b1k2r/pppp1Npp/2n2q2/4p3/2B1K3/8/PPPP2PP/RNBQ3R b kq -,d7d5 c4d5 f6f4 e4d3 f4d4 d3e2 d4d5 e2f2 d5d4 f2e1,-1100
rnbqkb1r/pppp1ppp/4p1n1/8/2PPP3/2N5/PP3PPP/R1BQKBNR b KQkq -,f8b4 h2h4 g6h4 g1e2 h4g6 c1e3 c7c5 d4c5 d8e7 a2a3,160
rn1qkbnr/pb1ppp1p/1p4p1/2p5/3P4/5NP1/PPP1PPBP/RNBQ1RK1 b kq -,a7a6 d4d5 f8g7 c2c4 d7d6 b1c3 b8d7 a2a4 g8f6 e2e4,126
rnbqk2r/pppp1ppp/8/3Pp3/2P1n3/5K1P/PP2P1P1/RNBQ1BNR b kq -,d8h4 c1g5 e4g5 f3e3 g5e4 g2g4 f7f5 g1f3 h4h6 g4g5,-918
4k3/5n2/1Q2K3/8/8/8/8/8 b - -,e4d6 b1c3 f7f5 e2e4 e8h8 f3g3 f5f4 g3h2 d6f7 g2g3,Mate
8/8/3K4/4R3/3k4/8/8/8 b - -,e4d6 b1c3 f7f5 e2e4 e8h8 f3g3 f5f4 g3h2 d6f7 g2g3,Mate
r1bqk2r/pppp1ppp/2n2n2/4p1B1/1b2P3/2NP4/PPPQ1PPP/R3KBNR b KQkq -,h7h6 g5f6 d8f6 a2a3 b4c3 b2c3 d7d6 g1e2 c8e6 c3c4,-93
rnbq1rk1/ppppnpbp/6p1/4p3/2P1P3/2N3P1/PP1PNPBP/R1BQK2R b KQ -,b8c6 d2d3 d7d6 e1h1 a7a5 c3b5 c8g4 h2h3 g4e2 d1e2,41
r1bqk2r/ppp2ppp/2np1n2/4p1B1/1b2P3/2NP1N2/PPPQ1PPP/R3KB1R b KQkq -,h7h6 g5f6 d8f6 a2a3 b4c3 d2c3 c8g4 f1e2 e8a8 e1h1,-68
rnbq1rk1/ppp1npbp/3p2p1/4p3/2P1P3/2N3P1/PP1PNPBP/R1BQ1RK1 b - -,b8c6 d2d3 a7a5 c3b5 c6b4 c1e3 c8e6 a2a3 b4a6 b5c3,41
r1bqk2r/pppnppbp/5np1/3p2B1/2PP4/4PN2/PP1N1PPP/R2QKB1R b KQkq -,e7e6 a1c1 e8h8 g5h4 h7h6 d1c2 c7c5 c4d5 e6d5 d4c5,75
r1bqk2r/pp2bppp/2n1pn2/8/2BP4/P1N2N2/1P3PPP/R1BQK2R b KQkq -,h7h6 e1h1 e8h8 f1e1 e7d6 d1d3 c8d7 c3e4 f6e4 d3e4,29
rn1qkbnr/pb1ppp1p/1p4p1/2p5/8/3P1NP1/PPP1PPBP/RNBQ1RK1 b kq -,a7a6 f1e1 f8g7 e2e4 d7d6 d3d4 c5d4 f3d4 b8d7 c2c4,77
rnbqkb1r/pp1p1ppp/4p1n1/2pP4/2P1P3/2N5/PP3PPP/R1BQKBNR b KQkq -,d7d6 f1d3 f8e7 f2f4 e8h8 g1f3 e6d5 c3d5 b8c6 e1h1,95
rn1qk1nr/pb1pppbp/1p4p1/2p5/4P3/3P1NP1/PPP2PBP/RNBQ1RK1 b kq -,a7a6 f1e1 d7d6 d3d4 c5d4 f3d4 b8d7 b2b3 e7e5 d4e2,60
rnb1k1nr/ppNp1ppp/4q3/2b1p3/4P3/5N2/PPPP1PPP/R1BQKB1R b KQkq -,e8d8 c7e6 f7e6 f3e5 g8h6 d2d4 c5d6 d1h5 b8c6 h5g5,1173
r1bqkbnr/pppp1ppp/8/3Pp3/2Pn4/4P3/PP3PPP/RNBQKBNR b KQkq -,d4e6 d5e6 f7e6 d1h5 g7g6 h5e5 g8f6 c1d2 f8g7 e5g5,480
8/r7/8/5bk1/8/5B2/5RPP/6K1 b - -,a7a4 h2h3 a4b4 g1h2 f5g6 f2d2 g5f4 d2d6 g6f5 d6d8,369
rnb2knr/pp1p1ppp/4N3/2b1p3/4P3/5N2/PPPP1PPP/R1BQKB1R b KQ -,f8e8 e6c7 e8e7 c7a8 g8f6 c2c3 f6e4 d1e2 d7d5 d2d3,1897
rn1qk1nr/pb2ppbp/1p1p2p1/2p5/4P3/3P1NP1/PPPN1PBP/R1BQ1RK1 b kq -,e7e6 c2c3 g8f6 d2c4 e8h8 c1f4 e6e5 f4g5 b6b5 c4e3,30
r1bqkb1r/pp1pnppp/4p3/2p5/2BnP3/2N5/PPPPNPPP/R1BQ1RK1 b kq -,d4e2 c3e2 e7g6 a2a4 f8e7 d2d4 c5d4 e2d4 b7b6 c4d3,29
r1bqkbnr/pp3ppp/2np4/2p1p3/3P4/1P2PN2/PBP2PPP/RN1QKB1R b KQkq -,c8g4 d4e5 d6e5 h2h3 d8d1 e1d1 g4f3 g2f3 f8d6 b1d2,106
2r5/8/5K1k/8/6R1/6NP/8/8 b - -,c8c6 f6e5 c6c5 e5e6 c5c6 e6d5 c6a6 h3h4 a6a5 d5e4,387
rn1qk2r/pbppbppp/1p2pn2/4P1B1/2PP4/2N5/PP3PPP/R2QKBNR b KQkq -,c7c5 e5f6 g7f6 g5h4 c5d4 d1d4 b8c6 d4e3 a8c8 g1f3,458
r1bqk2r/pppp1ppp/2n2n2/2b1p3/2B1P3/3P1N2/PPP2PPP/RNBQ1K1R b kq -,h7h6 h2h3 d7d5 e4d5 f6d5 b1d2 c5b6 d2e4 a7a6 f1g1,-102
r1bqkbnr/pp3ppp/2np4/3P4/4p3/1P3N2/PBP2PPP/RN1QKB1R b KQkq -,e4f3 d1f3 c6e5 f1b5 c8d7 b5d7 d8d7 f3e2 e8a8 e1h1,-353
r1bqkb1r/pp2pp1p/2n2np1/3p4/2PN4/6P1/PP2PPBP/RNBQ1RK1 b kq -,a7a6 c4d5 c6d4 d1d4 f8g7 b1c3 e8h8 d4d3 b7b5 f1d1,237
rnbqkb1r/ppp2ppp/3p1n2/4p3/3PP3/2NB4/PPP2PPP/R1BQK1NR b KQkq -,e5d4 c3d5 f6d5 e4d5 c7c5 d5c6 b8c6 g1f3 f8e7 e1h1,-87
r1b1k2r/pppp1Npp/2n5/4p3/2B2q2/3K4/PPPP2PP/RNBQ3R b kq -,d7d5 c4d5 f4d4 d3e2 d4d5 e2f2 d5d4 f2e1 d4h4 g2g3,-1065
r1bqk2r/pp1nppbp/5np1/3P4/Q1B5/2N2N2/PP1P1PPP/R1B1K2R b KQkq -,d8c7 e1h1 e8h8 d2d3 d7b6 a4b3 c8g4 c3b5 c7d8 f3e5,90
r1bqk1nr/pppp1ppp/2n5/2b5/2B1P3/2p2N2/PP3PPP/RNBQ1RK1 b kq -,d7d6 b1c3 g8e7 c3a4 e8h8 a4c5 d6c5 c1f4 c6d4 f3d4,-32
r1bqkbnr/pppp1ppp/2n5/4p3/3P4/4P3/PPP1BPPP/RNBQK1NR b KQkq -,g7g6 d4e5 c6e5 e3e4 d7d6 b1c3 f8g7 c1f4 g8f6 g1f3,55
rnbqkbnr/pp3ppp/2p5/3pp3/4P3/3P1Q1N/PPP2PPP/RNB1KB1R b KQkq -,g8f6 f1e2 f8b4 c2c3 b4d6 f3g3 b8d7 c1e3 e8h8 e1h1,-115
rnbqkb1r/ppp2ppp/3p1n2/3N4/3pP3/3B4/PPP2PPP/R1BQK1NR b KQkq -,f8e7 g1e2 f6d5 e4d5 c7c5 d5c6 b8c6 e1h1 e8h8 c1d2,-56
r1bqkbnr/p4ppp/2p1p3/3p4/4P3/3B4/PPP2PPP/RNBQ1RK1 b kq -,g7g6 c2c4 f8g7 c4d5 c6d5 d3b5 c8d7 b5d7 d8d7 e4d5,91
r1bqk2r/1p1nppbp/p4np1/3P4/Q1B5/2NP1N2/PP3PPP/R1B1K2R b KQkq -,d8c7 c4b3 e8h8 c1e3 c7d6 e1h1 d7c5 e3c5 d6c5 a4f4,77
r2qkbnr/pb1p1ppp/1pn1p3/2p1P3/3P1P2/2P2N2/PP4PP/RNBQKB1R b KQkq -,g8h6 d4c5 f8c5 b1d2 d8c7 f1b5 e8h8 b5d3 c6e7 d1e2,-53
r1b1k2r/ppp2Npp/2n5/3Bp3/5q2/3K4/PPPP2PP/RNBQ3R b kq -,f4d4 d3e2 d4d5 e2e1 d5g2 d1e2 g2h1 e2f1 h1h2 f1f2,-977
r1bq1rk1/pppnppbp/3p1np1/8/3PP3/1PNB1N2/P1P2PPP/R1BQ1RK1 b - -,e7e5 d4e5 d7e5 f3e5 d6e5 d3c4 d8e7 a2a4 f8d8 d1f3,31
6k1/4p1Pp/7B/3K4/8/8/8/8 b - -,e7e5 d4e5 d7e5 f3e5 d6e5 d3c4 d8e7 a2a4 f8d8 d1f3,Mate
r1b3Br/ppp1k1pp/3p4/8/3P4/1Q3N2/P4PPP/b5K1 b - -,c8g4 b3f7 e7d8 f7g7 g4f3 g7h8 d8d7 h8h7 d7c6 g8e6,728
r1b1k2r/ppp2Npp/2n5/3Bp3/3q4/8/PPPPK1PP/RNBQ3R b kq -,d4d5 h1f1 c8g4 f1f3 e8h8 e2e1 d5d4 d1e2 f8f7 d2d3,-966
rnbq1rk1/ppp1ppbp/6p1/3n4/3PP3/2N2N2/PP3PPP/R1BQKB1R b KQ -,c8e6 e4d5 e6d5 f1b5 c7c6 c3d5 c6b5 d5e3 e7e6 e1h1,313
r1b1kbnr/pp1p1ppp/1qn1p3/2p5/3PP3/2P1BN2/PP3PPP/RN1QKB1R b KQkq -,f8e7 b1a3 d7d5 d4c5 e7c5 e3c5 b6c5 a3b5 c5e7 e4e5,90
Qn2kbnr/3q1ppp/2N1p3/2p5/2pP4/4P3/5PPP/1NB1KB1R b - -,d7c7 c6b8 f8d6 d4c5 c7b8 a8c6 e8f8 c6d6 b8d6 c5d6,1120
r1b1qrk1/pppn1pbp/3p2p1/4p3/2PPn3/4PN1P/PP1NBPPB/R2Q1RK1 b - -,d7f6 d4e5 d6e5 h2e5 e8e7 d2e4 f6e4 d1d4 g7e5 d4e5,141
