r2qrb1k/pp1n3p/2p3QB/8/2BP2p1/2P5/PP2NP2/2K4R b - -,f8h6 g6h6 e8e7 e2f4 d7f8 h1h5 e7g7 h5f5 b7b5 c4b3,Mate
5k2/1p6/2b5/1p4BN/5PP1/7K/Pb6/8 b - -,b2c1 h3h4 c6d5 f4f5 c1g5 h4g5 b5b4 h5f4 d5a2 f4d3,3
8/8/8/1Q5p/5pk1/8/5K2/8 b - -,b2c1 h3h4 c6d5 f4f5 c1g5 h4g5 b5b4 h5f4 d5a2 f4d3,Mate
r1bq1rk1/pp1n1pbp/3p2p1/2Pn4/8/2PB1N2/PP3PPP/RNBQR1K1 b - -,f8e8 e1e8 d8e8 d3f1 d7f6 c3c4 d5b4 c5d6 c8f5 b1a3,217
1rb2rk1/1pqnppbp/p2p1np1/8/5N2/1PN1P1P1/PBP2PBP/R2Q1RK1 b - -,e7e6 a2a4 b7b6 c3b1 c8b7 g2b7 c7b7 d1e2 b6b5 a4b5,-54
r1bqk2r/pp3ppp/2n2b2/1B1p4/2pP4/2P1PN2/P4PPP/RN1Q1RK1 b kq -,e8h8 b1d2 c8f5 f1e1 c6e7 a1c1 d8a5 b5a4 g7g6 a4c2,-62
r3n1k1/5b1p/1q2p1pB/p3Q3/4N2P/1P3N2/P4PP1/6K1 b - -,b6b8 e4f6 e8f6 e5f6 b8f8 h6f8 a8f8 f3e5 f7e8 f6e6,807
6k1/1P3R2/6P1/8/8/3B4/1r6/3K4 b - -,b6b8 e4f6 e8f6 e5f6 b8f8 h6f8 a8f8 f3e5 f7e8 f6e6,Mate
r1b4k/p2nb1p1/1p3q1p/2p1pn1B/7P/2PPNQP1/PP3P2/R1B1R1K1 b - -,a8b8 f3f5 b6b5 h5g6 d7f8 f5f6 e7f6 g6h5 c8e6 e3g4,902
3r1bk1/1p1r1pp1/2pq3p/8/p7/P3P2Q/1N2RPPP/R5K1 b - -,d6a3 a1f1 a3b4 b2a4 b4a4 e2e1 a4e4 e1a1 d7d5 g2g3,-590
8/1p3qk1/p3p3/3p1pp1/2nP4/1Q2P1P1/PP3PKN/8 b - -,f7e7 h2f3 g7f6 f3e1 e7c7 b3b4 c7e7 b4c3 e7d8 e1d3,17
6k1/pb4pp/3n4/2Q2p2/2p5/P3P1P1/1B3PqP/2R1K3 b - -,g2h1 e1e2 b7f3 e2d2 d6e4 d2c2 h1c1 b2c1 e4c5 c2c3,-513
r1bqkbnr/pp1p1p1p/2n1p1p1/8/3NP3/2N3P1/PPP2PBP/R1BQK2R b KQkq -,d7d6 c1e3 a7a6 d4c6 b7c6 d1d2 a8b8 e1a1 d8a5 c3b1,126
2r5/1b4bk/6p1/pp2p2n/6PR/8/PPP4P/3R2K1 b - -,c8c4 a2a4 b7c8 a4b5 g7f6 g4g5 c4h4 g5f6 h5f6 c2c3,-561
8/6p1/6r1/6P1/p1k5/8/K7/3R4 b - -,g6g5 a2a3 g5d5 d1g1 g7g5 a3a4 c4d3 a4b3 d5e5 g1g3,-470
8/8/1Q2ppk1/6p1/1p4Pp/5q1P/P4P1K/8 b - -,f3f4 h2g1 f4c1 g1h2 c1c2 h2g1 c2b1 g1g2 b1a2 b6b4,-9
1r2r1k1/5n1p/1p1p1qp1/pNpP4/P1Q2P2/1PP3P1/6KP/R4R2 b - -,e8e3 a1a2 b8e8 b5c7 e8c8 c7e6 f6c3 c4c3 e3c3 f1f3,12
r4rk1/p1pb2pp/2p2q2/2b5/3Np3/4B3/PPP1QPPP/R3R1K1 b - -,f6f7 d4e6 f7e6 e3c5 f8f5 b2b4 a7a5 a2a3 a8e8 e2d2,91
r1bqkb1r/pp3ppp/2N1p3/6P1/4p3/8/PPP2P1P/R1BQKB1R b KQkq -,d8b6 c6d4 f8c5 c2c3 e6e5 b2b4 c5d4 c3d4 e5d4 f1g2,136
7Q/p3kp2/1qp5/1p1b1P2/3P4/2PBr1P1/PP3KP1/5R2 b - -,b6c7 f5f6 e7d7 d3f5 d5e6 h8g8 c7d6 g8f7 d7c8 f7e8,683
r3kb1r/p3nppp/1qp1p3/3pP3/3P4/2N2Q1P/PP3PP1/R1B2RK1 b kq -,b6d4 c3e2 d4e5 c1f4 e5f6 f3a3 e6e5 f4h2 e7g6 a3a6,-133
8/8/8/7p/6k1/3Q1p2/5K2/8 b - -,a8c8 f1d1 e7f5 f3d3 b6b7 c3a4 b7b5 b2b3 f8e7 d3c2,Mate
6k1/6b1/2b3p1/p1p1pp2/2P1P1pP/P1N3N1/5PP1/6K1 b - -,,0
6k1/1P1R4/6P1/8/1r6/3B4/8/3K4 b - -,c6d7 g3f1 g7h6 f1e3 g8g7 g1f1 f5f4 e3d5 f4f3 d5e3,Mate
r1b1k2r/3p1ppp/p1q1pn2/2B5/1p2P3/3B1P2/PPPQN1PP/R3K2R b KQkq -,e6e5 c5b4 d7d5 d2c3 c6e6 h1f1 c8b7 b4a3 a8d8 e2g3,589
8/3R1k2/p7/1p3P1K/8/1Pr1p3/P4b2/5N2 b - -,f7f6 f1e3 f2e3 h5g4 c3c6 d7h7 e3c1 a2a4 b5a4 b3a4,-321
rnbqkb1r/ppp1pp1p/3p2p1/8/2B1n3/5N2/PPPPQPPP/RNB2RK1 b kq -,e4f6 d2d4 f8g7 f1e1 e7e6 c4b3 b7b6 c2c4 e8h8 b1c3,-94
r4r2/pk1R4/4R2p/1p2Bp2/8/8/PPP3PP/2K5 b - -,e4f6 d2d4 f8g7 f1e1 e7e6 c4b3 b7b6 c2c4 e8h8 b1c3,Mate
8/6p1/8/6r1/p1k5/8/K7/R7 b - -,g5a5 a1g1 g7g5 a2a3 c4d3 a3b4 a5f5 b4a4 d3e3 a4b4,-470
8/1p3q2/p3pk2/3p1pp1/2nP4/1Q2PNP1/PP3PK1/8 b - -,f7g7 b3c2 f5f4 b2b3 g5g4 b3c4 g4f3 g2f3 f4g3 f2g3,38
8/8/1Q2ppk1/6p1/1p3qPp/7P/P4PK1/8 b - -,f4e4 g2g1 e4b1 g1g2 b1a2 b6b4 a2a8 g2g1 g6f7 b4b1,-9
