8/8/8/1R1k4/p7/PP6/3q4/1K6 b - -,d5e4 b3a4 e4d4 b1a1 d4c3 b5b4 d2d5 b4b1 d5d3 b1b2,-93
8/8/4r3/3k4/8/5K2/3Q4/8 b - -,d5e5 d2d3 e6f6 f3e3 f6e6 d3b5 e5d6 e3f4 e6e7 b5d3,196
8/8/4r3/4k3/8/4QK2/8/8 b - -,e5d5 e3d3 d5e5 d3e4 e5f6 e4c4 e6e5 c4c3 f6f5 c3d3,192
r1b1kbnr/pp1p1ppp/2n5/1Bp1p3/4PP1q/2N3P1/PPPP3P/R1BQK1NR b KQkq -,a7a6 g3h4 a6b5 g1f3 g8f6 f4e5 f6g4 c3d5 a8a5 d2d4,582
8/5p1k/4q1pp/8/5P1P/6P1/R6K/4Q3 b - -,e6e1 h2g2 h7g7 g2f3 e1h1 f3e3 g7f6 a2c2 h1e1 e3f3,-764
rnbqkbnr/pp1pp1pp/5p2/2p1N3/4P3/8/PPPP1PPP/RNBQKB1R b KQkq -,f6e5 d1h5 g7g6 h5e5 g8f6 b1c3 d7d6 e5g5 b8c6 f1c4,-368
rnbqkbnr/pp1pp1pp/8/2p1p2Q/4P3/8/PPPP1PPP/RNB1KB1R b KQkq -,g7g6 h5e5 g8f6 b1c3 d7d6 e5g5 b8c6 f1c4 c6d4 e1h1,-375
rnbqkbnr/pp1pp2p/6p1/2p1Q3/4P3/8/PPPP1PPP/RNB1KB1R b KQkq -,g8f6 b1c3 d7d6 e5f4 b8c6 f1c4 c6d4 e1h1 c8e6 c4e6,-369
r1bqk2r/2p2ppp/p1n2n2/1pbPp1N1/8/1B6/PPPP1PPP/RNBQ1RK1 b kq -,c6a7 b1c3 c8g4 d1e1 e8h8 d2d3 c5d4 h2h3 g4f5 a2a4,171
r1bqkbnr/pp3ppp/2np4/2pPp3/2P1P3/5N2/PP2BPPP/RNBQK2R b KQkq -,c6d4 f3d4 c5d4 b1d2 g8f6 e1h1 f6d7 b2b4 a7a5 b4a5,50
r1bqkbnr/pp3ppp/3p4/2pPp3/2PNP3/8/PP2BPPP/RNBQK2R b KQkq -,c5d4 a2a4 g8f6 b1d2 a7a5 c4c5 d6c5 e2b5 c8d7 b5d3,46
R7/4r3/4k3/4p3/4Kp2/8/8/8 b - -,e6f6 a8a6 f6g5 a6a5 g5g4 a5a4 e7b7 e4e5 g4g3 e5e4,-484
4n1k1/p1p2p1p/1p6/2PP2B1/8/3R2PP/P3rPBK/3b4 b - -,h7h6 g5h6 d1a4 d3a3 a4b5 h6e3 b6c5 g2f3 e2c2 a3a7,422
4n1k1/p1p2p1p/1p1P4/2P3B1/b7/3R2PP/P3rPBK/8 b - -,e2f2 d6d7 a4d7 d3d7 f2a2 g5h6 b6c5 d7e7 e8g7 e7c7,411
8/8/3k4/1Q3K2/3r4/8/8/8 b - -,,0
4n1k1/p4p1p/1p1P4/6B1/b7/3R2PP/P3rPBK/8 b - -,e2f2 d6d7 a4d7 d3d7 f2a2 g5h6 a2e2 d7a7 e2e6 h6f4,403
r1b1kb1r/pp3ppp/2n1q3/8/3P4/4N3/PP3PPP/R2QKBNR b KQkq -,f8b4 e1e2 e6f6 g1f3 e8h8 a2a3 b4a5 b2b4 a5b6 e3d5,-318
8/5p1k/6pp/8/5P1P/4q1P1/R6K/4Q3 b - -,e3e1 a2g2 h7g7 g2g1 e1f2 g1g2 f2e3 g2a2 e3e1 h2g2,-665
rnbqkbnr/pp2pp1p/3p2p1/2pP4/2P1P3/5N1P/PP3PP1/RNBQKB1R b KQkq -,f8g7 f1e2 e7e6 e1h1 e6e5 b1c3 g8e7 f3h2 b8d7 f2f4,100
rnb1kb1r/ppp1qppp/5n2/8/2BPp3/1QN5/PP3PPP/R1B1K1NR b KQkq -,a7a6 c1g5 b7b5 c4d5 c7c6 a1c1 c6d5 c3d5 c8e6 b3g3,-57
4n1k1/p4p1p/1p1P4/6B1/8/4R1PP/P3rPBK/3b4 b - -,d1a4 e3e2 e8d6 e2e7 a4b5 g5f4 d6e8 e7a7 g8g7 g2d5,1059
r1bqkb1r/pp1p1ppp/4pn2/8/2BQP3/8/PPP2PPP/RNB1K2R b KQkq -,d8c7 c4d3 f8c5 d4c3 a7a5 a2a3 e8h8 c1e3 b7b6 b1d2,-15
1B6/k7/2K5/1P6/8/8/8/8 b - -,d8c7 c4d3 f8c5 d4c3 a7a5 a2a3 e8h8 c1e3 b7b6 b1d2,Mate
1N6/k7/2K5/1P6/8/8/8/8 b - -,d8c7 c4d3 f8c5 d4c3 a7a5 a2a3 e8h8 c1e3 b7b6 b1d2,Mate
r1bqk1nr/pp1nppbp/2p3p1/3p4/3P1B1P/2N1P3/PPP1BPP1/R2QK1NR b KQkq -,d8b6 c3a4 b6a5 a4c3 e7e5 d4e5 d7e5 d1d2 h7h5 e3e4,-14
r1bqkbnr/ppp2ppp/2n5/3p4/2B5/2N5/PPPPQPPP/R1B1K1NR b KQkq -,c8e6 c3d5 b7b5 c4b3 c6d4 e2e4 d4c2 e4c2 e6d5 g1f3,29
r1bqkb1r/pp2ppp1/2np1n1p/2p5/8/3P1NP1/PPPNPPBP/R1BQ1RK1 b kq -,d8c7 c2c3 e7e5 e2e4 f8e7 d2c4 c8e6 c4e3 d6d5 e4d5,19
r1bqkb1r/ppp2ppp/2n1pn2/3p4/3P1BP1/3BP3/PPP2P1P/RN1QK1NR b KQkq -,f6g4 f4g3 f7f5 b1c3 f8d6 d1d2 c8d7 e1a1 g4f6 g3d6,-87
4Q3/8/3k4/r7/4K3/8/8/8 b - -,f8d6 f4d6 c7d6 b1c3 e8h8 h2h4 d8b6 f2f3 e6e5 g4g5,Mate
rnbqkbnr/ppppppp1/8/8/5P1p/1P3N2/P1PPP1PP/RNBQKB1R b KQkq -,d7d5 e2e3 c8f5 c1b2 e7e6 f1e2 g8f6 e1h1 b8c6 h2h3,-10
rnbqkbnr/ppp1ppp1/8/3p4/5P1p/1P3N2/PBPPP1PP/RN1QKB1R b KQkq -,b8c6 e2e3 a7a6 c2c4 c8f5 c4d5 d8d5 b1c3 d5d7 h2h3,13
2Q2r1k/p5pp/1p6/3B1p2/8/8/PP3PPP/4R1K1 b - -,f8c8 d5e6 c8d8 e6f5 g7g5 g1f1 d8d2 e1b1 h8g7 f5g4,568
r1bqk2r/pp2bppp/2nppn2/2p5/4P3/P1N5/BPPPNPPP/R1BQ1RK1 b kq -,e8h8 d2d4 c6d4 e2d4 c5d4 d1d4 a7a6 d4d3 b7b5 c1f4,-15
