8/8/8/8/2k1N3/8/2p4K/8 b - -,c6b4 d1a4 f6d7 f3g4 b4d3 e1e2 c7c6 b2b4 d3c1 a1c1,Mate
8/8/2Q5/6K1/1k6/8/8/8 b - -,c6b4 d1a4 f6d7 f3g4 b4d3 e1e2 c7c6 b2b4 d3c1 a1c1,Mate
2kr3r/pb1n1p2/4pP2/1pb5/2p1QB2/2N2q2/PP3PPP/R4RK1 b - -,c6b4 d1a4 f6d7 f3g4 b4d3 e1e2 c7c6 b2b4 d3c1 a1c1,Mate
rnbqkb1r/pp3ppp/4p3/2pn4/2B2P2/3P1N2/PPP3PP/RNBQK2R b KQkq -,f8d6 g2g3 e8h8 c1d2 a7a6 a2a4 b7b6 e1h1 d6e7 b1c3,-74
rnbq1rk1/ppppbppp/5n2/4B3/2P5/P3P3/3P1PPP/RN1QKBNR b KQ -,d7d5 c4d5 f6d5 e5b2 c7c5 d1c2 b8c6 b1c3 e7f6 c3d5,-55
r1bqkbnr/pp2pp1p/2np2p1/8/3NP3/4B3/PPP2PPP/RN1QKB1R b KQkq -,d8a5 b1c3 f8g7 d1d2 g8f6 f2f3 c6d4 e3d4 c8e6 f1b5,48
rnbqk2r/ppp1ppbp/5np1/3p4/3P1B2/2P3P1/PP2PPBP/RN1QK1NR b KQkq -,c7c5 g1f3 e8h8 e1h1 d8b6 d1b3 b8c6 h2h3 h7h6 b1d2,-12
rnbqkb1r/p1pppp1p/1p3np1/8/2PPP3/2N5/PP3PPP/R1BQKBNR b KQkq -,c8b7 e4e5 f6e4 c3e4 b7e4 d4d5 e7e6 f2f3 e4f5 g2g4,204
8/5b2/5k2/8/4QK2/8/8/8 b - -,f6g8 f2f4 f8g7 g1f3 d7d6 f1d3 b8d7 e1h1 c8b7 d1e1,Mate
rn1qkbnr/ppp1pppp/8/3p4/6b1/4PNP1/PPPP1P1P/RNBQKB1R b KQkq -,b8d7 h2h3 g4h5 c2c4 e7e6 d2d4 g8f6 f1d3 d5c4 d3c4,-46
rn1qkb1r/ppp2ppp/1n2p3/8/3PP1b1/P4N2/1P2BPPP/RNBQK2R b KQkq -,g4f3 e2f3 b8c6 c1e3 d8d7 b1c3 e8a8 c3e2 f7f5 d1c2,94
rnbqk1nr/ppp1b1pp/3p4/4Pp2/2B1P3/5N2/PPP2PPP/RNBQK2R b KQkq -,d8d7 d1d5 e7d8 b1c3 c7c6 d5d6 d7d6 e5d6 b7b5 c4b3,661
rnbq1rk1/ppp1ppbp/3p1np1/7P/2PP4/2N2N2/PP2PPP1/R1BQKB1R b KQ -,c7c5 h5h6 g7h8 d4d5 c8g4 e2e4 f6h5 f1e2 b8d7 d1b3,109
rnbqkb1r/pp3ppp/2pp1n2/8/2B5/5N2/PPPP1PPP/RNBQK2R b KQkq -,d6d5 c4e2 f8d6 e1h1 e8h8 d2d4 b8a6 c2c4 d5c4 e2c4,-82
rnbqk2r/pppp1pbp/4pnp1/8/2PP3P/2N2N2/PP2PPP1/R1BQKB1R b KQkq -,b7b6 e2e4 d7d6 f1d3 b8d7 d3c2 e6e5 d1e2 h7h6 d4e5,87
rnbqkbnr/pp3ppp/8/3p4/3Pp3/2N5/PP1NPPPP/R1BQKB1R b KQkq -,g8f6 d2b3 f8b4 c1f4 f6h5 f4d2 b8c6 e2e3 h5f6 f1e2,-54
rnbqkb1r/pp3ppp/5n2/3p4/3Pp3/1NN5/PP2PPPP/R1BQKB1R b KQkq -,f8b4 c1f4 f6h5 f4d2 b4c3 b2c3 e8h8 a2a4 b8c6 a4a5,-57
rnbqk1nr/ppp1b1pp/3p4/3QP3/2B1p3/5N2/PPP2PPP/RNB1K2R b KQkq -,e8d7 d5e4 d7e8 e4d5 e8d7 e1h1 d8f8 e5d6 c7d6 f3e5,519
rnbqkbnr/pp1ppp1p/6p1/2p5/4P3/3P1Q2/PPP2PPP/RNB1KBNR b KQkq -,b8c6 c2c3 g8f6 f1e2 d7d5 c1g5 f8g7 g5f6 e7f6 e4d5,-95
rnbqk1nr/ppp1bppp/3p4/4p3/4P3/1P3N2/PBPP1PPP/RN1QKB1R b KQkq -,f7f5 b1c3 g8f6 f1d3 b8c6 e1h1 e8h8 d3c4 g8h8 f3g5,-40
r1bqk1nr/pp1p1pbp/2n1p1p1/2p5/2P1P3/2NP1N2/PP1B1PPP/R2QKB1R b KQkq -,g8e7 f1e2 d7d6 e1h1 e8h8 a2a3 b7b6 b2b4 c8b7 b4b5,-67
