8/6Kp/6p1/5p2/5P1k/8/6P1/8 b - -,d7d5 f1e2 g8e7 e4d5 e6d5 d3d4 e8h8 e1h1 c8f5 f3h4,Mate
r2qkbnr/1p1n1ppp/p7/2pPp3/P1B1P1b1/2N2N2/1P3PPP/R1BQ1RK1 b kq -,g8f6 d1d3 g4f3 d3f3 f8e7 f1d1 d8c7 c3e2 e8h8 e2g3,156
r1b2rk1/1p1nqppp/4p3/p7/P1Q1P3/2B3PP/1P3PB1/R2R2K1 b - -,f8e8 c4c7 d7f8 c3a5 c8d7 a5c3 a8a4 c7b7 a4a1 d1a1,215
rnb1kbnr/pp2pppp/8/3q4/1p6/P7/2PPNPPP/RNBQKB1R b KQkq -,e7e5 a3b4 f8b4 e2c3 d5d4 a1a4 b8c6 f1b5 g8e7 c3e2,-78
3Q1N2/5p1k/2N3p1/1p2P2p/1Pr5/r3bP2/q5PP/3R1K2 b - -,e7e5 a3b4 f8b4 e2c3 d5d4 a1a4 b8c6 f1b5 g8e7 c3e2,Mate
8/2p2k1p/2Pp2p1/3Pp3/4P1PN/4K2P/8/1b6 b - -,,0
2kr2nr/pppb1ppp/8/3p4/3N1P2/2PB4/PP3PPP/R3K2R b KQ -,c7c5 d4f3 d8e8 e1d2 f7f6 b2b4 b7b6 a2a4 g8e7 a4a5,-8
3R4/5k2/p2p2q1/2pP4/2P1pp2/P1B2Pp1/2B5/5NK1 b - -,f7e7 c2e4 g6h6 d8h8 h6g5 h8h7 e7d8 g1g2 d8c8 e4d3,1066
r1bqk2r/ppp1b1pp/2n1pn2/3p1pB1/3P1Q1P/2P2N2/PP2PPP1/RN2KB1R b KQkq -,e7d6 f4c1 h7h6 g5f4 d8e7 g2g3 c8d7 b1d2 e8a8 e2e3,-54
r2qkbnr/p1p1p1pp/1p1p1p2/3bn3/3N1P2/1P2P3/PBP3PP/RN1QKB1R b KQkq -,d5b7 f4e5 d6e5 f1b5 e8f7 b5c4 f7e8 d4e6 d8d1 e1d1,323
2kr3r/pppb1ppp/5n2/3p4/3N1P2/2PB4/PP3PPP/2KR3R b - -,c7c5 d4c2 h8e8 h1e1 f6g4 f2f3 g4f2 e1e8 d8e8 d1d2,-25
r4rk1/pp3ppp/3p4/3Pp3/3nP2P/3B2P1/PP1q1P2/R2Q1K1R b - -,d2b2 h4h5 h7h6 d1c1 b2b4 a1b1 a8c8 b1b4 c8c1 f1g2,-185
1br3k1/5ppp/p1p3q1/2P5/5P1P/P5P1/1B2Q2K/5R2 b - -,g6f5 b2d4 h7h5 d4f2 c8d8 f1e1 g8h7 e2e4 f5e4 e1e4,4
8/2p4p/2Pp1kp1/3Pp3/4P1P1/4KN1P/8/1b6 b - -,,0
r1bqkb1r/1pp1pppp/p4n2/1n1P2B1/2B1P3/2N2N2/PP3PPP/R2QK2R b KQkq -,b5c3 b2c3 h7h6 g5h4 g7g5 h4g3 f6e4 g3e5 h8g8 e1h1,68
r3r2k/p1qbn3/2pb1pB1/3p4/8/2P1B1P1/PPQ2P2/RN3R1K b - -,e8g8 g6d3 h8g7 h1g2 g8h8 b1d2 d7h3 g2f3 c6c5 g3g4,-153
rnbqkb1r/ppp1ppp1/3p1B1p/8/1P6/4P3/P1PP1PPP/RN1QKBNR b KQkq -,e7f6 c2c4 d6d5 c4d5 d8d5 a2a3 c7c6 b1c3 d5d7 d2d4,17
rn1qkb1r/pbpp1ppp/1p2pn2/8/2PPP3/2N2PP1/PP5P/R1BQKBNR b KQkq -,g7g6 h2h4 d7d6 g3g4 h7h6 c1e3 f8g7 g1e2 d8e7 e2g3,103
N4knr/pp3ppp/8/4p3/2p1P1b1/8/PPnP2PP/1RB2KR1 b - -,g8f6 h2h3 g4d7 b2b3 f6e4 b3c4 e4c5 a8c7 d7f5 f1f2,-125
rnbqkb1r/p4pp1/2pp1n1p/1p2p3/4P3/3P1N1P/PPP1BPP1/RNBQ1RK1 b kq -,f8e7 a2a4 b5b4 c2c3 b4c3 b2c3 e8h8 b1d2 f8e8 f1e1,23
8/2p5/2Pp1kpp/3Pp3/4P1PP/4KN2/8/1b6 b - -,,0
r3r1k1/pp1q1ppp/2pbbpn1/8/3P4/3BBN1P/PPPQ1PP1/R3R1K1 b - -,e6h3 d2a5 d6c7 a5c5 h3g4 f3h2 b7b6 c5c3 g4e6 e3d2,-195
1r3r2/p3kpRN/4p3/P1bpP3/5P2/2p5/2K4P/1R6 b - -,b8b1 c2b1 f8b8 b1c2 c5d4 c2d3 b8b2 d3d4 c3c2 g7g1,-517
r1bqk2r/p1p2ppp/1p1p1nn1/3Pp1B1/2P1P3/2PB1P2/P3N1PP/R2QK2R b KQkq -,h7h6 g5e3 f6d7 e1h1 e8h8 g1h1 d7c5 d3c2 c5b7 c2d3,-2
1n1r3k/1p1r2qp/pQ1pb3/3Np1p1/1PP1Pp2/3R1P1P/P2R2PK/5B2 b - -,b8c6 a2a4 c6d4 d3d4 e5d4 b6d4 d8f8 h2g1 g7d4 d2d4,-28
rnbqkb1r/4pppp/p2p1n2/1p6/1P1PP3/2NB4/P4PPP/R1BQK1NR b KQkq -,b8c6 a2a4 c8d7 a4b5 a6b5 a1a8 d8a8 d3b5 c6b4 g1e2,33
r3rk2/pRR1pp1p/p2P1bp1/8/4P3/B4PP1/5P2/6K1 b - -,a6a5 f3f4 f6d4 c7e7 e8e7 b7e7 d4c3 e7a7 a8d8 e4e5,485
2k3nr/ppp2ppp/2n5/2P1p3/8/2N2B2/P2QKPPP/q6R b - -,e5e4 f3g4 c8b8 h1a1 g8e7 e2f1 h8d8 d2g5 e7g6 a1b1,596
r1r3k1/3qbppp/ppp5/3b4/1PBPpP2/PQ2P3/2RB2PP/5RK1 b - -,b6b5 c4d5 c6d5 c2c8 a8c8 f1c1 c8c4 h2h3 h7h6 b3d1,-91
rnbq1rk1/ppppbppp/4p3/4P3/3P2QP/8/PPP2PP1/RN2KBNR b KQ -,c7c5 d4c5 b8c6 g1f3 d8a5 b1c3 a5c5 g4e4 f7f5 e4e3,-72
N3r3/p2q1kpp/Q1p2pb1/3p4/8/2P1bP2/PPP3PP/R2K3R b - -,d5d4 a6c4 f7f8 c3d4 e3d4 d1c1 e8b8 b2b3 d4a1 c1b1,-539
5r2/p3kpRN/4p3/P1bpP3/5P2/2p5/7P/1K6 b - -,f8b8 b1c2 c5d4 c2d3 b8b2 d3d4 c3c2 g7g1 b2b1 d4d3,-567
2r3k1/5p1p/2p3p1/8/p2P4/1P6/P4PPP/2R3K1 b - -,c8d8 c1c4 a4b3 a2b3 d8b8 c4c3 g8f8 g1f1 f8e7 c3c6,37
8/2p5/2Pp1k1p/3Pp1P1/4P1P1/4KN2/8/1b6 b - -,,0
1k2r2r/pp3ppp/2p5/3p4/5Pn1/1BP5/PP1R1PPP/2K4R b - -,a7a5 c3c4 d5c4 b3c4 e8e4 c4f7 e4f4 f7h5 g4f2 h1e1,-66
r1bqkb1r/ppp2ppp/2n2n2/4p3/2B5/2P2Q1P/PP1PNPP1/RNB1K2R b KQkq -,e5e4 f3e3 c6e5 c4b5 c8d7 d2d4 d7b5 d4e5 f6d7 e1h1,-85
1r6/p3kpRN/4p3/P1bpP3/5P2/2p5/2K4P/8 b - -,c5d4 g7g3 b8b2 c2d1 b2d2 d1c1 d2e2 c1d1 c3c2 d1c1,-573
1R6/4kp1b/4p3/3pP3/p4p1P/1P6/P1P5/2K5 b - -,a4b3 b8b3 h7e4 c1d2 f4f3 a2a4 f3f2 b3b7 e7f8 d2e2,568
1br1r1k1/ppq2ppp/5n2/3p4/8/P1PRB1PP/1P2NPQ1/5RK1 b - -,c7d7 f1d1 d7b5 d1d2 h7h6 e2d4 b5d7 d2d1 a7a5 g3g4,14
r4rk1/p1p1q1pp/2p5/2p1ppQn/4P1b1/2NP1N2/PPP2PPP/R4RK1 b - -,a8e8 g5e7 e8e7 f3d2 f5f4 f2f3 g4e6 d2b3 g7g5 b3a5,337
2k3nr/ppp2ppp/2n5/2P1p3/6B1/2N5/P2QKPPP/7q b - -,c8b8 f2f3 h1g2 e2d1 g2g1 d2e1 g1d4 d1e2 g8e7 e2f1,-775
rn1qkb1r/pbpp1ppp/1p2pn2/8/2PP4/2N1PPP1/PP4BP/R1BQK1NR b KQkq -,c7c6 e3e4 d7d5 c4d5 c6d5 e4e5 f6g8 g1e2 d8d7 e1h1,66
3r4/5kp1/2p2p2/3r1p2/1R1P3P/2K2P2/6P1/3R4 b - -,f7g6 b4c4 d5d6 c3d3 d8h8 g2g3 f5f4 g3f4 h8h4 d1g1,-4
8/2p5/2Pp1k2/3Pp1p1/4P1P1/4K3/8/1b2N3 b - -,,0
3R4/5k2/p2p2q1/2pP4/2P1Bp2/P1B2Pp1/8/5N1K b - -,g3g2 h1g1 g2f1q g1f1 g6g3 d8d7 f7f8 d7h7 g3g5 c3e1,461
r4rk1/pp3pp1/3p3p/3Pp2P/3nP3/3B2P1/Pq3P2/R1Q2K1R b - -,b2b4 a1b1 a8c8 b1b4 c8c1 f1g2 c1c3 h1d1 b7b6 a2a4,-200
2rr4/pp1k1ppp/2n1b3/8/Q2p4/B4N2/qP3PPP/2R1R1K1 b - -,a2d5 c1c5 d7c7 c5d5 d8d5 e1c1 c7b8 h2h3 d5a5 a4d1,407
r1bqnrk1/pppnppbp/3p2p1/4P3/2BP1P2/2N2N1P/PPPB2P1/R2QK2R b KQ -,d7b6 c4d3 c7c5 d4c5 d6c5 d1e2 c5c4 d3c4 b6c4 e2c4,126
rn1qkbnr/pb3ppp/1pppp3/4P3/2BP4/2N2N2/PPP2PPP/R1BQK2R b KQkq -,d6d5 c4b3 f8b4 e1h1 b4c3 b2c3 a7a5 a2a4 g8e7 c3c4,62
r2q1rk1/2p2pp1/1p1p1nnp/p2PpP2/2P1P1b1/2PBB3/P3N1PP/R2Q1RK1 b - -,g6f4 e3f4 e5f4 h2h3 g4e2 d1e2 f6d7 f1f4 d8f6 e2d2,-5
1br3k1/5ppp/Q1p1q3/2P5/5P1P/P5P1/1B5K/5R2 b - -,h7h6 f1f2 c8d8 a6e2 e6g6 b2c3 b8c7 c3b4 d8d5 f2f1,49
r1bqkb1r/1pp1pppp/p4n2/3P2B1/2B1P3/2P2N2/P4PPP/R2QK2R b KQkq -,h7h6 g5h4 g7g5 h4g3 f6e4 g3e5 h8g8 e1h1 g5g4 f3d4,67
rn1qk2r/1b2bppp/p3pn2/3pP3/PN1N4/3B4/1PP1QPPP/R1B2RK1 b kq -,f6e4 c2c3 d8c7 c1f4 e8h8 a4a5 f8c8 f1e1 g7g6 f2f3,178
r2q1rk1/2p1npp1/1p1p1n1p/p2PpP2/2P1P1b1/2PBB3/P3N1PP/R3QRK1 b - -,g4e2 e1e2 g8h7 g2g4 g7g5 g1f2 h7g7 h2h4 f6h7 f1h1,104
r2qkb1r/3n1p2/b1p1p1Pp/p1PpP3/1P1B4/P7/2P3PP/RN1QK1NR b KQkq -,d8h4 d4f2 h4e4 g1e2 e4g6 b1c3 g6g2 h1g1 g2h2 f2g3,-139
r1bqkb1r/pppp1ppp/4nn2/1P2B3/2B5/4P3/P1PP1PPP/RN1QK1NR b KQkq -,d7d5 c4e2 f8d6 e5d6 d8d6 g1f3 d5d4 a2a4 a7a6 e1h1,86
8/2p5/2Pp1k2/3Pp1p1/4P1P1/4K3/b1N5/8 b - -,,0
r4rk1/pp3pp1/3p3p/3Pp2P/1q1nP3/3B2P1/P4P2/1RQ2K1R b - -,a8c8 b1b4 c8c1 f1g2 c1c3 h1d1 b7b6 a2a4 d4b3 d3e2,-183
r2qkbnr/p1pnp1pp/1p1p1p2/3b4/3N1P2/1PN1P3/PBP3PP/R2QKB1R b KQkq -,c7c5 c3d5 c5d4 f4f5 g8h6 e3d4 h6f5 f1d3 f5h6 d1e2,396
1br1r1k1/pp3ppp/5n2/3p4/2q5/P1PRB1PP/1P2NPQ1/3R2K1 b - -,c4b5 d1d2 h7h6 e2d4 b5d7 d2d1 a7a5 g3g4 e8e4 d4f5,16
3R4/5k2/p2p2q1/2pP4/2P1Bp2/P1B2P2/8/5K2 b - -,g6g3 d8d7 f7f8 d7h7 g3g5 c3e1 f8g8 e1h4 g5e5 f1g2,499
4r1k1/4qpp1/p2p1n1p/1pp5/4P3/2PQ1P1P/PP4P1/R3R1K1 b - -,e7f8 f3f4 c5c4 d3d4 f6h5 e4e5 d6e5 e1e5 e8d8 d4f2,275
2r3k1/3qbppp/p7/1p1p4/1P1PpP2/PQ2P3/3B2PP/R5K1 b - -,d7g4 g1f1 g7g5 h2h3 g4f5 f1g1 g5f4 e3f4 c8c4 b3g3,-109
8/2P4p/5p2/1k6/4K1P1/7P/8/8 b - -,g7g6 a3a4 d7g4 a4b5 g4e2 b3d1 e2b5 d1f1 c8c4 a1a5,Mate
4k3/p5R1/4N3/P3P3/3p1P2/b1p5/1r5P/2K5 b - -,g7g6 a3a4 d7g4 a4b5 g4e2 b3d1 e2b5 d1f1 c8c4 a1a5,Mate
8/6k1/8/2p5/1pB4P/3P2pK/5b2/8 b - -,g7f6 h3g2 f6e5 h4h5 e5f4 h5h6 f2d4 c4a6 b4b3 a6c4,-682
r1bqk1nr/ppppppbp/2n3pP/8/3P4/8/PPP1PPP1/RNBQKBNR b KQkq -,g7d4 g1f3 d4b6 c2c4 g8f6 b1c3 d7d6 a2a3 e8h8 e2e3,-81
r4rk1/pb1n1ppB/1p6/2qp2B1/2PN2n1/6P1/P3QP1P/R4RK1 b - -,g8h8 e2g4 h8h7 d4f5 d7e5 g4h5 h7g8 f5e7 c5e7 g5e7,542
6k1/3qbppp/p7/1p1p4/PPrPpP2/1Q2P3/3B2PP/R5K1 b - -,g7g6 a4b5 a6b5 b3a2 g8g7 a2a7 d7a7 a1a7 e7b4 d2b4,-86
3r4/5kp1/5p2/2pr1p2/2RP3P/2K2P2/6P1/3R4 b - -,,0
rn1qk1nr/ppp1bppp/3p2b1/4p1N1/2B1P1P1/3P3P/PPP2P2/RNBQK2R b KQkq -,e7g5 c1g5 d8g5 h3h4 g5f4 b1c3 g8f6 h4h5 g6e4 d3e4,-343
4rqk1/pp4np/3N4/3Q1p2/3P1P2/7P/PP5K/6R1 b - -,g8h8 d6e8 f8e8 d5d6 g7h5 d4d5 a7a5 d6c7 e8f8 c7e5,1275
1k5r/pp2rppp/1np5/8/5PP1/3B1P2/PP1R3P/2K4R b - -,h7h6 d3e4 b6d7 f4f5 f7f6 h1d1 b8c7 h2h4 d7c5 d2d4,-45
8/2p5/2Pp1k2/3Pp1p1/1N2P1P1/4K3/8/1b6 b - -,,0
rn1qk2r/1b3ppp/p3pP2/3p4/Pb1N4/3B4/1PP1QPPP/R1B2RK1 b kq -,g7f6 e2h5 e8d7 c2c3 b4e7 h5f7 d8g8 f7h5 b8c6 c1f4,288
3q2k1/n2nbrpp/2b1B3/2ppP3/p4B1P/P1rPN1P1/5P2/R2QR1K1 b - -,a7b5 e3f5 b5d4 f5d4 c5d4 a1b1 e7a3 e6f7 g8f7 e5e6,334
r1bqk2r/3nbppp/p3pn2/1pp3B1/3P4/2NBPN2/PP3PPP/2RQ1RK1 b kq -,h7h6 g5f6 e7f6 c3e4 c5c4 d3b1 e8h8 d1c2 g7g6 e4f6,40
r1bqk1nr/pppppp1p/2n3pP/8/3b4/4P3/PPP2PP1/RNBQKBNR b KQkq -,d4b6 g1f3 d7d6 a2a3 e7e5 b2b4 a7a5 b4b5 c6b8 f1c4,-80
r4r2/pb1n1ppk/1p6/2qp2B1/2PN2Q1/6P1/P4P1P/R4RK1 b - -,f7f5 d4f5 d7e5 g4h3 h7g8 f5e7 c5e7 g5e7 e5f3 g1h1,360
r7/pN5p/1p2k1p1/5p2/2Pp1B2/3n4/PP3PPP/3R2K1 b - -,d3b4 d1d4 e6f7 h2h4 b4c6 d4d6 a8b8 d6c6 b8b7 c6d6,595
r1bqkb1r/1pp1pppp/p7/3P2B1/2B1n3/2P2N2/P4PPP/R2Q1RK1 b kq -,g7g6 d1d4 e4g5 f3g5 h8g8 d4e3 f8h6 f2f4 d8d6 a1e1,26
2r2rk1/pp3pp1/3p3p/3Pp2P/1R1nP3/3B2P1/P4P2/2Q2K1R b - -,c8c1 f1g2 c1c3 h1d1 b7b6 f2f4 f7f6 b4a4 a7a5 g2h3,-199
r1b1k2r/ppp3pp/2n5/qB1Q4/1b2N3/4PN2/2P1KPPP/3R3R b kq -,b4c3 d1d3 a5b5 d5b5 c3b4 b5c4 h8f8 h1d1 c8f5 e4g5,635
1br1r1k1/pp3ppp/5n2/3p4/8/PqP1B1PP/1P1RNPQ1/3R2K1 b - -,b8e5 e2c1 b3a4 g2f3 e8e6 c1d3 e5d6 d3b4 d6b4 d2d4,32
2kr3r/p1pq2p1/1p3p2/4p3/1b1PP1bp/1Q3NP1/PP3PBP/2R2RK1 b - -,h4h3 g2h1 d7e7 d4d5 c8b8 c1c2 g4d7 a2a3 b4d6 f1c1,-12
rn1qkbnr/pb3ppp/1pp1p3/4P3/8/2N2N2/PPP1BPPP/R1BQK2R b KQkq -,d8d1 e2d1 g8e7 h2h4 c6c5 c3b5 e7d5 c2c4 a7a6 b5d6,12
rnbqk2r/p3ppbp/2pp2p1/1p6/3PP1P1/P1N1BP2/1PPQ3P/R3K1NR b KQkq -,h7h6 g1e2 b8d7 h2h4 a7a5 e2g3 d7b6 b2b3 a5a4 e1f2,24
4Nq1k/pp4np/8/3Q1p2/3P1P2/7P/PP5K/6R1 b - -,f8e8 d5d6 h8g8 d4d5 b7b6 d6c7 e8e2 g1g2 e2g2 h2g2,9605
r3r1k1/pp1q1ppp/2pb1pB1/8/3P4/4BN1b/PPPQ1PP1/R3R1K1 b - -,f7g6 f3h2 h3e6 e3f4 d6f8 h2f1 g6g5 f4h2 e6f7 c2c3,-244
1b2r1k1/5ppp/Q1p1q3/2P5/5P1P/P5P1/1B3R1K/8 b - -,e6e1 b2d4 e1e4 a6c4 h7h5 c4b4 e8d8 f2d2 g8h7 b4c3,15
r4r2/pb3ppk/1p6/2qpn1BQ/2PN4/6P1/P4P1P/R4RK1 b - -,,0
N4knr/pp3ppp/2n5/2b1p3/2p1P1Q1/8/PPPP1qPP/R1BK2NR b - -,h7g8 d4f5 f8e8 g5f6 g7f6 f5h6 g8f8 h6f5,Mate
rn1qk2r/pbppbppp/1p2pn2/8/2PP4/2N1PPP1/PP2N1BP/R1BQK2R b KQkq -,c7c6 e3e4 e8h8 f3f4 d7d5 e4e5 f6e8 c4d5 c6d5 f4f5,85
2kr3r/p1pq2p1/1p3p2/4p3/1b1PP2p/1Q3BP1/PP3P1P/2R2RK1 b - -,b4e7 d4e5 h4g3 h2g3 f6e5 f1d1 e7d6 a2a4 c8b8 a4a5,24
2kr1b1r/pp1n1p2/q3Pp1p/7P/2p2B2/5NP1/PPP1QP2/2KR3R b - -,f7e6 c1b1 f8c5 c2c3 b7b5 f3h4 a6c6 h1e1 d8e8 e2c2,140
8/8/1K6/8/8/8/1k1p1N2/8 b - -,,0
5rk1/pp3pp1/3p3p/3Pp2P/1R1nP3/3B2P1/P4PK1/2r4R b - -,c1c3 h1d1 b7b6 a2a4 d4b3 d3f1 f8c8 d1b1 b3c5 b1a1,-204
rn2k2r/1b3ppp/p3pq2/3p4/Pb1N4/2PB4/1P2QPPP/R1B2RK1 b kq -,b4c5 d3b5 b8d7 b5d7 e8d7 c1e3 h8c8 f2f4 c8c7 a1e1,94
8/2K5/8/8/2k5/2p5/8/2R5 b - -,,0
rn1qk2r/pbppbppp/1p2pn2/8/2PPP3/2N2PP1/PP4BP/R1BQK1NR b KQkq -,a7a5 g1h3 e8h8 e1h1 d7d6 c1e3 e6e5 f3f4 e5d4 e3d4,110
8/2p5/2Pp1k2/3Pp1p1/2b1P1P1/N3K3/8/8 b - -,,0
6k1/5p1p/2R3p1/8/p2r4/1P6/P4PPP/5K2 b - -,a4b3 a2b3 d4d1 f1e2 d1b1 c6c3 b1b2 e2e3 g8g7 h2h4,35
1r3k2/5pbp/1n1p2p1/2pP2P1/pp2RP2/5B2/P1K2B1P/3N4 b - -,b4b3 c2b1 f7f5 g5f6 g7f6 f2e1 f6d4 a2b3 a4b3 e1c3,78
4rk2/R3pp1p/p4bp1/3P4/4P3/B4PP1/5P2/6K1 b - -,a6a5 a7a5 f6d4 f3f4 e8c8 g1f1 h7h5 a5a4 d4b6 a3b4,116
rnbqr1k1/ppp2ppp/5n2/3P4/1b6/2NN4/PPPPBPPP/R1BQK2R b KQ -,b4a5 b2b4 a5b6 e1h1 c7c6 c1b2 c6d5 c3a4 b6c7 b2f6,125
7r/4kpRP/4p1b1/3pPp2/R6P/1P6/P1P5/1K6 b - -,g6h7 a4a7 e7e8 a7a8 e8d7 g7f7 d7c6 a8h8 h7g6 f7f6,1677
rn1qkbnr/pb3ppp/1pp1p3/4N3/3P4/2N5/PPP1BPPP/R1BQK2R b KQkq -,b8d7 e1h1 g8f6 c1f4 f8e7 d1d3 d7f8 e2f3 d8c8 c3e4,60
r4rk1/pb3pp1/1p6/2qpnNBQ/2P5/6P1/P4P1P/R4RK1 b - -,a8e8 g5f6 d5c4 f6g7 e5f3 g1h1 f7f6 h5h8 g8f7 g7f8,199
3b3k/pp3p2/1np1p1p1/6P1/2PPR1K1/1B6/PP6/8 b - -,b6d7 e4e2 h8g7 d4d5 d7c5 b3c2 c6d5 c4d5 e6d5 e2e5,158
8/3qbpkp/R5p1/1p1p4/1PrPpP2/1Q2P2P/3B2P1/6K1 b - -,h7h5 b3a2 e7h4 a2b1 d7c8 a6a5 c8c6 a5a1 h4e7 b1b3,-99
3r4/6p1/5pk1/2pr1p2/2RP3P/2K2PP1/8/3R4 b - -,g6h5 d1d3 f5f4 g3f4 c5d4 c4d4 d8c8 c3d2 d5a5 f4f5,-5
4r3/p7/1n1Rp1k1/2p1BpP1/2b2P1Q/q7/6BP/6K1 b - -,e8h8 e5h8 a3e3 h4f2 e3c1 g2f1 c1b1 h2h3 b1c1 g1h2,Mate
4R1k1/pBp2pp1/3b3p/8/3P4/P1P3PP/1q3PK1/8 b - -,g8h7 b7d5 b2c3 d5f7 g7g6 e8e3 c3d4 f7a2 h7g7 a2b1,-462
8/2p5/b1Pp1k2/3Pp1p1/4P1P1/4K3/8/1N6 b - -,,0
r4rk1/pp1qn1b1/2npb2p/2p1pp2/P6N/2PP2PP/1P1N1PBK/R1BQR3 b - -,a8e8 a1b1 e6a2 b1a1 a2f7 a4a5 g8h7 d2f3 a7a6 c1e3,-89
1b2r1k1/5ppp/2p5/2P5/5P1P/P3q1P1/1B3R1K/5Q2 b - -,,0
3r4/6p1/5p2/2pr1p1k/2RP3P/2KR1PP1/8/8 b - -,f5f4 g3f4 c5d4 c4d4 d5c5 c3d2 d8d4 d3d4 h5h4 f4f5,-3
rn1qk2r/ppp1bpp1/3p1nbp/4p1NP/2B1P1P1/3P4/PPP2P2/RNBQK2R b KQkq -,f6g4 h5g6 e7g5 d1g4 g5c1 c4f7 e8f8 b1d2 c1d2 e1d2,264
5rk1/pp3pp1/3p3p/3Pp2P/1R1nP3/2rB2P1/P4PK1/3R4 b - -,b7b6 a2a4 d4b3 b4c4 f8c8 c4c8 c3c8 f2f4 g8f8 f4e5,-186
r1bqkb1r/1p3ppp/p3p3/3pP3/4nB2/2NBP3/PP3PPP/R2QK2R b KQkq -,e4c5 d3c2 c8d7 e1h1 d7c6 a1b1 a6a5 d1e2 f8e7 f1d1,47
8/4kpp1/p3p3/5P2/8/1p2R3/q5PK/8 b - -,b3b2 e3e1 a6a5 e1h1 a2c4 h2g3 c4d3 g3h4 d3c2 h4h5,-1466
8/p1b5/3k1p1p/2p3p1/2B1Kp2/2P4P/PP3PP1/8 b - -,h6h5 h3h4 f4f3 e4f3 d6e7 h4g5 f6g5 g2g3 h5h4 g3h4,51
1n1r3k/1p1r2qp/pQ1pb3/4p1p1/1NP1Pp2/1P1R1P1P/P2R2PK/5B2 b - -,g7e7 h2g1 h7h5 f1e2 h8g7 d2d1 g5g4 f3g4 h5g4 b4d5,67
rn2k2r/1b3ppp/p3pq2/3p1N2/Pb6/3B4/1PP1QPPP/R1B2RK1 b kq -,b8c6 c2c3 b4e7 f5e7 c6e7 a1a3 e8h8 a3b3 b7c6 b3b4,111
2kr3r/p1p3p1/1p3p2/4p3/1b1PP3/1Q3BPq/PP3P2/2RR2K1 b - -,b4e7 b3a4 c8b8 c1c7 b8c7 a4a7 c7d6 a7b6 d6d7 b6b5,112
2kr1b1r/pp1n4/q3pp1p/7P/2p2B2/5NP1/PPP1QP2/1K1R3R b - -,f8c5 c2c3 b7b5 f3h4 a6c6 h1e1 d8e8 g3g4 d7b6 e2c2,137
8/2p5/2Pp1k2/3Pp1p1/4P1P1/2N1K3/8/5b2 b - -,,0
6k1/p1p3pp/2p3r1/2p1rp2/4Pn1P/2NPKP2/PPP4P/R4R2 b - -,f4g2 e3d2 g2h4 f1f2 c5c4 f3f4 e5a5 d3c4 g6d6 d2e3,57
N4knr/pp3ppp/2n5/2b1p3/2p1P1b1/5N2/PPPPQqPP/R1BK3R b - -,f2e2 d1e2 g8f6 h2h3 f6e4 h3g4 e4g3 e2d1 g3h1 b2b4,-303
rn2kbnr/pp3ppp/1q2p3/2PpPb2/8/2P2Q2/PP2NPPP/RNB1KB1R b KQkq -,b6c5 e2d4 f5e4 f3g3 a7a6 b1d2 c5c7 f1e2 g8e7 d2e4,52
8/2K5/8/8/8/2pk4/8/3R4 b - -,,0
r2qkb1r/1b1n1ppp/p3p3/P5P1/N1pNP3/4B3/1PPQ3P/2KR3R b kq -,d7c5 a4b6 c5e4 d2e2 d8c7 d4e6 f7e6 e2h5 g7g6 h5g4,22
1r3k2/5pbp/1n1p2p1/2pP2P1/pp3P2/4NB2/P1K2B1P/4R3 b - -,b4b3 a2b3 a4b3 c2b3 b6d5 b3c4 d5f4 e3d5 g7e5 h2h4,49
3R4/5k2/p2p2q1/2pP4/2P1Bp2/P1B2P2/6p1/5NK1 b - -,g2f1q g1f1 g6h5 d8h8 h5g5 h8h7 f7f8 h7g7 g5d8 g7g6,361
8/5pk1/1R1p1qpp/p2PP3/3Q4/1P4nP/r2R2BK/5r2 b - -,g2f1q g1f1 g6h5 d8h8 h5g5 h8h7 f7f8 h7g7 g5d8 g7g6,Mate
8/8/8/8/2K5/8/2kp1N2/8 b - -,,0
r3k2r/1p1nn1pp/p1p1p1b1/3p1pP1/1bPP1P2/1P2qR1N/PB2P1BP/RN1Q3K b - -,e3e4 f3g3 h7h5 b2c1 h5h4 g2e4 f5e4 g3g2 a6a5 h1g1,411
rnq1k2r/ppp2ppp/3bpn2/1B2N3/3P1B2/1Q2P3/PP1N1PbP/R3K2R b KQkq -,e8f8 h1g1 g2d5 b3d1 b8c6 a1c1 h7h5 h2h3 c8e8 a2a3,61
r4rk1/1p1bqppp/1n2pn2/p1p5/PbNPP3/2N1B1PP/1P2QPB1/R2R2K1 b - -,c5d4 c4b6 d4e3 e4e5 e3f2 g1h2 f6d5 g2d5 f2f1b e2f1,229
r4r2/2pqnp1k/1p1p1Q1p/p2PpP2/2P1P3/2P4R/P3B1PP/R5K1 b - -,e7g8 f6h4 d7e7 h4h5 h7h8 a1f1 f7f6 h5f3 e7d7 f3e3,192
rn3rk1/1b3ppp/p3pq1N/3p4/Pb6/3B4/1PP1QPPP/R1B2RK1 b - -,g7h6 e2g4 f6g7 g4b4 f7f5 c1h6 b8c6 b4f8 a8f8 h6g7,375
2q5/R4pkp/6p1/1p1p4/1PrPpP1b/1Q2P2P/3B2PK/8 b - -,h7h6 a7a5 c8b7 a5a2 h4d8 b3d1 d8c7 a2c2 b7c6 c2a2,-98
