rnbqk2r/ppp1ppbp/1n1P2p1/8/3P4/5N2/PPP1BPPP/RNBQ1RK1 b kq -,b8c6 d6e7 c6e7 f1e1 e8h8 a2a4 a7a5 c2c3 f8e8 c1f4,162
rnbq1rk1/pp2ppbp/2p2np1/2Pp4/3P1B2/2N2N1P/PP2PPP1/R2QKB1R b KQ -,f6e4 a1c1 b7b6 c5b6 a7b6 e2e3 e4c3 c1c3 c6c5 a2a4,-37
rnbqkbnr/pp1ppppp/8/2p5/8/2PP4/PP2PPPP/RNBQKBNR b KQkq -,d7d5 e2e4 b8c6 g1f3 d5d4 e4e5 h7h6 g2g3 c8g4 h2h3,-29
r1bqkbnr/pp1p1ppp/2n5/4p3/4P3/2N5/PPPQ1PPP/R1B1KBNR b KQkq -,h7h6 f1c4 g8f6 d2d3 f8b4 g1e2 e8h8 e1h1 d7d6 c1e3,40
r1bqkbnr/pp2pppp/2n5/2pp4/6P1/2PP3P/PP2PP2/RNBQKBNR b KQkq -,e7e5 f1g2 g8e7 c3c4 d5c4 d3c4 d8d1 e1d1 c8e6 b2b3,-183
r1bqkb1r/1p2pppp/p1np1n2/8/2BNPP2/2N5/PPP3PP/R1BQK2R b KQkq -,d8c7 d4c6 b7c6 d1e2 g7g6 e4e5 d6e5 f4e5 c8g4 e2e3,62
rnbqk2r/ppp2ppp/4pn2/3P4/Qb1P4/2N5/PP2PPPP/R1B1KBNR b KQkq -,f6d7 a4b4 e6d5 c3d5 b8c6 b4d2 d7b6 d5b6 a7b6 d4d5,631
r1b1kbnr/pp1p1ppp/1qn5/4p3/4P3/1NN5/PPP2PPP/R1BQKB1R b KQkq -,f8e7 c1e3 b6d8 f2f3 g8f6 a2a3 d7d6 d1d2 a7a5 d2f2,174
8/1K2n3/3k4/8/3Q4/8/8/8 b - -,f8e7 c1e3 b6d8 f2f3 g8f6 a2a3 d7d6 d1d2 a7a5 d2f2,Mate
8/7k/6Q1/4K3/8/8/8/8 b - -,h7g6 e5d4 g6f5 d4d3 f5e6 d3e2 e6d7 e2d1 d7c8 d1c1,Mate
8/5k2/5n2/5Q2/3K4/8/8/8 b - -,h7g6 e5d4 g6f5 d4d3 f5e6 d3e2 e6d7 e2d1 d7c8 d1c1,Mate
rnbqkbnr/1pp1ppp1/p2p3p/8/3P1B2/3BP3/PPP2PPP/RN1QK1NR b KQkq -,c7c5 g1f3 g8f6 e1h1 b8c6 h2h3 c5d4 e3d4 g7g5 f4h2,55
rnb1kb1r/pp1ppppp/8/q1pP4/2P1n3/5P2/PP1BP1PP/RN1QKBNR b KQkq -,e4f2 e1f2 a5d8 e2e4 d7d6 g2g3 e7e5 f2g2 f8e7 h2h4,648
rnb1kb1r/pp1ppppp/8/q1pP4/2P5/5P2/PP1QP1PP/RN2KBNR b KQkq -,a5d8 f3f4 d7d6 b1c3 g7g6 e2e4 f8g7 f1d3 a7a6 g1f3,69
8/3nk3/8/5Q2/5K2/8/8/8 b - -,e7d6 f5e4 d7c5 e4d4 d6c6 d4c4 c6d6 f4f5 c5b7 c4a6,6138
8/3n4/3k4/8/4QK2/8/8/8 b - -,e7d6 f5e4 d7c5 e4d4 d6c6 d4c4 c6d6 f4f5 c5b7 c4a6,Mate
4Q3/8/3k4/2n5/5K2/8/8/8 b - -,c5e6 f4e4 e6c5 e4f5 d6d5 e8b5 d5d4 b5b4 d4d5 b4g4,343
4Q3/8/3kn3/8/8/4K3/8/8 b - -,c5e6 f4e4 e6c5 e4f5 d6d5 e8b5 d5d4 b5b4 d4d5 b4g4,Mate
r1bqkb1r/pp3ppp/2nppn2/2p5/4P3/1B3N2/PPPP1PPP/RNBQR1K1 b kq -,f8e7 c2c3 e8h8 d2d4 b7b6 a2a3 d8c7 b3c2 c8b7 b1d2,68
4Q3/8/3k4/2n5/3K4/8/8/8 b - -,b7b6 c2c3 f8e7 d2d4 e8h8 a2a3 c8b7 b3c2 d8c7 c1g5,Mate
8/6k1/8/3K1Q2/8/8/8/8 b - -,b7b6 c2c3 f8e7 d2d4 e8h8 a2a3 c8b7 b3c2 d8c7 c1g5,Mate
rnb1kb1r/pp1ppp1p/3n2p1/q1pP4/2P1P3/3B1P2/PP1N2PP/R1BQK1NR b KQkq -,a5c7 f3f4 f8g7 g1f3 e8h8 e4e5 d6e8 b2b3 e7e6 e1h1,218
8/5k2/4Q3/8/4K3/8/8/8 b - -,f7e6 e4d3 e6f7 d3c2 f7g6 c2b1 g6h5 b1c2 h5h6 c2d2,Mate
6k1/5Q2/8/8/4K3/8/8/8 b - -,g8f7 e4d4 f7e7 d4c3 e7f6 c3b4 f6g5 b4c5 g5g6 c5c4,Mate
rnbqk2r/ppp1bppp/4p3/3nP3/2BP4/5N2/PP3PPP/RNBQ1RK1 b kq -,a7a6 b1c3 d5c3 b2c3 b7b5 c4d3 c8b7 a2a4 b5b4 c3b4,112
r1bqkb1r/pp1p1ppp/2n2n2/4p3/4P3/2NQB3/PPP2PPP/R3KBNR b KQkq -,d8a5 e1a1 f6g4 a2a3 g4e3 f2e3 a7a6 c3d5 b7b5 g1f3,80
rnbqkb1r/pp3ppp/2p5/3P4/3Pn3/5N2/PP3PPP/RNBQKB1R b KQkq -,d8d5 b1c3 e4c3 b2c3 f8d6 f1e2 e8h8 e1h1 c6c5 d1b3,70
r1bqkb1r/ppp1pppp/2n5/3n4/3P4/6P1/PPP2PBP/RNBQK1NR b KQkq -,d5f6 d4d5 c6b8 b1c3 c7c6 g1e2 f6d5 c3d5 c6d5 d1d5,81
r3k2r/p1pp1ppp/b1p5/3nP3/1bP4q/1P6/PB1NQPPP/R3KB1R b KQkq -,e8a8 g2g3 b4d2 e1d2 h4h6 f2f4 d5b6 a1d1 h8e8 e2g4,136
8/8/8/8/8/3k4/2pQ4/4K3 b - -,e8a8 g2g3 b4d2 e1d2 h4h6 f2f4 d5b6 a1d1 h8e8 e2g4,Mate
8/8/8/3k4/8/8/2QK4/8 b - -,e8a8 g2g3 b4d2 e1d2 h4h6 f2f4 d5b6 a1d1 h8e8 e2g4,Mate
8/8/2k5/5Q2/8/2K5/8/8 b - -,e8a8 g2g3 b4d2 e1d2 h4h6 f2f4 d5b6 a1d1 h8e8 e2g4,Mate
8/8/3k4/5Q2/3K4/8/8/8 b - -,e8a8 g2g3 b4d2 e1d2 h4h6 f2f4 d5b6 a1d1 h8e8 e2g4,Mate
8/8/2k1Q3/8/2K5/8/8/8 b - -,e8a8 g2g3 b4d2 e1d2 h4h6 f2f4 d5b6 a1d1 h8e8 e2g4,Mate
r1bqkbnr/pp1n1ppp/4p3/2ppP3/3P4/3B1N2/PPP2PPP/RNBQ1RK1 b kq -,g8e7 c2c3 e7c6 c1e3 f8e7 b1d2 c5c4 d3b1 b7b5 b2b3,102
r2qkbnr/ppp2ppp/2bp4/4p3/3PP3/5N2/PPP1QPPP/RNB1K2R b KQkq -,d8c8 d4e5 c8e6 f3d4 e6e5 d4c6 b7c6 b1c3 g7g6 f2f4,126
rnb1kbnr/pp1q1ppp/4p3/4N3/2Bp4/8/PPPN1PPP/R1BQK2R b KQkq -,d7a4 d1h5 g8h6 e5f7 g7g6 c4b5 c8d7 b5a4 g6h5 a4d7,251
rnbq1rk1/pp1p1ppp/4pn2/2P5/1bP5/2N5/PPQBPPPP/R3KBNR b KQ -,b8a6 g1f3 a6c5 a2a3 b4c3 d2c3 c5e4 c3f6 e4f6 e2e4,-31
rnbqkb1r/p1pp1ppp/1p2pn2/8/3P1P2/2P1P3/PP4PP/RNBQKBNR b KQkq -,d7d5 b1d2 f8e7 f1b5 c7c6 b5d3 c6c5 g1h3 a7a5 a2a4,-48
rnbqkbnr/ppppp2p/6p1/5p2/2PP4/4P3/PP3PPP/RNBQKBNR b KQkq -,b8c6 b1c3 g8f6 g1f3 f8g7 d4d5 c6b8 f1d3 b8a6 e3e4,75
r2qkb1r/ppp2ppp/2np1n2/1B2p3/4P3/3P1Q1P/PPP2PP1/RNB2RK1 b kq -,f6d7 c2c3 f8e7 f3g3 e8h8 c1e3 e7f6 b1d2 c6e7 d3d4,124
R7/P5k1/2P5/8/4K3/8/8/3r4 b - -,d1e1 e4d4 e1d1 d4c3 d1c1 c3d2 c1a1 a8b8 a1a2 d2d3,6024
R7/P1P3k1/8/8/8/8/2K5/r7 b - -,d1e1 e4d4 e1d1 d4c3 d1c1 c3d2 c1a1 a8b8 a1a2 d2d3,Mate
R1Q5/P5k1/8/8/8/1K6/8/r7 b - -,d1e1 e4d4 e1d1 d4c3 d1c1 c3d2 c1a1 a8b8 a1a2 d2d3,Mate
2kr2nr/1ppqB1pp/p1p5/8/6Q1/8/PP3PPP/RN1R2K1 b - -,h7h6 d1d7 d8d7 e7h4 g7g5 h4g3 g8f6 g4f5 f6e4 b1a3,797
2kr3r/1ppRn1pp/p1p5/8/6Q1/8/PP3PPP/RN4K1 b - -,h8e8 d7e7 c8b8 e7e8 d8e8 b1c3 e8g8 g4f5 g8h8 f5f7,1256
rnbqk2r/ppp2ppp/3p1n2/4p3/1bB1P3/P1N5/1PPPNPPP/R1BQK2R b KQkq -,d6d5 c3d5 b4c5 b2b4 c5d6 d5f6 d8f6 e1h1 c8e6 c4e6,261
rnbq1rk1/ppp1npbp/3pp1p1/4P3/3P1B2/2NB1N2/PPP2PPP/R2QK2R b KQ -,e7d5 f4g5 d5c3 b2c3 d8e8 d1e2 d6e5 d4e5 e8c6 e1h1,86
r1bqk2r/pppp1ppp/2n2n2/2b1p3/2B5/2NP1N1P/PPP2PP1/R1BQ1RK1 b kq -,e8h8 f1e1 d7d6 c1g5 c5b4 a2a3 b4c3 b2c3 h7h6 g5h4,-99
r1bq1rk1/ppp2Npp/2np1n2/2b1p3/2B1P3/2N5/PPPP1PPP/R1BQ1RK1 b - -,c8e6 f7d8 e6c4 d8c6 b7c6 d2d3 c4b5 g2g3 a7a5 a2a4,867
2r1qrk1/pp4p1/4p2p/1b2Pp1P/3R1B2/2P2Q2/P4PP1/R5K1 b - -,e8f7 a2a4 b5c4 f4e3 c8c7 a4a5 f8c8 g2g4 c8f8 f3g3,-99
