8/8/2k5/1p1B1p2/1P6/7p/8/7K b - -,b5a5 c3b2 f5g4 b2c2 g4h5 c2d2 a5b6 d2c3 h5d1 c3b4,Mate
r3r1k1/1p1qbppp/2p5/p2p1bn1/P4N2/2PBB1QP/1PP2PP1/3R1RK1 b - -,g5e4 g3f3 e4g5 f3g3 f5d3 c2d3 h7h6 f4h5 g7g6 h5f4,-16
2n2rk1/p1RR1p1p/4pp2/1r6/1p1NP3/1P5P/5PP1/6K1 b - -,b5h5 d4c6 c8b6 d7d6 b6a8 c7a7 h5c5 f2f4 c5c2 f4f5,208
6k1/7p/4q1p1/3R4/2p3P1/5Q1K/Pr5P/8 b - -,h7h5 d5d4 h5g4 d4g4 b2e2 f3a8 g8h7 a8a7 h7h6 a7d4,-465
8/8/8/2K3p1/8/3Q4/2P2p2/3k4 b - -,h7h5 d5d4 h5g4 d4g4 b2e2 f3a8 g8h7 a8a7 h7h6 a7d4,Mate
r2q1rk1/p1p5/5p2/3p1bp1/1bpP3p/1PN1P2P/P4PPB/R1Q2RK1 b - -,f5d3 f1d1 d8d7 a2a3 b4e7 d1d2 f8f7 b3c4 d5c4 c3d1,-29
5rk1/r5pp/2RP3b/4p3/1p6/1P3q2/P1Q1N3/1K1R4 b - -,g7g6 c6c7 a7a8 c7c4 f3f5 c2f5 g6f5 c4b4 f5f4 e2c3,-20
4kr2/p1bp1qrp/2p2P2/2P1p1P1/8/P2QB3/1P3KR1/3R4 b - -,f7g8 f2e1 g7f7 e1e2 e8d8 g2g4 e5e4 g4e4 f8e8 e2d2,288
r1bqk2r/1p3ppp/p2bp3/2pnN3/Q2P4/2P5/PP1B1PPP/R3KB1R b KQkq -,d8d7 e5d7 c8d7 a4a3 d7c6 c3c4 d5f4 h1g1 e8a8 g2g3,523
8/8/8/8/6p1/2K1pP2/8/3B1bk1 b - -,g4g3 f3f4 f1h3 c3c2 g1f2 c2d3 g3g2 d1e2 g2g1q e2h5,-9605
3q1rk1/5p1p/4p3/3p2p1/2r5/6B1/Pb3P1P/1R1R2K1 b - -,c4c2 d1d3 d8f6 b1f1 h7h5 g3d6 f8a8 g1h1 f6f5 d3g3,-859
8/8/8/1p3k2/1P6/7p/7K/8 b - -,b2f6 a2a4 d8a8 d1f1 c4a4 h2h4 g5h4 g3d6 f8d8 d6c7,Mate
