8/8/2k5/1p1B1p2/1P6/7p/8/7K b - -,b5a5 c3b2 f5g4 b2c2 g4h5 c2d2 a5b6 d2c3 h5d1 c3b4,Mate
1r6/p3k3/2p5/3p1b2/8/2P3P1/P1P2P1P/2Q3K1 b - -,f5e6 f2f3 b8f8 g1f2 d5d4 c3d4 e6d5 c1g5 e7e8 f3f4,603
r1b1k2r/2q1ppbp/p1p2np1/3p4/3P4/1NPB1P2/PP4PP/R1BQK2R b KQkq -,f6d7 c1e3 a6a5 a2a4 e8h8 e1h1 e7e6 e3f2 c8a6 d3a6,-45
rnb2rk1/pp2ppbp/3p1np1/q1P5/2P1P3/2NBBN2/PP3PPP/R2QK2R b KQ -,f6d7 c5d6 g7c3 b2c3 a5c3 e1f1 e7d6 d3e2 f8e8 h2h4,106
r1b1kbnr/ppp2ppp/4q3/8/8/4N3/PPPP1PPP/RNBQ1RK1 b kq -,c8d7 d2d4 e8a8 b1d2 e6g6 d2c4 f7f6 d1f3 g8e7 f1d1,74
r2qkb1r/pBp2pp1/3pb3/7p/3pP3/3P1P2/PPP3PP/R1BQ1RK1 b kq -,f8e7 b7c6 e6d7 c6a8 d8a8 c1f4 a7a5 d1d2 e8h8 c2c3,366
r6r/1p1kbpp1/pqn1p1p1/3p4/PP1P4/2PQB1PP/5PB1/R4RK1 b - -,b6d8 f1c1 d7e8 a1b1 d8d7 h3h4 e8f8 g2f3 f8g8 g1g2,130
8/8/8/2B5/5k2/1P6/r7/5K2 b - -,f4e4 f1e1 a2b2 b3b4 e4d5 c5f8 d5c6 f8e7 c6d7 e7c5,-3
r3kb1r/pb2q1pp/1pp5/1BNn1p2/8/P4P2/1P2QP1P/R1B1K2R b KQkq -,e7e2 b5e2 f8c5 e1h1 e8a8 e2c4 c5d4 a3a4 d4f6 a4a5,-569
rnb1kbnr/2p2ppp/p3p3/1p1qN3/2pP4/2N2PP1/PP2P2P/R1BQKB1R b KQkq -,d5d8 e2e4 f7f6 e5g4 b8c6 c1e3 f8b4 f1g2 g8e7 f3f4,-74
1r3rk1/4pp1p/p1npb1p1/qp6/3BP2P/P1P2Q2/1P3PP1/1K1R1B1R b - -,f8c8 h4h5 b5b4 h5g6 f7g6 f1c4 e6c4 f3h3 h7h5 c3b4,-293
r2n1qk1/ppp1bBpp/3n4/3P4/5B2/P7/1P3PPP/2RQ1RK1 b - -,g8h8 f4d6 e7d6 f7e6 f8f6 d1e2 d8f7 g2g3 a8f8 g1g2,447
r4rk1/1p1q1pbp/p4np1/3Nn3/P2NP3/1P2BP2/6PP/2RQ1RK1 b - -,a8e8 d5b6 d7e7 d4e2 e8d8 e3c5 e7e6 e2d4 e6e8 d1c2,192
1r4k1/p4pPp/B1rpp1p1/3n4/1P1PQP1P/1Pp5/P2B1q2/K2R1R2 b - -,c3c2 e4c2 f2f1 a6f1 c6c2 b4b5 g8g7 f1d3 c2d2 d1d2,-216
r1b1kb1r/ppp2ppp/4qn2/8/8/4N3/PPPP1PPP/RNBQR1K1 b kq -,f8e7 c2c4 e6a6 b2b3 e8h8 b1c3 c7c6 d2d4 c8d7 c1b2,122
8/8/8/5r2/P7/8/R1k1p1K1/8 b - -,c2d3 a2a3 d3e4 a3a1 f5d5 a1e1 e4e3 e1c1 d5g5 g2h2,-9605
r1b1r1k1/1pq1bppp/p1n1p3/2ppP3/5B2/P1PP1N2/BP2QPPP/3R1RK1 b - -,c8d7 f1e1 d5d4 h2h4 c7a5 d1c1 d4c3 b2c3 a5a4 e2e3,96
r2qk2r/3b1ppp/2nBp1n1/1p1pP3/8/P2B1NQ1/2P2PPP/R4RK1 b kq -,c6e7 a3a4 b5a4 h2h4 e7f5 d3f5 e6f5 h4h5 f5f4 g3h2,239
rn2kb1r/pppqpppp/8/4N3/2P3b1/8/PP1P1PPP/R1BQKB1R b KQkq -,g4d1 e5d7 b8d7 e1d1 d7e5 a1b1 e8a8 b2b4 e7e6 b1b3,-35
r2qr1k1/pp2bpp1/7p/4P3/2Pp1P2/3B3P/PPQ3K1/R6R b - -,d8b6 c2e2 f7f6 a1f1 f6e5 f4e5 a8d8 e2e4 b6c6 e4c6,47
r4rk1/pp1nppbp/2bp2p1/q7/3BP3/1BN2P2/PPPQ2PP/3RR1K1 b - -,f8c8 d2f2 g7d4 d1d4 a5c5 a2a3 a7a5 g1h1 a8b8 c3d1,13
8/k7/P3K1p1/5rPp/3R3P/8/8/8 b - -,f5f1 d4d6 f1f4 e6e5 f4h4 d6g6 h4c4 g6h6 c4c5 e5f6,580
rnbqkbnr/2p2ppp/p3p3/1p2N3/2pPP3/2N2PP1/PP5P/R1BQKB1R b KQkq -,f7f6 e5g4 b8c6 c1e3 f8b4 f1g2 g8e7 f3f4 e8h8 e1h1,-76
8/8/8/3n4/8/1k2n3/8/1K6 b - -,,0
8/8/8/1p3k1p/5P2/3N1K2/8/8 b - -,f5e6 d3b4 e6f6 b4d5 f6f5 d5e3 f5g6 f3e4 g6f6 e3f5,1028
rn1qkb1r/pb3ppp/1p1pp3/2pP4/4nN2/2PB4/PP3PPP/RNBQ1RK1 b kq -,b8d7 d3e4 e6e5 f4h3 b6b5 c3c4 b5c4 f2f4 f8e7 b1c3,391
r1bq1rk1/1pnn1pbp/p2p2p1/2pP4/4PP2/2NBBN2/PP4PP/R2Q1R1K b - -,d7f6 a2a4 a8b8 a4a5 b7b5 a5b6 b8b6 d1c2 b6b4 f4f5,85
6k1/1pq1rbbp/p2p2p1/2pP1p2/PPP5/3B1NP1/6PP/1Q1R3K b - -,c7b6 b4c5 b6c5 d1e1 e7e1 b1e1 c5a3 d3c2 g7c3 e1e2,-80
r1bqkb1r/3n1ppp/p3pn2/3pN3/Np1P4/3BP3/PP3PPP/R1BQ1RK1 b kq -,h7h5 f2f4 f6e4 a2a3 d7e5 f4e5 c8d7 a3b4 f8b4 d3e4,77
3r1r1k/p5p1/1p1nR2p/5pP1/2p2P1R/8/P1Q4P/6K1 b - -,d8d7 g5h6 g7g6 c2c3 h8h7 e6d6 d7e7 h4h3 b6b5 h3g3,801
r1b1k2r/ppp1bppp/4qn2/8/6N1/8/PPPP1PPP/RNBQR1K1 b kq -,e6g4 d1g4 c8g4 b1c3 c7c6 d2d3 g4e6 c3e2 f6d5 e2d4,-386
5r2/6kp/8/1p2R3/p3Pp2/P6P/2P3P1/5R1K b - -,g7h8 e5b5 f8c8 b5f5 h7h5 f5f4 c8c2 f4f7 h5h4 e4e5,760
r1bqkbnr/pp3ppp/2n5/1B1p4/3Pp3/1P6/PBPN1PPP/RN1QK2R b KQkq -,d8g5 g2g3 g8f6 h2h4 g5f5 d2f1 f6g4 d1e2 a7a6 f1e3,-108
8/5k2/3P4/6pp/3K4/4R1P1/7r/8 b - -,,0
r5k1/pp2bpp1/4pn1p/q3N3/2BPb3/8/PP2QPPP/K3R1R1 b - -,a8b8 e1c1 b8d8 g1d1 a5b6 f2f3 e4d5 a2a3 d5c4 c1c4,210
r1b2rk1/1pp1qppp/p1n2n2/P2Bp3/2N1P3/1QP2N2/5PPP/R2R2K1 b - -,c8g4 b3b7 f6d5 e4d5 g4f3 g2f3 e7g5 g1h1 c6e7 d5d6,-17
4rrk1/pbq4p/1p4p1/2p1Pp2/1nP2P2/1PQB2R1/PB4NP/6K1 b - -,b4a2 c3e1 a2b4 d3f1 c7c6 h2h4 c6e4 e1f2 e8d8 g3e3,-250
1r3r2/1p3pbk/p2R2pp/5b2/3N4/1P4PP/P1P2PB1/5RK1 b - -,b8d8 d4f5 g6f5 d6d8 f8d8 g2b7 d8d6 f1e1 h7g6 e1e3,260
r2q1rk1/1p1n1ppp/p1p5/8/1P1PQ3/5N2/P4PPP/R4RK1 b - -,f8e8 e4c2 d7f8 h2h3 h7h6 f1e1 d8f6 c2c3 f8g6 g2g3,-42
r3r1k1/1p1q1pbp/p5p1/3Pn3/P2N4/1P3P2/5BPP/2RQ1RK1 b - -,d7d6 d4e2 a8d8 e2c3 f7f5 a4a5 g7h6 c1b1 e5f7 b3b4,55
3q2rk/1Rpp4/p1p1p2p/4P1p1/2NQ1p2/3B1N1P/P1K3P1/1R6 b - -,d7d6 d4e2 a8d8 e2c3 f7f5 a4a5 g7h6 c1b1 e5f7 b3b4,Mate
r2qkb1r/pp3pp1/2ppB3/7p/3pP3/2PP1P2/PP4PP/R1BQ1RK1 b kq -,d4c3 e6b3 c3b2 c1b2 f8e7 b2g7 h8g8 g7b2 h5h4 g1h1,529
r3r1k1/ppbq1ppp/2p2p2/2P5/P2P2b1/1P1Q1N2/1B3PPP/R4RK1 b - -,g4f5 d3c3 f5e4 f1e1 d7g4 h2h3 g4g6 f3h4 g6h5 h4f3,-133
r1b1k2r/1pqnbpp1/2ppp3/p3P1Pp/3P1B1P/3B1N2/PPPQ1P2/2KR3R b kq -,g7g6 e5d6 e7d6 f4d6 c7d6 d2e3 e8h8 h1e1 b7b5 f3d2,119
r2qr1k1/1p1n1ppp/p1p5/8/1P1P4/5N2/P1Q2PPP/R4RK1 b - -,d7f8 f1e1 d8f6 c2d3 e8d8 e1e5 f8g6 e5f5 f6d6 h2h4,-46
r3r1k1/1p3pbp/p5p1/3qn3/P2N4/1P3P2/2Q2BPP/2R2RK1 b - -,d5d6 f1e1 h7h5 c1d1 a8c8 c2d2 e8d8 d2e2 d6b4 h2h3,-22
5rk1/pb2bp2/1p2pn1p/q3R1p1/2PR3B/3N4/P1Q2PPP/6K1 b - -,f6d5 c4d5 f8c8 c2d1 a5c3 d4a4 a7a5 d5e6 f7f5 h4g3,380
8/8/8/1p3k2/1N3P1p/5K2/8/8 b - -,f5g6 f3g4 g6f6 g4h4 f6f5 h4g3 f5f6 b4c2 f6e6 c2d4,1173
2kr1b1r/1pq2p2/2p5/p1n1nN1p/P7/2N3P1/1PQ1PPB1/1R1R2K1 b - -,c5d7 e2e3 d7c5 d1d4 c5e6 d4d8 c7d8 b1d1 d8c7 c3e4,66
2n1k3/r2b1pp1/1q2p1Br/1p1pP1Qp/1B1N3P/P1P5/5PP1/R3R1K1 b - -,h6h8 g6d3 h8g8 e1e3 a7a4 e3f3 a4b4 a3b4 b6d8 g5h5,1205
r1b1k2r/pppqbppp/5n2/8/8/5P2/PPPPQ1PP/RNB1R1K1 b kq -,d7d4 g1h1 c8e6 e2b5 d4d7 b5d7 f6d7 d2d4 d7b6 a2a4,-435
rnbqkbnr/2p3pp/p3pp2/1p6/2pPP1N1/2N2PP1/PP5P/R1BQKB1R b KQkq -,b8c6 c1e3 f8b4 f1g2 g8e7 f3f4 e8h8 e1h1 d8d7 d4d5,-85
5rk1/p1p2pp1/2pr1qp1/8/3PNn2/P7/1P1Q1PPK/3R1R2 b - -,f6h4 h2g1 d6d4 g2g3 f4h3 g1h2 h4h5 d2d4 h3g5 h2g1,-318
3r4/p1pk1p2/4b1q1/1Q1p4/3P4/P3P3/1P1N1pP1/2K4R b - -,d7e7 b5e2 e6f5 e3e4 d5e4 e2f2 d8d6 b2b4 g6g5 h1e1,-84
r1b1k2r/pp1n1pb1/2pp2pp/q3p2n/2PP3B/2NBP2P/PP1N1PP1/R2Q1RK1 b kq -,a5b6 d2e4 e8h8 e4d6 e5d4 e3d4 b6d4 h4e7 g7e5 c3e2,153
3R2k1/2q1bp1p/pp2p3/8/6P1/2P1QN2/PP3P2/6K1 b - -,g8g7 d8e8 h7h6 e3e5 c7e5 f3e5 e7d6 e5d7 h6h5 g4h5,Mate
r2qrnk1/1p3ppp/p1p5/8/1P1P4/5N2/P1Q2PPP/4RRK1 b - -,e8e1 f1e1 f8e6 c2c4 d8d7 c4c3 h7h6 a2a3 a8d8 h2h4,-38
r4rk1/1Qpbqppp/p1n2n2/P2Bp3/2N1P3/2P2N2/5PPP/R2R2K1 b - -,f8b8 b7c7 f6e8 d5c6 e8c7 d1d7 e7c5 f3e5 c7b5 c6a8,28
r2q1rk1/pp2ppbp/2B3pn/3pP3/3Pb3/2N2N1P/PP3PP1/R1BQ1RK1 b - -,b7c6 f3d2 e4f5 d2b3 f7f6 e5f6 e7f6 c3a4 f8e8 c1d2,74
8/3r4/R2p1k1p/2pP1ppb/2P5/2b2NPP/4B1P1/6K1 b - -,h5f3 g2f3 f6e5 g1g2 c3d2 a6a8 d7b7 a8h8 b7b2 h8h6,-111
6r1/4p3/3p3P/6P1/1k5K/1R6/r3R3/8 b - -,b4b3 e2a2 b3a2 h6h7 g8h8 g5g6 d6d5 h4g5 a2b1 g5h6,514
rnbqk1nr/pp2bpp1/2p1p2p/3p4/3PP3/2N2N2/PPP1BPPP/R1BQ1RK1 b kq -,g8f6 e2d3 b7b6 f1e1 c8a6 d3a6 b8a6 f3e5 d8c8 e1e3,87
r2qkb1r/pp4p1/2ppp3/7p/3PP3/3P1P2/PP4PP/R1BQ1RK1 b kq -,d8b6 c1e3 f8e7 d1e2 d6d5 f3f4 b6b5 f1f2 e8a8 e2c2,137
8/5k1B/2Q5/8/4K3/8/8/8 b - -,d8b6 c1e3 f8e7 d1e2 d6d5 f3f4 b6b5 f1f2 e8a8 e2c2,Mate
8/1k6/P5p1/1K3p1p/5P1P/6P1/8/8 b - -,b7a8 b5c5 a8a7 c5d6 a7a6 d6e6 a6b5 e6f6 b5c5 f6g6,Mate
r2q1nk1/1p3ppp/p1p5/8/1P1P4/5N2/P1Q2PPP/4R1K1 b - -,f8e6 c2d2 d8d5 e1e5 d5d6 a2a3 f7f6 e5e1 d6d5 d2c2,-24
r2n2k1/ppR1bqpp/3n4/3P4/5B2/P7/1P3PPP/3Q1RK1 b - -,f7f8 f4d6 e7d6 c7d7 d8f7 d1f3 a7a5 f1e1 a8e8 e1e6,120
5rk1/p1p2pp1/2pr2p1/8/3PNn1q/P7/1P1Q1PP1/3R1RK1 b - -,d6d4 g2g3 f4h3 g1h2 h4h5 d2d4 h3g5 h2g1 g5f3 g1g2,-320
r1br2k1/ppp2p1p/2n3p1/4b3/2P5/2N1P3/PP2BPPP/R1B2RK1 b - -,c6b4 f2f4 e5g7 e3e4 b4c2 a1b1 g7d4 g1h1 c2a3 b2a3,30
8/k7/8/8/8/Q7/8/4K3 b - -,c6b4 f2f4 e5g7 e3e4 b4c2 a1b1 g7d4 g1h1 c2a3 b2a3,Mate
r3kb1r/pb4pp/1pp5/2Nn1p2/8/P4P2/1P2BP1P/R1B1K2R b KQkq -,f8c5 e1h1 e8a8 e2c4 c5d4 a3a4 h8e8 a4a5 d4f6 c4d3,-555
2r1r1k1/p4pp1/1q5p/4P3/2Bp1P1b/1P5P/P3Q2K/3R1R2 b - -,c8c6 e2g4 h4d8 d1d2 c6g6 g4f5 e8f8 f5e4 g8h8 e4d4,161
3r4/p1pk1p2/4b1q1/3p4/3P4/P3P3/1P1NQpP1/2K4R b - -,,0
8/5pk1/R5p1/4p3/6KP/1r3P2/8/8 b - -,g7h6 a6f6 h6g7 f6a6 b3b4 g4h3 g7h6 a6f6 b4b7 h3g3,-45
4rrk1/pbq4p/1p4p1/2p1Pp2/2P2P2/1P1B2R1/nB4NP/4Q1K1 b - -,a2b4 d3e2 b4c2 e1f2 c2d4 b2d4 c5d4 h2h4 g8h8 g1f1,-260
8/6pk/4p2p/P2b4/1Q1Pp1P1/4B3/5K1P/8 b - -,a2b4 d3e2 b4c2 e1f2 c2d4 b2d4 c5d4 h2h4 g8h8 g1f1,Mate
rr4k1/2Qbqppp/p1n2n2/P2Bp3/2N1P3/2P2N2/5PPP/R2R2K1 b - -,f6e8 d5c6 e8c7 d1d7 e7c5 f3e5 c7e6 d7d5 c5e7 c6a8,9
r1bq1rk1/bp3ppp/p1pp1nn1/4p3/P1B1P3/2PP1NNP/1P3PP1/R1BQR1K1 b - -,h7h6 c4a2 d6d5 e4d5 f6d5 d3d4 e5d4 f3d4 f8e8 e1e8,25
6r1/4p3/3p3P/6P1/7K/1k6/R7/8 b - -,b3a2 h6h7 g8h8 g5g6 d6d5 h4g5 a2b2 g5h6 d5d4 g6g7,582
r2qk2r/1bpn1pp1/1p1ppn1p/p7/2PPP3/P1Q2PB1/1P4PP/R3KBNR b KQkq -,e8h8 e1a1 d6d5 c4d5 e6d5 e4e5 f6h5 g3f2 h5f4 c3d2,45
r3kb1r/pppqpppp/2n2N2/5b2/8/3B1N2/PPP2PPP/R1BQ1RK1 b kq -,g7f6 d3f5 d7f5 f3d4 c6d4 d1d4 h8g8 d4a4 f5d7 a4d7,-101
rnbqk2r/pp2bpp1/2p1pn1p/3p4/3PP3/2NB1N2/PPP2PPP/R1BQ1RK1 b kq -,b7b6 f3e5 d5e4 d3e4 c8b7 f1e1 f6e4 c3e4 b8d7 d1g4,86
r2q2k1/1p3ppp/p1p1n3/8/1P1P4/5N2/P2Q1PPP/4R1K1 b - -,d8d6 a2a3 a8d8 h2h4 h7h6 e1e5 d6c7 d2e3 d8d6 g2g3,-28
r1b1k2r/1pqnbp2/2pPp1p1/p5Pp/3P1B1P/3B1N2/PPPQ1P2/2KR3R b kq -,e7d6 f4d6 c7d6 d3e4 e8h8 h1e1 a5a4 d2d3 a4a3 b2b3,113
r3kb1r/p2q1ppp/1p1p4/2pQ4/4n3/2P5/PP3PPP/RNB2RK1 b kq -,f7f5 d5a8 e8f7 a8d5 d7e6 d5e6 f7e6 c3c4 d6d5 f1e1,559
r2Nk2r/1p2ppbp/p5p1/n7/3P4/8/PPB2PPP/R1Bn1RK1 b kq -,a8d8 f1d1 a5c6 g1f1 c6d4 c2e4 d8d7 c1e3 f7f5 e4b7,-66
3r4/p1pk1p2/4b3/3p4/3P4/P3P3/1P1NQpq1/2K2R2 b - -,,0
r3k2r/pp2nppp/3bpnb1/4N3/3P2P1/1PN1B2P/1P2BP2/R2R2K1 b kq -,a7a6 e5c4 a8d8 e2f3 f6d5 c3a4 h7h5 a4c5 d6c5 d4c5,35
k7/8/P5p1/2K2p1p/5P1P/6P1/8/8 b - -,a8a7 c5d6 a7a6 d6e5 g6g5 h4g5 a6b6 g5g6 b6b7 e5f5,Mate
r4rk1/pp1npp1p/2bp2p1/q7/3QP3/1BN2P2/PPP3PP/3RR1K1 b - -,a8c8 d4d2 a5c5 g1h1 c8c7 h2h3 f8c8 d2h6 d7f6 h6f4,-5
8/5p2/5Rpk/4p3/6KP/1r3P2/8/8 b - -,h6g7 f6a6 g7h6 a6f6 b3b4 g4h3 b4b7 h3g3 h6g7 f6a6,-31
8/8/5k2/1p5p/5P2/3N2K1/8/8 b - -,f6f5 g3f3 f5f6 d3b4 f6e6 f3g3 e6f5 b4d5 f5g6 g3f3,1064
3r1r1k/p5p1/1p2R2p/5pP1/2Q1nP1R/8/P6P/6K1 b - -,e4g5 e6h6 g7h6 h4h6 h8g7 f4g5 f8f7 c4c3 g7f8 g5g6,2132
8/5k2/3P4/4K1pp/8/4R1P1/3r4/8 b - -,,0
6r1/4p2P/3p4/6P1/7K/8/k7/8 b - -,g8h8 g5g6 d6d5 h4g5 a2b2 g5h6 d5d4 g6g7 h8h7 h6h7,787
r4rk1/ppp2ppp/4bn2/8/1b1P4/P1N2P2/1PP3PP/R1B1R1K1 b - -,b4c3 b2c3 e6c4 h2h4 f8e8 c1d2 h7h5 g1f2 e8e1 a1e1,-480
4r3/5pk1/2Q3p1/6R1/8/5P2/6PP/6K1 b - -,g7f8 g1f2 e8e7 g5d5 f8g7 f2g3 f7f5 d5d8 e7a7 c6e8,9605
r3k2r/pp3ppp/1qn1bn2/1B1p2N1/8/2P1B3/PP3KPP/RN1QR3 b kq -,d5d4 b5c6 b6c6 c3d4 e8h8 g5e6 f7e6 f2g1 f6d5 d1b3,406
8/k7/P2RK1p1/6Pp/7P/8/8/5r2 b - -,f1f4 e6e5 f4h4 d6g6 h4c4 g6h6 c4c5 e5f6 c5c6 f6f7,580
1rr5/p4kpp/2p2p2/3pnb2/1PPN4/P3R2P/5PP1/3R1BK1 b - -,f5d7 d4b3 g7g5 c4d5 c6d5 d1d5 d7e6 d5d1 e6c4 b3c5,116
r5k1/1p3ppp/p1pqn3/8/1P1P4/P4N2/3Q1PPP/4R1K1 b - -,h7h6 h2h4 d6d7 e1e4 e6c7 d2d3 c7d5 f3e5 d7c7 e5f3,-26
3R2k1/7p/6p1/6P1/1p1pK3/8/7P/2r5 b - -,g8f7 d8d7 f7e6 d7h7 c1g1 h7b7 g1g4 e4d3 g4h4 b7b4,-4
r1br2k1/ppp2p1p/2n3p1/4b3/2P1NP2/4P3/PP2B1PP/R1B2RK1 b - -,f7f5 f4e5 f5e4 f1f4 g6g5 f4f1 a7a5 b2b3 a5a4 e2h5,55
rnbqkb1r/1pp2ppp/p3pn2/3p4/2PP4/1P3N2/P2BPPPP/RN1QKB1R b KQkq -,c7c5 e2e3 c5d4 f3d4 e6e5 d4f3 b8c6 c4d5 d8d5 b1c3,-35
r4rk1/ppp2ppp/4bn2/8/3P4/P1P2P2/2P3PP/R1B1R1K1 b - -,e6c4 a1b1 b7b6 c1d2 f8e8 e1e5 e8e5 d4e5 f6d7 b1e1,-465
r6r/P1p2k2/1p1q4/2pPp1pp/5p2/1Q3P2/R4BPP/4R1K1 b - -,f7f6 g2g3 h8d8 b3c2 d6d5 g3f4 d5f3 f4g5 f6g7 f2g3,452
r1b1kbnr/pp3ppp/2n5/1B1p2q1/3Pp3/1P4P1/PBPN1P1P/RN1QK2R b KQkq -,c8h3 d2f1 f8b4 c2c3 b4d6 b2a3 g5d8 a3d6 d8d6 f1e3,-109
7r/p1pk1p2/4b3/3p4/3P4/P3P3/1P1NQRq1/2K5 b - -,,0
r1b1k2r/1pqn1p2/2pBp1p1/p5Pp/3P3P/3B1N2/PPPQ1P2/2KR3R b kq -,c7d6 d3e4 e8h8 h1e1 b7b6 f3e5 c8b7 e5c4 d6b4 d2b4,114
r3r1k1/1p1q1pbp/p5p1/4n3/P2N4/1P3P2/2Q2BPP/3R1RK1 b - -,a8c8 c2b1 d7c7 h2h3 e8d8 d1c1 c7a5 c1c8 d8c8 f1d1,-21
2r1r1k1/p4pp1/7p/4Pq2/2Bp1P1b/1P3Q1P/P6K/3R2R1 b - -,g8f8 g1g4 h4e7 f3g2 g7g6 c4d3 f5e6 d3g6 f7g6 g4g6,106
r1b2rk1/p5bp/1p2p1p1/2pP4/2P1P1p1/6B1/P2N1PPP/2R2RK1 b - -,g7h6 c1c2 c8d7 f1e1 d7a4 d2b3 h6g7 c2e2 a8d8 g1f1,-26
r3kb1r/pppqpp1p/2n2p2/5B2/8/5N2/PPP2PPP/R1BQ1RK1 b kq -,e7e6 d1d7 e8d7 f5e4 f8d6 b2b3 h7h5 c1b2 h8h6 g1h1,471
8/3k3p/2p2p2/2Bp1p2/B2P1P2/4K3/1r2N2P/4n3 b - -,h7h5 h2h3 e1g2 e3f3 h5h4 e2c3 g2e1 f3e3 b2h2 c3d5,-14
8/6k1/R4pp1/4p3/7P/1r3PK1/8/8 b - -,e5e4 g3f4 b3f3 f4e4 f3h3 e4f4 h3h4 f4g3 h4d4 g3f2,-445
r1bqk2r/2pp1ppp/p1n2n2/1p6/1b1P4/PB3N2/1P1N1PPP/R1BQ1RK1 b kq -,b4a5 b3c2 h7h6 d4d5 f6d5 d2b3 d5e7 b3a5 c6a5 d1d4,73
r3k2r/3bbpp1/p1nppn1p/qp6/3NP1P1/PBN1B3/1PP1QP1P/2KR2R1 b kq -,a8c8 c1b1 b5b4 a3b4 c6b4 f2f3 g7g6 h2h4 e6e5 g4g5,121
5r1k/p5p1/1p2R2p/5pP1/2Q1nP1R/8/P5KP/3r4 b - -,d1d6 e6d6 e4d6 c4d4 d6f7 g5h6 f7h6 h4h6 h8g8 d4d5,Mate
r4rk1/ppp2ppp/4b3/3n4/2PP4/P4P2/2P3PP/R1B1R1K1 b - -,d5b6 d4d5 e6d7 a1b1 f8e8 e1e8 d7e8 h2h3 h7h6 g2g4,-367
8/3R1k1p/6p1/6P1/1p1pK3/8/7P/2r5 b - -,f7e6 d7h7 c1e1 e4d4 e6f5 d4c4 e1e4 c4d3 e4e5 h2h4,-3
rnb3nr/pppp1k1p/5qp1/4Q3/4P3/5N2/PPPP1KPP/RNB4R b - -,f6e5 f3e5 f7g7 e5f3 g8f6 b1c3 h8f8 b2b3 d7d6 h2h3,225
8/8/8/8/8/1kn1n3/8/2K5 b - -,,0
3r2k1/1p3ppp/p1pqn3/8/1P1P3P/P4N2/3Q1PP1/4R1K1 b - -,h7h6 e1e5 d6c7 d2e3 d8d6 g2g3 c7d8 e5e4 g8f8 g1f1,-28
8/8/k6P/2p1B3/5P2/1P3K2/3bN3/8 b - -,h7h6 e1e5 d6c7 d2e3 d8d6 g2g3 c7d8 e5e4 g8f8 g1f1,Mate
r2qk2r/pbpn1p2/1p1ppn1p/6p1/2PPP3/P1Q2PB1/1P4PP/R3KBNR b KQkq -,f6h5 g3f2 h8g8 h2h3 f7f5 e4f5 e6f5 e1a1 d8f6 d1e1,62
1k1r4/pbpr1qp1/1B2np1p/1p2p2P/2p1P1PN/3P2R1/PPP2P2/1KN1QR2 b - -,a7b6 d3c4 b5c4 h4f5 e6c5 f2f3 d7d2 e1e3 c5a4 e3a3,-206
5rk1/3b1pp1/2pp1b1p/p3q3/4P3/1R4P1/2Q2P1P/1R3BK1 b - -,d6d5 e4d5 c6d5 c2c5 d7f5 b1d1 a5a4 b3e3 e5b8 c5d5,3
rn1q1rk1/p1pp2pp/1p2ppb1/3P4/2P4P/2B1P3/PP1N1PP1/R2QK2R b KQ -,g6e8 d2e4 b8a6 b2b4 d8e7 e4g3 f6f5 f2f4 f8f7 d1d2,73
rr2n1k1/2QbqBpp/p1n5/P3p3/2N1P3/2P2N2/5PPP/R2R2K1 b - -,e7f7 c7d7 f7c4 d7d5 c4d5 e4d5 e5e4 f3g5 c6e5 g5e4,-109
r4rk1/ppp2ppp/4b3/8/2PP4/P1n2P2/1BP3PP/R3R1K1 b - -,c3a4 d4d5 a4b2 d5e6 b2c4 a1b1 c4d6 e6e7 f8e8 c2c4,-480
2n1k3/2qb1pp1/4p2r/1p1pP1N1/1BrR1Q1P/P1P5/5PP1/4R1K1 b - -,f7f5 f4g3 d7c6 d4c4 b5c4 b4c5 c7b7 c5e3 d5d4 e3d4,296
8/5k2/3P4/4K1pp/8/5RP1/r7/8 b - -,,0
4rrk1/pbq4p/1p4p1/2p1Pp2/1nP2P2/1PQB2R1/1B4NP/6K1 b - -,e8e6 d3b1 g8f7 c3e1 f8d8 b2c3 b7g2 g3g2 f7e8 e1f1,-309
8/k7/P5R1/4K1Pp/7r/8/8/8 b - -,h4h1 g6h6 h1g1 e5f6 a7a6 h6h5 g1f1 f6g7 a6b5 g5g6,581
r2qkb1r/pp4p1/2ppp3/7p/2PpP3/3P1P2/PP4PP/R1BQ1RK1 b kq -,d8d7 c1d2 f8e7 f3f4 e6e5 b2b4 d7g4 d1b3 e5f4 f1f4,99
1k1r4/1bpr1qp1/1p2npNp/1p2p2P/2p1P1P1/3P2R1/PPP2P2/1KN1QR2 b - -,e6c5 e1e2 c4d3 c2d3 d7d3 g3d3 d8d3 f2f3 d3d7 f1d1,-345
r1b1kbnr/1pp2ppp/p1n1p3/3qN3/2pP4/2N2PP1/PP2P2P/R1BQKB1R b KQkq -,d5d6 c3e4 d6d4 e5c6 d4d1 e1d1 b7c6 e4d2 c4c3 b2c3,-41
r1bq1rk1/ppp1npbp/2n3p1/1B2N3/3P4/1P2P3/PBP3PP/RN1QK2R b KQ -,c6e5 d4e5 e7d5 d1f3 c7c6 b5d3 d8h4 g2g3 h4g5 b1d2,-132
r2q1rk1/p3ppbp/2p3pn/3pP3/3Pb3/2N2N1P/PP3PP1/R1BQR1K1 b - -,h6f5 c3e4 d5e4 e1e4 c6c5 d1a4 f5d4 f3d4 c5d4 c1f4,82
