r1b2rk1/ppp1qppp/2np1n2/4p1B1/2P1P3/3P1N2/PP3PPP/R2QKB1R b KQ -,h7h6 g5d2 a7a5 f1e2 f6d7 e1h1 d7c5 d2e3 b7b6 d1d2,-45
6k1/p2q1rPn/1p2PpN1/3pp2P/4n3/P7/1PP1QP2/2KR3R b - -,e4g3 e6f7 g8g7 f2g3 g7h6 f7f8q h7f8 g6f8 d7f7 f8g6,1107
3r4/6pk/7p/4P3/1P1P2P1/P3p2P/KP2R3/8 b - -,d8d4 e2e3 d4d7 e5e6 d7e7 b4b5 h7g6 a3a4 h6h5 b5b6,853
r1q2rk1/3nppb1/2p2npP/3p4/p2P1BP1/3BP3/PpP3Q1/1K4RR b - -,c8b7 h6g7 f6e4 g7f8r g8f8 d3e4 d5e4 h1h8 f8g7 h8a8,584
6k1/Rp2n1p1/1r5p/2NPpp2/2P5/7P/5PPK/8 b - -,e5e4 c5b7 f5f4 b7c5 e4e3 f2e3 e7f5 e3f4 b6b4 a7a4,373
rn1qkb1r/pp3ppp/2p1pn2/3p4/3P1B2/4PP1P/PPP1BP2/RN1QK2R b KQkq -,f8d6 f4d6 d8d6 b1d2 e8h8 c2c4 e6e5 d2b3 d5c4 d4e5,-22
8/6pk/7p/4P3/1P1r2P1/P3R2P/KP6/8 b - -,h7g8 b4b5 d4d8 e5e6 d8b8 a3a4 g8f8 a2b3 f8e7 b3b4,1082
r1bq1rk1/ppp2ppp/4pn2/8/1b1nP3/2NP1P2/PPPB1QPP/2KR1B1R b - -,e6e5 h2h4 c8e6 h4h5 b4c3 d2c3 c7c5 g2g4 f6d7 f1h3,-368
8/pp2r3/8/2pR3n/P1B3k1/2P3P1/1P3PK1/8 b - -,h5g3 f2g3 e7e3 d5d7 e3g3 g2f2 g3f3 f2e2 f3f8 d7b7,635
rn2kbnr/pp2pppp/8/3p1b2/3P1B2/1PN5/1P2PPPP/R3KBNR b KQkq -,g8f6 f4b8 a8b8 a1a7 e7e6 e2e3 f8d6 f1b5 e8e7 g1e2,49
r2qkb1r/ppp2ppp/2n5/3p1b2/4n3/2P2P2/PP1PQNPP/RNB1KB1R b KQkq -,d8e7 f3e4 d5e4 b2b3 e8a8 e2e3 e7e5 c1a3 f8e7 a3e7,164
5K2/1p2n1p1/b1n1p3/3kP2N/1P1Q4/3P1N2/r7/2q5 b - -,d8e7 f3e4 d5e4 b2b3 e8a8 e2e3 e7e5 c1a3 f8e7 a3e7,Mate
3rr1k1/p3qpn1/1p3np1/3p1b1p/3R4/PBN1PP1P/1P3QP1/2N1R1K1 b - -,a7a6 b3d5 f5h3 c1d3 a6a5 e1d1 g7f5 d5f7 e7f7 d3e5,81
8/4b3/2k3p1/1p2p1Pp/pP2Pp1P/P2K1P2/B7/8 b - -,c6b7 a2f7 e7d8 f7g6 b7c8 g6h5 c8d7 h5g4 d7d6 g4c8,660
r3kb1r/pp1B1ppp/3P1q2/2p5/8/5Q2/PPn2PPP/RNBK3R b kq -,e8d7 f3b7 d7d6 b7a6 d6d7 a6f6 g7f6 d1c2 f8g7 b1c3,544
6k1/5p1Q/1pq1n1p1/8/8/2BP4/1P2KPP1/R7 b - -,e8d7 f3b7 d7d6 b7a6 d6d7 a6f6 g7f6 d1c2 f8g7 b1c3,Mate
8/pp6/8/3n4/4N1P1/1P1p4/P1k2K2/8 b - -,d5c3 e4g3 c3d1 f2f3 d1e3 g4g5 d3d2 f3e3 d2d1q e3f4,-701
r1bqkb1r/pp3ppp/B2p1n2/2pP4/8/2N2N2/PPP2PPP/R1BQK2R b KQkq -,c8g4 a6b7 d8e7 d1e2 e7e2 e1e2 a8b8 b7c6 e8d8 h2h3,534
4rr1k/p4ppp/2p1pn2/1p3n2/1Qpq4/P1P2P1P/4B1RP/4RK2 b - -,f5e3 f1g1 d4d2 b4b1 e3g2 g1g2 f6d5 b1c1 d5f4 g2f1,-967
r3kb1r/pppq1ppp/2n5/3p1b2/3Pn3/2P2P2/PP2QNPP/RNB1KB1R b KQkq -,e8a8 f3e4 f5e6 b1d2 d5e4 e2e4 d8e8 f1e2 e6d5 e4d3,247
r4b1r/pQ1k1ppp/3P1q2/2p5/8/8/PPn2PPP/RNBK3R b - -,d7d6 b7a6 d6d7 a6f6 g7f6 d1c2 d7c6 b1c3 f8d6 c1e3,547
r1bqk2r/ppp1nppp/2n5/4P1B1/2Pp4/P4N2/1P2PPPP/R2QKB1R b KQkq -,c8e6 d1b3 e8h8 e2e3 d4e3 g5e3 e6g4 f1e2 f8e8 e5e6,64
5rk1/p1q2pbp/2p2np1/1p2p3/3rP3/PPP2B2/3NQPPP/R2R2K1 b - -,d4d7 d2f1 a7a5 f1e3 d7d1 a1d1 f8a8 g2g3 h7h5 e2d3,-20
2r1r1k1/1b2qpbp/ppnp1np1/4p3/PPP5/2N1PN1P/1Q2BPPB/R2R2K1 b - -,h7h5 a1b1 c6b8 h2g3 f6e4 g3h4 g7f6 h4f6 e7f6 c3d5,70
r1bqkb1r/p4ppp/p2p1n2/2pP4/8/2N2N2/PPP2PPP/R1BQ1RK1 b kq -,c8f5 f1e1 f8e7 d1e2 f5g4 c1f4 g4f3 e2f3 e8h8 f3e2,168
1r3rk1/p1p2ppp/4b3/4p3/3n3N/3P1BP1/PP3PKP/2R2R2 b - -,g7g5 c1c7 g5h4 h2h3 b8b2 c7a7 f8d8 a7a5 d4f3 g2f3,-483
4r2k/p6p/Pp6/5n2/1P2nbP1/2p1pN1P/2Q5/4RNK1 b - -,h7h5 e1e2 f5d6 f1e3 h5g4 h3g4 f4h6 c2d3 h8g8 d3d5,533
6r1/2p4r/p2pkp2/8/1PRKP3/1P6/1P3R2/8 b - -,g8g4 f2f3 h7f7 f3f5 g4g2 f5a5 f7h7 a5a6 g2g4 b4b5,-42
6k1/pp1R1p2/1bn1r1p1/5p2/1P5B/P3PN2/5PP1/6K1 b - -,f5f4 e3f4 e6e4 g2g3 e4e2 d7b7 b6f2 g1f1 e2c2 f3g5,158
8/4bB2/2k3p1/1p2p1Pp/pP2Pp1P/P1K2P2/8/8 b - -,e7d8 c3d3 d8b6 f7g6 c6d7 g6h5 b6d8 h5f7 d7e7 f7d5,677
6k1/8/8/5R1p/6pP/6P1/7K/4q3 b - -,e7d8 c3d3 d8b6 f7g6 c6d7 g6h5 b6d8 h5f7 d7e7 f7d5,Mate
2rq1rk1/1p1bbppp/1n2p3/p1pP4/P3P3/2NB1P2/1P3BPP/R2Q1RK1 b - -,e7g5 d5e6 d7e6 d1e2 g7g6 f1d1 d8c7 c3b5 c7e5 g2g3,58
r4b1r/p4ppp/Q2k1q2/2p5/8/8/PPn2PPP/RNBK3R b - -,d6c7 a6f6 g7f6 d1c2 c7c6 b1c3 a8d8 c1e3 f6f5 h1d1,551
rn1q1rk1/pp3ppp/2pbpn2/5b2/P1BP4/2N1PN2/1P2QPPP/R1B2RK1 b - -,d6e7 e3e4 f5g6 f1d1 b8d7 h2h3 f8e8 f3e5 d7e5 d4e5,79
8/2p4r/p2pkp2/8/1PRKP3/1P3R2/1P6/6r1 b - -,g1g4 c4c2 h7h4 c2c7 g4e4 d4c3 e4b4 c7c6 b4b5 c6a6,-31
r4b1r/p1k2ppp/5Q2/2p5/8/8/PPn2PPP/RNBK3R b - -,g7f6 c1f4 f8d6 f4d6 c7d6 d1c2 d6c6 b1c3 h7h5 h1d1,555
8/pp6/8/3n4/6P1/1P6/P1kN1K2/8 b - -,c2d2 g4g5 d5e7 f2f3 d2c2 f3e4 c2b2 e4f4 e7g6 f4f5,-775
6k1/pR6/1bn1rpp1/5p2/1P5B/P3PN2/5PP1/6K1 b - -,g8f8 h4g3 f8e8 f3d2 c6d8 b7g7 g6g5 d2c4 f5f4 c4b6,164
1nr1r1k1/1b2qpbp/pppp1np1/3Pp3/PPP5/2N1PN1P/3QBPPB/R2R2K1 b - -,e8d8 e3e4 a6a5 b4a5 b6a5 h2g3 b8a6 g3h4 h7h6 d2e3,62
6k1/1N2n1p1/7p/3Ppp2/2P5/7P/5PPK/8 b - -,g8f8 b7d6 g7g6 h2g3 e7g8 f2f4 e5e4 g3f2 g8f6 f2e3,262
8/2p4r/p1Rpkp2/8/1P1KP1r1/1P3R2/1P6/8 b - -,h7h4 c6c7 g4e4 d4c3 e4b4 c7c6 b4b5 c6a6 b5c5 c3d3,-20
r1b1k2r/1pp1qppp/2n5/p1b1n3/2Pp4/1Q1BPN2/PPNB1PPP/2KR3R b kq -,a5a4 b3b5 e5d3 c1b1 e8h8 h1f1 d4e3 d2e3 a8a5 d1d3,-554
rn1q1rk1/pp3ppp/2p1pn2/5b2/PbBPP3/2N2N2/1P2QPPP/R1B2RK1 b - -,f6e4 c3e4 b8d7 e4g3 f5g6 f1d1 h7h6 c4d3 g6d3 d1d3,383
r1b1kb1r/1pp2ppp/1nn1p3/4P2Q/p7/2Pq1N2/PP2BPPP/RNB1K2R b KQkq -,d3c2 h5g5 a4a3 b2a3 h7h6 g5d2 c2d2 b1d2 c8d7 e1h1,-142
5K2/1pQ1n1p1/b1n1p3/3kP2N/1P1p4/3P1N2/r7/2q5 b - -,a6d3 c7d7 d5e4 b4b5 e4f3 d7b7 a2a7 b5c6 e7c6 b7a7,-1466
r4r1k/6pp/p2p2q1/1p1Qp3/4p3/N1P2P1P/PP3R1P/R6K b - -,e4f3 f2f3 a8d8 a1g1 g6e8 d5b7 g7g6 g1f1 f8f3 b7f3,322
r4rk1/1ppqbppp/2np4/p7/3Nb1P1/2P1B2P/PPPQBP2/2KR2R1 b - -,c6d4 d2d4 d7c6 g4g5 d6d5 h3h4 b7b6 d4d2 a8e8 h4h5,17
8/pp6/8/3n2P1/8/1P6/P2k1K2/8 b - -,d5e7 b3b4 d2c3 b4b5 c3b2 f2f3 b2a2 f3f4 e7g6 f4f5,-892
5k2/4n1p1/3N3p/3Ppp2/2P5/7P/5PPK/8 b - -,g7g6 h2g3 f8g7 g3f3 h6h5 f3e2 g6g5 e2d3 h5h4 f2f3,321
4r2k/p7/Pp6/5P1p/1P2nb2/2p1pN1P/2Q5/4RNK1 b - -,e8g8 c2g2 e4d2 g2g8 h8g8 f3d4 f4e5 d4c2 d2f3 g1g2,479
2r2k2/1R6/2p1pp2/pp5R/5P2/8/PP4PK/8 b - -,f8g8 b7h7 c8f8 h7h8 g8f7 h5h7 f7e8 h8f8 e8f8 h7c7,823
r1bqkb1r/pp1n1ppp/3p1n2/3Np3/2B1P3/5N2/PPP2PPP/R1BQK2R b KQkq -,f6e4 d1e2 d7f6 f3g5 e4g5 c1g5 f8e7 c4b5 e8f8 d5e7,-2
r1q2Bk1/3npp2/2p3p1/8/p2Pp1P1/4P3/PpP3Q1/1K4RR b - -,f7f6 f8e7 c8e8 g2h2 e8e7 h2h8 g8f7 h8a8 f7g7 g4g5,709
6rk/p7/Pp6/5P1p/1P2nb2/2p1pN1P/6Q1/4RNK1 b - -,c3c2 g2g8 h8g8 f3d4 e3e2 d4c2 e2f1q g1f1 e4d6 e1e7,518
rn1qkb1r/pp3ppp/2p1pn2/3p1bB1/3P4/3BPN2/PPP2PPP/RN1Q1RK1 b kq -,h7h6 g5h4 f8e7 d3f5 e6f5 b1d2 b8d7 c2c4 d5c4 d2c4,17
8/5B2/2k3p1/1p2p1Pp/pP2Pp2/P1K2P2/8/8 b - -,h7h6 g5h4 f8e7 d3f5 e6f5 b1d2 b8d7 c2c4 d5c4 d2c4,Mate
r1b1k1nr/pppq1ppp/2n1p3/1B1pP3/3P4/P1P5/2P2PPP/R1BQK1NR b KQkq -,a7a6 b5d3 b7b6 g1h3 c8b7 d1g4 g7g6 e1h1 h7h6 a3a4,83
r3q1k1/p3bpp1/1p3n1p/3N4/2pPn3/P3P1B1/1PQ2PPP/R4RK1 b - -,f6d5 c2e4 e8d7 e4c2 b6b5 e3e4 d5b6 d4d5 a8c8 d5d6,369
3r1r1k/6pp/p2p2q1/1p1Qp3/4p3/N1P2P1P/PP4RP/R6K b - -,g6h6 f3e4 f8f6 a1g1 h6h3 a3c2 g7g6 g2g3 h3d7 c2e3,323
r1bqk2r/pp2bppp/n2p1n2/2pP4/2B5/2N2N2/PPP2PPP/R1BQ1RK1 b kq -,c8d7 c4a6 b7a6 f3d2 e8h8 h2h3 h7h6 d1f3 f6h7 d2c4,84
5k2/4n1p1/3N3p/3P1p2/2P1p3/6KP/5PP1/8 b - -,g7g5 g3h2 f8g7 g2g4 f5g4 h3g4 g7f6 d6e4 f6e5 e4g3,363
rn1qk2r/pp3ppp/2pbpn2/3pNbB1/3P4/3BP3/PPP2PPP/RN1Q1RK1 b kq -,f5d3 c2d3 b8d7 f2f4 d6e7 b1c3 e8h8 d1e2 d7e5 d4e5,6
rnbq1rk1/pp1p1pbp/5pp1/2pP4/2P4P/4P3/PP3PP1/RN1QKBNR b KQ -,d7d6 b1c3 f6f5 d1c2 b8d7 a2a4 d8a5 g1f3 f5f4 e3f4,-45
6Qk/p7/Pp6/5P1p/1P2nb2/4pN1P/2p5/4RNK1 b - -,h8g8 f3d4 e4d2 g1g2 e3e2 f1e3 c2c1r e1c1 f4e3 c1c8,562
