r2q1rk1/ppn3bp/2n1bpp1/3p4/3P4/2NBBN1P/PP1Q1PP1/2R2RK1 b - -,c6a5 b2b3 e6f7 c3a4 b7b6 a4c5 f8e8 c5a6 a5c4 b3c4,97
r4rk1/ppnq2bp/2n1bpp1/3p4/N2P4/3BBN1P/PP1Q1PP1/2R2RK1 b - -,f8e8 a4c5 d7c8 c1c3 g7f8 f1c1 f8c5 d4c5 e6f7 b2b4,135
2r1r1k1/p3q2p/Pp2p1p1/3pR3/b2PnPPP/1P2Q3/6N1/3R1B1K b - -,e4f6 b3a4 f6g4 e3g3 g4e5 f4e5 e8f8 g2f4 c8c3 g3c3,175
r1bqkbnr/ppp2ppp/8/3p4/4P3/5N2/PPP2PPP/RNBQKB1R b KQkq -,g8f6 e4d5 d8d5 d1d5 f6d5 f1c4 c8e6 e1h1 f8d6 f3d4,451
r2r2k1/5pp1/1p1p2n1/q6p/1p1PP3/1BP1P2Q/1P1RN2K/6R1 b - -,g8f8 g1g6 d6d5 g6g1 a5a7 e4e5 a7d7 h3h4 d8c8 c3b4,665
2r2rk1/1p1b1ppp/p2qp3/3p4/2P1n3/NN1Q4/PP3PPP/R4RK1 b - -,f8d8 c4d5 e4f6 a1d1 f6d5 d1d2 h7h6 f1d1 d7e8 a3c2,-256
r3q1k1/5ppp/p1pb4/1p1n1Q2/8/1BPP4/PP3PPP/RNB3K1 b - -,d7a4 c4d5 e4f6 f1d1 f6d5 g2g3 f8d8 d3e4 a4e8 a1c1,Mate
rnb1rb2/pp3pk1/2p3pp/3Pp3/2B1P3/4BN2/PP3PPP/2R2RK1 b - -,c8g4 a2a3 g4f3 g2f3 f8e7 f1d1 e7g5 b2b4 e8d8 a3a4,91
2r2rk1/1p1b1ppp/p2qpn2/N2p4/2P5/N2Q4/PP3PPP/R4RK1 b - -,d6b4 d3c3 b4c3 b2c3 b7b6 a5b3 d5c4 b3d4 f6d5 d4e2,-444
1rbq1rk1/p4pbp/2n3p1/1p1p4/1PP5/P4NP1/3BPPBP/1R1Q1RK1 b - -,c8e6 c4b5 b8b5 a3a4 b5b8 b4b5 c6e5 f3d4 e6d7 d2f4,239
8/8/8/8/8/4KN2/k1B5/8 b - -,c8e6 c4b5 b8b5 a3a4 b5b8 b4b5 c6e5 f3d4 e6d7 d2f4,Mate
rnbqk2r/ppppbppp/1n2p3/4P3/2BP4/1P3N2/P1P2PPP/RNBQK2R b KQkq -,b6c4 b3c4 b7b6 e1h1 d7d6 f1e1 b8d7 e5d6 c7d6 b1c3,-50
r2qkb1r/5pp1/pn1p1n2/1p1Pp2p/8/1NQ1BP2/PPP3PP/2KR1B1R b kq -,g7g6 c3c6 b6d7 g2g3 f8e7 e3b6 d8c8 b6c7 e8h8 c7d6,109
8/8/8/1P4R1/K2k4/8/8/1r6 b - -,b1a1 a4b4 a1b1 b4a5 b1a1 a5b6 a1a8 b6b7 a8a5 g5h5,516
rnbqkb1r/ppp2pp1/4p2p/3p4/3PP3/2N5/PPPQ1PPP/2KR1BNR b kq -,a7a5 f2f4 c7c6 f1d3 f8e7 g1f3 b7b5 e4d5 e6d5 d1e1,60
