r2qk1nr/ppp2ppp/2npb3/2b1p1N1/2B1P3/2NP4/PPP2PPP/R1BQK2R b KQkq -,c6d4 c4e6 d4e6 g5e6 f7e6 c3a4 c5d4 c2c3 d4f2 e1f2,90
r2qkbnr/ppp2ppp/3p4/4p3/3NP1b1/2N5/PPPPBPPP/R1BQ1RK1 b kq -,g4e2 d4e2 d8h4 d2d4 e8a8 d1d3 g8f6 d4d5 g7g6 a2a4,546
r1bqkbnr/pp2pppp/2P5/n7/Q1p5/5N2/PP2PPPP/RNB1KB1R b KQkq -,f7f6 c6b7 c8d7 b7a8q d7a4 a8d8 e8d8 e2e4 a4c6 c1d2,970
rnbqkb1r/pp1n1ppp/4p3/1Bp1P3/8/2N2N2/PPPP2PP/R1BQK2R b KQkq -,b7b6 d2d4 c5d4 d1d4 a7a6 b5d7 d8d7 d4b6 d7c6 b6f2,60
r1bqkb1r/p1p1pppp/2n2n2/1p2P3/2pP4/2N2N2/PP3PPP/R1BQKB1R b KQkq -,a8b8 e5f6 e7f6 f1e2 f8d6 d4d5 c6e5 e1h1 e8h8 c1e3,334
r1b1kbnr/pppp1ppp/8/3Pp3/3nP2q/2PB4/PP3PPP/RNBQK1NR b KQkq -,f8c5 c3d4 c5d4 d1e2 f7f5 e4f5 d7d6 g1f3 h4f2 e2f2,823
r1bq1rk1/pppp1pp1/2n2n1p/4p3/1bP1P3/2NP1N2/PP2BPPP/R1BQ1RK1 b - -,b4a5 c1e3 d7d6 c3d5 c8d7 a2a3 a5b6 a1c1 d7g4 b2b4,44
rn1qkb1r/ppp3p1/3p1n1p/4pb2/2B5/2NP1N2/PPP2PPP/R1BQ1RK1 b kq -,d8d7 d3d4 e5e4 f3h4 d6d5 h4f5 d7f5 c4b3 f8b4 f2f3,170
r1bqkbnr/pp3ppp/2B1p3/2P5/3pP3/2N5/PPP2PPP/R1BQK1NR b KQkq -,d8d7 c6d7 c8d7 d1d4 a8c8 c1g5 g8f6 b2b4 c8d8 g1f3,1353
r2qkbnr/p3pppp/2p5/2ppP3/6b1/5N1P/PPPP1PP1/RNBQ1RK1 b kq -,g4c8 b1c3 e7e6 b2b3 h7h5 d2d3 g8h6 c3a4 h6f5 c1g5,154
rnbqkbnr/ppp2p1p/3p4/8/3PPpp1/2N5/PPPN2PP/R1BQKB1R b KQkq -,d8h4 e1e2 b8c6 c3b5 e8d8 d1e1 h4e1 e2e1 a7a6 b5c3,-304
r1bqk2r/pppnbppp/3p1n2/4p1B1/2B1P3/2NP1N2/PPP2PPP/R2QK2R b KQkq -,d7b6 c4b3 e8h8 e1h1 b6d7 g5e3 f6g4 e3d2 g4f6 h2h3,44
rnbqkbnr/2pp1pp1/p3p2p/1p6/3PP3/2NB1N2/PPP2PPP/R1BQK2R b KQkq -,f8e7 e4e5 b5b4 c3a4 d7d5 e1h1 c8d7 c2c4 b4c3 b2c3,172
rnbqk1nr/pp2ppbp/2pp2p1/8/2P5/5NP1/PP1PPPBP/RNBQ1RK1 b kq -,b8d7 d2d4 g8f6 b1c3 d7b6 b2b3 d6d5 a2a4 a7a5 c4d5,73
rnbqkb1r/pp1p1ppp/4pn2/2P5/1P6/8/PBP1PPPP/RN1QKBNR b KQkq -,b8c6 a2a3 a7a5 c2c3 b7b6 c5b6 d8b6 b1d2 c8a6 g1f3,80
r1bqkbnr/pp3ppp/2np4/8/4P3/5N2/PP3PPP/RNBQKB1R b KQkq -,c8e6 b1c3 g8f6 f3d4 c6d4 d1d4 a7a6 f1e2 d6d5 e4d5,116
8/8/5K2/3k4/3n4/4Q3/8/8 b - -,c8e6 b1c3 g8f6 f3d4 c6d4 d1d4 a7a6 f1e2 d6d5 e4d5,Mate
rnbqkbnr/1pppppp1/p6p/8/2PP4/5N2/PP2PPPP/RNBQKB1R b KQkq -,g7g5 b1c3 d7d6 e2e4 e7e5 c1e3 g5g4 f3d2 e5d4 e3d4,137
rn1qkb1r/pp3ppp/2p1pn2/3p1b2/2PP2P1/2N2N1P/PP2PP2/R1BQKB1R b KQkq -,f5g4 h3g4 f8b4 d1b3 b4c3 b3c3 b8d7 c3c2 d8e7 f1g2,501
r2qkb1r/ppp2ppp/2n1pn2/3p1b2/3P1B2/P1N1PP2/1PP3PP/R2QKBNR b KQkq -,f5g6 g1h3 a7a6 d1d2 h7h6 f4g3 g6h7 h3f4 f8d6 f1d3,8
rn2kb1r/1pp1pppp/p2q1n2/8/2B3b1/2N2N2/PPPP1PPP/R1BQR1K1 b kq -,b8d7 h2h3 g4h5 d2d4 e8a8 c4e2 e7e6 a1b1 f8e7 c1e3,126
r1bqkb1r/pp2pppp/2Bp1n2/2p5/4P3/1P6/PBPP1PPP/RN1QK1NR b KQkq -,d8d7 c6d7 c8d7 f2f3 d6d5 d2d3 d7c6 g1h3 d5e4 d3e4,1183
r1bq1rk1/5ppp/p1pBpn2/3p4/Q2p4/2P1PN2/PP1N1PPP/R3K2R b KQ -,a6a5 d6f8 d4e3 f2e3 d8f8 e1h1 c8a6 f1e1 c6c5 c3c4,481
rnb1kb1r/pp3ppp/4pq2/2Pp4/8/2P2N2/PP2PPPP/RN1QKB1R b KQkq -,f8c5 b1d2 b8c6 e2e4 e8h8 d1c2 f8d8 f1e2 c5b6 e1h1,-90
r1b1kb1r/pp2pppp/2n5/2Pn4/2B5/5N2/PPP2PPP/RNB1K2R b KQkq -,c6b4 b1a3 c8f5 f3e5 e7e6 c4b5 e8e7 c2c3 a7a6 b5e2,260
rnb1kb1r/ppp1qppp/8/3p4/3Pn3/4BN2/PPP1QPPP/RN2KB1R b KQkq -,b8c6 b1d2 c8g4 h2h3 g4d7 c2c3 f7f5 e3f4 e8a8 e2e3,-9
rnbqkb1r/pp2ppp1/5n1p/2pp4/2P5/5NP1/PP1PPPBP/RNBQ1RK1 b kq -,g7g6 c4d5 f6d5 d2d4 f8g7 e2e4 d5b6 d4c5 d8d1 f1d1,130
