8/P7/8/8/2p3k1/5p2/3K4/8 b - -,c4c3 d2c3 f3f2 a7a8q f2f1q a8e4 g4g3 c3d2 f1f4 d2d3,Mate
3k2Q1/p7/8/2q5/1b6/1P3B2/2r2PPP/4R1K1 b - -,d8d7 g8f7 c5e7 e1e7 b4e7 f7f5 d7d6 f5c2 e7f8 c2f5,6405
r1bq1r1k/2p2p1p/p2p1npQ/1pnPp3/4P1P1/2N2P1N/PPP5/2KR1B1R b - -,f8g8 d1d2 g8g7 h6h4 c8d7 d2h2 c7c6 a2a3 c6d5 e4d5,23
r1b1k1nr/pppp1ppp/2q3n1/1BbN1N2/4PP2/8/PPP3PP/R1BQK2R b KQkq -,c5b4 c2c3 b4a5 d1a4 a5b6 b5c6 d7c6 d5b6 c7b6 f5d6,712
r1b1rnk1/ppp2ppp/3q4/2p1p2Q/2P1PP1N/3P3P/PBP3P1/R4RK1 b - -,e5f4 f1f2 c8d7 a1f1 f8g6 h4f5 d7f5 e4f5 g6e5 f2f4,64
2r5/R6p/2pPk1p1/4pp2/P2P4/4P2P/8/6K1 b - -,e5d4 e3d4 c8d8 a7e7 e6d6 e7h7 d6d5 a4a5 d5d4 a5a6,-10
r3r1k1/pp2qpp1/2pn1np1/3pN3/1Q1P2P1/P3P2P/1PR2PB1/5RK1 b - -,a7a5 b4b3 f6d7 e5d3 e7h4 f1c1 e8e7 a3a4 g6g5 b3c3,-24
3r1rk1/1p2npp1/p1ppb2p/P3p1q1/1P1PP3/2P1N1PP/4QPB1/2R1R1K1 b - -,d8c8 h3h4 g5g6 c1d1 e5d4 d1d4 d6d5 e4d5 e7d5 e3d5,102
8/5kpp/8/pp6/8/1P2NbP1/P2K3P/8 b - -,,0
4r1k1/p1pnrpbp/1p1p2p1/8/2PP3q/4B1NP/PP1Q1PP1/3RR1K1 b - -,d6d5 b2b3 d5c4 b3c4 d7f6 d2c1 h7h6 c1a3 g7f8 a3c1,-18
4r1k1/5p2/1q3rp1/p6p/1nQN3P/R3P1P1/1P3P2/2R3K1 b - -,e8b8 c1c3 f6d6 c4f1 b4d5 c3b3 d5b4 f1a1 d6d5 b3c3,120
8/5k2/7p/3K1Pp1/1b4P1/7P/8/8 b - -,f7e7 d5c4 b4d6 c4d4 d6f4 d4c5 f4e5 c5d5 e5h2 d5c5,-338
2Q5/8/8/5k2/K7/7P/8/5q2 b - -,,0
8/p1k2Q2/8/2q5/1b6/1P3B2/2r2PPP/4R1K1 b - -,c7b6 f7b7 b6a5 e1a1 b4a3 b3b4 c5b4 b7a7 a5b5 a7d7,Mate
r1bqk2r/ppp2pp1/2n2n1p/2bPp3/8/3P2P1/PPP1NPBP/RNBQ1RK1 b kq -,,0
1r3rk1/1p1b1pp1/3Q4/4n1q1/3Np2p/4P3/PP3PPP/R1R2BK1 b - -,b8c8 d6b6 e5f3 g1h1 c8c1 a1c1 f3d4 b6d4 d7c6 c1d1,84
2bkr3/6Rp/4q3/1p6/1bp5/2Nn1B2/1PK2P1P/3Q3R b - -,e6f5 h1g1 b4d6 g7g8 d3f2 f3e4 f2d1 e4f5 d1e3 c2d2,-157
3r1k2/1p3pp1/1P1N3p/p1Rpr3/P7/4P2P/5PP1/2R2K2 b - -,d8d6 c5b5 g7g6 c1c7 e5e7 f1g1 f8e8 c7c5 e7d7 b5b2,87
2r2rk1/pp2nppp/8/3p1b2/3P1B2/2b1PN2/P3BPPP/2RK3R b - -,c3b2 c1c5 b7b6 c5c8 f8c8 f3e1 c8c1 d1d2 c1a1 e2d3,-231
8/pQ6/1k6/2q5/1b6/1P3B2/2r2PPP/4R1K1 b - -,b6a5 e1a1 b4a3 b3b4 c5b4 b7a7 a5b5 a7d7 b5a5 d7d8,835
r3kb1r/ppp2pp1/2p1b3/4PnBp/4N3/5N1P/PPP2PP1/3R1RK1 b - -,f8e7 f1e1 a8d8 d1d8 e8d8 e4c5 e6c8 c5d3 e7g5 f3g5,28
4rrk1/1p3pp1/p2q1n1p/2pPp3/2P5/4R1P1/PP1Q1PBP/3R2K1 b - -,f6d7 g2h3 f7f5 e3f3 d6g6 d5d6 g8h8 f3b3 b7b6 h3g2,15
8/8/8/8/K2Q3k/7P/8/5q2 b - -,,0
r1bqk2r/ppp1bppp/2np4/1B6/8/2P2N2/PPP2PPP/R1BQ1RK1 b kq -,,0
1r1r2k1/p3qp1p/1n2p1p1/2p1P3/2Bp1P2/PP3R2/2P1Q1PP/2R3K1 b - -,a7a5 c1f1 b6c4 e2c4 e7d7 h2h4 d7d5 c4d5 d8d5 f3d3,-84
r1bq1r1k/2p2p1p/p2p1npQ/1pnPp3/4P1P1/2N2P2/PPPR4/2K2BNR b - -,d8e7 d2h2 c5d7 c3e2 f8e8 e2g3 e7f8 h6d2 f8g7 g4g5,205
8/ppp1p2p/ppp5/3p1k2/PP1P1P2/2PPPKp1/PP4P1/8 b - -,a6a5 b4a5 f5g6 a5b6 a7b6 f3g3 c6c5 d4c5 b6c5 a4a5,352
2r5/R6p/2pPk1p1/5p2/P2P4/7P/8/6K1 b - -,c8d8 a7e7 e6d6 e7h7 d6d5 a4a5 d5d4 a5a6 c6c5 a6a7,-8
r2q1r1k/1b2bp2/p3p3/1pnp4/5PQ1/PP2P2R/2PN2PP/R5K1 b - -,e7h4 h3h4 d8h4 g4h4 h8g7 h4g5 g7h7 f4f5 f8g8 g5h5,659
5k2/1p3pp1/1P1r3p/pR1pr3/P7/4P2P/5PP1/2R2K2 b - -,g7g6 c1c7 e5e7 g2g4 f8e8 c7c5 e7e6 c5c8 d6d8 c8d8,128
r2bk2r/pp3pp1/1n1Nb2p/3pN3/3P4/6P1/PP3PBP/R3K2R b KQkq -,e8e7 d6b7 d8c7 e5c6 e7d7 a1c1 b6c4 c6b4 c7b6 b7c5,140
1r3rk1/6pp/p2q4/3p4/1ppP1n2/4RNNP/PP1Q1P2/R5K1 b - -,d6d7 d2d1 f4h3 g1g2 h3f4 g2g1 d7g4 f3e5 f4h3 g1g2,-164
