8/P7/8/8/2p3k1/5p2/3K4/8 b - -,c4c3 d2c3 f3f2 a7a8q f2f1q a8e4 g4g3 c3d2 f1f4 d2d3,Mate
r1b2rk1/1pb1qp1p/p5p1/2pP4/2P2P2/B7/P2QB1PP/R4RK1 b - -,f8e8 a1e1 e7d6 e2d3 c8d7 g2g3 b7b5 a3b2 d7h3 f1f2,59
8/1pn1k3/1B2ppp1/p6p/5P2/P3P1K1/1Pr3PP/4R3 b - -,c7d5 b6d4 g6g5 f4g5 f6g5 h2h4 g5h4 g3f3 b7b5 e3e4,-36
8/7k/P7/1K6/5R1P/5p2/8/5r2 b - -,,0
2k1r2r/2p2pp1/p7/1p1pq2p/8/7P/PP4P1/2B4K b - -,f3f2 a6a7 f1b1 b5c5 b1c1 c5b6 c1b1 b6c7 b1c1 c7b6,Mate
2rr2k1/1b3ppp/p3p3/1p1nN3/1P6/P3PB2/5PPP/2RR2K1 b - -,g8f8 c1c8 d8c8 e5d7 f8e7 d7c5 b7a8 f3d5 a8d5 e3e4,25
4k3/7R/2p5/6Bp/2K3b1/5p2/1P3P2/4r3 b - -,e1e2 g5h4 e2b2 c4c5 b2c2 c5d6 c2c4 h4g5 e8f8 h7c7,-17
4R3/2Pb4/3P4/8/8/5k2/1K6/3r4 b - -,,0
8/7k/P1K2R2/8/8/7P/5p2/1r6 b - -,,0
r1br1qk1/ppp2ppp/8/2p2N2/2PBPp2/3P3P/P1PQ2P1/4RRK1 b - -,c5d4 d2f4 c8f5 e4f5 d8d6 e1e4 f7f6 f1e1 d6d7 e4e6,117
6k1/rrp2ppp/2Rp4/4P3/7P/8/PP1R2P1/1K6 b - -,g7g5 e5d6 c7d6 h4g5 b7b5 c6d6 b5g5 d6d5 h7h6 d5d4,239
8/7p/P7/2p2p2/3b1k2/1R2p2P/1P6/7K b - -,g7g5 e5d6 c7d6 h4g5 b7b5 c6d6 b5g5 d6d5 h7h6 d5d4,Mate
2R3k1/pp3p1p/5p2/3Pq3/8/6P1/P4PBP/6K1 b - -,g8g7 g2f3 e5a1 g1g2 a1a2 c8c7 a2a6 f3h5 a6b5 h5f7,-85
rn1qk1nr/pp2ppbp/2pp2p1/8/2BPPB2/5P2/PPP2P1P/RN1QK2R b KQkq -,d8b6 f4e3 b6b2 b1d2 b2b6 a1b1 b6c7 f3f4 e7e6 h2h4,-32
r2qk2r/pp3ppp/2n1bb2/2ppp3/8/2NP2P1/PPPNPPBP/R2Q1RK1 b kq -,d5d4 c3a4 f6e7 d2e4 d8a5 c2c3 a8c8 a4c5 e7c5 b2b4,-55
r4rk1/pp1bpp2/6p1/2Pp3p/5B1P/2b1P3/P1P1BPP1/1R3K1R b - -,b7b6 e2f3 e7e6 g2g4 h5g4 f3g4 b6c5 h4h5 g6g5 h1g1,-77
8/8/7K/8/R1pnk3/8/5PP1/8 b - -,c4c3 a4a3 d4e2 f2f3 e4f4 a3a2 e2d4 a2a8 c3c2 a8c8,41
r2q1rk1/pp3ppp/2n2n2/2bPp2b/8/2PB1N1P/PP1NQPP1/R1B2RK1 b - -,f6d5 d2e4 c5b6 f1d1 d5f4 c1f4 e5f4 d3b5 d8c7 d1d5,26
3r3k/1p3pbp/p4pp1/3Nn3/2bNPP2/7P/PP2B1P1/3R2K1 b - -,c4e2 d4e2 e5c4 b2b3 c4b6 d5e3 d8d1 e3d1 g7f8 g1f2,34
8/8/8/8/8/1r6/5K1k/6R1 b - -,c4e2 d4e2 e5c4 b2b3 c4b6 d5e3 d8d1 e3d1 g7f8 g1f2,Mate
8/1P1B4/5p1p/8/3pP1P1/3K2k1/p1r5/b7 b - -,c2c3 d3e2 d4d3 e2d2 c3b3 d7a4 a1e5 a4b3 a2a1q b7b8q,-1582
2k1r2r/2p2pp1/p7/1p1pq3/7p/1P5P/P5P1/2B4K b - -,a1c3 b7b8q g3f3 d3c2 a2a1q b8b3 f3e3 d7b5 a1e1 b3c4,Mate
8/P6k/8/1K6/5R1P/8/5p2/5r2 b - -,,0
r1br1qk1/ppp2ppp/8/5N2/2PpPQ2/3P3P/P1P3P1/4RRK1 b - -,c8f5 e4f5 d8d6 e1e4 f7f6 f1e1 d6d7 e4e6 f8b4 f4e4,112
1r1r2k1/1p1bqppp/8/8/1pB1p3/4PNP1/PP1Q1P1P/2RR2K1 b - -,h7h5 f3d4 b8a8 c4e2 h5h4 c1c7 e7e5 c7b7 e5g5 d2b4,455
8/7k/P1K5/8/8/7P/8/1r3R2 b - -,b1b2 f1a1 b2c2 c6b5 c2b2 b5a5 b2b8 a6a7 b8f8 a5b5,928
r4bk1/pppb2pp/3p4/8/3P4/1P2q1N1/1PP2NPP/R2Q1K2 b - -,d6d5 d1h5 e3d4 a1d1 d4b6 h5d5 d7e6 d5d3 f8e7 g3e4,-121
rnbq1rk1/pp2ppbp/1n4p1/2pPP3/2P5/5N1P/PP2B1P1/RNBQK2R b KQ -,b8d7 c1f4 d8c7 e1h1 d7e5 g1h1 b6d7 b1c3 c7d8 d1e1,90
8/8/7K/8/R2nk1P1/2p5/5P2/8 b - -,c3c2 a4c4 e4d3 c4c8 d4b5 c8c2 d3c2 f2f4 c2d3 f4f5,35
2k2r2/1p1rb3/p1p1p3/P4b2/R3Bp1p/1N5P/1PP2PP1/1K2R3 b - -,e6e5 b3c1 f5e4 a4e4 e7d6 c1d3 f8g8 d3e5 d6e5 e4e5,-17
4r1k1/1p2Q1pp/1p6/2bP1p2/2P5/1PN5/5pPP/R4K2 b - -,e8e7 a1d1 e7e3 c3a4 c5d6 a4b6 g8f7 b3b4 d6b4 f1f2,-13
r1b1kb1r/pppn1ppp/8/3qp3/8/3PBN2/PPP2PPP/R2QKB1R b KQkq -,h7h6 g2g3 f8c5 e3c5 d7c5 f1g2 c8g4 h2h3 g4f3 d1f3,21
r3r3/5pkp/p5p1/1pb3P1/5nN1/2Pp1P2/PP1Bn2P/R3KR2 b - -,e2c3 g4e3 c3d5 e1d1 d5e3 d2e3 c5e3 a2a4 d3d2 d1c2,-894
8/7p/8/P1p2p2/3b1k2/4R2P/1P6/7K b - -,e2g3 e1d1 g3f1 d2f4 f1e3 g4e3 c5e3 f4c7 e3g5 a2a4,Mate
2k1r2r/2p2pp1/p7/1p1p4/7p/1P5P/P5PK/2B1q3 b - -,e2g3 e1d1 g3f1 d2f4 f1e3 g4e3 c5e3 f4c7 e3g5 a2a4,Mate
3r2k1/pp4p1/4BpNp/b2p4/3P4/4PK2/r4PPP/2R5 b - -,g8h7 g6f4 a2b2 e6d5 b7b5 g2g4 b5b4 c1c5 a5b6 c5b5,-28
8/k5b1/R1p1q3/1p5p/2PP2p1/PQ4P1/KP5P/8 b - -,a7a6 c4b5 a6b6 b3e6 b6b5 e6b3 b5a6 b3c4 a6b6 c4c5,960
1r1r2k1/1p1bqppp/8/3B4/1p6/4PpP1/PP1Q1P1P/2RR2K1 b - -,h7h6 c1c7 e7f6 c7b7 d7e6 b7b8 d8b8 d5e4 e6a2 d2d4,107
5k2/rr3ppp/3R4/8/7P/8/PP1R2P1/1K6 b - -,f8e7 b2b3 a7a5 b1b2 f7f6 d6d4 h7h5 a2a4 g7g5 b2a3,278
r1bq1rk1/pp1n1pp1/2p1p1n1/2b1P1NQ/2P1N3/8/PP3PPP/R1B2RK1 b - -,f8e8 c1e3 b7b6 a1d1 d8e7 h5h7 g8f8 h2h4 d7e5 h4h5,507
8/8/PK4k1/8/7R/5p1P/8/5r2 b - -,,0
r2r1qk1/ppp2ppp/8/5P2/2Pp1Q2/3P3P/P1P3P1/4RRK1 b - -,d8d6 e1e4 f7f6 f1e1 d6d7 e4e6 f8b4 f4e4 a8f8 e6e8,113
5rk1/pq3pp1/3pbn1p/2p1p3/2P1P1P1/Pr1BNP2/1PQR3P/2K4R b - -,f8b8 h2h4 b7a6 h1g1 f6d7 g4g5 b3b2 c2b2 b8b2 c1b2,-181
8/8/8/8/8/4K3/1r5k/6R1 b - -,f8b8 h2h4 b7a6 h1g1 f6d7 g4g5 b3b2 c2b2 b8b2 c1b2,Mate
8/K5p1/7k/p4n1p/5Q2/8/8/8 b - -,h6g6 a7b6 a5a4 b6c6 a4a3 c6d5 a3a2 f4a4 f5e3 d5e6,Mate
8/P6k/2K5/8/5R1P/8/5p2/1r6 b - -,,0
8/P6k/2K5/8/8/7P/8/5r2 b - -,,0
8/3r1bp1/2p2p2/R1k2P2/P1P3P1/2KB4/2P5/8 b - -,c5d6 a5a8 d7e7 a4a5 d6c5 a5a6 c5b6 c4c5 b6c5 a8b8,395
r4rk1/pp3ppp/2n2n2/2bqp2b/4N3/2PB1N1P/PP2QPP1/R1B2RK1 b - -,a8d8 e4f6 g7f6 d3e4 d5e6 c1e3 c5e3 e2e3 b7b6 f3h4,28
5r2/1p4k1/p1rbqnpp/P2B4/8/1P3Q1P/1B3PP1/3R2K1 b - -,e6e7 d5c6 b7c6 f3c6 e7e2 c6d6 e2b2 d6a6 b2b3 a6d6,-9
3r3k/1p3pbp/p4pp1/3Nn3/4PP2/7P/PP2N1P1/3R2K1 b - -,e5c4 b2b3 c4b6 e2c3 b6d5 c3d5 g7f8 g1f2 h8g7 d1d3,28
rnb1kb1r/ppp2p1p/3p3n/8/2BPP1p1/3N1pP1/PPP3qP/RNBQKR2 b kq -,f8g7 b1c3 e8h8 c3d5 c8e6 c2c3 e6d5 c4d5 c7c6 d5b3,-148
8/8/7K/6P1/R2n4/2pk4/5P2/8 b - -,c3c2 a4a1 d3e2 g5g6 e2f2 h6h7 d4e6 a1a2 e6f8 h7h6,514
r3k1nr/ppp2ppp/2np1q2/1B2p3/4P1b1/P1P2N2/RPP2PPP/2BQ1RK1 b kq -,g8e7 a3a4 f6g6 b5d3 h7h5 g1h1 g6h7 a4a5 c6d8 a2a3,-60
1r4k1/5p1p/1q4p1/p2r4/RnQN4/1P2P1P1/5P1P/2R3K1 b - -,b8d8 c4c7 b6c7 c1c7 d8a8 g1f1 h7h5 a4a1 g8g7 c7c4,153
2k1r2r/2p2pp1/p7/1p1p4/8/1P4KP/P7/2q5 b - -,b8d8 c4c7 b6c7 c1c7 d8a8 g1f1 h7h5 a4a1 g8g7 c7c4,Mate
r1b1qr2/pp2p1kp/2p5/3p2pn/3PnP2/2N1Q2P/PPP1PPBN/R3R1K1 b - -,g5f4 e3d3 c8f5 c3e4 d5e4 d3a3 g7h8 h2g4 f8g8 f2f3,-272
r2qkb1r/ppp2ppp/2n2n2/1N1pP3/2P2Bb1/8/PP2PPPP/R2QKBNR b KQkq -,f6e4 c4d5 f8c5 f4e3 c5b4 b5c3 e4c3 b2c3 b4c3 e3d2,-92
8/1p2k3/4ppp1/Bn5p/5P2/P3P1K1/1Pr3PP/4R3 b - -,,0
6k1/1p2r1pp/1p6/2bP1p2/2P5/1PN5/5pPP/3R1K2 b - -,e7e3 c3a4 c5d6 a4b6 g8f7 b3b4 d6b4 f1f2 e3b3 b6d7,-6
5bk1/ppr2p2/3p2p1/P2Pr2p/1PPp3P/6P1/2R2P2/3R1BK1 b - -,e5d5 c2a2 d5e5 d1d4 f8e7 d4d1 g8g7 g1g2 e5e6 a5a6,12
8/6pk/2p1rq1p/8/1P1Qp3/p3R2P/P2R2NK/5r2 b - -,f6d4 d2d4 f1f2 e3a3 e4e3 d4d1 e6e5 h3h4 f2b2 d1e1,115
3r4/pp2N1pk/4Bp1p/b2p4/3P4/4PK2/r4PPP/2R5 b - -,a2b2 e6f5 h7h8 h2h4 h6h5 g2g4 h5g4 f5g4 b2b6 e7g6,-79
1r1r2k1/1p2qppp/2b5/3B4/1p2P3/5pP1/PP1Q1P1P/2RR2K1 b - -,h7h6 d2f4 e7f6 f4f6 g7f6 g3g4 c6d5 e4d5 b8a8 h2h3,67
8/P6k/8/1K6/8/7P/8/2r5 b - -,,0
8/PK5k/8/8/5R1P/8/5p2/2r5 b - -,,0
r2q1rk1/p2n1ppp/2pbpn2/1p1p4/N2P2bN/2P1P3/PP1B1PPP/RQ2KB1R b KQ -,f6e4 g2g3 b5a4 f1d3 f7f5 b1c2 g4h5 f2f3 e4d2 e1d2,-548
r3kbnr/pq3ppp/2n1b3/1p1NP3/2p1PB2/2N5/1P3PPP/R2QKB1R b KQkq -,f8b4 d5b4 c6b4 f1e2 g8e7 e1h1 e8h8 d1d6 b4c2 a1d1,-28
r2q1rk1/2pp2p1/1p5p/p2Nn3/7b/P2B1P2/1PQ2P1P/2KR2R1 b - -,c7c6 d5e3 f8f3 c1b1 f3f2 c2b3 d7d5 d3c2 a5a4 b3c3,-272
3r3k/1p3pbp/p4pp1/3N4/2n1PP2/1P5P/P3N1P1/3R2K1 b - -,c4b6 d5e3 d8d1 e3d1 g7f8 g1f2 f8c5 f2f3 h8g7 d1e3,42
2k1r2r/2p2pp1/p7/1p6/8/1P1p3P/P4K2/2q5 b - -,c4b6 d5e3 d8d1 e3d1 g7f8 g1f2 f8c5 f2f3 h8g7 d1e3,Mate
r1r3k1/4qp1p/pp2pQ2/2b5/P3b1N1/1B6/1PP2PPP/R4RK1 b - -,e7f8 g4h6 f8h6 f6h6 e4g6 f1d1 b6b5 h2h4 c5f8 h6g5,647
2r1k3/1b2pp2/p2p2p1/1p4P1/2qNP2b/2N5/PPPQ4/1K1R4 b - -,h4g3 d2e3 g3e5 a2a3 e5g7 d1d2 c4c5 d2d3 b5b4 a3b4,-285
1k5r/ppp5/3p3p/2bP2p1/P1K5/8/3N1RPP/8 b - -,c5f2 c4d3 h8f8 d2f3 a7a6 a4a5 f8e8 h2h3 f2c5 f3d4,-712
8/P6k/K7/8/8/7P/8/1r6 b - -,,0
1K6/P2N4/8/3qP3/1k6/8/8/8 b - -,,0
1r1r2k1/1p2qpp1/2b5/3B3p/1p2PQ2/5pP1/PP3P1P/2RR2K1 b - -,g7g6 f4f3 b8a8 f3f4 c6d5 d1d5 e7e6 f4d2 d8e8 c1c4,124
6k1/1p4pp/1p6/2bP1p2/N1P5/1P2r3/5pPP/3R1K2 b - -,c5d6 a4b6 d6h2 f1f2 e3b3 b6d7 h2d6 c4c5 d6g3 f2e2,-4
rnbq1rk1/2p2p1p/2pp1bp1/p1P5/4PP2/2N1BB2/PP1Q2PP/3R1RK1 b - -,f6e7 d2f2 b8d7 d1d2 e7h4 g2g3 h4e7 f1d1 a8a6 b2b3,182
8/rr3pkp/6p1/8/7P/5R2/PP3RP1/1K6 b - -,f7f5 a2a3 g7h6 b2b4 h6h5 g2g3 f5f4 g3f4 h5h4 f2g2,174
r1bqk1nr/ppp1p1bp/2n2pp1/3p4/3P1B2/P3PN1P/1PP2PP1/RN1QKB1R b KQkq -,e7e5 f4h2 g8e7 c2c4 e5d4 e3d4 f6f5 c4d5 e7d5 b1c3,46
4r2r/1q4k1/p2Q1pp1/1p6/4R3/1BP3P1/P4P2/R5K1 b - -,b7e4 d6c7 e8e7 c7e7 e4e7 a1d1 h8d8 d1d8 e7d8 c3c4,-652
r4rk1/pp2bppp/2n2n2/3qp1Bb/4N3/2PB1N1P/PP2QPP1/R4RK1 b - -,h5g6 e4f6 g7f6 d3c4 d5e4 g5e3 f8d8 f3d2 e4c2 d2b3,25
r4rk1/pp1b2pp/1qnbpn2/2pp4/3P4/P1P2NP1/1P2NPBP/1RBQR1K1 b - -,c5d4 e2d4 c6d4 c3d4 d6a3 f3e5 d7e8 c1f4 a3b4 e1e3,-15
8/K7/P5k1/8/7R/5p1P/8/1r6 b - -,,0
3r1kr1/4bp2/p1Q1p1pp/4P3/8/5N2/PqP2PPP/R4RK1 b - -,d8b8 a1d1 f8g7 d1d7 b2a3 d7a7 g8c8 c6d7 g7f8 f3d4,7
r2qk1nr/ppp2pbp/3pb1p1/4n3/4P3/2N1BP2/PPPQ2PP/2KR1BNR b kq -,a7a6 h2h4 g8f6 f1e2 b7b5 g1h3 e8h8 e3h6 g7h6 d2h6,55
8/1B6/5p1p/8/3pP1P1/3K2k1/p7/b7 b - -,a1c3 b7c6 a2a1q d3c4 a1a2 c4c5 d4d3 c6b5 d3d2 b5e2,-1652
r4qk1/ppp3pp/3r1p2/5P2/2PpRQ2/3P3P/P1P3P1/4R1K1 b - -,d6d7 e4e6 f8b4 f4e4 a8f8 e6e8 c7c6 e1e2 h7h6 e4e6,131
r1bqkb1r/pp1n1ppp/4pn2/2p3B1/2QP4/4PN2/PP1N1PPP/R3KB1R b KQkq -,a7a6 g5f6 g7f6 c4c2 c5d4 f3d4 d7e5 f1e2 f8g7 e1h1,22
r1bqk1nr/ppp3bp/2n2pp1/3pP3/5B2/P3PN1P/1PP2PP1/RN1QKB1R b KQkq -,f6e5 f4g5 g8e7 e3e4 d5e4 d1d8 e8d8 f3d2 c6d4 e1d1,-38
8/8/7K/R3k3/2pn4/8/5PP1/8 b - -,e5d6 a5a1 d4b3 a1a3 d6c5 g2g4 c5b4 a3a2 b3d4 a2a1,575
1r4k1/1q3pp1/3pbn1p/p1p1p3/2P1P1P1/Pr1BNP2/1PQR3P/1K1R4 b - -,b3a3 c2c1 a5a4 d2g2 a3b3 b1a1 b7a6 d3c2 b3b2 c1b2,-355
r4rk1/3nbpp1/q1n1b2p/pp1pp3/8/PPNPPNPP/1B3PB1/2RQ1RK1 b - -,b5b4 a3b4 c6b4 f3e1 a8c8 c3e2 c8c1 b2c1 f8c8 c1b2,-121
8/1p2k3/4ppp1/Bn5p/5P2/P3P1K1/1r4PP/R7 b - -,e6e5 a5b4 e7e6 f4e5 f6e5 a1c1 b2b3 g3f2 h5h4 c1c5,-16
1r1q1rk1/p2n1pp1/2pbpnp1/3p4/p2P2PP/2PQPP2/PP1B4/R3KB1R b KQ -,b8b2 h4h5 g6g5 a1b1 a4a3 e1d1 e6e5 d3f5 b2b1 f5b1,-485
r7/pp1bkprp/8/8/3p4/8/PP3PPP/RN3K1R b - -,d7b5 f1e1 g7g2 b1a3 b5c6 a1d1 a8d8 a3c4 e7f6 e1e2,-319
r4rk1/pp2bppp/2n1qn2/4p1Bb/8/2PB1NNP/PP2QPP1/R4RK1 b - -,e5e4 g3e4 c6e5 e4d2 e7d6 f1e1 f8e8 e2f1 h5f3 d2f3,60
r1bqkb1r/pp1npppp/2n5/3pP3/B1p5/2P2N2/PP1P1PPP/RNBQK2R b KQkq -,d7c5 d2d4 c4d3 a4c6 b7c6 b2b4 c5e4 d1d3 a7a5 d3c2,-90
rn1qkb1r/pp4pp/2pppn2/4p3/P3P3/3PBN2/1PP2PPP/RN1QK2R b KQkq -,f8e7 b2b4 e8h8 c2c3 d8e8 e1h1 b8d7 b1d2 f6g4 d1b3,17
r1b1qr2/pp2p1kp/2p5/3p3n/3Pnp2/2NQ3P/PPP1PPBN/R3R1K1 b - -,c8f5 h2g4 e4f2 d3f3 f2e4 c3e4 d5e4 f3f2 e8g6 f2h4,-288
8/2rr2kp/6P1/5p2/8/P4R2/1P3RP1/1K6 b - -,h7g6 b2b4 g7f6 b1b2 c7c4 f2c2 c4g4 b2b3 d7d5 f3c3,189
r2qk1nr/1ppbppbp/p1Bp2p1/6B1/3PP3/2N5/PPP1NPPP/R2QK2R b KQkq -,d7c6 d1d2 b7b5 f2f3 c6b7 a1d1 d8d7 e1h1 e7e6 b2b3,40
r2q1rk1/pp3ppp/2n1bb2/2ppp3/4P3/2NP2P1/PPPN1PBP/R2Q1RK1 b - -,d5d4 c3d5 f6g5 g1h1 c6b4 d2c4 b4d5 e4d5 e6d5 c4e5,-33
8/p1k4Q/8/2q5/1b6/1P3B2/2r2PPP/4R1K1 b - -,c7b6 h7b7 b6a5 e1a1 b4a3 b3b4 c5b4 b7a7 a5b5 a7d7,Mate
rnbqk2r/ppp1pp2/3p2pn/6Np/3P1Q2/8/PPP1PPPP/RN2KB1R b KQkq -,f7f6 g5f3 e7e5 f4d2 e5e4 f3g1 c8e6 e2e3 d8e7 c2c4,17
8/7p/8/P1p2pk1/3b1P2/1R2p2P/1P6/7K b - -,g5f4 b3e3 d4e3 h1g2 c5c4 g2f1 f4g3 f1e2 f5f4 b2b4,-1051
8/pp5p/1bp1k1p1/4B3/4K1P1/1P5P/P7/8 b - -,b6c5 e5b8 a7a6 b8e5 c5d6 e5d4 d6g3 d4a7 g3c7 a7f2,-109
5qk1/1br3pp/pp1p4/2rPn3/P3Pp2/1N3P2/3QB1PP/1R3RK1 b - -,c5c3 b3d4 b7c8 b1b6 f8f6 e2a6 c8a6 b6a6 c7c8 a6a8,281
3r2r1/4bpk1/p1Q1p1pp/4P3/8/5N2/PqP2PPP/RR4K1 b - -,b2a1 b1a1 d8c8 c6b7 g8e8 a1f1 c8c2 f3d4 c2a2 b7c6,459
8/2rr2k1/6p1/8/6p1/P5R1/1P3R2/1K6 b - -,d7d4 f2g2 g6g5 g3g4 d4g4 g2g4 g7f6 g4g1 c7g7 b1c2,24
3q1rk1/p2n1pp1/2pbpnp1/3p3P/p2P2P1/2PQPP2/Pr1B4/R3KB1R b KQ -,g6g5 a1b1 a4a3 b1b2 a3b2 d3b1 e6e5 f1d3 d8e7 h5h6,-510
3Q4/8/3p1kp1/3r4/5p2/KP2qP2/P1R5/8 b - -,f6e5 d8g5 e5e6 g5g6 e6e7 g6g7 e7e6 g7g8 e6e5 c2e2,597
1r4k1/pq3pp1/3pbn1p/2p1p3/2P1P1P1/Pr1BNP2/1PQR3P/2KR4 b - -,b7a6 d1f1 f6d7 h2h4 b3b2 c2b2 b8b2 c1b2 a6a5 d2f2,-223
r1bq1rk1/1ppnbppp/3p1n2/p7/P1BQP3/2N2N2/1PP2PPP/R1B1R1K1 b - -,c7c6 c1f4 d7c5 e4e5 d6e5 f4e5 d8d4 e5d4 c5e6 c4e6,78
3b4/1p5p/p1p1k1p1/4B3/4K1P1/1P5P/P7/8 b - -,d8g5 e5h2 g5f6 h2g3 f6e7 g3f4 e7d6 f4e3 c6c5 a2a4,-120
r1bqrk2/p4ppQ/1np1pNn1/2p1P1N1/2P2P2/8/PP4PP/R4RK1 b - -,d8d4 g1h1 f8e7 f6e8 d4b2 h7g7 g6h4 g7f7 e7d8 f7f6,679
8/6p1/1K4k1/p4n1p/5Q2/8/8/8 b - -,h5h4 b6c6 f5g3 f4h4 g3f5 h4f4 f5h6 c6d5 g6h5 f4e5,591
8/7k/8/1K3p2/PR6/7P/8/1r6 b - -,b1e1 a4a5 e1e5 b5a4 e5e6 b4b7 h7g8 b7b6 e6e8 a5a6,427
8/8/5kp1/r7/1R6/4K3/6PP/8 b - -,,0
rn1qkb1r/pbp1pppp/1p3n2/6N1/4pB2/2NP4/PPP2PPP/R2QKB1R b KQkq -,b8c6 d3e4 e7e5 f4e3 h7h6 d1d8 a8d8 g5f3 f8b4 f1d3,-40
8/p4n1r/1p2pk2/2p5/2P1BK2/1P6/P2R4/8 b - -,h7h4 f4e3 f6e5 e4g2 f7d6 d2e2 e5f6 g2c6 d6f5 e3d2,-277
2r5/p3q1pk/4P2p/2p5/P1Q5/7P/6PK/4R3 b - -,h7h8 h3h4 e7c7 h2h3 c8e8 e1e2 e8e7 h3g4 c7c6 g4g3,14
8/3nk1pp/4pp2/pp1bP3/3K1P2/1P1N2P1/P6P/5B2 b - -,d5c6 b3b4 a5a4 d3c5 d7b8 a2a3 f6f5 f1e2 h7h6 h2h4,282
rn1q1b1r/ppp1pkp1/5nBp/8/6b1/2N5/PPPQ1PPP/R1B1K2R b KQ -,f7g6 d2d8 g4f5 e1h1 e7e5 c1e3 g6h7 d8c7 b8c6 c7b7,452
1r1r2k1/1p2qppp/4b3/3B4/1p2P3/5pP1/PP1Q1P1P/2RR2K1 b - -,h7h6 d2e3 e7f6 e3b3 b8c8 c1c8 d8c8 h2h4 f6e5 b3b4,75
5r2/6k1/p1pR1n1p/P4p2/8/1P5P/1B3PP1/6K1 b - -,g7g6 d6c6 g6g5 h3h4 g5h5 b2f6 f8b8 c6b6 b8c8 g1h2,645
Q2b4/2rk3p/3p1p2/1p1P4/5R2/2P3P1/1P2qP1P/1K6 b - -,f6f5 a8a6 e2d1 b1a2 d1d5 a2b1 c7c4 f4c4 d5c4 f2f3,-377
1r3r2/1p1qb2k/6pp/1N2p3/2Pp2b1/PQ1P2P1/6BK/4RR2 b - -,b8e8 b3b1 e7c5 f1f8 c5f8 e1f1 g4f5 g2d5 h6h5 b1e1,-128
r1bq2k1/p1p1b3/1p3rp1/3p4/3B3Q/2P5/P1P2PPP/4RRK1 b - -,c8e6 g2g4 c7c5 d4e5 a8c8 e1e3 f6f8 h4h6 g8f7 f2f4,145
2kr1r2/1p6/p1p1R3/P5b1/R4p1p/5B1P/1PP2PP1/1K6 b - -,f8e8 e6g6 e8e1 b1a2 e1e5 a4b4 e5a5 a2b3 g5e7 b4f4,64
r1bqkb1r/pppp4/2n1pp1n/6pp/2B1P3/P1NPBN2/1PP2PPP/R2QK2R b KQkq -,h6f7 d3d4 c6e7 d4d5 e7g6 d1e2 e6e5 e1a1 a7a6 g2g3,143
r2qkbnr/1p2pppp/p1p5/2p5/4PP2/2N2P2/PPPP3P/R1BQK2R b KQkq -,e7e6 d2d3 d8h4 e1e2 g8e7 d1e1 h4e1 e2e1 e7g6 c1e3,8
3r2k1/pp4p1/1r3p1p/b2p1B2/3P1N2/4P3/P3KPPP/7R b - -,g7g5 f4d3 a5b4 h2h4 g8g7 f2f4 d8h8 g2g3 b4a3 e2f3,-104
r4rk1/pp2bpp1/2n1qnp1/4p1B1/8/2P2NNP/PP2QPP1/R3R1K1 b - -,e7d6 g5h4 a7a6 f3g5 e6c8 a1d1 d6e7 g5f3 f8e8 b2b4,22
8/K7/P5k1/8/5R2/7P/5p2/1r6 b - -,,0
1k6/1p6/p1p1np2/P3p1p1/1PP1P3/4KPPp/r3N2P/1R6 b - -,a2a3 e3f2 g5g4 f3f4 b8c7 c4c5 a3f3 f2g1 f3e3 b1b2,-312
8/6p1/5k2/p1K2n1p/5Q2/8/8/8 b - -,g7g6 c5d5 a5a4 f4e5 f6g5 e5e4 g5f6 e4e6 f6g5 d5e5,625
3q1rk1/p2n1pp1/2pbpn2/3p3P/p2P4/2PQPP2/Pr1B4/R3KB1R b KQ -,c6c5 a1c1 c5c4 d3e2 d8c7 f1h3 b2a2 h5h6 g7g6 e2g2,-525
3r2k1/5p1p/1q4p1/p7/RnQ5/1P2P1P1/4NP1P/3R2K1 b - -,,0
8/6k1/6p1/8/P3rrp1/1P4R1/K5R1/8 b - -,g7h6 a2a3 h6h5 a4a5 f4f3 g2h2 h5g5 h2g2 g5h4 g3f3,-1
r4qk1/1R3pb1/2Q1p2p/6p1/p7/P1P3P1/1P3PP1/1K1R4 b - -,a8c8 c6f3 c8b8 b7b8 f8b8 d1d7 b8e8 d7a7 g7f8 f3b7,542
2r2rk1/4bppp/2n5/1p1bp3/8/1P2N3/P3BPPP/R1B2RK1 b - -,c8d8 e2b5 d5e4 a2a4 c6d4 b5c4 h7h5 a4a5 e4a8 a5a6,165
2kr1bnr/ppp1p2q/2n5/5pp1/4N3/7B/PPPP1PPN/R1BQ1RK1 b - -,f8h6 e4g3 e7e6 f1e1 c8b8 c2c3 g5g4 h2g4 f5g4 d1g4,117
rn1qk2r/ppp2ppp/3b4/8/2PQb3/5N2/PP2PPPP/R1B1KB1R b KQkq -,f7f5 d4g7 h8f8 c1d2 d8d7 g7d7 b8d7 f3g5 d7c5 f2f3,230
r2qkb1r/ppp1p1pp/2n2p2/3pNbBn/3P4/2P1P3/PP3PPP/RN1QKB1R b KQkq -,g7g6 e5c6 b7c6 g5h4 h5g7 b1d2 d8b8 b2b3 a7a5 g2g4,65
6k1/5p1p/1q4p1/p7/RnQ5/1P2P1P1/4NPKP/3r4 b - -,,0
