r1bqkbnr/1p1p1pp1/p1n1p2p/2p5/2B1P3/3PBN2/PPP2PPP/RN1Q1RK1 b kq -,d7d5 c4b3 g8f6 d1e2 d5e4 d3e4 f6e4 e3f4 e4g5 b1c3,-25
r1bqk2r/1p1n1ppp/p2ppn2/2b5/1P1NP3/2PBB3/P4PPP/RN1Q1RK1 b kq -,e6e5 b4c5 e5d4 c3d4 d6c5 b1c3 d8a5 a1c1 e8h8 f2f4,267
r1r4k/1ppq1p2/3p1n1p/pN1Pp1p1/2P1Pn2/4R1PP/PP3P1K/R2Q2N1 b - -,c8g8 b5c3 g8g6 d1a4 d7e7 g1e2 h6h5 a1g1 f4e2 c3e2,6
8/8/4N3/8/8/2KB4/8/4k3 b - -,c8g8 b5c3 g8g6 d1a4 d7e7 g1e2 h6h5 a1g1 f4e2 c3e2,Mate
r5rk/1ppq1p2/3p1n1p/p2Pp1p1/2P1Pn2/2N1R1PP/PP3P1K/R2Q2N1 b - -,,0
r2qkb1r/p1pn1ppp/1p2p3/3n4/2PP4/1Q3N2/PP3PPP/RNB2RK1 b kq -,d5b4 a2a3 b4c6 b3a4 c6b8 b1c3 f8e7 c1f4 e8h8 c3b5,153
8/p4kp1/1p6/1P1rn1pn/P1p2p2/2B4P/2R2PP1/4R1K1 b - -,f7g8 c3e5 d5c5 e5d4 c5c8 d4c3 c8c5 c2c1 f4f3 g2g3,509
5n2/5ppk/p1q3p1/1p1p2P1/3P4/2P3P1/PP2RP2/3Q2K1 b - -,c6d7 e2e5 f8e6 d1f3 e6c7 e5e1 c7e6 f3g4 h7g8 g1g2,456
rn1qkbnr/pppb1ppp/3pp3/8/3PP3/5N2/PPPN1PPP/R1BQKB1R b KQkq -,b8c6 c2c3 g8f6 f1d3 g7g6 e1h1 f8g7 b2b4 a7a6 a2a4,83
rn1qk2r/pppbbppp/3ppn2/8/3PP3/5N2/PPPNBPPP/R1BQ1RK1 b kq -,e8h8 e2d3 c7c5 d4c5 d6c5 f1e1 d8c7 e4e5 f6d5 c2c4,67
r1bqkbnr/p4ppp/2p1p3/2pp4/3PP3/2N5/PPP1NPPP/R1BQK2R b KQkq -,c8b7 e1h1 g8f6 c1g5 c5d4 e2d4 f8e7 f1e1 c6c5 g5f6,-53
8/p4kp1/1p6/1P1r2pn/P1p1Rp2/2Bn3P/2R2PP1/6K1 b - -,h5f6 e4c4 d3c5 c2d2 d5f5 d2d8 f7e6 c3b2 g5g4 h3g4,382
rnbqkb1r/pp3ppp/3p1n2/3Pp3/8/3B3P/PPP2PP1/RNBQK1NR b KQkq -,d8a5 b1c3 c8d7 d1f3 b8a6 a2a3 a6c5 g1e2 c5d3 c2d3,9
8/5ppk/p1q1n1p1/1p1p2P1/3P4/2P3P1/PP1QRP2/6K1 b - -,c6c4 b2b3 c4c8 g1g2 h7g8 d2e3 c8d8 e3e5 g8f8 f2f4,462
8/3K4/8/8/4k3/8/8/3R4 b - -,c6c4 b2b3 c4c8 g1g2 h7g8 d2e3 c8d8 e3e5 g8f8 f2f4,Mate
rnb1kbnr/pp2ppp1/2p4p/q2p4/3P3B/2P1P3/PP3PPP/RN1QKBNR b KQkq -,g8f6 f1d3 b8d7 b1d2 e7e5 h4f6 g7f6 d3f5 h6h5 g1e2,52
r1bq1rk1/p3ppbp/2p3p1/3N4/8/4B3/PPPQBPPP/2KR3R b - -,a8b8 d5c3 d8a5 e2c4 c8g4 c4b3 f8d8 d2e1 g4d1 c3d1,314
rn2kbnr/pp2ppp1/2p4p/q2p1b2/3P3B/2PBP3/PP3PPP/RN1QK1NR b KQkq -,f5d3 d1d3 e7e6 a2a4 a5b6 b1d2 f8e7 g1f3 e7h4 f3h4,5
rn2kbnr/pp2ppp1/2p4p/q2p4/3P3B/2PQP3/PP3PPP/RN2K1NR b KQkq -,,0
rn2k1nr/pbpp1ppp/1p2p3/8/1bPPP1q1/2NB1N1P/PP3PP1/R1BQK2R b KQkq -,g4g2 e1e2 b4c3 b2c3 g8f6 d4d5 g2g6 h1g1 g6h5 g1g7,67
r2r4/1q5k/p3p1p1/2R1p2p/P3P3/4NBP1/4QP1P/6K1 b - -,b7f7 c5e5 h5h4 g3h4 d8d4 e5g5 a8d8 h4h5 d4d2 h5g6,420
rnb2rk1/ppb2pp1/2p1pq1p/3p4/2PPP3/2N2NP1/PP3PBP/R2Q1RK1 b - -,c7a5 f3e5 b8d7 e5g4 f6d8 c4d5 e6d5 e4d5 a8b8 f1e1,129
r2qkbnr/pp2pppp/2n5/8/2Pp2b1/3B1N2/PP1P1PPP/RNBQR1K1 b kq -,g8f6 d3f1 e7e6 h2h3 g4h5 g2g4 h5g6 d2d3 f6d7 c1f4,-64
