6k1/8/6K1/3N4/8/8/8/1B6 b - -,a8b8 a2a4 f8e8 c1e3 d8e7 b2b3 a7a6 a5c4 e6c4 b3c4,Mate
1r1q1r2/5pbk/1pRp2p1/p2Pp3/4P2N/1P2B1P1/P2Q2BP/1b4K1 b - -,b8c8 a2a4 f7f5 e4f5 b1f5 h4f5 g6f5 e3b6 d8f6 d2a5,-12
7k/3b4/p1p1p1p1/1p1p1p1p/1P1P1P1P/P1P1P1P1/4KN2/8 b - -,h8g8 f2d3 g8h8 d3e5 d7e8 e2f2 h8g8 f2f1 g8f8 e5d3,28
1r5r/4kppp/3b4/1P1Rp3/8/1P6/5PPP/R1B3K1 b - -,,0
r3r1k1/2pb3p/p5p1/2pn2q1/2N5/PPP1P3/4N1PP/R1Q1R1K1 b - -,,0
6k1/3b4/p1p1p1p1/1p1p1p1p/1P1P1P1P/P1PNP1P1/4K3/8 b - -,g8h8 d3e5 d7e8 e2d1 h8g7 d1d2 g7g8 d2c2 g8h8 c2c1,28
r1b1r1k1/pppnqpbp/3p1np1/8/2PPp3/2N1P2P/PP1NBPPB/R2QR1K1 b - -,d7b6 a2a4 a7a5 c3b5 e8d8 b2b4 f6e8 b4a5 a8a5 d1b3,125
r4rk1/pp1nbppp/4p1q1/8/PP1N2n1/2P1B3/3NQPPP/R4RK1 b - -,d7f6 h2h3 g4e3 e2e3 f6d5 e3f3 f8c8 c3c4 d5b4 f3b7,-113
1r1q1r2/6bk/1pRp2p1/p2PpP2/7N/1P2B1P1/P2Q2BP/1b4K1 b - -,b1f5 h4f5 g6f5 d2e2 h7g8 e2h5 d8d7 e3g5 b6b5 h5g6,-48
1r5r/5ppp/3bk3/1P2p3/8/1P6/5PPP/R1BR2K1 b - -,,0
r1bqk2r/pp3ppp/2n1pn2/2bp4/8/2PBPN2/PP1NQPPP/R1B1K2R b KQkq -,e8h8 e3e4 c5b6 e1h1 h7h6 a2a4 e6e5 e4d5 f6d5 d2c4,-3
r1b1k2r/ppp1qNpp/2n2n2/2bPp3/2B5/3P4/PPP2PPP/RNBQK2R b KQkq -,e7f7 d5c6 c5f2 e1f1 f7f8 d1e2 f6g4 e2f3 f2h4 c4d5,-26
4b2k/8/p1p1p1p1/1p1pNp1p/1P1P1P1P/P1PKP1P1/8/8 b - -,h8g7 d3d2 g7h8 d2c2 h8g8 e5d3 e8d7 d3c5 d7c8 a3a4,28
