r1bqkbnr/1p1ppp1p/p1n3p1/2p5/4P3/5N2/PPPPBPPP/RNBQ1RK1 b kq -,d7d6 c2c3 f8g7 d2d4 g8f6 d4d5 c6a5 c1e3 b7b5 b1d2,88
rn1qkbnr/pp2ppp1/2p5/3pPb1p/3P3P/6P1/PPP2P2/RNBQKBNR b KQkq -,d8a5 c2c3 e7e6 g1f3 b8d7 f1e2 f7f6 e1h1 f6e5 d4e5,54
r1b2rk1/ppq2pp1/2n1pn1p/2bp4/4P3/2P2N2/PPBNQPPP/R1B2RK1 b - -,b7b6 e4e5 f6d7 f1e1 a7a5 d2b3 c8a6 e2d1 f7f6 e5f6,-46
rn1qk2r/ppp2ppp/4p3/3n4/1b1P2b1/2N1PN2/PP1B1PPP/R2QKB1R b KQkq -,g4f5 d1e2 b4c3 b2c3 d5f6 e2b5 b8d7 b5b7 a8b8 b7a6,118
r1bqkb1r/pp1p1ppp/2n1p3/2pnP3/8/1P3N2/PBPPQPPP/RN2KB1R b KQkq -,a7a6 g2g3 b7b5 f1g2 f8e7 e1h1 e8h8 b1c3 d5c3 d2c3,54
8/8/1Q1k4/8/8/3K4/8/8 b - -,a7a5 a2a4 f8e7 g2g3 e8h8 b1a3 d7d6 e1a1 b7b6 e5d6,Mate
r1b1kbnr/pppp1ppp/2n5/8/3PP2q/5N2/PP3PPP/RNBQKB1R b KQkq -,h4d8 b1c3 f8b4 f1d3 d7d6 e1h1 g8e7 d4d5 b4c3 b2c3,225
r1bqkb1r/p4ppp/2p1pn2/2pp4/3P1B2/2N1PN2/PPP2PPP/R2QK2R b KQkq -,c8a6 f3e5 h7h6 a1b1 a8c8 e5d3 c5d4 e3d4 c6c5 e1h1,-82
rnbk2nr/ppp2pbp/6p1/4p3/5B2/2N5/PPP1PPPP/2KR1BNR b - -,d8e7 f4g5 f7f6 c3d5 e7f7 d5c7 f6g5 c7a8 g8f6 f2f3,364
rnb1k1nr/ppp1ppbp/4q1p1/8/8/2NP1N2/PPP1BPPP/R1BQK2R b KQkq -,e6d6 d3d4 g8f6 c3b5 d6d8 c2c4 e8h8 e1h1 a7a6 b5c3,110
8/8/8/3k1B2/5K2/8/3N4/8 b - -,d5d6 d2f3 d6e7 f4e5 e7f7 f5e6 f7g6 e6d5 g6g7 e5f5,7772
r1bqkbnr/4pppp/p1np4/1ppB4/4P3/2P2N2/PP1P1PPP/RNBQ1RK1 b kq -,c8d7 d2d4 g8f6 c1g5 e7e6 d5c6 d7c6 d4d5 c6b7 a2a4,81
