rnbqk2r/ppp1ppbp/3p1np1/8/3PP3/2N4P/PPP1QPP1/R1B1KBNR b KQkq -,e8h8 g1f3 e7e5 d4e5 d6e5 c1g5 c7c6 a2a4 d8c7 e2d2,1
R4rk1/5ppp/4b3/8/8/3B3P/5PPK/8 b - -,f8a8 d3e4 a8a4 e4d3 a4a2 h2g1 a2a1 g1h2 a1a4 f2f3,-625
8/5k2/2Kp4/3P1P2/7B/b7/8/8 b - -,f8a8 d3e4 a8a4 e4d3 a4a2 h2g1 a2a1 g1h2 a1a4 f2f3,Mate
rnbqkb1r/pp1p1ppp/4p3/3nP3/6Q1/N1P5/PP3PPP/R1B1KBNR b KQkq -,b7b6 g1f3 h7h5 g4g3 h5h4 g3g4 c8b7 f1d3 b8c6 e1h1,76
6K1/4k1P1/8/8/7r/1R6/8/8 b - -,h4f4 b3b7 e7d6 b7f7 f4b4 f7f1 d6e7 f1e1 e7f6 e1h1,1390
8/8/6k1/4K3/7Q/8/8/5r2 b - -,f1a1 h4g3 g6f7 g3c3 a1a7 c3c4 f7g6 e5e6 a7a5 c4d3,6049
r1bqk1nr/p1pp1ppp/2p5/4P3/6Q1/2N1P3/PPP3PP/R3KB1R b KQkq -,a8b8 g4g7 d8h4 e1d2 d7d5 g7h8 e8f8 e5e6 c8e6 g2g3,475
8/1Rn3pk/8/5p2/5P1p/4KPP1/1Pr1N2P/8 b - -,c7e8 e3d3 c2c8 e2d4 c8d8 b7b5 g7g6 b2b4 h7h6 b5b6,509
r1b1kb1r/ppppqppp/2n2n2/4p3/2B1P3/P2P1Q2/1PP2PPP/RNB1K1NR b KQkq -,d7d5 c4d5 f6d5 e4d5 c6d4 f3d1 c8g4 f2f3 g4d7 b1c3,-40
3r1b1k/p1q1r1p1/7R/1ppB3P/2PpN3/P3QpP1/1P6/1K6 b - -,g7h6 e3f3 f8g7 e4f2 d8f8 f3g2 e7e1 b1a2 e1e2 d5f3,-1115
r1bqk2r/3pbppp/p4n2/1pp5/4P3/1B6/PPP2PPP/RNBQ1RK1 b kq -,c5c4 e4e5 f6g8 d1f3 a8b8 b1c3 c4b3 a2b3 c8b7 f3g3,-285
r3r1k1/p1pQ1ppp/bqp5/8/8/2N5/PP1RNPPP/5K2 b - -,c6c5 f1g1 a6e2 c3e2 b6a6 d7d5 a8b8 g1f1 c5c4 d5d4,-547
8/8/4B3/8/2kB4/4K3/8/8 b - -,c6c5 f1g1 a6e2 c3e2 b6a6 d7d5 a8b8 g1f1 c5c4 d5d4,Mate
8/8/8/4B3/1KB5/8/2k5/8 b - -,c6c5 f1g1 a6e2 c3e2 b6a6 d7d5 a8b8 g1f1 c5c4 d5d4,Mate
8/8/4B3/1k6/3B4/2K5/8/8 b - -,c6c5 f1g1 a6e2 c3e2 b6a6 d7d5 a8b8 g1f1 c5c4 d5d4,Mate
r2qkb1r/1p2nppp/p1B1p3/2PpP3/6b1/2P1BN2/PP3PPP/RN1QK2R b KQkq -,d8d7 c6d7 e8d7 d1a4 d7c7 a4g4 e7f5 g4a4 f8e7 e1e2,1085
rnb1k1nr/ppp2ppp/8/3qp3/1b6/2NP1N2/PP2PPPP/R1BQKB1R b KQkq -,g8f6 c1d2 d5e6 g2g3 e8h8 f1g2 h7h6 e1h1 c7c5 a2a3,19
r1bqk2r/p1npppbp/2n3p1/1p2P3/8/PQB2N2/1PP2PPP/RN2KB1R b KQkq -,a8b8 h2h4 e8h8 b1d2 a7a5 h4h5 b5b4 a3b4 a5b4 c3d4,-111
3qrbk1/pbr2p1p/1p2p1p1/n2nN1B1/3PN3/P2Q4/BP3PPP/3RR1K1 b - -,c7e7 a2d5 d8d5 e4f6 g8g7 f6d5 e6d5 d3h3 g7g8 g5e7,844
r1b2rk1/2q1b1p1/p1n1pn2/1p4P1/5P2/4B1N1/PPP1Q1B1/R4RK1 b - -,f8f7 g5g6 f7f8 g3e4 c8b7 e4f6 g7f6 e2h5 e7d6 f1f3,75
6k1/1R4p1/4n3/5P2/5P1p/4KP2/1Pr1N2P/8 b - -,c2c7 b7b8 g8f7 f5e6 f7e6 b2b4 e6e7 h2h3 c7a7 e2d4,1346
r2qkbnr/1pp2ppp/p2p4/4n3/4P1b1/2N2N2/PPP1BPPP/R1BQK2R b KQkq -,g8f6 c1g5 e5c6 g5f6 d8f6 c3d5 f6d8 d1d2 g4f3 e2f3,74
rn1qk2r/p3bppp/1p1Pp3/8/3P4/2PQ1N2/P4PPP/R1B2RK1 b kq -,e7h4 f3h4 d8d6 c3c4 b8c6 h4f3 a8c8 d4d5 c6b4 d3e4,634
r1bqk2r/1p2npbp/p1np2p1/2p1p3/2P5/2NPN1P1/PP2PPBP/R1BQK2R b KQkq -,h7h6 a1b1 a8b8 a2a3 b7b5 b2b4 c6d4 e1h1 e8h8 c1d2,34
r2qkb1r/ppp2ppp/2n2n2/3pp3/3P2b1/1P2PN2/P1P1BPPP/RNBQK2R b KQkq -,e5e4 f3e5 c6e5 d4e5 g4e2 d1e2 f6d7 c1b2 d8g5 b1d2,-64
rn1qkb1r/ppp2ppp/3p1n2/8/3PPBb1/3Q1N2/PPP3PP/RN2KB1R b KQkq -,b8c6 f1e2 d6d5 e4e5 f6e4 e1h1 f8e7 b1d2 g4f5 d3e3,87
r1b2rk1/pp3ppp/1qn1p3/3pPn2/1b1P4/P4N2/1PN1BPPP/R1BQ1K1R b - -,c6d4 c2d4 b4c5 d4f5 e6f5 c1e3 d5d4 b2b4 d4e3 b4c5,288
r1bqk1nr/pppp1ppp/2n5/4p3/1PB1P3/2P2Q2/P2P1PPP/RNB1K2R b KQkq -,g8h6 d2d4 d8h4 c1h6 h4h6 f3f7 e8d8 e1h1 e5d4 c3d4,250
r1bqkbnr/1p3ppp/p1n1p3/1BppP3/Q2P4/2P2N2/PP3PPP/RNB1K2R b KQkq -,g8e7 b5c6 e7c6 e1h1 c5d4 c3d4 f8e7 a4d1 e8h8 b1c3,-24
3r3k/pp4pp/1b4r1/1Q1p3q/5p2/2PR1PBP/PP3PK1/4R3 b - -,d8f8 b5b4 h8g8 b4b5 h5h4 b5d5 g8h8 d3d4 f4g3 e1e6,-809
6R1/5p2/4p2k/8/4q1P1/4P3/P3KP2/8 b - -,e6e5 g8h8 h6g5 f2f3 e4c2 e2e1 c2d3 h8h5 g5g6 e1f2,-437
rnbqk2r/1ppp1p2/p3pn1p/6p1/1bPP4/2N2NB1/PP2PPPP/R2QKB1R b KQkq -,f6e4 d1c2 b4c3 b2c3 e4g3 h2g3 d7d6 e2e3 b7b6 f1d3,75
r1bqkb1r/pp2pppp/2np1n2/1B6/1P2P3/2N5/2PP1PPP/R1BQK1NR b KQkq -,e7e5 d2d4 e5d4 d1d4 f8e7 b5c6 b7c6 g1f3 a7a5 e1h1,4
8/8/8/8/5p2/r4kP1/8/2R2K2 b - -,f3g3 f1e1 f4f3 e1d1 g3g2 d1d2 f3f2 d2e2 a3f3 c1a1,Mate
r3kb1r/p1p1qppp/n1p5/3pP3/Q7/P4N2/1P3PPP/R1B2K1R b kq -,e7c5 a4a6 a8b8 b2b4 c5b5 a6b5 b8b5 f1e2 c6c5 h1d1,693
4bk2/4Rq2/1p1p1P1p/1npP2p1/p7/P2Q4/4PPB1/6K1 b - -,b5d4 e7f7 f8f7 d3e4 f7f6 e4e8 f6g7 e8e7 g7g8 g2e4,896
r1b1kb1r/p1p1qppp/2pP4/3n4/8/8/PPPNQPPP/R1B1KB1R b KQkq -,d5f4 d6e7 f4e2 e7f8r e8f8 f1e2 c8f5 c2c3 a8e8 d2f3,1070
8/8/6Kp/4kP2/8/8/8/8 b - -,c8f5 d6e7 f8e7 e2f3 f5c2 f1c4 e8h8 e1h1 a8d8 g1h1,Mate
8/6pp/1rnkp3/P2pp3/4P3/R1PNP3/4K1PP/8 b - -,c6d8 a5b6 d5e4 d3f2 d8b7 a3a8 d6c6 a8c8 c6b6 f2e4,892
rn2kb1r/pppbqppp/4Pn2/8/2B5/8/PPPPQPPP/RNB1K1NR b KQkq -,e7e6 c4e6 d7e6 g1f3 f8d6 e2b5 b8d7 d2d4 a7a6 b5d3,853
r3k3/1p1n1p1p/Nb2p3/6r1/b4Bp1/4P3/PP3PPP/2RR1BK1 b - -,b7a6 f4g5 a4d1 c1d1 b6c7 d1c1 c7e5 b2b3 h7h5 h2h3,330
r3k2r/p2p1ppp/1pp5/2b1PP2/8/2PQ1P1q/PP1P3P/RNB3RK b kq -,c5g1 h1g1 f7f6 d3e4 e8h8 e4g4 h3g4 f3g4 h7h5 d2d4,151
r1bq1rk1/1pp2pbp/n2p1np1/p2Pp1B1/2P1P3/2NB1N2/PP3PPP/R2Q1RK1 b - -,b7b6 a2a3 h7h6 g5e3 f6g4 e3d2 f7f5 b2b4 c8d7 h2h3,34
r3kbnr/pp1np1p1/2p1p3/3p3p/3P3P/3P1N2/PP1B1PP1/RN3RK1 b kq -,a8c8 f1e1 e6e5 d4e5 d7c5 d3d4 c5e6 b1c3 g7g6 a1c1,61
