FEN Position,Line of Moves,Evaluation Score
r1bqk2r/ppp2ppp/2p2n2/2b5/4P3/3P3P/PPP2PP1/RNBQKB1R b KQkq -,f6e4 d3e4 c5f2 e1e2 d8h4 d1d3 c8e6 d3f3 f2g3 e2d1,211
rnbqk2r/ppp2ppp/3bpn2/3p4/3P1B2/2N1P3/PPP2PPP/R2QKBNR w KQkq -,d1f3 e8h8 g2g4 c7c5 f4d6 d8d6 e1a1 c5c4 g4g5 f6e8,21
r1b1k1nr/pp1pppbp/1qn3p1/8/2PNP3/4B3/PP3PPP/RN1QKB1R w KQkq -,f1e2 g7d4 e3d4 c6d4 b1c3 g8f6 e4e5 b6b2 d1c1 b2c1,-641
rnbqk1nr/ppp2p1p/3p3b/8/3PPppP/2N5/PPP3P1/R1BQKBNR b KQkq -,g8f6 g1e2 f6h5 c3d5 e8h8 d1d3 f8e8 g2g3 b8c6 d5f4,69
rnbqk2r/ppp1ppbp/6p1/3n4/3P4/2N2N2/PPP2PPP/R1BQKB1R w KQkq -,c3e4 c8f5 e4g3 f5g4 f1e2 c7c6 e1h1 e8h8 c1g5 h7h6,44
3r2k1/1pp4p/p1n1q1p1/2Q5/1P2B3/P3P1Pb/3N1R1P/6K1 b - -,e6e4 c5f8 d8f8 d2e4 f8d8 f2d2 d8d2 e4d2 c6e5 d2e4,-740
r1bqkbnr/1p1ppppp/p1B5/2p5/4P3/2N5/PPPP1PPP/R1BQK1NR b KQkq -,d8c7 c6d5 e7e6 d5c4 b7b5 c4e2 b5b4 c3a4 c8b7 d2d3,663
rnbqk2r/ppp2ppp/3bpn2/3p4/3P1B2/2N1PQ2/PPP2PPP/R3KBNR b KQkq -,d6f4 f3f4 d8d6 f4d6 c7d6 f2f3 h7h5 f1d3 h5h4 e1d2,58
rnbqkb1r/ppp2ppp/4p3/3n4/3P4/5N2/PPP2PPP/RNBQKB1R w KQkq -,f1e2 c7c5 c2c4 d5f6 b1c3 c5d4 d1d4 f8e7 c1f4 b8c6,90
rnbq1rk1/ppppppbp/5np1/8/2PP4/6P1/PP2PPBP/RNBQK1NR w KQ -,b1c3 b8c6 h2h3 d7d6 g1f3 e7e5 d4d5 c6a5 b2b3 a7a6,59
8/5ppp/8/5PPP/8/k7/8/K7 w - -,h2h4 c7c6 b1c3 d7d5 c4d5 c6d5 c1g5 f6e4 e2e3 b8c6,Mate
rnbqk2r/pp3ppp/2pbpn2/3p4/3P1B2/2N1PQ2/PPP2PPP/R3KBNR w KQkq -,g2g4 d6b4 f1d3 c6c5 g4g5 b4c3 b2c3 f6d7 f3g3 d8a5,79
2b1kr2/pr5R/1p2pQ2/5p2/2pP4/2P5/PP3PB1/R5K1 b - -,b7d7 h7h8 f8h8 f6h8 e8e7 h8c8 d7d8 c8c4 d8g8 a1e1,Mate
rnbq1rk1/ppp1ppbp/6p1/3n4/3PN3/5N2/PPP2PPP/R1BQKB1R w KQ -,f1c4 b8c6 c2c3 b7b6 e1h1 c8b7 d1e2 e7e6 c1g5 d8d7,71
r1bqkb1r/pp3ppp/4pn2/2p5/3P4/3B1N2/PPP2PPP/R1BQK2R w KQkq -,c1e3 d8c7 d1e2 a7a6 e1h1 f8d6 f1e1 c8d7 d4c5 d6c5,47
rnb1kbnr/ppp1pppp/8/3q2N1/4p3/8/PPPP1PPP/RNBQKB1R w KQkq -,g5h3 g8f6 b1c3 d5e5 f1b5 c7c6 b5e2 c8h3 g2h3 e7e6,-311
rnbqkb1r/ppp2ppp/4pn2/8/2PP4/2N2N2/PP3PPP/R1BQKB1R b KQkq -,f8e7 c1f4 e8h8 d1c2 c7c5 d4c5 e7c5 a1d1 d8e8 f1e2,93
rnbq1rk1/ppppppbp/5np1/8/2PP4/5NP1/PP2PPBP/RNBQK2R b KQ -,f8e8 b1c3 d7d6 e1h1 b8a6 e2e4 c7c6 e4e5 d6e5 f3e5,85
r1bqkbnr/pp1n1ppp/2p5/4p3/2B1P3/5N2/PPP2PPP/RNBQK2R w KQkq -,e1h1 f8c5 f3g5 g8h6 h2h3 e8h8 g5f3 g8h8 d1e2 a7a5,96
r1b5/4kq2/p1Bbp2Q/6p1/8/4B1P1/PPP4P/6K1 b - -,c8d7 e3g5 e7e8 h6h8 d6f8 c6a8 f7g6 h2h4 d7b5 a8g2,789
r1bqkbnr/1p2pppp/p1p5/2p5/4PP2/2N5/PPPP2PP/R1BQK1NR b KQkq -,b7b5 d2d3 c5c4 d3c4 d8d1 c3d1 g8f6 e4e5 f6e4 g1f3,111
rnbqkbnr/pppppppp/8/8/P7/8/1PPPPPPP/RNBQKBNR b KQkq -,g8f6 d2d4 e7e6 e2e3 d7d5 g1f3 f8d6 f1e2 c7c5 d4c5,-28
8/8/6k1/pp2q3/3p1QP1/P2P2K1/2P5/8 b - -,e5f4 g3f4 a5a4 f4e5 b5b4 a3b4 a4a3 e5d4 a3a2 d4e4,-6180
r7/3bkq2/p1Bbp2Q/6p1/8/4B1P1/PPP4P/6K1 w - -,h6g5 e7e8 c6a8 d7b5 a8g2 f7h7 g5g4 h7c2 g4e6 d6e7,767
8/8/6k1/pp6/3p1KP1/P2P4/2P5/8 b - -,c6g2 a8g8 e3g5 e7e8 g2e4 d7b5 c2c4 d6f8 h6f6 f7f6,Mate
3k4/7R/p2P4/2p1b3/8/2P3rB/P4r2/1K2R3 w - -,h7d7 d8c8 d7f7 g3h3 f7f2 e5d6 f2f7 d6c7 e1e7 c7d8,730
rnbqk2r/ppp2ppp/3Bpn2/3p4/3P4/2N1P3/PPP2PPP/R2QKBNR b KQkq -,a7a6 d6g3 c7c5 f1d3 b8c6 g1f3 e8h8 e1h1 c5c4 d3e2,884
3r2k1/1pp4p/p1n3p1/2Q5/1P2q3/P3P1Pb/3N1R1P/6K1 w - -,b4b5 e4b1 d2f1 b1b5 c5c2 c6e5 c2e4 d8d1 e4f4 b5c5,-861
r1b1k1nr/pp1pppbp/1qn3p1/8/2P1P3/1N2B3/PP3PPP/RN1QKB1R b KQkq -,g8h6 e3b6 a7b6 d1d2 e8h8 b1c3 g7c3 d2c3 f7f5 b3d2,807
rnbk2nr/ppp2pbp/6p1/4p3/4P3/2N2N2/PPP2PPP/R1B1KB1R w KQ -,f1c4 f7f6 e1h1 c7c6 b2b4 a7a6 f1d1 b8d7 a2a4 g7f8,170
rnbq1rk1/ppp1ppbp/3p1np1/8/2PP4/5NP1/PP2PPBP/RNBQ1RK1 b - -,b8d7 b1c3 c7c6 e2e4 e7e5 d1c2 d8a5 h2h3 e5d4 f3d4,69
rnbq1rk1/ppp1ppbp/3p1np1/8/2PPP3/2N2N1P/PP3PP1/R1BQKB1R b KQ -,a7a5 c1g5 b8a6 f1d3 e7e5 e1h1 e5d4 f3d4 a6c5 d3c2,78
rnbq1rk1/ppppppbp/5np1/8/3PP3/2N2N2/PPP2PPP/R1BQKB1R w KQ -,e4e5 f6e8 h2h4 d7d6 h4h5 d6e5 h5g6 h7g6 c1h6 g7h6,150
2kr3r/pBpp1ppp/1p6/2b1PP2/8/1QPp1P1q/PP1P3P/RNBR3K b - -,c8b7 b3d5 b7b8 d5d3 d7d6 d3f1 h3f1 d1f1 d6e5 b2b4,516
2b1k3/pB5R/1p2pr2/5p2/2pP4/2P5/PP3P2/R5K1 b - -,e8d8 h7h8 d8e7 b7c8 e7f7 h8h7 f7g6 h7a7 g6g5 a1e1,1525
3r1Qk1/1pp4p/p1n3p1/8/1P2q3/P3P1Pb/3N1R1P/6K1 b - -,d8f8 f2f8 g8f8 d2e4 f8g7 e4f2 h3c8 g1f1 c6e5 f1e2,-723
r3k3/3b1q2/p1Bbp2Q/6B1/8/6P1/PPP4P/6K1 w - -,h6h8 d6f8 c6a8 d7b5 a8g2 f7g7 h8h5 e8d7 h2h4 f8e7,749
r1bqkbnr/pp1ppp1p/2n3p1/8/2PNP3/8/PP3PPP/RNBQKB1R b KQkq -,b7b6 b1c3 f8g7 c1e3 g8f6 f1e2 c8b7 f2f3 c6d4 e3d4,118
rnbqkb1r/ppp1pppp/1n1P4/8/8/1B6/PPPP1PPP/RNBQK1NR b KQkq -,a7a5 d6c7 d8c7 a2a4 b8c6 g1f3 e7e5 b1c3 f8c5 h2h3,231
3r3r/pkpp1ppp/1p6/2bQPP2/8/2Pp1P1q/PP1P3P/RNBR3K b - -,c7c6 d5d3 f7f6 d3e4 f6e5 e4g4 h3g4 f3g4 h7h5 d2d4,379
r1bqkbnr/pppp1ppp/2n5/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R b KQkq -,d8g5 f3g5 h7h6 g5f3 g8f6 d1e2 c6d4 f3d4 e5d4 e1h1,1236
r1b1k2r/pp1pppbp/2N3p1/8/2B5/2n1B3/PPP2PPP/R3K2R w KQkq -,c6e7 e8e7 e3g5 e7f8 b2c3 g7c3 e1e2 c3a1 h1a1 f8g7,-386
5rk1/1pp4p/p1n3p1/8/1P2N3/P3P1Pb/5R1P/6K1 b - -,f8d8 f2d2 d8d2 e4d2 c6e5 d2e4 g8g7 e4d2 e5g4 e3e4,-700
r1bqk1nr/pp1pppbp/2n3p1/8/2PNP3/4B3/PP3PPP/RN1QKB1R b KQkq -,b7b6 f2f3 g8f6 b1c3 e8h8 d1d2 c8b7 f1e2 e7e6 e1a1,119
