FEN Position,Line of Moves,Evaluation Score
rnbqkb1r/ppp2ppp/8/3np3/8/6P1/PPPP1PBP/RNBQK1NR w KQkq -,g1f3 f8d6 e1h1 e8h8 d2d4 e5d4 f3d4 c7c6 f1e1 d5f6,71
r1bq1rk1/1p2ppbp/2np1np1/p7/2BNP3/2N1BP2/PPPQ2PP/R3K2R w KQ -,e1a1 a5a4 a2a3 c8d7 g2g4 d8a5 c4e2 b7b5 c3b5 c6d4,130
r1b1k2r/pppp1Npp/2n5/4p3/2B1n2q/8/PPPP2PP/RNBQ2KR w kq -,f7d6 e4d6 h2h3 h4d4 g1h2 d4f4 h2g1 f4c4 d2d4 e8h8,Mate
rnbqkbnr/pp2pppp/8/3p4/8/1P6/PBPP1PPP/RN1QKBNR b KQkq -,b8c6 f1b5 g8f6 g1f3 c8d7 e1h1 d7g4 h2h3 g4h5 c2c4,-25
r1bqk1nr/pppp1ppp/2n5/b7/2B1P3/1Qp2N2/P4PPP/RNB2RK1 b kq -,h7h6 c4f7 e8f8 f7d5 d7d6 b1c3 g8e7 c1b2 c8g4 c3e2,265
rnbqk2r/ppp2ppp/5n2/3p4/1b1P4/2NB4/PPP2PPP/R1BQK1NR w KQkq -,a2a3 b4c3 b2c3 e8h8 g1e2 f6e4 e1h1 c8f5 c3c4 d5c4,32
r1b1k2r/ppppqppp/2n2n2/4p3/2PP4/2Q1PN2/PP3PPP/R1B1KB1R b KQkq -,c6d4 f3e5 d4e6 f1e2 d7d6 e5d3 f6e4 c3c2 a7a5 e1h1,44
rnbqkb1r/pppp1ppp/8/4N3/4n3/8/PPPPQPPP/RNB1KB1R b KQkq -,e8e7 e2e4 d7d5 e5c6 e7d6 c6d8 d5e4 d8f7 d6c6 f7h8,1135
rnbqkb1r/ppp2ppp/8/3np3/8/5NP1/PPPP1PBP/RNBQK2R b KQkq -,e5e4 d1e2 d8e7 f3d4 c7c5 d4b3 d5b4 b1a3 b8c6 g2e4,98
r1bq1rk1/pppn1p1p/3p1npQ/8/3NP3/2N5/PPP2PPP/2KR1B1R b - -,c7c6 f2f3 d8e7 g2g4 d7e5 h2h3 c6c5 d4f5 g6f5 g4g5,205
r2q1rk1/pp1bppbp/2np1np1/8/4P3/2N3PP/PPP1NPB1/R1BQ1RK1 b - -,a8c8 c1e3 d8a5 c3d5 e7e6 d5f6 g7f6 c2c3 f8d8 d1d2,40
rn1qk1nr/pp1bppbp/3p2p1/1B6/3NP3/4B3/PPP2PPP/RN1QK2R w KQkq -,b5e2 g8f6 b1c3 b8c6 f2f3 e8h8 d1d2 c6e5 e1h1 d8a5,40
rnb1kb1r/ppppqppp/8/4N3/4n3/8/PPPPQPPP/RNB1KB1R w KQkq -,e2e4 d7d6 d2d4 d6e5 d4e5 b8c6 f1b5 c8d7 b1c3 e8a8,87
rn1qk2r/pbp2ppp/1p1Bpn2/3p4/2PP4/P1N2N2/1P2PPPP/R2QKB1R b KQkq -,a7a6 d6g3 d5c4 e2e4 b6b5 g3h4 d8d7 d1e2 d7c6 h4f6,559
r4rk1/2R5/1n2N1pp/2Rp4/p2P4/P3P2P/qP3PPK/8 w - -,a7a6 d6g3 d5c4 e2e4 b6b5 g3h4 d8d7 d1e2 d7c6 h4f6,Mate
r1b1k2r/ppppqppp/2n5/4p3/2PPn3/2Q1PN2/PP3PPP/R1B1KB1R w KQkq -,c1d2 e4c3 d2c3 d7d6 f1e2 a7a5 e1h1 e8h8 f1e1 c8f5,-769
r2qk1nr/ppp2ppp/2n1p3/3p1b2/1bPP4/4PN2/PP1B1PPP/RN1QKB1R w KQkq -,d2b4 c6b4 d1a4 b4c6 c4d5 e6d5 f1a6 d8b8 e1h1 g8e7,94
r1bqkbnr/pppp2pp/8/3Ppn2/2P5/3B4/PP3PPP/RNBQK1NR b KQkq -,d8f6 b1d2 f8e7 g1f3 d7d6 h2h3 c8d7 d2e4 f6f8 e1h1,185
r6k/pp4rn/2p1PN1R/3p1P2/8/8/PPPK4/8 w - -,f6h5 g7g2 d2d3 h8g8 f5f6 h7f6 h6f6 a8f8 f6h6 f8f1,-277
rn1qk2r/1p2bppp/p2pbn2/4p3/4P3/1NN1BP2/PPP3PP/R2QKB1R w KQkq -,d1d2 h7h5 f1e2 e8h8 c3d5 e6d5 e4d5 b8d7 b3a5 d8c7,43
rnbqkb1r/pppp1p1p/4pnp1/8/2PP4/5N2/PP2PPPP/RNBQKB1R w KQkq -,b1c3 d7d5 c1f4 c7c5 e2e3 c5d4 e3d4 b8c6 c4c5 f6h5,94
r4r1k/6R1/1n2N1pp/2Rp4/p2P4/P3P2P/qP3PPK/8 w - -,d1a4 b7b6 b1c3 c8b7 c1f4 f8g7 e2e3 e8h8 f1e2 d7d6,Mate
rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/5N2/PP2PPPP/RNBQKB1R w KQkq -,b1c3 f8e7 c1f4 e8h8 e2e3 b8d7 c4d5 f6d5 c3d5 e6d5,30
rn1qk2r/1p2bppp/p2pbn2/4p3/4P3/1NN1BP2/PPPQ2PP/R3KB1R b KQkq -,h7h6 e1a1 h6h5 c3d5 f6d5 e4d5 e6f5 h2h4 b8d7 c1b1,63
r4rk1/2pqb1pp/p1n1n3/1p1pP1p1/8/1NP1BN1P/PP1Q1PP1/R4RK1 b - -,f8f3 g2f3 c6e5 g1g2 a8f8 a1d1 c7c6 f1h1 e5f3 d2d3,-576
rnbqkbnr/ppppp1pp/8/5p1Q/4P3/8/PPPP1PPP/RNB1KBNR b KQkq -,g7g6 h5h4 f5e4 d2d3 e4d3 f1d3 f8g7 g1f3 b8c6 b1c3,-45
r1b2rk1/pp1pppbp/2n2np1/q7/2BNP3/2N1B3/PPP2PPP/R2Q1RK1 w - -,c4b3 d7d6 h2h3 c8d7 f1e1 a8e8 a2a3 h7h6 d1d3 c6d4,66
rn1qk1nr/pp1bppbp/3p2p1/1B6/3NP3/2N1B3/PPP2PPP/R2QK2R b KQkq -,d7b5 d4b5 a7a6 b5d4 b8d7 e1h1 g8f6 d4f3 e8h8 a2a4,-56
rnbqk2r/ppp2ppp/4pn2/3p4/1bPP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq -,c4d5 e6d5 d1a4 b8c6 c1g5 e8h8 e2e3 h7h6 g5f6 d8f6,35
rnbqkbnr/ppppp2p/6p1/8/4Q3/8/PPPP1PPP/RNB1KBNR b KQkq -,d7d5 e4a4 c8d7 f1b5 c7c6 b5e2 c6c5 e2b5 f8g7 g1f3,-96
8/8/3kb3/8/3K4/4Q3/8/8 b - -,f8g7 d2d4 d7d5 e4h4 c8f5 g1f3 f5c2 b1c3 g8f6 c1h6,Mate
r1bq1rk1/1p2ppbp/2np1np1/p7/2BNP1P1/2N1BP2/PPPQ3P/R3K2R b KQ -,f6d7 c4e2 a5a4 h2h4 c6d4 e3d4 g7d4 d2d4 a4a3 b2b3,121
r2qkbnr/pb1p1ppp/1pn1p3/2p5/2P5/2N2NP1/PP1PPPBP/R1BQK2R w KQkq -,e1h1 f8e7 d2d4 c6d4 f3d4 b7g2 g1g2 c5d4 d1d4 g8f6,79
rn1qkbnr/pp2pppp/2p5/3p1b2/2PP4/4PN2/PP3PPP/RNBQKB1R b KQkq -,h7h6 c4d5 c6d5 d1b3 d8c8 f1b5 f5d7 b1c3 e7e6 b5d3,55
rnbqk1nr/pp1p1ppp/8/4p3/1b1PP3/8/PP1B1PPP/RN1QKBNR b KQkq -,d8e7 d4e5 d7d5 e4d5 e7e5 d1e2 e5e2 g1e2 b4d2 b1d2,215
rnbqkb1r/ppppp2p/5np1/8/4Q3/8/PPPP1PPP/RNB1KBNR w KQkq -,e4f4 f8g7 d2d4 d7d5 g1f3 e8h8 f1e2 c7c5 d4c5 e7e5,-125
8/1q3k2/p3p3/2P4Q/P3P2P/2P5/4r1PK/8 b - -,f7f6 h5e2 b7h7 e2f2 f6e7 e4e5 e7d7 f2d4 d7c7 d4d6,1118
1k6/pp5p/3bBp2/2p2r2/P6P/2BnP3/1P6/5RKR b - -,f5e5 f1f6 e5e3 h1h3 e3h3 e6h3 d6e5 c3e5 d3e5 h3f1,762
6k1/1q6/p3p3/2P4Q/P3P2P/2P5/4r1PK/8 w - -,h5e2 b7c7 e4e5 c7c5 e2g4 g8f7 g4f3 f7e8 f3h5 e8d8,1036
1k4B1/pp5p/3bqp2/2p2r2/P6P/2BnP3/1P6/5RKR w - -,g8e6 f5f1 g1f1 c5c4 e6f5 d3c5 f5c2 b7b5 a4b5 b8c7,743
2rq1rk1/pp1bppbp/2np1np1/8/4P3/2N3PP/PPP1NPB1/R1BQ1RK1 w - -,c1e3 d8c7 a1c1 c7a5 c3d5 c8d8 c1a1 a5b5 a1b1 b5a6,74
rnbqkbnr/pp1p1ppp/4p3/2p5/4P3/2N5/PPPP1PPP/R1BQKBNR w KQkq -,g1f3 b8c6 d2d4 c5d4 f3d4 d8c7 g2g3 a7a6 f1g2 g8f6,45
rnbqk2r/1p2bppp/p2p1n2/4p3/4P3/1NN1B2P/PPP2PP1/R2QKB1R b KQkq -,e8h8 g2g4 h7h6 h1g1 c8e6 h3h4 d6d5 e4d5 f6d5 c3d5,57
r3kbnr/pp1q1ppp/2np4/4p3/4P3/8/PPP1NPPP/RNBQK2R w KQkq -,b1c3 f7f5 e4f5 g8f6 c1g5 e8a8 d1d3 d6d5 e1h1 f8c5,109
rnbqkb1r/pp2pppp/5n2/3p4/8/1P6/PBPP1PPP/RN1QKBNR w KQkq -,d2d4 b8c6 g1f3 c8f5 f1d3 g7g6 e1h1 f8g7 c2c4 e7e6,-25
rnbqk2r/ppp2ppp/4pb2/8/3PN3/8/PPP2PPP/R2QKBNR w KQkq -,g1f3 e8h8 d1d2 b8d7 e1a1 b7b6 f1d3 c8b7 e4f6 d7f6,37
5r1k/r1R3R1/1n2N1pp/3p4/p2P4/P3P2P/qP3PPK/8 w - -,f1b5 c7c6 e4f6 d8f6 b5e2 c6c5 g1f3 e8h8 c2c3 f8d8,Mate
r1bq1rk1/ppppbppp/2n2n2/4p3/2BPP3/2P2N2/P4PPP/RNBQ1RK1 w - -,f3e5 c6e5 d4e5 f6e4 f1e1 e4c5 b1a3 a7a6 a3c2 d7d6,-129
rn1qk2r/1p2bppp/p2pbn2/4p3/4P3/1NN1BQ1P/PPP2PP1/R3KB1R b KQkq -,b8c6 e1a1 a8c8 g2g4 h7h6 c1b1 c6b4 f3g2 c8c3 b2c3,55
2kr1bnr/pp1b1ppp/1qn1p3/3pP3/2pP4/P1P2NP1/1P3PBP/RNBQK2R w KQ -,b1d2 c6a5 e1h1 c8b8 a1b1 h7h6 f1e1 g8e7 d2f1 a5b3,54
r1r3k1/p2qpp1p/np1p2p1/3P4/PP1QP3/4BP2/6PP/2RR2K1 w - -,c1c6 a6b8 c6c8 d7c8 e4e5 c8f8 e5e6 f7e6 d4g4 f8f5,312
rnbqkbnr/pppp1ppp/8/4p3/5P2/8/PPPPP1PP/RNBQKBNR w KQkq -,g1f3 e5e4 f3d4 d7d5 d2d3 g8f6 e2e3 c7c5 d4b3 e4d3,-168
rnbqk1nr/pp1p1ppp/8/4p3/1b1PP3/8/PP3PPP/RNBQKBNR w KQkq -,d1d2 b4d2 b1d2 b8c6 f1d3 c6d4 g1f3 d4c6 e1h1 g8f6,-837
2kr1bnr/pp1b1ppp/1qn1p3/3pP3/2pP4/P1P2NP1/1P3PBP/RNBQ1RK1 b - -,g8h6 d1c2 h6f5 c1g5 d8e8 g5f4 h7h6 g3g4 f5e7 b1d2,29
rnbqkb1r/ppp3pp/3p1n2/3Ppp2/4P3/5P2/PPP3PP/RNBQKBNR w KQkq -,c1g5 f8e7 e4f5 c8f5 b1c3 b8d7 g5f6 e7f6 f1d3 e5e4,-57
rnbqkb1r/pp2pppp/3p4/2p5/2B1n3/2P2N2/PP1P1PPP/RNBQK2R w KQkq -,d1e2 d6d5 c4b3 e4f6 d2d4 e7e6 c1f4 b8c6 e1h1 f8d6,-145
r1bqr1k1/p5pp/2pb4/n2npp2/8/2N2N2/PPPP1PPP/R1BQRBK1 b - -,d8c7 g2g3 h7h6 f3h4 c7f7 d2d3 a8b8 c1d2 d6c7 b2b3,124
rnbqk1nr/ppp2ppp/3b4/8/8/5N2/PPPPP1PP/RNBQKB1R b KQkq -,b8d7 e2e4 g8f6 b1c3 c7c5 f1e2 d7e5 e2b5 e8f8 d2d3,127
rnbqkb1r/pp2pppp/3p4/2p5/Q1B1n3/2P2N2/PP1P1PPP/RNB1K2R b KQkq -,d8d7 c4b5 b8c6 a4e4 a7a6 b5c6 d7c6 d2d3 h7h6 e4c6,482
2kr1bnr/pp1b1ppp/1q2p3/n2pP3/2pP4/P1P2NP1/1P3PBP/RNBQ1RK1 w - -,h2h3 a5b3 a1a2 d7a4 b1d2 c8b8 f1e1 h7h6 d2f1 g8e7,-18
rnbqkbnr/pp2pppp/2p5/8/4pP2/3P4/PPP3PP/RNBQKBNR w KQkq -,b1d2 e4d3 f1d3 g8f6 d1e2 b8d7 c2c3 d7c5 d3c2 g7g6,-148
r1bqkb1r/p2npppp/3p1n2/2pP4/Pp2PB2/5P2/1PP3PP/RN1QKBNR w KQkq -,f1b5 g7g6 d1c1 f8g7 f4h6 e8h8 h6g7 g8g7 g1e2 e7e6,-24
rnbqkbnr/pp2pppp/2p5/8/4PP2/8/PPP3PP/RNBQKBNR b KQkq -,g8f6 d1d8 e8d8 b1c3 b8d7 e4e5 f6d5 c3d5 c6d5 h2h4,111
rn1qkb1r/pp1bpppp/3p4/2p5/Q1B1n3/2P2N2/PP1P1PPP/RNB1K2R w KQkq -,c4b5 d6d5 c3c4 d5d4 e1h1 e7e6 d2d3 e4f6 c1f4 f8e7,-218
rnb1kbnr/pp2pppp/2p5/8/4PP2/8/PPP3PP/RNBqKBNR w KQkq -,e1f2 d1c1 g1f3 c1b2 f1c4 b2a1 h2h3 b7b5 c4d3 a1a2,-2282
rn1q1b1r/pp1bpkpp/3p4/2p5/Q3n3/2P2N2/PP1P1PPP/RNB1K2R w KQ -,a4c2 e4f6 d2d4 d8c8 e1h1 f7g8 d4c5 c8c5 f1e1 c5h5,-661
rnbqk2r/ppp2ppp/5n2/3p2B1/1b1P4/2NB4/PPP2PPP/R2QK1NR b KQkq -,b4c3 b2c3 h7h6 g5f6 d8f6 d1f3 f6f3 g1f3 c8e6 e1d2,28
rnb1kbnr/pp2pppp/2p5/8/4PP2/8/PPP3PP/RNBK1BNR b kq -,a7a5 h2h3 b8d7 g1f3 d7c5 f1d3 g8f6 b1c3 f6d7 d1e2,28
r1bk3r/ppp2ppp/2p5/2b5/4Q3/3P4/PPP1BPPP/RNq1K2R w KQ -,e2d1 h8e8 b1d2 c1a1 e1h1 e8e4 d2e4 c5b6 e4d2 c8e6,-1223
r1bqkb1r/pp2pppp/2np4/2p5/Q1B1n3/2P2N2/PP1P1PPP/RNB1K2R w KQkq -,c4e2 d6d5 c3c4 d5d4 d2d3 e4f6 f3e5 c8d7 e5d7 d8d7,-212
rnbqk2r/ppp2pp1/3b4/7p/6n1/5NP1/PPPPP1BP/RNBQK2R w KQkq -,e1h1 c7c5 b1c3 b8c6 c3e4 d6c7 d2d3 h5h4 h2h3 h4g3,139
r1bqk1nr/ppp2ppp/2np4/b3P3/2B1P3/2P2N2/P4PPP/RNBQK2R b KQkq -,c8g4 c1g5 g4f3 d1f3 c6e5 c4f7 e8f8 f3g3 g8f6 f7b3,-78
r1bqk2r/pppnbppp/3p1n2/8/3NP3/2N1B3/PPP2PPP/R2QKB1R w KQkq -,d4f5 e8h8 f2f3 d7b6 f5e7 d8e7 d1e2 c7c6 e1a1 d6d5,117
8/8/2k5/8/3BK3/8/8/5N2 w - -,f1e2 e8h8 e1h1 f8e8 d4f5 d7c5 f5e7 d8e7 f2f3 c7c6,Mate
r1bqkbnr/pp3ppp/2n1p3/1Bpp4/4P3/5N2/PPPP1PPP/RNBQ1RK1 w kq -,e4d5 e6d5 f1e1 c8e6 d2d4 f8e7 b1d2 g8f6 d2b3 c5c4,125
rnbqkb1r/1p2pppp/p2p1n2/8/2BNP3/2N5/PPP2PPP/R1BQK2R b KQkq -,e7e5 d4f5 c8f5 e4f5 d8c8 c4e2 f8e7 g2g4 h7h6 c1e3,64
r4k1r/1q3p1p/p1N2p2/1pp5/8/1PPP4/1P3PPP/R1B1R1K1 w - -,e7e5 d4f5 c8f5 e4f5 d8c8 c4e2 f8e7 g2g4 h7h6 c1e3,Mate
r1bqkbnr/pp2pppp/2n5/3p4/8/1P6/PBPP1PPP/RN1QKBNR w KQkq -,f2f4 g8f6 f1b5 e7e6 g1f3 f8d6 f3e5 d8b6 d1e2 e8h8,-115
rnbqkbnr/ppp2ppp/4p3/2Pp4/3P4/8/PP2PPPP/RNBQKBNR b KQkq -,b7b6 c5b6 a7b6 e2e3 g8f6 g1f3 f8b4 c1d2 b4d6 f1e2,-66
r1bqkbnr/ppp2ppp/2np4/4p3/3PP3/5N2/PPP2PPP/RNBQKB1R w KQkq -,c2c3 g8f6 b1d2 f8e7 f1d3 e8h8 e1h1 e5d4 c3d4 c6b4,91
2kr1bnr/pp1b1ppp/1q2p3/n2pP3/2pP4/P1P2NP1/1P1N1PBP/R1BQ1RK1 b - -,f8e7 a1b1 g8h6 d1e2 c8b8 f3e1 h6f5 d2f3 a5b3 c1g5,28
r1bqk2r/pp2ppbp/2np1np1/2p5/4PP2/2NP2P1/PPP3BP/R1BQK1NR w KQkq -,g1f3 a8b8 e1h1 e8h8 h2h3 b7b5 g3g4 b5b4 c3e2 a7a5,-26
r2qkb1r/ppp1pppp/2n2n2/3p4/3P1P2/3PP3/PP4PP/RNBQK1NR w KQkq -,g1f3 e7e6 e1h1 f8e7 b1c3 e8h8 e3e4 d5e4 d3e4 a7a6,75
2kr1bnr/pp1b1pp1/1q2p2p/n2pP3/2pP4/P1P2NP1/1P1N1PBP/R1BQ1RK1 w - -,f1e1 g8e7 d2f1 e7f5 d1e2 a5b3 a1b1 c8b8 h2h4 b3c1,21
rnbqk2r/pp3ppp/2p2n2/3p2B1/1b1P4/2NB4/PPP1NPPP/R2QK2R b KQkq -,b4e7 e2g3 h7h6 g5f4 e8h8 e1h1 f8e8 h2h3 e7f8 d1d2,35
r5kr/1q3p1p/p1N2p1B/1pp5/8/1PPP4/1P3PPP/R3R1K1 w - -,b4e7 e2g3 h7h6 g5f4 e8h8 e1h1 f8e8 h2h3 e7f8 d1d2,Mate
r1bqr1k1/p5pp/3b4/n2p1p2/3Np3/8/PPPP1PPP/R1BQRBK1 b - -,d6e5 c2c3 d8c7 g2g3 f5f4 d2d3 f4g3 h2g3 e5g3 d1h5,98
r1b2bnr/ppppkBpp/8/4q3/3nP3/8/PPPP1PPP/RNBQ1RK1 w - -,a2a3 e7f7 c2c3 d4e6 d2d3 g8f6 f2f4 e5h5 d1h5 f6h5,-570
2kr1b1r/pp1bnpp1/1q2p2p/n2pP3/2pP4/P1P2NP1/1P3PBP/R1BQRNK1 b - -,g7g5 a1b1 b6b3 d1e2 d7a4 f1e3 e7g6 f3d2 b3b5 g2f3,38
rnbqkb1r/pp2pppp/5B2/2pp4/3P4/2N5/PPP1PPPP/R2QKBNR b KQkq -,a7a6 f6h4 b8c6 e2e3 c5d4 e3d4 d8b6 c3d5 b6a5 d5c3,685
r1b2bnr/ppppk1pp/8/4q3/2BnP3/8/PPPP1PPP/RNBQ1RK1 b - -,g8h6 c2c3 d4c6 d2d4 e5f6 b1d2 e7d8 e4e5 f6g6 d2f3,301
r1bqkbnr/ppp2ppp/2np4/1B2p3/3PP3/5N2/PPP2PPP/RNBQK2R b KQkq -,h7h6 d4e5 c8d7 b5c6 d7c6 b1c3 d8e7 c1f4 e8a8 d1e2,233
rnbqkbnr/pppppppp/8/8/8/4P3/PPPP1PPP/RNBQKBNR b KQkq -,b7b5 f1b5 e7e5 d2d4 e5e4 c2c4 c7c6 b5a4 d8g5 e1f1,161
rn1qk2r/pbp2ppp/1p2p3/3pP3/1b1Pn3/2NB1N2/PPP1QPPP/R1B1K2R w KQkq -,e1f1 e4c3 b2c3 b4c3 a1b1 b8c6 e2e3 c3b4 h2h4 h7h6,-62
2kr1b1r/pp1b1pp1/1q2p2p/n2pP3/2pP4/P1P1nNP1/1P3PBP/R1BQR1K1 w - -,d1d2 e3g2 g1g2 a5b3 d2f4 b3a1 f4f7 a1b3 c1e3 d7e8,-1001
r1bqk2r/1pp2ppp/2np1n2/p1b1p3/P1B1P3/2PP1N2/1P3PPP/RNBQK2R w KQkq -,c4b3 h7h6 e1h1 e8h8 h2h3 c8e6 b3e6 f7e6 c1e3 c5e3,6
r1bqkbnr/ppp1pppp/2n5/3p4/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq -,c2c4 e7e6 b1c3 g8f6 e2e3 g7g6 b2b3 b7b6 f1e2 c8b7,85
rnbqk1nr/ppp2p1p/3p3b/8/3PPppP/8/PPP3P1/RNBQKBNR w KQkq -,f1d3 b8c6 b1c3 c6d4 c3d5 c8e6 g1e2 d4e2 d3e2 e6d5,-127
2kr3r/pp1bbpp1/1q2p2p/n2pP3/2pP4/P1P1RNP1/1P3PBP/R1BQ2K1 w - -,a1b1 b6b3 d1b3 c4b3 g2f1 a5c4 e3e1 d7b5 b1a1 g7g5,-74
8/2k5/8/4K3/3B4/8/8/5N2 w - -,a1b1 b6b3 d1b3 c4b3 g2f1 a5c4 e3e1 d7b5 b1a1 g7g5,Mate
rnbqkb1r/pp3ppp/3ppn2/8/3NP3/2N5/PPP2PPP/R1BQKB1R w KQkq -,g2g4 h7h6 h1g1 b8c6 c1e3 c8d7 f1e2 d6d5 e4d5 e6d5,89
r2qkbnr/pppb1ppp/2np4/1B2p3/3PP3/5N2/PPP2PPP/RNBQK2R w KQkq -,b5c6 d7c6 b1c3 g8f6 d1d3 e5d4 f3d4 g7g6 c1g5 f8g7,117
2kr3r/pp1bbpp1/1q2p2p/n2pP3/2pP4/P1P2NP1/1P3PBP/R1BQR1K1 b - -,b6b3 d1e2 d7a4 h2h3 b3c2 c1e3 c8b8 f3h2 c2g6 a1c1,-63
r1bqk2r/pp2ppbp/2np1np1/2p5/4PP2/2NP1NP1/PPP3BP/R1BQK2R b KQkq -,a8b8 e1h1 b7b5 e4e5 d6e5 f4e5 f6h5 c1e3 b5b4 c3e2,-21
2b5/8/2k5/4K3/5Q2/8/8/8 b - -,c6d4 h2h3 c8d7 e1h1 d4f3 d1f3 d7c6 f3f2 e8h8 a1b1,Mate
2kr3r/pp1bbpp1/4p2p/n2pP3/2pP4/PqP2NP1/1P3PBP/R1BQR1K1 w - -,d1d2 d7a4 e1e2 b3d1 f3e1 d1d2 c1d2 a5b3 a1b1 b3d2,-82
2kr3r/pp1bbpp1/4p2p/n2pP3/2pP4/PqP2NP1/1P2QPBP/R1B1R1K1 b - -,d7a4 c1e3 b3c2 a1c1 c2f5 e1f1 g7g5 f3e1 h6h5 h2h3,-55
r1bq1rk1/pp2ppbp/3p1np1/8/2BBP3/2N2P2/PPPQ2PP/R3K2R b KQ -,h7h5 e1a1 a7a6 c4b3 b7b5 h2h4 a6a5 g2g4 e7e5 d4e3,139
8/1Q1rkRp1/p3p3/3nB1r1/8/3q3P/PP6/K1R5 b - -,e7f7 b7d7 f7g6 d7g7 g6f5 g7h7 g5g6 e5h8 d5f4 c1e1,Mate
rnbqkb1r/pp3ppp/3ppn2/8/2BNP3/2N5/PPP2PPP/R1BQK2R b KQkq -,c8d7 c1e3 f8e7 c4b3 b8a6 f2f4 d8c7 e1h1 a6c5 d1f3,32
r2q1rk1/pp2ppbp/3pbnp1/8/2BBP3/2N2P2/PPPQ2PP/R3K2R w KQ -,c4b3 d8a5 e1a1 b7b5 c1b1 f8c8 h2h4 e6b3 c2b3 b5b4,72
r1bq1rk1/pp2ppbp/2np1np1/2p5/4PP2/2NP1NP1/PPP3BP/R1BQK2R w KQ -,a1b1 a8b8 a2a4 a7a6 h2h3 b7b5 a4b5 a6b5 c1e3 f6d7,-50
2kr3r/pp2bpp1/4p2p/n2pP3/b1pP4/PqP2NP1/1P2QPBP/R1B1R1K1 w - -,a1b1 b3c2 c1e3 c8b8 b1c1 c2f5 h2h3 g7g5 f3h2 h6h5,-66
rnbqk2r/ppp2ppp/4pb2/8/3PN3/5N2/PPP2PPP/R2QKB1R b KQkq -,h7h6 f1d3 e8h8 e4f6 d8f6 d1e2 f8d8 c2c3 c7c5 d4c5,124
rnbqkbnr/ppp1pppp/8/3p4/3P1B2/8/PPP1PPPP/RN1QKBNR b KQkq -,c7c6 e2e3 d8b6 d1c1 g8f6 c2c4 c8f5 g1f3 b6d8 f1e2,54
rnbqkbnr/pp1ppppp/8/8/1p2P3/8/P1PP1PPP/RNBQKBNR w KQkq -,g1e2 g8f6 e4e5 f6d5 a2a3 d7d6 e5d6 e7e5 e2g3 f8d6,-158
1k1r3r/pp2bpp1/4p2p/n2pP3/b1pP4/PqP1BNP1/1P2QPBP/R3R1K1 w - -,a1d1 b3c2 d1d2 c2h7 h2h3 d8f8 f3h2 a5b3 d2d1 e7d8,-34
r1bqkbnr/pppppppp/2n5/8/2PP4/8/PP2PPPP/RNBQKBNR b KQkq -,f7f5 g1f3 e7e6 a2a3 d7d6 b2b4 g7g6 e2e3 f8g7 f1e2,114
rnbqkbnr/pp4pp/2p1p3/2Pp1p2/3P4/4P3/PP3PPP/RNBQKBNR w KQkq -,b2b4 a7a5 b4b5 b7b6 c1a3 g8f6 b1c3 a5a4 a1b1 f6e4,78
rnbqk2r/ppp1bppp/4p3/8/3PN3/5N2/PPP2PPP/R2QKB1R w KQkq -,f1d3 b8d7 d1e2 c7c5 e4c5 d8a5 c2c3 d7c5 d4c5 a5c5,65
rn1q1rk1/1p2bppp/p2pbn2/4p3/4P3/1NN1BQ1P/PPP2PP1/R3KB1R w KQ -,f1e2 b7b5 e1h1 d8c7 f1d1 b8d7 a2a3 f8c8 e2d3 g7g6,-30
4rk2/p1r2pp1/1p2pq2/nP1bN2Q/3P4/P6R/5PPP/R5K1 w - -,h3c3 a5c4 a1c1 e8c8 a3a4 f6h6 h5h6 g7h6 h2h4 f8e7,-500
1k1r3r/pp2bpp1/4p2p/n2pP3/b1pP4/PqP1BNP1/1P2QPBP/3RR1K1 b - -,b3c2 d1c1 c2f5 h2h3 g7g5 f3h2 h6h5 h2f1 f5g6 f2f4,-32
r1bqkbnr/ppp1pppp/2n5/3p4/2PP4/8/PP2PPPP/RNBQKBNR w KQkq -,b1c3 e7e6 g1f3 f8b4 c1g5 g8e7 e2e3 f7f6 g5f4 e8h8,80
1k1r3r/pp2bpp1/4p2p/n2pP3/b1pP4/P1P1BNP1/1Pq1QPBP/3RR1K1 w - -,e2c2 a4c2 d1a1 g7g5 h2h3 c2f5 a1a2 b7b6 g1h2 d8g8,-99
rnbqkbnr/pp2pppp/8/2ppP3/8/5N2/PPPP1PPP/RNBQKB1R b KQkq -,c8g4 c2c3 b8c6 f1b5 g4f3 d1f3 e7e6 b5c6 b7c6 e1h1,-48
r1bqkbnr/ppp1pppp/2n5/3P4/3P4/8/PP2PPPP/RNBQKBNR b KQkq -,c8d7 d5c6 d7c6 g1f3 g8f6 f3e5 e7e6 e5c6 b7c6 d1c2,604
rnbqkbnr/pp1ppppp/8/8/1p2P3/P7/2PP1PPP/RNBQKBNR b KQkq -,e7e5 g1f3 b8c6 c1b2 d8b6 f1d3 d7d6 c2c3 b4a3 b1a3,-62
rnbqkbnr/pp3ppp/4p3/1BppP3/8/5N2/PPPP1PPP/RNBQK2R b KQkq -,d8d7 b5d7 c8d7 e1h1 g8h6 d2d4 c5d4 f3d4 b8c6 d4f3,786
